   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_70.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.39509, 0, 2.5408e-08, 4.89939e-31, 1.41421, -2.5408e-08, 0, 4.89939e-31, 4.89939e-31, 4.89939e-31, 4.89939e-31, 4.89939e-31, 4.89939e-31, 4.89939e-31, 4.89939e-31, 4.89939e-31, 4.89939e-31, 4.89939e-31, 4.89939e-31, 4.89939e-31, 4.89939e-31, 1.18115e-11, 4.89939e-31, 1.81802e-10, 2.52143e-08, 4.89939e-31, 4.89939e-31, 4.89939e-31
0.402975, 0, 3.60133e-08, 2.62971e-30, 1.41421, -3.60133e-08, 0, 2.62971e-30, 2.62971e-30, 2.62971e-30, 2.62971e-30, 2.62971e-30, 2.62971e-30, 2.62971e-30, 2.62971e-30, 2.62971e-30, 2.62971e-30, 2.62971e-30, 2.62971e-30, 2.62971e-30, 2.62971e-30, 1.85784e-11, 2.62971e-30, 2.84015e-10, 3.57107e-08, 2.62971e-30, 2.62971e-30, 2.62971e-30
0.41086, 0, 5.07371e-08, 1.33385e-29, 1.41421, -5.07371e-08, 0, 1.33385e-29, 1.33385e-29, 1.33385e-29, 1.33385e-29, 1.33385e-29, 1.33385e-29, 1.33385e-29, 1.33385e-29, 1.33385e-29, 1.33385e-29, 1.33385e-29, 1.33385e-29, 1.33385e-29, 1.33385e-29, 2.92091e-11, 1.33385e-29, 4.42915e-10, 5.0265e-08, 1.33385e-29, 1.33385e-29, 1.33385e-29
0.418745, 0, 7.10544e-08, 6.37419e-29, 1.41421, -7.10544e-08, 0, 6.37419e-29, 6.37419e-29, 6.37419e-29, 6.37419e-29, 6.37419e-29, 6.37419e-29, 6.37419e-29, 6.37419e-29, 6.37419e-29, 6.37419e-29, 6.37419e-29, 6.37419e-29, 6.37419e-29, 6.37419e-29, 4.58908e-11, 6.37419e-29, 6.89415e-10, 7.03191e-08, 6.37419e-29, 6.37419e-29, 6.37419e-29
0.426631, 0, 9.89219e-08, 2.91636e-28, 1.41421, -9.89219e-08, 0, 2.91636e-28, 2.91636e-28, 2.91636e-28, 2.91636e-28, 2.91636e-28, 2.91636e-28, 2.91636e-28, 2.91636e-28, 2.91636e-28, 2.91636e-28, 2.91636e-28, 2.91636e-28, 2.91636e-28, 2.91636e-28, 7.20254e-11, 2.91636e-28, 1.07087e-09, 9.7779e-08, 2.91636e-28, 2.91636e-28, 2.91636e-28
0.434516, 0, 1.36919e-07, 1.27049e-27, 1.41421, -1.36919e-07, 0, 1.27049e-27, 1.27049e-27, 1.27049e-27, 1.27049e-27, 1.27049e-27, 1.27049e-27, 1.27049e-27, 1.27049e-27, 1.27049e-27, 1.27049e-27, 1.27049e-27, 1.27049e-27, 1.27049e-27, 1.27049e-27, 1.12882e-10, 1.27049e-27, 1.65947e-09, 1.35147e-07, 1.27049e-27, 1.27049e-27, 1.27049e-27
0.442401, 0, 1.88428e-07, 5.26432e-27, 1.41421, -1.88428e-07, 0, 5.26432e-27, 5.26432e-27, 5.26432e-27, 5.26432e-27, 5.26432e-27, 5.26432e-27, 5.26432e-27, 5.26432e-27, 5.26432e-27, 5.26432e-27, 5.26432e-27, 5.26432e-27, 5.26432e-27, 5.26432e-27, 1.76587e-10, 5.26432e-27, 2.56476e-09, 1.85686e-07, 5.26432e-27, 5.26432e-27, 5.26432e-27
0.450286, 0, 2.57854e-07, 2.07783e-26, 1.41421, -2.57854e-07, 0, 2.07783e-26, 2.07783e-26, 2.07783e-26, 2.07783e-26, 2.07783e-26, 2.07783e-26, 2.07783e-26, 2.07783e-26, 2.07783e-26, 2.07783e-26, 2.07783e-26, 2.07783e-26, 2.07783e-26, 2.07783e-26, 2.75605e-10, 2.07783e-26, 3.95197e-09, 2.53627e-07, 2.07783e-26, 2.07783e-26, 2.07783e-26
0.458171, 0, 3.50917e-07, 7.82678e-26, 1.41421, -3.50917e-07, 0, 7.82678e-26, 7.82678e-26, 7.82678e-26, 7.82678e-26, 7.82678e-26, 7.82678e-26, 7.82678e-26, 7.82678e-26, 9.63091e-12, 7.82678e-26, 7.82678e-26, 7.82678e-26, 7.82678e-26, 7.82678e-26, 4.28949e-10, 7.82678e-26, 6.0687e-09, 3.4441e-07, 7.82678e-26, 7.82678e-26, 7.82678e-26
0.466056, 0, 4.74976e-07, 2.81949e-25, 1.41421, -4.74976e-07, 0, 2.81949e-25, 2.81949e-25, 2.81949e-25, 2.81949e-25, 2.81949e-25, 2.81949e-25, 2.81949e-25, 2.81949e-25, 3.12656e-11, 2.81949e-25, 2.81949e-25, 2.81949e-25, 2.81949e-25, 2.81949e-25, 6.65447e-10, 2.81949e-25, 9.28355e-09, 4.64995e-07, 2.81949e-25, 2.81949e-25, 2.81949e-25
