   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_50.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.140477, 0, 1.33353e-24, 0, 1.41421, -1.33353e-24, 0, 0, 0, 0, 0, 0, 0, 0, 4.97988e-27, 0, 4.39411e-30, 1.58253e-28, 0, 1.32838e-24, 0, 0
0.148795, 0, 5.62474e-24, 0, 1.41421, -5.62474e-24, 0, 0, 0, 0, 0, 0, 0, 0, 2.10046e-26, 0, 1.85658e-29, 7.30504e-28, 0, 5.60299e-24, 0, 0
0.157113, 0, 2.23446e-23, 0, 1.41421, -2.23446e-23, 0, 0, 0, 0, 0, 0, 0, 0, 8.34413e-26, 0, 7.39083e-29, 3.12285e-27, 0, 2.2258e-23, 0, 0
0.16543, 0, 8.44059e-23, 0, 1.41421, -8.44059e-23, 0, 0, 0, 0, 0, 0, 0, 0, 3.15193e-25, 0, 2.79856e-28, 1.25516e-26, 0, 8.40779e-23, 0, 0
0.173748, 0, 3.05254e-22, 0, 1.41421, -3.05254e-22, 0, 0, 0, 0, 0, 0, 0, 0, 1.13989e-24, 0, 1.0148e-27, 4.79125e-26, 0, 3.04065e-22, 0, 0
0.182066, 0, 1.06226e-21, 0, 1.41421, -1.06226e-21, 0, 0, 0, 0, 0, 0, 0, 0, 3.96668e-24, 0, 3.54169e-27, 1.7494e-25, 0, 1.05811e-21, 0, 0
0.190384, 0, 3.57084e-21, 0, 1.41421, -3.57084e-21, 0, 0, 0, 0, 0, 0, 0, 0, 1.33341e-23, 0, 1.19431e-26, 6.14214e-25, 0, 3.55688e-21, 0, 0
0.198701, 0, 1.16311e-20, 0, 1.41421, -1.16311e-20, 0, 0, 0, 0, 0, 0, 0, 0, 4.34324e-23, 0, 3.90335e-26, 2.08207e-24, 0, 1.15856e-20, 0, 0
0.207019, 0, 3.68017e-20, 0, 1.41421, -3.68017e-20, 0, 0, 0, 0, 0, 0, 0, 0, 1.37422e-22, 0, 1.23953e-25, 6.83609e-24, 0, 3.66573e-20, 0, 0
0.215337, 0, 1.13344e-19, 0, 1.41421, -1.13344e-19, 0, 0, 0, 0, 0, 0, 0, 0, 4.23237e-22, 0, 3.83238e-25, 2.17962e-23, 0, 1.12899e-19, 0, 0
