   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_61.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.372057, 0, 2.18524e-06, 9.12551e-27, 1.41421, -2.18524e-06, 0, 9.12551e-27, 9.12551e-27, 9.12551e-27, 9.12551e-27, 9.12551e-27, 2.98623e-08, 9.12551e-27, 9.12551e-27, 6.53462e-10, 3.08632e-08, 9.12551e-27, 2.12386e-06, 9.12551e-27, 9.12551e-27
0.38008, 0, 2.84304e-06, 3.93962e-26, 1.41421, -2.84304e-06, 0, 3.93962e-26, 3.93962e-26, 3.93962e-26, 3.93962e-26, 3.93962e-26, 3.91118e-08, 3.93962e-26, 3.93962e-26, 9.66924e-10, 4.38205e-08, 3.93962e-26, 2.75914e-06, 3.93962e-26, 3.93962e-26
0.388102, 0, 3.68157e-06, 1.61476e-25, 1.41421, -3.68157e-06, 0, 1.61476e-25, 1.61476e-25, 1.61476e-25, 1.61476e-25, 1.61476e-25, 5.10168e-08, 1.61476e-25, 1.61476e-25, 1.42626e-09, 6.19904e-08, 1.61476e-25, 3.56713e-06, 1.61476e-25, 1.61476e-25
0.396124, 0, 4.74556e-06, 6.3001e-25, 1.41421, -4.74556e-06, 0, 6.3001e-25, 6.3001e-25, 6.3001e-25, 6.3001e-25, 6.3001e-25, 6.62801e-08, 6.3001e-25, 6.3001e-25, 2.09651e-09, 8.7361e-08, 6.3001e-25, 4.58982e-06, 6.3001e-25, 6.3001e-25
0.404146, 0, 6.09107e-06, 4.1797e-24, 1.41421, -6.09107e-06, 0, 2.8747e-13, 3.85437e-13, 1.86154e-12, 2.91995e-11, 1.19122e-10, 8.5776e-08, 1.07081e-12, 1.31599e-13, 3.07094e-09, 1.22631e-07, 5.58819e-15, 5.87853e-06, 4.1797e-24, 9.0545e-10
0.412168, 0, 7.79764e-06, 1.31284e-08, 1.41421, -7.79764e-06, 1.31284e-08, 1.31293e-08, 1.31296e-08, 1.31342e-08, 1.32203e-08, 1.35034e-08, 1.23711e-07, 1.31317e-08, 1.31288e-08, 1.76072e-08, 1.8455e-07, 1.31284e-08, 7.50783e-06, 1.31284e-08, 1.5979e-08
0.42019, 0, 9.94889e-06, 4.10946e-08, 1.41421, -9.94889e-06, 4.10946e-08, 4.10968e-08, 4.10976e-08, 4.11088e-08, 4.13164e-08, 4.19994e-08, 1.83127e-07, 4.11028e-08, 4.10956e-08, 4.75989e-08, 2.79683e-07, 4.10947e-08, 9.55373e-06, 4.10946e-08, 4.79719e-08
0.428212, 0, 1.26604e-05, 9.86285e-08, 1.41421, -1.26604e-05, 9.86285e-08, 9.86333e-08, 9.86349e-08, 9.86593e-08, 9.91118e-08, 1.006e-07, 2.80384e-07, 9.86462e-08, 9.86307e-08, 1.08032e-07, 4.29205e-07, 9.86286e-08, 1.21212e-05, 9.86285e-08, 1.13614e-07
0.436234, 0, 1.60823e-05, 2.13917e-07, 1.41421, -1.60823e-05, 2.13917e-07, 2.13927e-07, 2.1393e-07, 2.13981e-07, 2.14915e-07, 2.17988e-07, 4.45667e-07, 2.13954e-07, 2.13922e-07, 2.27448e-07, 6.69827e-07, 2.13917e-07, 1.53449e-05, 2.13917e-07, 2.44861e-07
0.444256, 0, 2.04184e-05, 4.39769e-07, 1.41421, -2.04184e-05, 4.39769e-07, 4.39789e-07, 4.39795e-07, 4.39896e-07, 4.41759e-07, 4.47887e-07, 7.34211e-07, 4.39842e-07, 4.39778e-07, 4.59145e-07, 1.06583e-06, 4.39769e-07, 1.94065e-05, 4.39769e-07, 5.01475e-07
0.452279, 0, 2.59533e-05, 8.73486e-07, 1.41421, -2.59533e-05, 8.73486e-07, 8.73525e-07, 8.73537e-07, 8.73733e-07, 8.77352e-07, 8.89257e-07, 1.24626e-06, 8.73628e-07, 8.73504e-07, 9.01097e-07, 1.72876e-06, 8.73487e-07, 2.45577e-05, 8.73486e-07, 9.93355e-07
0.460301, 0, 3.30987e-05, 1.6906e-06, 1.41421, -3.30987e-05, 1.6906e-06, 1.69067e-06, 1.6907e-06, 1.69107e-06, 1.69795e-06, 1.72057e-06, 2.16091e-06, 1.69087e-06, 1.69063e-06, 1.72975e-06, 2.85303e-06, 1.6906e-06, 3.11607e-05, 1.6906e-06, 1.91841e-06
0.468323, 0, 4.24678e-05, 3.20186e-06, 1.41421, -4.24678e-05, 3.20186e-06, 3.202e-06, 3.20205e-06, 3.20274e-06, 3.21556e-06, 3.25772e-06, 3.79318e-06, 3.20237e-06, 3.20193e-06, 3.25709e-06, 4.77367e-06, 3.20187e-06, 3.97536e-05, 3.20186e-06, 3.62639e-06
0.476345, 0, 5.50083e-05, 5.95768e-06, 1.41421, -5.50083e-05, 5.95768e-06, 5.95793e-06, 5.95801e-06, 5.95928e-06, 5.98276e-06, 6.05998e-06, 6.69859e-06, 5.9586e-06, 5.9578e-06, 6.03524e-06, 8.07206e-06, 5.95769e-06, 5.11673e-05, 5.95768e-06, 6.73527e-06
0.484367, 0, 7.21436e-05, 1.08577e-05, 1.41421, -7.21436e-05, 1.08577e-05, 1.08582e-05, 1.08583e-05, 1.08606e-05, 1.09028e-05, 1.10416e-05, 1.17829e-05, 1.08594e-05, 1.08579e-05, 1.09661e-05, 1.36872e-05, 1.08577e-05, 6.66487e-05, 1.08577e-05, 1.2255e-05
0.492389, 0, 9.61474e-05, 1.94519e-05, 1.41421, -9.61474e-05, 1.94519e-05, 1.94527e-05, 1.94529e-05, 1.9457e-05, 1.95315e-05, 1.97767e-05, 2.06033e-05, 1.94548e-05, 1.94522e-05, 1.96024e-05, 2.32187e-05, 1.94519e-05, 8.81951e-05, 1.94519e-05, 2.19207e-05
0.500411, 0, 0.000130553, 3.42688e-05, 1.41421, -0.000130553, 3.42688e-05, 3.42701e-05, 3.42706e-05, 3.42776e-05, 3.44071e-05, 3.48332e-05, 3.56971e-05, 3.42738e-05, 3.42694e-05, 3.4477e-05, 3.92578e-05, 3.42688e-05, 0.000118916, 3.42688e-05, 3.85593e-05
0.508433, 0, 0.000180859, 5.93855e-05, 1.41421, -0.000180859, 5.93855e-05, 5.93878e-05, 5.93886e-05, 5.94006e-05, 5.96221e-05, 6.03506e-05, 6.11514e-05, 5.93942e-05, 5.93865e-05, 5.9672e-05, 6.59604e-05, 5.93855e-05, 0.000163663, 5.93855e-05, 6.67216e-05
0.516455, 0, 0.00025558, 0.000101257, 1.41421, -0.00025558, 0.000101257, 0.000101261, 0.000101262, 0.000101282, 0.000101655, 0.000102881, 0.000103433, 0.000101271, 0.000101259, 0.000101649, 0.00010988, 0.000101257, 0.00022997, 0.000101257, 0.000113601
0.524478, 0, 0.000367652, 0.000169916, 1.41421, -0.000367652, 0.000169916, 0.000169922, 0.000169925, 0.000169958, 0.000170575, 0.000172606, 0.00017259, 0.00016994, 0.000169919, 0.000170451, 0.000181172, 0.000169916, 0.000329307, 0.000169916, 0.000190362
0.5325, 0, 0.00053659, 0.00028068, 1.41421, -0.00053659, 0.00028068, 0.000280691, 0.000280694, 0.000280749, 0.000281755, 0.000285067, 0.000283956, 0.00028072, 0.000280685, 0.000281407, 0.00029531, 0.00028068, 0.000479017, 0.00028068, 0.000314021
0.540522, 0, 0.00079137, 0.000456513, 1.41421, -0.00079137, 0.000456513, 0.00045653, 0.000456536, 0.000456623, 0.00045824, 0.000463557, 0.000460515, 0.000456576, 0.000456521, 0.000457495, 0.000475451, 0.000456513, 0.000704914, 0.000456513, 0.000510055
0.548544, 0, 0.00117436, 0.000731228, 1.41421, -0.00117436, 0.000731228, 0.000731255, 0.000731264, 0.000731402, 0.000733959, 0.00074237, 0.000736103, 0.000731328, 0.00073124, 0.000732549, 0.000755652, 0.000731228, 0.00104482, 0.000731228, 0.000815924
0.556566, 0, 0.00174659, 0.00115374, 1.41421, -0.00174659, 0.00115374, 0.00115378, 0.00115379, 0.00115401, 0.00115799, 0.0011711, 0.00115966, 0.00115389, 0.00115376, 0.00115551, 0.00118513, 0.00115374, 0.00155334, 0.00115374, 0.00128574
0.564588, 0, 0.00259429, 0.0017935, 1.41421, -0.00259429, 0.0017935, 0.00179357, 0.00179359, 0.00179392, 0.00180004, 0.00182017, 0.00180068, 0.00179374, 0.00179353, 0.00179587, 0.00183374, 0.0017935, 0.00230776, 0.0017935, 0.00199621
0.57261, 0, 0.00383766, 0.00274744, 1.41421, -0.00383766, 0.00274744, 0.00274754, 0.00274757, 0.00274807, 0.00275734, 0.0027878, 0.00275613, 0.00274781, 0.00274749, 0.00275059, 0.00279888, 0.00274744, 0.00341604, 0.00274744, 0.00305428
0.580632, 0, 0.00564125, 0.0041484, 1.41421, -0.00564125, 0.0041484, 0.00414855, 0.0041486, 0.00414934, 0.00416316, 0.00420862, 0.00415889, 0.00414894, 0.00414847, 0.00415258, 0.00421401, 0.00414841, 0.00502625, 0.0041484, 0.00460627
0.588654, 0, 0.0082265, 0.00617514, 1.41421, -0.0082265, 0.00617514, 0.00617535, 0.00617542, 0.00617652, 0.00619685, 0.00626374, 0.00618777, 0.00617593, 0.00617523, 0.00618065, 0.00625865, 0.00617514, 0.00733802, 0.00617514, 0.00684884
0.596677, 0, 0.0118863, 0.00906391, 1.41421, -0.0118863, 0.00906391, 0.00906422, 0.00906432, 0.00906592, 0.00909542, 0.00919247, 0.0090791, 0.00906506, 0.00906405, 0.00907117, 0.00917004, 0.00906391, 0.0106159, 0.00906391, 0.0100416
0.604699, 0, 0.0170017, 0.0131213, 1.41421, -0.0170017, 0.0131213, 0.0131217, 0.0131219, 0.0131242, 0.0131664, 0.0133053, 0.0131395, 0.0131229, 0.0131215, 0.0131308, 0.013256, 0.0131213, 0.0152047, 0.0131213, 0.0145209
0.612721, 0, 0.0240593, 0.0187378, 1.41421, -0.0240593, 0.0187378, 0.0187384, 0.0187386, 0.0187418, 0.0188015, 0.0189977, 0.0187596, 0.0187401, 0.0187381, 0.0187502, 0.0189083, 0.0187378, 0.0215456, 0.0187378, 0.0207147
