   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_224.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.386462, 0, 2.84621e-09, 6.28638e-36, 1.41421, -2.84621e-09, 0, 6.28638e-36, 6.28638e-36, 6.28638e-36, 6.28638e-36, 6.28638e-36, 6.28638e-36, 6.28638e-36, 6.28638e-36, 6.28638e-36, 6.28638e-36, 1.81309e-11, 6.28638e-36, 6.28638e-36, 3.15536e-14, 6.28638e-36, 4.69179e-13, 6.28638e-36, 2.82758e-09, 6.28638e-36, 6.28638e-36, 6.28638e-36
0.394333, 0, 4.4682e-09, 5.05377e-35, 1.41421, -4.4682e-09, 0, 5.05377e-35, 5.05377e-35, 5.05377e-35, 5.05377e-35, 5.05377e-35, 5.05377e-35, 5.05377e-35, 5.05377e-35, 5.05377e-35, 5.05377e-35, 2.84896e-11, 5.05377e-35, 5.05377e-35, 5.30303e-14, 5.05377e-35, 7.85468e-13, 5.05377e-35, 4.43887e-09, 5.05377e-35, 5.05377e-35, 5.05377e-35
0.402204, 0, 6.95515e-09, 3.74237e-34, 1.41421, -6.95515e-09, 0, 3.74237e-34, 3.74237e-34, 3.74237e-34, 3.74237e-34, 3.74237e-34, 3.74237e-34, 3.74237e-34, 3.74237e-34, 3.74237e-34, 3.74237e-34, 4.43972e-11, 3.74237e-34, 3.74237e-34, 8.89636e-14, 3.74237e-34, 1.31123e-12, 3.74237e-34, 6.90935e-09, 3.74237e-34, 3.74237e-34, 3.74237e-34
0.410076, 0, 1.07354e-08, 2.59397e-33, 1.41421, -1.07354e-08, 0, 2.59397e-33, 2.59397e-33, 2.59397e-33, 2.59397e-33, 2.59397e-33, 2.59397e-33, 2.59397e-33, 2.59397e-33, 2.59397e-33, 2.59397e-33, 6.86231e-11, 2.59397e-33, 2.59397e-33, 1.49044e-13, 2.59397e-33, 2.18391e-12, 2.59397e-33, 1.06644e-08, 2.59397e-33, 2.59397e-33, 2.59397e-33
0.417947, 0, 1.6432e-08, 1.55556e-32, 1.41421, -1.6432e-08, 0, 1.55556e-32, 1.55556e-32, 1.55556e-32, 1.55556e-32, 1.55556e-32, 1.55556e-32, 1.55556e-32, 1.55556e-32, 1.55556e-32, 1.55556e-32, 1.05215e-10, 1.55556e-32, 1.55556e-32, 2.49449e-13, 1.55556e-32, 3.63093e-12, 1.55556e-32, 1.63229e-08, 1.55556e-32, 1.55556e-32, 1.55556e-32
0.425818, 0, 2.49436e-08, 9.4289e-32, 1.41421, -2.49436e-08, 0, 9.4289e-32, 9.4289e-32, 9.4289e-32, 9.4289e-32, 9.4289e-32, 9.4289e-32, 9.4289e-32, 9.4289e-32, 9.4289e-32, 9.4289e-32, 1.60041e-10, 9.4289e-32, 9.4289e-32, 4.17171e-13, 9.4289e-32, 6.02873e-12, 9.4289e-32, 2.47771e-08, 9.4289e-32, 9.4289e-32, 9.4289e-32
0.433689, 0, 3.75535e-08, 5.12092e-31, 1.41421, -3.75535e-08, 0, 5.12092e-31, 5.12092e-31, 5.12092e-31, 5.12092e-31, 5.12092e-31, 5.12092e-31, 5.12092e-31, 5.12092e-31, 5.12092e-31, 5.12092e-31, 2.41537e-10, 5.12092e-31, 5.12092e-31, 6.97182e-13, 5.12092e-31, 1.00003e-11, 5.12092e-31, 3.73013e-08, 5.12092e-31, 5.12092e-31, 5.12092e-31
0.44156, 0, 5.608e-08, 5.52197e-30, 1.41421, -5.608e-08, 0, 5.52197e-30, 5.52197e-30, 5.52197e-30, 5.52197e-30, 5.52197e-30, 5.52197e-30, 5.52197e-30, 5.52197e-30, 5.52197e-30, 5.52197e-30, 3.61751e-10, 5.52197e-30, 5.52197e-30, 1.16549e-12, 5.52197e-30, 1.65927e-11, 5.52197e-30, 5.57005e-08, 5.52197e-30, 5.52197e-30, 5.52197e-30
0.449432, 0, 8.30699e-08, 2.65228e-29, 1.41421, -8.30699e-08, 0, 2.65228e-29, 2.65228e-29, 2.65228e-29, 2.65228e-29, 2.65228e-29, 2.65228e-29, 2.65228e-29, 2.65228e-29, 2.65228e-29, 2.65228e-29, 5.37696e-10, 2.65228e-29, 2.65228e-29, 1.94419e-12, 2.65228e-29, 2.74811e-11, 2.65228e-29, 8.25028e-08, 2.65228e-29, 2.65228e-29, 2.65228e-29
0.457303, 0, 1.22069e-07, 1.22659e-28, 1.41421, -1.22069e-07, 0, 1.22659e-28, 1.22659e-28, 1.22659e-28, 1.22659e-28, 1.22659e-28, 1.22659e-28, 1.22659e-28, 1.22659e-28, 1.22659e-28, 1.22659e-28, 7.9332e-10, 1.22659e-28, 1.22659e-28, 3.23886e-12, 1.22659e-28, 4.54805e-11, 1.22659e-28, 1.21227e-07, 1.22659e-28, 1.22659e-28, 1.22659e-28
0.465174, 0, 1.77962e-07, 5.44127e-28, 1.41421, -1.77962e-07, 0, 5.44127e-28, 5.44127e-28, 5.44127e-28, 5.44127e-28, 5.44127e-28, 5.44127e-28, 5.44127e-28, 5.44127e-28, 5.44127e-28, 5.44127e-28, 1.16202e-09, 5.44127e-28, 5.44127e-28, 5.38606e-12, 5.44127e-28, 7.51945e-11, 5.44127e-28, 1.76719e-07, 5.44127e-28, 5.44127e-28, 5.44127e-28
0.473045, 0, 2.57424e-07, 2.30458e-27, 1.41421, -2.57424e-07, 0, 2.30458e-27, 2.30458e-27, 2.30458e-27, 2.30458e-27, 2.30458e-27, 2.30458e-27, 2.30458e-27, 2.30458e-27, 2.30458e-27, 2.30458e-27, 1.69006e-09, 2.30458e-27, 2.30458e-27, 8.93604e-12, 2.30458e-27, 1.2415e-10, 2.30458e-27, 2.556e-07, 2.30458e-27, 2.30458e-27, 2.30458e-27
0.480917, 0, 3.69496e-07, 9.32088e-27, 1.41421, -3.69496e-07, 0, 9.32088e-27, 9.32088e-27, 9.32088e-27, 9.32088e-27, 9.32088e-27, 9.32088e-27, 9.32088e-27, 9.32088e-27, 9.32088e-27, 9.32088e-27, 2.4411e-09, 9.32088e-27, 9.32088e-27, 1.4783e-11, 9.32088e-27, 2.04585e-10, 9.32088e-27, 3.66836e-07, 9.32088e-27, 9.32088e-27, 9.32088e-27
0.488788, 0, 5.26326e-07, 3.60305e-26, 1.41421, -5.26326e-07, 0, 3.60305e-26, 3.60305e-26, 3.60305e-26, 3.60305e-26, 3.60305e-26, 3.60305e-26, 3.60305e-26, 3.78873e-12, 3.60305e-26, 3.60305e-26, 3.50216e-09, 3.60305e-26, 3.60305e-26, 2.43701e-11, 3.60305e-26, 3.36275e-10, 3.60305e-26, 5.22459e-07, 3.60305e-26, 3.60305e-26, 3.60305e-26
0.496659, 0, 7.44085e-07, 1.33335e-25, 1.41421, -7.44085e-07, 0, 1.33335e-25, 1.33335e-25, 1.33335e-25, 1.33335e-25, 1.33335e-25, 1.33335e-25, 1.33335e-25, 1.34778e-11, 1.33335e-25, 1.33335e-25, 4.99141e-09, 1.33335e-25, 1.33335e-25, 4.00102e-11, 1.33335e-25, 5.50926e-10, 1.33335e-25, 7.3849e-07, 1.33335e-25, 1.33335e-25, 1.33335e-25
