   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.380939, 0, 6.88103e-09, 8.05163e-35, 1.41421, -6.88103e-09, 0, 8.05163e-35, 8.05163e-35, 8.05163e-35, 8.05163e-35, 8.05163e-35, 8.05163e-35, 8.05163e-35, 8.05163e-35, 8.05163e-35, 8.05163e-35, 8.05163e-35, 5.73105e-11, 8.05163e-35, 8.05163e-35, 4.59424e-13, 8.05163e-35, 8.05163e-35, 6.82326e-09, 8.05163e-35, 8.05163e-35, 8.05163e-35
0.388811, 0, 1.03689e-08, 5.77891e-34, 1.41421, -1.03689e-08, 0, 5.77891e-34, 5.77891e-34, 5.77891e-34, 5.77891e-34, 5.77891e-34, 5.77891e-34, 5.77891e-34, 5.77891e-34, 5.77891e-34, 5.77891e-34, 5.77891e-34, 8.64916e-11, 5.77891e-34, 5.77891e-34, 7.4506e-13, 5.77891e-34, 5.77891e-34, 1.02816e-08, 5.77891e-34, 5.77891e-34, 5.77891e-34
0.396684, 0, 1.55082e-08, 3.97106e-33, 1.41421, -1.55082e-08, 0, 3.97106e-33, 3.97106e-33, 3.97106e-33, 3.97106e-33, 3.97106e-33, 3.97106e-33, 3.97106e-33, 3.97106e-33, 3.97106e-33, 3.97106e-33, 3.97106e-33, 1.29597e-10, 3.97106e-33, 3.97106e-33, 1.2073e-12, 3.97106e-33, 3.97106e-33, 1.53773e-08, 3.97106e-33, 3.97106e-33, 3.97106e-33
0.404557, 0, 2.30232e-08, 2.37374e-32, 1.41421, -2.30232e-08, 0, 2.37374e-32, 2.37374e-32, 2.37374e-32, 2.37374e-32, 2.37374e-32, 2.37374e-32, 2.37374e-32, 2.37374e-32, 2.37374e-32, 2.37374e-32, 2.37374e-32, 1.92815e-10, 2.37374e-32, 2.37374e-32, 1.95534e-12, 2.37374e-32, 2.37374e-32, 2.28284e-08, 2.37374e-32, 2.37374e-32, 2.37374e-32
0.41243, 0, 3.39292e-08, 1.41667e-31, 1.41421, -3.39292e-08, 0, 1.41667e-31, 1.41667e-31, 1.41667e-31, 1.41667e-31, 1.41667e-31, 1.41667e-31, 1.41667e-31, 1.41667e-31, 1.41667e-31, 1.41667e-31, 1.41667e-31, 2.84879e-10, 1.41667e-31, 1.41667e-31, 3.16602e-12, 1.41667e-31, 1.41667e-31, 3.36411e-08, 1.41667e-31, 1.41667e-31, 1.41667e-31
0.420303, 0, 4.96373e-08, 7.59683e-31, 1.41421, -4.96373e-08, 0, 7.59683e-31, 7.59683e-31, 7.59683e-31, 7.59683e-31, 7.59683e-31, 7.59683e-31, 7.59683e-31, 7.59683e-31, 7.59683e-31, 7.59683e-31, 7.59683e-31, 4.18024e-10, 7.59683e-31, 7.59683e-31, 5.12537e-12, 7.59683e-31, 7.59683e-31, 4.92141e-08, 7.59683e-31, 7.59683e-31, 7.59683e-31
0.428176, 0, 7.20936e-08, 3.95934e-30, 1.41421, -7.20936e-08, 0, 3.95934e-30, 3.95934e-30, 3.95934e-30, 3.95934e-30, 3.95934e-30, 3.95934e-30, 3.95934e-30, 3.95934e-30, 3.95934e-30, 3.95934e-30, 3.95934e-30, 6.09278e-10, 3.95934e-30, 3.95934e-30, 8.29555e-12, 3.95934e-30, 3.95934e-30, 7.1476e-08, 3.95934e-30, 3.95934e-30, 3.95934e-30
0.436049, 0, 1.03961e-07, 1.96405e-29, 1.41421, -1.03961e-07, 0, 1.96405e-29, 1.96405e-29, 1.96405e-29, 1.96405e-29, 1.96405e-29, 1.96405e-29, 1.96405e-29, 1.96405e-29, 1.96405e-29, 1.96405e-29, 1.96405e-29, 8.82189e-10, 1.96405e-29, 1.96405e-29, 1.34216e-11, 1.96405e-29, 1.96405e-29, 1.03065e-07, 1.96405e-29, 1.96405e-29, 1.96405e-29
0.443921, 0, 1.48852e-07, 9.23782e-29, 1.41421, -1.48852e-07, 0, 9.23782e-29, 9.23782e-29, 9.23782e-29, 9.23782e-29, 9.23782e-29, 9.23782e-29, 9.23782e-29, 9.23782e-29, 9.23782e-29, 9.23782e-29, 9.23782e-29, 1.2691e-09, 9.23782e-29, 9.23782e-29, 2.17011e-11, 9.23782e-29, 9.23782e-29, 1.47561e-07, 9.23782e-29, 9.23782e-29, 9.23782e-29
0.451794, 0, 2.11633e-07, 4.18804e-28, 1.41421, -2.11633e-07, 0, 4.18804e-28, 4.18804e-28, 4.18804e-28, 4.18804e-28, 4.18804e-28, 4.18804e-28, 4.18804e-28, 4.18804e-28, 4.18804e-28, 4.18804e-28, 4.18804e-28, 1.81416e-09, 4.18804e-28, 4.18804e-28, 3.50523e-11, 4.18804e-28, 4.18804e-28, 2.09784e-07, 4.18804e-28, 4.18804e-28, 4.18804e-28
