   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_349.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.506917, 0, 1.49914e-06, 9.78068e-10, 1.41421, -1.49914e-06, 9.78068e-10, 9.78124e-10, 9.78191e-10, 9.78146e-10, 1.8136e-09, 9.91014e-10, 9.8039e-10, 1.02042e-09, 1.50676e-09, 1.42107e-09, 4.80602e-09, 7.65855e-09, 9.828e-10, 1.19314e-09, 9.79352e-10, 2.17778e-09, 9.78074e-10, 1.48528e-06, 9.78068e-10, 9.78068e-10, 1.03819e-09
0.514781, 0, 2.03796e-06, 2.59385e-09, 1.41421, -2.03796e-06, 2.59385e-09, 2.594e-09, 2.59418e-09, 2.59406e-09, 4.81177e-09, 2.62821e-09, 2.60001e-09, 2.70628e-09, 3.94358e-09, 3.76979e-09, 1.27551e-08, 1.17413e-08, 2.60641e-09, 2.93238e-09, 2.59808e-09, 4.46766e-09, 2.59386e-09, 2.01137e-06, 2.59385e-09, 2.59385e-09, 2.75345e-09
0.522645, 0, 2.761e-06, 6.2788e-09, 1.41421, -2.761e-06, 6.2788e-09, 6.27916e-09, 6.27959e-09, 6.2793e-09, 1.16508e-08, 6.36203e-09, 6.29373e-09, 6.55112e-09, 9.47763e-09, 9.12702e-09, 3.08902e-08, 1.87386e-08, 6.30922e-09, 6.80866e-09, 6.29021e-09, 9.1869e-09, 6.27883e-09, 2.70827e-06, 6.2788e-09, 6.2788e-09, 6.66537e-09
0.530508, 0, 3.7347e-06, 1.44811e-08, 1.41421, -3.7347e-06, 1.44811e-08, 1.44819e-08, 1.44829e-08, 1.44823e-08, 2.68759e-08, 1.46732e-08, 1.45155e-08, 1.51094e-08, 2.17444e-08, 2.10528e-08, 7.12673e-08, 3.1365e-08, 1.45513e-08, 1.53055e-08, 1.45092e-08, 1.89635e-08, 1.44812e-08, 3.62764e-06, 1.44811e-08, 1.44811e-08, 1.5373e-08
0.538372, 0, 5.05845e-06, 3.23104e-08, 1.41421, -5.05845e-06, 3.23104e-08, 3.23122e-08, 3.23145e-08, 3.2313e-08, 5.99745e-08, 3.2739e-08, 3.23873e-08, 3.37128e-08, 4.94892e-08, 4.6978e-08, 1.59052e-07, 5.50727e-08, 3.24671e-08, 3.35849e-08, 3.23761e-08, 3.91768e-08, 3.23106e-08, 4.83716e-06, 3.23104e-08, 3.23104e-08, 3.43011e-08
0.546236, 0, 6.88598e-06, 7.01673e-08, 1.41421, -6.88598e-06, 7.01673e-08, 7.01713e-08, 7.01762e-08, 7.01729e-08, 1.3026e-07, 7.10984e-08, 7.03343e-08, 7.32136e-08, 1.09701e-07, 1.02029e-07, 3.45479e-07, 1.007e-07, 7.05076e-08, 7.21247e-08, 7.03152e-08, 8.05991e-08, 7.01677e-08, 6.42728e-06, 7.01673e-08, 7.01673e-08, 7.44916e-08
0.554099, 0, 9.48969e-06, 1.48697e-07, 1.41421, -9.48969e-06, 1.48697e-07, 1.48706e-07, 1.48716e-07, 1.48709e-07, 2.76075e-07, 1.50671e-07, 1.49051e-07, 1.55155e-07, 2.59267e-07, 2.16234e-07, 7.32274e-07, 1.8945e-07, 1.49419e-07, 1.51684e-07, 1.49021e-07, 1.64423e-07, 1.48698e-07, 8.52213e-06, 1.48697e-07, 1.48697e-07, 1.57864e-07
0.561963, 0, 1.32968e-05, 3.07866e-07, 1.41421, -1.32968e-05, 3.07866e-07, 3.07883e-07, 3.07905e-07, 3.07891e-07, 5.7165e-07, 3.11953e-07, 3.08599e-07, 3.21238e-07, 5.73099e-07, 4.47725e-07, 1.51638e-06, 3.61989e-07, 3.0936e-07, 3.12391e-07, 3.08555e-07, 3.31382e-07, 3.07868e-07, 1.12978e-05, 3.07866e-07, 3.07866e-07, 3.26848e-07
0.569826, 0, 1.90657e-05, 6.23116e-07, 1.41421, -1.90657e-05, 6.23116e-07, 6.23152e-07, 6.23195e-07, 6.23166e-07, 1.15713e-06, 6.3139e-07, 6.246e-07, 6.50187e-07, 1.21872e-06, 9.0625e-07, 3.06966e-06, 6.94647e-07, 6.2614e-07, 6.29926e-07, 6.24551e-07, 6.57999e-07, 6.2312e-07, 1.50133e-05, 6.23116e-07, 6.23116e-07, 6.61544e-07
0.57769, 0, 2.81231e-05, 1.23331e-06, 1.41421, -2.81231e-05, 1.23331e-06, 1.23338e-06, 1.23346e-06, 1.23341e-06, 2.29049e-06, 1.24969e-06, 1.23625e-06, 1.2869e-06, 2.51946e-06, 1.79383e-06, 6.07673e-06, 1.32739e-06, 1.23929e-06, 1.24348e-06, 1.23623e-06, 1.28463e-06, 1.23331e-06, 2.0062e-05, 1.23331e-06, 1.23331e-06, 1.30938e-06
