   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_164.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.419495, 0, 6.45761e-09, 3.50319e-31, 1.41421, -6.45761e-09, 0, 3.50319e-31, 3.50319e-31, 3.50319e-31, 3.50319e-31, 3.50319e-31, 3.50319e-31, 3.50319e-31, 3.50319e-31, 3.50319e-31, 3.50319e-31, 2.72014e-10, 3.50319e-31, 3.50319e-31, 3.50319e-31, 2.01657e-11, 3.50319e-31, 6.16543e-09, 3.50319e-31, 3.50319e-31, 3.50319e-31
0.427367, 0, 9.49468e-09, 1.80662e-30, 1.41421, -9.49468e-09, 0, 1.80662e-30, 1.80662e-30, 1.80662e-30, 1.80662e-30, 1.80662e-30, 1.80662e-30, 1.80662e-30, 1.80662e-30, 1.80662e-30, 1.80662e-30, 4.00893e-10, 1.80662e-30, 1.80662e-30, 1.80662e-30, 3.28077e-11, 1.80662e-30, 9.06098e-09, 1.80662e-30, 1.80662e-30, 1.80662e-30
0.435238, 0, 1.38587e-08, 8.91346e-30, 1.41421, -1.38587e-08, 0, 8.91346e-30, 8.91346e-30, 8.91346e-30, 8.91346e-30, 8.91346e-30, 8.91346e-30, 8.91346e-30, 8.91346e-30, 8.91346e-30, 8.91346e-30, 5.86784e-10, 8.91346e-30, 8.91346e-30, 8.91346e-30, 5.33216e-11, 8.91346e-30, 1.32186e-08, 8.91346e-30, 8.91346e-30, 8.91346e-30
0.44311, 0, 2.00833e-08, 4.16936e-29, 1.41421, -2.00833e-08, 0, 4.16936e-29, 4.16936e-29, 4.16936e-29, 4.16936e-29, 4.16936e-29, 4.16936e-29, 4.16936e-29, 4.16936e-29, 4.16936e-29, 4.16936e-29, 8.53089e-10, 4.16936e-29, 4.16936e-29, 4.16936e-29, 8.65668e-11, 4.16936e-29, 1.91436e-08, 4.16936e-29, 4.16936e-29, 4.16936e-29
0.450981, 0, 2.88969e-08, 1.89215e-28, 1.41421, -2.88969e-08, 0, 1.89215e-28, 1.89215e-28, 1.89215e-28, 1.89215e-28, 1.89215e-28, 1.89215e-28, 1.89215e-28, 1.89215e-28, 1.89215e-28, 1.89215e-28, 1.23207e-09, 1.89215e-28, 1.89215e-28, 1.89215e-28, 1.40353e-10, 1.89215e-28, 2.75244e-08, 1.89215e-28, 1.89215e-28, 1.89215e-28
0.458852, 0, 4.12867e-08, 8.23277e-28, 1.41421, -4.12867e-08, 0, 8.23277e-28, 8.23277e-28, 8.23277e-28, 8.23277e-28, 8.23277e-28, 8.23277e-28, 8.23277e-28, 8.23277e-28, 8.23277e-28, 8.23277e-28, 1.7679e-09, 8.23277e-28, 8.23277e-28, 8.23277e-28, 2.27177e-10, 8.23277e-28, 3.92916e-08, 8.23277e-28, 8.23277e-28, 8.23277e-28
0.466724, 0, 5.85805e-08, 3.41956e-27, 1.41421, -5.85805e-08, 0, 3.41956e-27, 3.41956e-27, 3.41956e-27, 3.41956e-27, 3.41956e-27, 3.41956e-27, 3.41956e-27, 3.41956e-27, 3.41956e-27, 3.41956e-27, 2.52074e-09, 3.41956e-27, 3.41956e-27, 3.41956e-27, 3.66938e-10, 3.41956e-27, 5.56928e-08, 3.41956e-27, 3.41956e-27, 3.41956e-27
0.474595, 0, 8.25512e-08, 1.35607e-26, 1.41421, -8.25512e-08, 0, 1.35607e-26, 1.35607e-26, 1.35607e-26, 1.35607e-26, 1.35607e-26, 1.35607e-26, 1.35607e-26, 1.35607e-26, 1.35607e-26, 1.35607e-26, 3.57193e-09, 1.35607e-26, 1.35607e-26, 1.35607e-26, 5.9112e-10, 1.35607e-26, 7.83882e-08, 1.35607e-26, 1.35607e-26, 1.35607e-26
0.482467, 0, 1.15549e-07, 5.13957e-26, 1.41421, -1.15549e-07, 0, 5.13957e-26, 5.13957e-26, 5.13957e-26, 5.13957e-26, 5.13957e-26, 5.13957e-26, 5.13957e-26, 8.11629e-13, 5.13957e-26, 5.13957e-26, 5.03089e-09, 5.13957e-26, 5.13957e-26, 5.13957e-26, 9.49203e-10, 5.13957e-26, 1.09569e-07, 5.13957e-26, 5.13957e-26, 5.13957e-26
0.490338, 0, 1.60669e-07, 1.86486e-25, 1.41421, -1.60669e-07, 0, 1.86486e-25, 1.86486e-25, 1.86486e-25, 1.86486e-25, 1.86486e-25, 1.86486e-25, 1.86486e-25, 2.77555e-12, 1.86486e-25, 1.86486e-25, 7.04394e-09, 1.86486e-25, 1.86486e-25, 1.86486e-25, 1.51836e-09, 1.86486e-25, 1.52104e-07, 1.86486e-25, 1.86486e-25, 1.86486e-25
0.498209, 0, 2.21955e-07, 6.54027e-25, 1.41421, -2.21955e-07, 0, 6.54027e-25, 6.54027e-25, 6.54027e-25, 6.54027e-25, 6.54027e-25, 6.54027e-25, 6.54027e-25, 7.37836e-12, 6.54027e-25, 6.54027e-25, 9.80548e-09, 6.54027e-25, 6.54027e-25, 6.54027e-25, 2.41792e-09, 6.54027e-25, 2.09724e-07, 6.54027e-25, 6.54027e-25, 6.54027e-25
0.506081, 0, 3.06762e-07, 1.41466e-10, 1.41421, -3.06762e-07, 1.41466e-10, 1.41514e-10, 1.41585e-10, 8.97831e-10, 1.56133e-10, 2.49188e-10, 1.72086e-10, 1.57215e-10, 1.97329e-10, 1.59346e-10, 1.05383e-09, 1.37143e-08, 1.45124e-10, 1.44752e-10, 1.41516e-10, 3.97222e-09, 1.41467e-10, 2.87423e-07, 1.41466e-10, 1.41466e-10, 1.58759e-10
0.513952, 0, 4.22726e-07, 4.85325e-10, 1.41421, -4.22726e-07, 4.85325e-10, 4.85488e-10, 4.8573e-10, 3.05826e-09, 5.35218e-10, 8.51764e-10, 5.89483e-10, 5.38899e-10, 6.55759e-10, 5.46149e-10, 3.58893e-09, 1.91691e-08, 4.9777e-10, 4.96502e-10, 4.86572e-10, 6.51981e-09, 4.85329e-10, 3.91441e-07, 4.85325e-10, 4.85325e-10, 5.4415e-10
0.521824, 0, 5.82411e-07, 1.29085e-09, 1.41421, -5.82411e-07, 1.29085e-09, 1.29128e-09, 1.29192e-09, 8.09878e-09, 1.42286e-09, 2.26044e-09, 1.56645e-09, 1.4326e-09, 1.72459e-09, 1.45179e-09, 9.50291e-09, 2.68704e-08, 1.32378e-09, 1.32042e-09, 1.29498e-09, 1.07369e-08, 1.29086e-09, 5.30028e-07, 1.29085e-09, 1.29085e-09, 1.4465e-09
