   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_243.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.555923, 0, 5.41019e-06, 1.81664e-09, 1.41421, -5.41019e-06, 1.81664e-09, 1.81728e-09, 1.81804e-09, 2.05875e-08, 2.38783e-09, 3.67404e-09, 7.14125e-09, 2.77789e-09, 7.68956e-09, 2.76622e-08, 1.8342e-09, 1.88832e-09, 2.52311e-09, 1.81664e-09, 1.81669e-09, 5.34973e-06, 1.81664e-09, 1.81664e-09, 2.27313e-09
0.563799, 0, 7.54944e-06, 4.88125e-09, 1.41421, -7.54944e-06, 4.88125e-09, 4.88289e-09, 4.88483e-09, 5.29556e-08, 6.34415e-09, 9.63829e-09, 1.84099e-08, 7.34313e-09, 1.99225e-08, 4.12989e-08, 4.92623e-09, 5.06485e-09, 6.04495e-09, 4.88125e-09, 4.88138e-09, 7.42513e-06, 4.88125e-09, 4.88125e-09, 6.05038e-09
0.571675, 0, 1.04991e-05, 1.24621e-08, 1.41421, -1.04991e-05, 1.24621e-08, 1.24661e-08, 1.24709e-08, 1.30934e-07, 1.60672e-08, 2.41851e-08, 4.55714e-08, 1.8529e-08, 4.9529e-08, 6.34262e-08, 1.25729e-08, 1.29145e-08, 1.43626e-08, 1.24621e-08, 1.24624e-08, 1.02327e-05, 1.24621e-08, 1.24621e-08, 1.53432e-08
0.579551, 0, 1.45998e-05, 3.06249e-08, 1.41421, -1.45998e-05, 3.06249e-08, 3.06345e-08, 3.06459e-08, 3.1292e-07, 3.92151e-08, 5.85584e-08, 1.12251e-07, 4.50811e-08, 1.18948e-07, 1.01466e-07, 3.0889e-08, 3.17029e-08, 3.3702e-08, 3.06249e-08, 3.06256e-08, 1.40144e-05, 3.06249e-08, 3.06249e-08, 3.749e-08
0.587427, 0, 2.0386e-05, 7.27827e-08, 1.41421, -2.0386e-05, 7.27827e-08, 7.28049e-08, 7.28312e-08, 7.24484e-07, 9.26139e-08, 1.3727e-07, 2.64801e-07, 1.06156e-07, 2.76684e-07, 1.70599e-07, 7.33924e-08, 7.52715e-08, 7.77208e-08, 7.27827e-08, 7.27844e-08, 1.90989e-05, 7.27827e-08, 7.27827e-08, 8.86315e-08
0.595303, 0, 2.879e-05, 1.67607e-07, 1.41421, -2.879e-05, 1.67607e-07, 1.67657e-07, 1.67716e-07, 1.62665e-06, 2.12006e-07, 3.11982e-07, 6.46409e-07, 2.42325e-07, 6.24106e-07, 3.01787e-07, 1.68972e-07, 1.73179e-07, 1.75461e-07, 1.67607e-07, 1.67611e-07, 2.59476e-05, 1.67607e-07, 1.67607e-07, 2.0309e-07
0.603179, 0, 4.13744e-05, 3.7434e-07, 1.41421, -4.13744e-05, 3.7434e-07, 3.74447e-07, 3.74575e-07, 3.54392e-06, 4.7079e-07, 6.87975e-07, 1.49416e-06, 5.36653e-07, 1.36602e-06, 5.57219e-07, 3.77305e-07, 3.86444e-07, 3.86724e-07, 3.7434e-07, 3.74348e-07, 3.52331e-05, 3.7434e-07, 3.7434e-07, 4.51421e-07
0.611055, 0, 6.09428e-05, 8.1129e-07, 1.41421, -6.09428e-05, 8.1129e-07, 8.11518e-07, 8.11788e-07, 7.49505e-06, 1.01468e-06, 1.47266e-06, 3.3318e-06, 1.15356e-06, 2.90247e-06, 1.05898e-06, 8.17543e-07, 8.36815e-07, 8.30644e-07, 8.1129e-07, 8.11307e-07, 4.79783e-05, 8.1129e-07, 8.1129e-07, 9.73833e-07
0.618931, 0, 9.2511e-05, 1.70681e-06, 1.41421, -9.2511e-05, 1.70681e-06, 1.70728e-06, 1.70783e-06, 1.53925e-05, 2.12327e-06, 3.06103e-06, 7.22329e-06, 2.40765e-06, 5.98871e-06, 2.04027e-06, 1.71962e-06, 1.75908e-06, 1.7368e-06, 1.70681e-06, 1.70685e-06, 6.57926e-05, 1.70681e-06, 1.70681e-06, 2.03964e-06
0.626807, 0, 0.000144966, 3.48685e-06, 1.41421, -0.000144966, 3.48685e-06, 3.48778e-06, 3.48888e-06, 3.07056e-05, 4.31512e-06, 6.18019e-06, 1.52423e-05, 4.88072e-06, 1.20029e-05, 3.93319e-06, 3.51232e-06, 3.5908e-06, 3.53291e-06, 3.48685e-06, 3.48692e-06, 9.12735e-05, 3.48685e-06, 3.48685e-06, 4.14879e-06
