   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_124.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.51512, 0, 2.28745e-06, 1.0572e-09, 1.41421, -2.28745e-06, 1.0572e-09, 1.05733e-09, 1.05841e-09, 5.55017e-09, 1.19214e-09, 1.1029e-09, 1.56564e-09, 1.08071e-09, 3.35474e-09, 4.67453e-09, 9.19564e-09, 9.86882e-09, 1.14279e-09, 1.076e-09, 1.99249e-09, 1.05722e-09, 2.25779e-06, 1.0572e-09, 1.0572e-09, 1.59898e-09
0.522992, 0, 3.11493e-06, 2.83716e-09, 1.41421, -3.11493e-06, 2.83716e-09, 2.83748e-09, 2.84013e-09, 1.38699e-08, 3.16851e-09, 2.94937e-09, 4.08566e-09, 2.89489e-09, 8.42979e-09, 1.17197e-08, 2.28215e-08, 1.49052e-08, 3.04733e-09, 2.88332e-09, 4.31601e-09, 2.8372e-09, 3.05255e-06, 2.83716e-09, 2.83716e-09, 4.16754e-09
0.530864, 0, 4.23567e-06, 6.94731e-09, 1.41421, -4.23567e-06, 6.94731e-09, 6.94806e-09, 6.95425e-09, 3.27386e-08, 7.72191e-09, 7.20961e-09, 9.86592e-09, 7.08226e-09, 1.99419e-08, 2.77121e-08, 5.36649e-08, 2.3386e-08, 7.43862e-09, 7.05521e-09, 9.2718e-09, 6.94741e-09, 4.10283e-06, 6.94731e-09, 6.94731e-09, 1.00573e-08
0.538736, 0, 5.76839e-06, 1.62031e-08, 1.41421, -5.76839e-06, 1.62031e-08, 1.62048e-08, 1.62188e-08, 7.44721e-08, 1.79531e-08, 1.67957e-08, 2.2797e-08, 1.6508e-08, 4.54097e-08, 6.31159e-08, 1.2175e-07, 3.84759e-08, 1.73131e-08, 1.64469e-08, 1.9834e-08, 1.62033e-08, 5.48491e-06, 1.62031e-08, 1.62031e-08, 2.32294e-08
0.546607, 0, 7.90223e-06, 3.65329e-08, 1.41421, -7.90223e-06, 3.65329e-08, 3.65367e-08, 3.65674e-08, 1.6452e-07, 4.03768e-08, 3.78346e-08, 5.10163e-08, 3.72026e-08, 1.02826e-07, 1.39576e-07, 2.68365e-07, 6.65512e-08, 3.8971e-08, 3.70684e-08, 4.21674e-08, 3.65334e-08, 7.29868e-06, 3.65329e-08, 3.65329e-08, 5.19661e-08
0.554479, 0, 1.09473e-05, 8.00974e-08, 1.41421, -1.09473e-05, 8.00974e-08, 8.01054e-08, 8.01712e-08, 3.54108e-07, 8.83269e-08, 8.28842e-08, 1.11105e-07, 8.15312e-08, 2.26919e-07, 3.00705e-07, 5.76432e-07, 1.20344e-07, 8.53172e-08, 8.12438e-08, 8.87819e-08, 8.00985e-08, 9.67764e-06, 8.00974e-08, 8.00974e-08, 1.13139e-07
0.562351, 0, 1.54843e-05, 1.71188e-07, 1.41421, -1.54843e-05, 1.71188e-07, 1.71205e-07, 1.71342e-07, 7.43654e-07, 1.88381e-07, 1.7701e-07, 2.3597e-07, 1.74183e-07, 5.39503e-07, 6.32085e-07, 1.20814e-06, 2.24869e-07, 1.82093e-07, 1.73583e-07, 1.8448e-07, 1.7119e-07, 1.28054e-05, 1.71188e-07, 1.71188e-07, 2.40218e-07
0.570223, 0, 2.24514e-05, 3.57057e-07, 1.41421, -2.24514e-05, 3.57057e-07, 3.57091e-07, 3.57372e-07, 1.52488e-06, 3.92131e-07, 3.68934e-07, 4.89211e-07, 3.63168e-07, 1.19672e-06, 1.29728e-06, 2.47241e-06, 4.28293e-07, 3.79304e-07, 3.61943e-07, 3.77262e-07, 3.57062e-07, 1.69434e-05, 3.57057e-07, 3.57057e-07, 4.97878e-07
0.578095, 0, 3.35458e-05, 7.27214e-07, 1.41421, -3.35458e-05, 7.27214e-07, 7.27282e-07, 7.27841e-07, 3.05423e-06, 7.97103e-07, 7.5088e-07, 9.90546e-07, 7.3939e-07, 2.55106e-06, 2.60071e-06, 4.94231e-06, 8.21271e-07, 7.71542e-07, 7.36949e-07, 7.57709e-07, 7.27223e-07, 2.24773e-05, 7.27214e-07, 7.27214e-07, 1.00782e-06
0.585967, 0, 5.176e-05, 1.44676e-06, 1.41421, -5.176e-05, 1.44676e-06, 1.44689e-06, 1.44798e-06, 5.97711e-06, 1.58282e-06, 1.49284e-06, 1.95943e-06, 1.47047e-06, 5.28733e-06, 5.09418e-06, 9.65292e-06, 1.57034e-06, 1.53306e-06, 1.46571e-06, 1.49245e-06, 1.44678e-06, 2.99948e-05, 1.44676e-06, 1.44676e-06, 1.99305e-06
