   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_46.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.488706, 0, 2.49231e-07, 1.12153e-10, 1.41421, -2.49231e-07, 1.12153e-10, 1.12181e-10, 5.54692e-10, 1.24448e-10, 1.21204e-10, 1.45227e-10, 2.51366e-10, 5.99451e-10, 1.13972e-08, 1.12199e-10, 1.14386e-10, 1.12153e-10, 1.12154e-10, 2.36807e-07, 1.12153e-10, 1.12153e-10, 1.25251e-10
0.496597, 0, 3.39761e-07, 3.75389e-10, 1.41421, -3.39761e-07, 3.75389e-10, 3.75485e-10, 1.86682e-09, 4.16826e-10, 4.05891e-10, 4.75599e-10, 8.4456e-10, 2.01766e-09, 1.57977e-08, 3.75545e-10, 3.82914e-10, 3.75389e-10, 3.75393e-10, 3.20512e-07, 3.75389e-10, 3.75389e-10, 4.19532e-10
0.504488, 0, 4.62388e-07, 9.79633e-10, 1.41421, -4.62388e-07, 9.79633e-10, 9.79883e-10, 4.8876e-09, 1.08821e-09, 1.05956e-09, 1.2325e-09, 2.20899e-09, 5.28285e-09, 2.19474e-08, 9.80041e-10, 9.99348e-10, 9.79633e-10, 9.79642e-10, 4.31403e-07, 9.79633e-10, 9.79633e-10, 1.0953e-09
0.512379, 0, 6.29928e-07, 2.33459e-09, 1.41421, -6.29928e-07, 2.33459e-09, 2.33519e-09, 1.16725e-08, 2.59403e-09, 2.52556e-09, 2.92638e-09, 5.2721e-09, 1.2617e-08, 3.06976e-08, 2.33557e-09, 2.3817e-09, 2.33459e-09, 2.33461e-09, 5.7764e-07, 2.33459e-09, 2.33459e-09, 2.61097e-09
0.52027, 0, 8.62518e-07, 5.30432e-09, 1.41421, -8.62518e-07, 5.30432e-09, 5.30568e-09, 2.6559e-08, 5.89483e-09, 5.739e-09, 6.63102e-09, 1.19906e-08, 2.87088e-08, 4.34798e-08, 5.30654e-09, 5.41154e-09, 5.30432e-09, 5.30437e-09, 7.69905e-07, 5.30432e-09, 5.30432e-09, 5.93341e-09
0.528162, 0, 1.19342e-06, 1.16671e-08, 1.41421, -1.19342e-06, 1.16671e-08, 1.16701e-08, 5.84821e-08, 1.29677e-08, 1.26245e-08, 1.46005e-08, 2.63941e-08, 6.3217e-08, 6.27973e-08, 1.1672e-08, 1.19033e-08, 1.16671e-08, 1.16672e-08, 1.02238e-06, 1.16671e-08, 1.16671e-08, 1.30527e-08
0.536053, 0, 1.68015e-06, 2.49981e-08, 1.41421, -1.68015e-06, 2.49981e-08, 2.50045e-08, 1.25412e-07, 2.77879e-08, 2.70517e-08, 3.1742e-08, 5.6586e-08, 1.35568e-07, 9.31469e-08, 2.50086e-08, 2.55047e-08, 2.49981e-08, 2.49983e-08, 1.35435e-06, 2.49981e-08, 2.49981e-08, 2.79701e-08
0.543944, 0, 2.42823e-06, 5.23114e-08, 1.41421, -2.42823e-06, 5.23114e-08, 5.23248e-08, 2.6263e-07, 5.81546e-08, 5.66127e-08, 7.1647e-08, 1.18473e-07, 2.83902e-07, 1.42707e-07, 5.23334e-08, 5.33724e-08, 5.23114e-08, 5.23119e-08, 1.79296e-06, 5.23114e-08, 5.23114e-08, 5.85364e-08
0.551835, 0, 3.61984e-06, 1.07039e-07, 1.41421, -3.61984e-06, 1.07039e-07, 1.07067e-07, 5.37752e-07, 1.19006e-07, 1.15848e-07, 1.53537e-07, 2.42532e-07, 5.81315e-07, 2.26375e-07, 1.07084e-07, 1.09212e-07, 1.07039e-07, 1.0704e-07, 2.37775e-06, 1.07039e-07, 1.07039e-07, 1.19787e-07
0.559727, 0, 5.58571e-06, 2.14291e-07, 1.41421, -5.58571e-06, 2.14291e-07, 2.14346e-07, 1.07728e-06, 2.38267e-07, 2.3194e-07, 3.18285e-07, 4.85769e-07, 1.16456e-06, 3.71091e-07, 2.14381e-07, 2.18645e-07, 2.14291e-07, 2.14293e-07, 3.1685e-06, 2.14291e-07, 2.14291e-07, 2.39834e-07
0.567618, 0, 8.91504e-06, 4.19881e-07, 1.41421, -8.91504e-06, 4.19881e-07, 4.1999e-07, 2.11223e-06, 4.669e-07, 4.54492e-07, 6.42891e-07, 9.52256e-07, 2.28339e-06, 6.24952e-07, 4.20058e-07, 4.28419e-07, 4.19881e-07, 4.19885e-07, 4.25818e-06, 4.19881e-07, 4.19881e-07, 4.69971e-07
0.575509, 0, 1.46441e-05, 8.05392e-07, 1.41421, -1.46441e-05, 8.05392e-07, 8.056e-07, 4.05434e-06, 8.95657e-07, 8.71837e-07, 1.26953e-06, 1.82744e-06, 4.38295e-06, 1.07237e-06, 8.05731e-07, 8.21783e-07, 8.05392e-07, 8.05399e-07, 5.79462e-06, 8.05392e-07, 8.05392e-07, 9.01554e-07
0.5834, 0, 2.45663e-05, 1.51259e-06, 1.41421, -2.45663e-05, 1.51259e-06, 1.51298e-06, 7.61984e-06, 1.68226e-06, 1.63749e-06, 2.45713e-06, 3.43379e-06, 8.23753e-06, 1.85862e-06, 1.51322e-06, 1.5434e-06, 1.51259e-06, 1.5126e-06, 8.01515e-06, 1.51259e-06, 1.51259e-06, 1.69335e-06
0.591292, 0, 4.17315e-05, 2.78185e-06, 1.41421, -4.17315e-05, 2.78185e-06, 2.78257e-06, 1.40245e-05, 3.0942e-06, 3.01177e-06, 4.67252e-06, 6.31853e-06, 1.51616e-05, 3.2284e-06, 2.78302e-06, 2.83856e-06, 2.78185e-06, 2.78187e-06, 1.13016e-05, 2.78185e-06, 2.78185e-06, 3.1146e-06
