   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_342.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.365877, 0, 5.10243e-10, 5.96757e-38, 1.41421, -5.10243e-10, 5.96757e-38, 0, 5.96757e-38, 5.96757e-38, 5.96757e-38, 5.96757e-38, 5.96757e-38, 5.96757e-38, 5.96757e-38, 5.96757e-38, 5.96757e-38, 2.24837e-13, 5.96757e-38, 5.96757e-38, 1.33501e-14, 5.96757e-38, 5.96757e-38, 5.10005e-10, 5.96757e-38, 5.96757e-38, 5.96757e-38
0.373739, 0, 8.0669e-10, 5.52478e-37, 1.41421, -8.0669e-10, 5.52478e-37, 0, 5.52478e-37, 5.52478e-37, 5.52478e-37, 5.52478e-37, 5.52478e-37, 5.52478e-37, 5.52478e-37, 5.52478e-37, 5.52478e-37, 3.55718e-13, 5.52478e-37, 5.52478e-37, 2.22773e-14, 5.52478e-37, 5.52478e-37, 8.06312e-10, 5.52478e-37, 5.52478e-37, 5.52478e-37
0.381601, 0, 1.26476e-09, 4.68314e-36, 1.41421, -1.26476e-09, 4.68314e-36, 0, 4.68314e-36, 4.68314e-36, 4.68314e-36, 4.68314e-36, 4.68314e-36, 4.68314e-36, 4.68314e-36, 4.68314e-36, 4.68314e-36, 5.58196e-13, 4.68314e-36, 4.68314e-36, 3.70732e-14, 4.68314e-36, 4.68314e-36, 1.26417e-09, 4.68314e-36, 4.68314e-36, 4.68314e-36
0.389463, 0, 1.96656e-09, 3.64765e-35, 1.41421, -1.96656e-09, 3.64765e-35, 0, 3.64765e-35, 3.64765e-35, 3.64765e-35, 3.64765e-35, 3.64765e-35, 3.64765e-35, 3.64765e-35, 3.64765e-35, 3.64765e-35, 8.68857e-13, 3.64765e-35, 3.64765e-35, 6.15647e-14, 3.64765e-35, 3.64765e-35, 1.96563e-09, 3.64765e-35, 3.64765e-35, 3.64765e-35
0.397324, 0, 3.03266e-09, 2.62162e-34, 1.41421, -3.03266e-09, 2.62162e-34, 0, 2.62162e-34, 2.62162e-34, 2.62162e-34, 2.62162e-34, 2.62162e-34, 2.62162e-34, 2.62162e-34, 2.62162e-34, 2.62162e-34, 1.34163e-12, 2.62162e-34, 2.62162e-34, 1.02075e-13, 2.62162e-34, 2.62162e-34, 3.03122e-09, 2.62162e-34, 2.62162e-34, 2.62162e-34
0.405186, 0, 4.6386e-09, 1.80543e-33, 1.41421, -4.6386e-09, 1.80543e-33, 0, 1.80543e-33, 1.80543e-33, 1.80543e-33, 1.80543e-33, 1.80543e-33, 1.80543e-33, 1.80543e-33, 1.80543e-33, 1.80543e-33, 2.05532e-12, 1.80543e-33, 1.80543e-33, 1.69058e-13, 1.80543e-33, 1.80543e-33, 4.63637e-09, 1.80543e-33, 1.80543e-33, 1.80543e-33
0.413048, 0, 7.03754e-09, 1.03912e-32, 1.41421, -7.03754e-09, 1.03912e-32, 0, 1.03912e-32, 1.03912e-32, 1.03912e-32, 1.03912e-32, 1.03912e-32, 1.03912e-32, 1.03912e-32, 1.03912e-32, 1.03912e-32, 3.12418e-12, 1.03912e-32, 1.03912e-32, 2.79797e-13, 1.03912e-32, 1.03912e-32, 7.03414e-09, 1.03912e-32, 1.03912e-32, 1.03912e-32
0.42091, 0, 1.05914e-08, 6.0679e-32, 1.41421, -1.05914e-08, 6.0679e-32, 0, 6.0679e-32, 6.0679e-32, 6.0679e-32, 6.0679e-32, 6.0679e-32, 6.0679e-32, 6.0679e-32, 6.0679e-32, 6.0679e-32, 4.71253e-12, 6.0679e-32, 6.0679e-32, 4.6287e-13, 6.0679e-32, 6.0679e-32, 1.05862e-08, 6.0679e-32, 6.0679e-32, 6.0679e-32
0.428772, 0, 1.5813e-08, 3.16718e-31, 1.41421, -1.5813e-08, 3.16718e-31, 0, 3.16718e-31, 3.16718e-31, 3.16718e-31, 3.16718e-31, 3.16718e-31, 3.16718e-31, 3.16718e-31, 3.16718e-31, 3.16718e-31, 7.05481e-12, 3.16718e-31, 3.16718e-31, 7.65485e-13, 3.16718e-31, 3.16718e-31, 1.58052e-08, 3.16718e-31, 3.16718e-31, 3.16718e-31
0.436634, 0, 2.34226e-08, 1.62316e-30, 1.41421, -2.34226e-08, 1.62316e-30, 0, 1.62316e-30, 1.62316e-30, 1.62316e-30, 1.62316e-30, 1.62316e-30, 1.62316e-30, 1.62316e-30, 1.62316e-30, 1.62316e-30, 1.04831e-11, 1.62316e-30, 1.62316e-30, 1.2655e-12, 1.62316e-30, 1.62316e-30, 2.34108e-08, 1.62316e-30, 1.62316e-30, 1.62316e-30
