   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_186.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.380566, 0, 1.81787e-09, 5.86656e-36, 1.41421, -1.81787e-09, 0, 5.86656e-36, 5.86656e-36, 5.86656e-36, 5.86656e-36, 5.86656e-36, 5.86656e-36, 5.86656e-36, 5.86656e-36, 5.86656e-36, 1.67518e-11, 5.86656e-36, 5.86656e-36, 9.0807e-14, 5.86656e-36, 1.80103e-09, 5.86656e-36, 5.86656e-36, 5.86656e-36
0.388437, 0, 2.82976e-09, 4.60991e-35, 1.41421, -2.82976e-09, 0, 4.60991e-35, 4.60991e-35, 4.60991e-35, 4.60991e-35, 4.60991e-35, 4.60991e-35, 4.60991e-35, 4.60991e-35, 4.60991e-35, 2.61004e-11, 4.60991e-35, 4.60991e-35, 1.51358e-13, 4.60991e-35, 2.80351e-09, 4.60991e-35, 4.60991e-35, 4.60991e-35
0.396308, 0, 4.36914e-09, 3.34039e-34, 1.41421, -4.36914e-09, 0, 3.34039e-34, 3.34039e-34, 3.34039e-34, 3.34039e-34, 3.34039e-34, 3.34039e-34, 3.34039e-34, 3.34039e-34, 3.34039e-34, 4.03444e-11, 3.34039e-34, 3.34039e-34, 2.51868e-13, 3.34039e-34, 4.32854e-09, 3.34039e-34, 3.34039e-34, 3.34039e-34
0.404179, 0, 6.69155e-09, 2.30928e-33, 1.41421, -6.69155e-09, 0, 2.30928e-33, 2.30928e-33, 2.30928e-33, 2.30928e-33, 2.30928e-33, 2.30928e-33, 2.30928e-33, 2.30928e-33, 2.30928e-33, 6.18742e-11, 2.30928e-33, 2.30928e-33, 4.18611e-13, 2.30928e-33, 6.62926e-09, 2.30928e-33, 2.30928e-33, 2.30928e-33
0.412049, 0, 1.01664e-08, 1.42287e-32, 1.41421, -1.01664e-08, 0, 1.42287e-32, 1.42287e-32, 1.42287e-32, 1.42287e-32, 1.42287e-32, 1.42287e-32, 1.42287e-32, 1.42287e-32, 1.42287e-32, 9.41608e-11, 1.42287e-32, 1.42287e-32, 6.95128e-13, 1.42287e-32, 1.00716e-08, 1.42287e-32, 1.42287e-32, 1.42287e-32
0.41992, 0, 1.53231e-08, 8.66061e-32, 1.41421, -1.53231e-08, 0, 8.66061e-32, 8.66061e-32, 8.66061e-32, 8.66061e-32, 8.66061e-32, 8.66061e-32, 8.66061e-32, 8.66061e-32, 8.66061e-32, 1.42204e-10, 8.66061e-32, 8.66061e-32, 1.15352e-12, 8.66061e-32, 1.51797e-08, 8.66061e-32, 8.66061e-32, 8.66061e-32
0.427791, 0, 2.29134e-08, 4.76664e-31, 1.41421, -2.29134e-08, 0, 4.76664e-31, 4.76664e-31, 4.76664e-31, 4.76664e-31, 4.76664e-31, 4.76664e-31, 4.76664e-31, 4.76664e-31, 4.76664e-31, 2.13151e-10, 4.76664e-31, 4.76664e-31, 1.91304e-12, 4.76664e-31, 2.26983e-08, 4.76664e-31, 4.76664e-31, 4.76664e-31
0.435662, 0, 3.39959e-08, 2.53221e-30, 1.41421, -3.39959e-08, 0, 2.53221e-30, 2.53221e-30, 2.53221e-30, 2.53221e-30, 2.53221e-30, 2.53221e-30, 2.53221e-30, 2.53221e-30, 2.53221e-30, 3.17137e-10, 2.53221e-30, 2.53221e-30, 3.17053e-12, 2.53221e-30, 3.36756e-08, 2.53221e-30, 2.53221e-30, 2.53221e-30
0.443533, 0, 5.00482e-08, 1.27691e-29, 1.41421, -5.00482e-08, 0, 1.27691e-29, 1.27691e-29, 1.27691e-29, 1.27691e-29, 1.27691e-29, 1.27691e-29, 1.27691e-29, 1.27691e-29, 1.27691e-29, 4.68437e-10, 1.27691e-29, 1.27691e-29, 5.25002e-12, 1.27691e-29, 4.95745e-08, 1.27691e-29, 1.27691e-29, 1.27691e-29
0.451404, 0, 7.3115e-08, 6.08962e-29, 1.41421, -7.3115e-08, 0, 6.08962e-29, 6.08962e-29, 6.08962e-29, 6.08962e-29, 6.08962e-29, 6.08962e-29, 6.08962e-29, 6.08962e-29, 6.08962e-29, 6.87004e-10, 6.08962e-29, 6.08962e-29, 8.68289e-12, 6.08962e-29, 7.24193e-08, 6.08962e-29, 6.08962e-29, 6.08962e-29
