   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_298.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.54707, 0, 2.47689e-06, 2.11221e-08, 1.41421, -2.47689e-06, 2.11221e-08, 2.11328e-08, 2.11329e-08, 2.29658e-07, 2.71112e-08, 2.47494e-08, 2.82644e-08, 3.09658e-08, 2.75965e-07, 9.70742e-08, 2.119e-08, 2.22493e-08, 2.11221e-08, 3.44957e-08, 2.11225e-08, 1.89246e-06, 2.11221e-08, 2.11221e-08, 2.50274e-08
0.554934, 0, 3.67623e-06, 4.56416e-08, 1.41421, -3.67623e-06, 4.56416e-08, 4.56641e-08, 4.56643e-08, 4.85803e-07, 5.8283e-08, 5.32978e-08, 6.12853e-08, 6.64188e-08, 5.83543e-07, 1.47003e-07, 4.57849e-08, 4.80208e-08, 4.56416e-08, 6.59656e-08, 4.56424e-08, 2.50896e-06, 4.56416e-08, 4.56416e-08, 5.38846e-08
0.562798, 0, 5.65396e-06, 9.61892e-08, 1.41421, -5.65396e-06, 9.61892e-08, 9.62355e-08, 9.62361e-08, 1.00331e-06, 1.22241e-07, 1.11968e-07, 1.35501e-07, 1.39008e-07, 1.20474e-06, 2.30777e-07, 9.64845e-08, 1.01092e-07, 9.61892e-08, 1.26827e-07, 9.61907e-08, 3.32683e-06, 9.61892e-08, 9.61892e-08, 1.13177e-07
0.570661, 0, 9.01106e-06, 1.97945e-07, 1.41421, -9.01106e-06, 1.97945e-07, 1.98038e-07, 1.98039e-07, 2.0244e-06, 2.50401e-07, 2.29715e-07, 2.8711e-07, 2.8416e-07, 2.42997e-06, 3.75761e-07, 1.9854e-07, 2.07817e-07, 1.97945e-07, 2.4375e-07, 1.97948e-07, 4.42449e-06, 1.97945e-07, 1.97945e-07, 2.3215e-07
0.578525, 0, 1.48309e-05, 3.98077e-07, 1.41421, -1.48309e-05, 3.98077e-07, 3.9826e-07, 3.98262e-07, 3.99272e-06, 5.01314e-07, 4.60602e-07, 5.93178e-07, 5.67757e-07, 4.79094e-06, 6.31854e-07, 3.99247e-07, 4.17506e-07, 3.98077e-07, 4.65993e-07, 3.98083e-07, 5.92282e-06, 3.98077e-07, 3.98077e-07, 4.65395e-07
0.586389, 0, 2.49998e-05, 7.82189e-07, 1.41421, -2.49998e-05, 7.82189e-07, 7.82542e-07, 7.82546e-07, 7.69704e-06, 9.80782e-07, 9.02466e-07, 1.18359e-06, 1.10859e-06, 9.23252e-06, 1.08807e-06, 7.8444e-07, 8.19565e-07, 7.82189e-07, 8.82068e-07, 7.822e-07, 8.01234e-06, 7.82189e-07, 7.82189e-07, 9.11685e-07
0.594253, 0, 4.27907e-05, 1.50258e-06, 1.41421, -4.27907e-05, 1.50258e-06, 1.50324e-06, 1.50325e-06, 1.45091e-05, 1.87612e-06, 1.72881e-06, 2.31539e-06, 2.11653e-06, 1.73973e-05, 1.90095e-06, 1.50681e-06, 1.57288e-06, 1.50258e-06, 1.64828e-06, 1.5026e-06, 1.09993e-05, 1.50258e-06, 1.50258e-06, 1.74615e-06
0.602117, 0, 7.37096e-05, 2.82238e-06, 1.41421, -7.37096e-05, 2.82238e-06, 2.8236e-06, 2.82362e-06, 2.67481e-05, 3.50953e-06, 3.23855e-06, 4.44245e-06, 3.95176e-06, 3.2061e-05, 3.33892e-06, 2.83017e-06, 2.95171e-06, 2.82238e-06, 3.03331e-06, 2.82242e-06, 1.53774e-05, 2.82238e-06, 2.82238e-06, 3.27045e-06
0.60998, 0, 0.000126819, 5.18461e-06, 1.41421, -0.000126819, 5.18461e-06, 5.18681e-06, 5.18684e-06, 4.82336e-05, 6.42097e-06, 5.93341e-06, 8.36301e-06, 7.21668e-06, 5.77928e-05, 5.85155e-06, 5.19863e-06, 5.4173e-06, 5.18461e-06, 5.48774e-06, 5.18468e-06, 2.19386e-05, 5.18461e-06, 5.18461e-06, 5.9908e-06
0.617844, 0, 0.000216678, 9.31549e-06, 1.41421, -0.000216678, 9.31549e-06, 9.31936e-06, 9.3194e-06, 8.50904e-05, 1.14917e-05, 1.06335e-05, 1.54527e-05, 1.28923e-05, 0.000101917, 1.01733e-05, 9.34016e-06, 9.72507e-06, 9.31549e-06, 9.74819e-06, 9.31562e-06, 3.19416e-05, 9.31549e-06, 9.31549e-06, 1.07346e-05
