   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_269.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.403332, 0, 6.78841e-09, 1.40175e-33, 1.41421, -6.78841e-09, 0, 1.40175e-33, 1.40175e-33, 1.40175e-33, 1.40175e-33, 1.40175e-33, 1.40175e-33, 1.40175e-33, 1.40175e-33, 1.40175e-33, 1.40175e-33, 4.66079e-11, 1.40175e-33, 1.40175e-33, 1.60062e-13, 1.40175e-33, 1.40175e-33, 6.74164e-09, 1.40175e-33, 1.40175e-33, 1.40175e-33
0.411201, 0, 1.04011e-08, 8.71869e-33, 1.41421, -1.04011e-08, 0, 8.71869e-33, 8.71869e-33, 8.71869e-33, 8.71869e-33, 8.71869e-33, 8.71869e-33, 8.71869e-33, 8.71869e-33, 8.71869e-33, 8.71869e-33, 7.15215e-11, 8.71869e-33, 8.71869e-33, 2.67153e-13, 8.71869e-33, 8.71869e-33, 1.03293e-08, 8.71869e-33, 8.71869e-33, 8.71869e-33
0.41907, 0, 1.58068e-08, 5.35775e-32, 1.41421, -1.58068e-08, 0, 5.35775e-32, 5.35775e-32, 5.35775e-32, 5.35775e-32, 5.35775e-32, 5.35775e-32, 5.35775e-32, 5.35775e-32, 5.35775e-32, 5.35775e-32, 1.08895e-10, 5.35775e-32, 5.35775e-32, 4.45536e-13, 5.35775e-32, 5.35775e-32, 1.56975e-08, 5.35775e-32, 5.35775e-32, 5.35775e-32
0.42694, 0, 2.38284e-08, 2.98095e-31, 1.41421, -2.38284e-08, 0, 2.98095e-31, 2.98095e-31, 2.98095e-31, 2.98095e-31, 2.98095e-31, 2.98095e-31, 2.98095e-31, 2.98095e-31, 2.98095e-31, 2.98095e-31, 1.64521e-10, 2.98095e-31, 2.98095e-31, 7.42535e-13, 2.98095e-31, 2.98095e-31, 2.36631e-08, 2.98095e-31, 2.98095e-31, 2.98095e-31
0.434809, 0, 3.56333e-08, 1.59939e-30, 1.41421, -3.56333e-08, 0, 1.59939e-30, 1.59939e-30, 1.59939e-30, 1.59939e-30, 1.59939e-30, 1.59939e-30, 1.59939e-30, 1.59939e-30, 1.59939e-30, 1.59939e-30, 2.46679e-10, 1.59939e-30, 1.59939e-30, 1.23669e-12, 1.59939e-30, 1.59939e-30, 3.53853e-08, 1.59939e-30, 1.59939e-30, 1.59939e-30
0.442678, 0, 5.28638e-08, 8.14175e-30, 1.41421, -5.28638e-08, 0, 8.14175e-30, 8.14175e-30, 8.14175e-30, 8.14175e-30, 8.14175e-30, 8.14175e-30, 8.14175e-30, 8.14175e-30, 8.14175e-30, 8.14175e-30, 3.67112e-10, 8.14175e-30, 8.14175e-30, 2.05802e-12, 8.14175e-30, 8.14175e-30, 5.24947e-08, 8.14175e-30, 8.14175e-30, 8.14175e-30
0.450547, 0, 7.78103e-08, 3.914e-29, 1.41421, -7.78103e-08, 0, 3.914e-29, 3.914e-29, 3.914e-29, 3.914e-29, 3.914e-29, 3.914e-29, 3.914e-29, 3.914e-29, 3.914e-29, 3.914e-29, 5.42353e-10, 3.914e-29, 3.914e-29, 3.42108e-12, 3.914e-29, 3.914e-29, 7.72646e-08, 3.914e-29, 3.914e-29, 3.914e-29
0.458416, 0, 1.13638e-07, 1.80674e-28, 1.41421, -1.13638e-07, 0, 1.80674e-28, 1.80674e-28, 1.80674e-28, 1.80674e-28, 1.80674e-28, 1.80674e-28, 1.80674e-28, 1.80674e-28, 1.80674e-28, 1.80674e-28, 7.95507e-10, 1.80674e-28, 1.80674e-28, 5.67837e-12, 1.80674e-28, 1.80674e-28, 1.12837e-07, 1.80674e-28, 1.80674e-28, 1.80674e-28
0.466286, 0, 1.64684e-07, 7.96532e-28, 1.41421, -1.64684e-07, 0, 7.96532e-28, 7.96532e-28, 7.96532e-28, 7.96532e-28, 7.96532e-28, 7.96532e-28, 7.96532e-28, 7.96532e-28, 7.96532e-28, 7.96532e-28, 1.15865e-09, 7.96532e-28, 7.96532e-28, 9.40635e-12, 7.96532e-28, 7.96532e-28, 1.63516e-07, 7.96532e-28, 7.96532e-28, 7.96532e-28
0.474155, 0, 2.36841e-07, 3.34615e-27, 1.41421, -2.36841e-07, 0, 3.34615e-27, 3.34615e-27, 3.34615e-27, 3.34615e-27, 3.34615e-27, 3.34615e-27, 3.34615e-27, 3.34615e-27, 3.34615e-27, 3.34615e-27, 1.676e-09, 3.34615e-27, 3.34615e-27, 1.55422e-11, 3.34615e-27, 3.34615e-27, 2.3515e-07, 3.34615e-27, 3.34615e-27, 3.34615e-27
