   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_44.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.426064, 0, 8.30815e-08, 8.86469e-30, 1.41421, -8.30815e-08, 0, 8.86469e-30, 8.86469e-30, 8.86469e-30, 8.86469e-30, 8.86469e-30, 8.86469e-30, 8.86469e-30, 8.86469e-30, 8.86469e-30, 8.86469e-30, 4.87237e-10, 8.86469e-30, 8.86469e-30, 8.86469e-30, 1.03833e-11, 8.86469e-30, 8.25839e-08, 8.86469e-30, 8.86469e-30, 8.86469e-30
0.433956, 0, 1.18908e-07, 4.1827e-29, 1.41421, -1.18908e-07, 0, 4.1827e-29, 4.1827e-29, 4.1827e-29, 4.1827e-29, 4.1827e-29, 4.1827e-29, 4.1827e-29, 4.1827e-29, 4.1827e-29, 4.1827e-29, 7.00047e-10, 4.1827e-29, 4.1827e-29, 4.1827e-29, 1.66256e-11, 4.1827e-29, 1.18192e-07, 4.1827e-29, 4.1827e-29, 4.1827e-29
0.441848, 0, 1.69023e-07, 1.90991e-28, 1.41421, -1.69023e-07, 0, 1.90991e-28, 1.90991e-28, 1.90991e-28, 1.90991e-28, 1.90991e-28, 1.90991e-28, 1.90991e-28, 1.90991e-28, 1.90991e-28, 1.90991e-28, 9.99533e-10, 1.90991e-28, 1.90991e-28, 1.90991e-28, 2.65754e-11, 1.90991e-28, 1.67997e-07, 1.90991e-28, 1.90991e-28, 1.90991e-28
0.449741, 0, 2.38637e-07, 8.35492e-28, 1.41421, -2.38637e-07, 0, 8.35492e-28, 8.35492e-28, 8.35492e-28, 8.35492e-28, 8.35492e-28, 8.35492e-28, 8.35492e-28, 8.35492e-28, 8.35492e-28, 8.35492e-28, 1.41842e-09, 8.35492e-28, 8.35492e-28, 8.35492e-28, 4.23946e-11, 8.35492e-28, 2.37176e-07, 8.35492e-28, 8.35492e-28, 8.35492e-28
0.457633, 0, 3.34668e-07, 3.48543e-27, 1.41421, -3.34668e-07, 0, 3.48543e-27, 3.48543e-27, 3.48543e-27, 3.48543e-27, 3.48543e-27, 3.48543e-27, 3.48543e-27, 3.48543e-27, 3.48543e-27, 3.48543e-27, 2.00083e-09, 3.48543e-27, 3.48543e-27, 3.48543e-27, 6.74676e-11, 3.48543e-27, 3.32599e-07, 3.48543e-27, 3.48543e-27, 3.48543e-27
0.465525, 0, 4.66238e-07, 1.38731e-26, 1.41421, -4.66238e-07, 0, 1.38731e-26, 1.38731e-26, 1.38731e-26, 1.38731e-26, 1.38731e-26, 1.38731e-26, 1.38731e-26, 1.38731e-26, 1.38731e-26, 1.38731e-26, 2.80588e-09, 1.38731e-26, 1.38731e-26, 1.38731e-26, 1.07062e-10, 1.38731e-26, 4.63326e-07, 1.38731e-26, 1.38731e-26, 1.38731e-26
0.473418, 0, 6.4529e-07, 5.27428e-26, 1.41421, -6.4529e-07, 0, 5.27428e-26, 5.27428e-26, 5.27428e-26, 5.27428e-26, 5.27428e-26, 5.27428e-26, 4.02089e-12, 5.27428e-26, 5.27428e-26, 5.27428e-26, 3.91233e-09, 5.27428e-26, 5.27428e-26, 5.27428e-26, 1.69321e-10, 5.27428e-26, 6.41204e-07, 5.27428e-26, 5.27428e-26, 5.27428e-26
0.48131, 0, 8.87332e-07, 1.91863e-25, 1.41421, -8.87332e-07, 0, 1.91863e-25, 1.91863e-25, 1.91863e-25, 1.91863e-25, 1.91863e-25, 1.91863e-25, 1.35228e-11, 1.91863e-25, 1.91863e-25, 1.91863e-25, 5.4246e-09, 1.91863e-25, 1.91863e-25, 1.91863e-25, 2.66738e-10, 1.91863e-25, 8.81627e-07, 1.91863e-25, 1.91863e-25, 1.91863e-25
0.489202, 0, 1.21237e-06, 6.74195e-25, 1.41421, -1.21237e-06, 0, 6.74195e-25, 6.74195e-25, 6.74195e-25, 6.74195e-25, 6.74195e-25, 6.74195e-25, 3.52958e-11, 6.74195e-25, 6.74195e-25, 6.74195e-25, 7.48027e-09, 6.74195e-25, 6.74195e-25, 6.74195e-25, 4.18329e-10, 6.74195e-25, 1.20444e-06, 6.74195e-25, 6.74195e-25, 6.74195e-25
0.497095, 0, 1.64926e-06, 2.38599e-10, 1.41421, -1.64926e-06, 2.38599e-10, 2.38638e-10, 2.38619e-10, 9.8826e-10, 2.60578e-10, 2.39656e-10, 2.71531e-10, 5.10223e-10, 1.17777e-09, 2.43206e-10, 1.0287e-09, 1.04985e-08, 2.4181e-10, 2.42322e-10, 2.38664e-10, 8.91378e-10, 2.386e-10, 1.63551e-06, 2.38599e-10, 2.38599e-10, 2.60851e-10
