   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_194.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.505296, 0, 1.02827e-06, 4.7753e-10, 1.41421, -1.02827e-06, 4.7753e-10, 4.77673e-10, 4.77797e-10, 7.62168e-10, 4.82581e-10, 4.78728e-10, 4.87409e-10, 6.60056e-10, 1.11557e-09, 4.79469e-10, 2.54279e-09, 4.78092e-10, 4.7952e-10, 8.3992e-10, 6.55133e-09, 4.77533e-10, 1.0186e-06, 4.7753e-10, 4.7753e-10, 5.1368e-10
0.513168, 0, 1.41315e-06, 1.63467e-09, 1.41421, -1.41315e-06, 1.63467e-09, 1.63516e-09, 1.63559e-09, 2.61086e-09, 1.65199e-09, 1.63878e-09, 1.66855e-09, 2.19518e-09, 3.82287e-09, 1.64132e-09, 8.71761e-09, 1.6366e-09, 1.6415e-09, 2.21072e-09, 1.12449e-08, 1.63468e-09, 1.39196e-06, 1.63467e-09, 1.63467e-09, 1.75865e-09
0.52104, 0, 1.93625e-06, 4.35801e-09, 1.41421, -1.93625e-06, 4.35801e-09, 4.35932e-09, 4.36045e-09, 6.96424e-09, 4.40426e-09, 4.36898e-09, 4.44846e-09, 5.79634e-09, 1.02001e-08, 4.37577e-09, 2.32681e-08, 4.36316e-09, 4.37624e-09, 5.26865e-09, 1.94699e-08, 4.35804e-09, 1.89091e-06, 4.35801e-09, 4.35801e-09, 4.68901e-09
0.528912, 0, 2.65083e-06, 1.05989e-08, 1.41421, -2.65083e-06, 1.05989e-08, 1.0602e-08, 1.06048e-08, 1.69457e-08, 1.07115e-08, 1.06256e-08, 1.08191e-08, 1.40244e-08, 2.48258e-08, 1.06421e-08, 5.66498e-08, 1.06114e-08, 1.06432e-08, 1.203e-08, 3.42024e-08, 1.05989e-08, 2.55447e-06, 1.05989e-08, 1.05989e-08, 1.14049e-08
0.536784, 0, 3.63831e-06, 2.45511e-08, 1.41421, -3.63831e-06, 2.45511e-08, 2.45585e-08, 2.45649e-08, 3.92667e-08, 2.48123e-08, 2.46131e-08, 2.50618e-08, 3.23637e-08, 5.75373e-08, 2.46514e-08, 1.31323e-07, 2.45802e-08, 2.4654e-08, 2.67865e-08, 6.11512e-08, 2.45513e-08, 3.43423e-06, 2.45511e-08, 2.45511e-08, 2.64201e-08
0.544656, 0, 5.02979e-06, 5.4987e-08, 1.41421, -5.02979e-06, 5.4987e-08, 5.50035e-08, 5.50179e-08, 8.79687e-08, 5.55723e-08, 5.51258e-08, 5.61317e-08, 7.25172e-08, 1.28918e-07, 5.52117e-08, 2.94293e-07, 5.50522e-08, 5.52176e-08, 5.84559e-08, 1.11379e-07, 5.49874e-08, 4.59956e-06, 5.4987e-08, 5.4987e-08, 5.91758e-08
0.552528, 0, 7.04737e-06, 1.19785e-07, 1.41421, -7.04737e-06, 1.19785e-07, 1.19821e-07, 1.19852e-07, 1.91673e-07, 1.2106e-07, 1.20087e-07, 1.22279e-07, 1.60373e-07, 2.80929e-07, 1.20274e-07, 6.41391e-07, 1.19927e-07, 1.20287e-07, 1.25132e-07, 2.05912e-07, 1.19785e-07, 6.14622e-06, 1.19785e-07, 1.19785e-07, 1.28915e-07
0.5604, 0, 1.00991e-05, 2.54446e-07, 1.41421, -1.00991e-05, 2.54446e-07, 2.54522e-07, 2.54589e-07, 4.07228e-07, 2.57157e-07, 2.55089e-07, 2.59748e-07, 3.68975e-07, 5.9692e-07, 2.55487e-07, 1.36299e-06, 2.54748e-07, 2.55514e-07, 2.62632e-07, 3.84921e-07, 2.54448e-07, 8.21139e-06, 2.54446e-07, 2.54446e-07, 2.7385e-07
0.568272, 0, 1.48745e-05, 5.27642e-07, 1.41421, -1.48745e-05, 5.27642e-07, 5.278e-07, 5.27939e-07, 8.44613e-07, 5.33266e-07, 5.28975e-07, 5.38642e-07, 8.0357e-07, 1.23816e-06, 5.29801e-07, 2.8275e-06, 5.28268e-07, 5.29858e-07, 5.40085e-07, 7.23661e-07, 5.27645e-07, 1.09991e-05, 5.27642e-07, 5.27642e-07, 5.67898e-07
0.576144, 0, 2.26282e-05, 1.06878e-06, 1.41421, -2.26282e-05, 1.06878e-06, 1.0691e-06, 1.06938e-06, 1.71112e-06, 1.08018e-06, 1.07148e-06, 1.09107e-06, 1.69023e-06, 2.50865e-06, 1.07315e-06, 5.72947e-06, 1.07005e-06, 1.07327e-06, 1.08757e-06, 1.36081e-06, 1.06878e-06, 1.48239e-05, 1.06878e-06, 1.06878e-06, 1.15036e-06
