   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_237.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.389372, 0, 7.78264e-09, 2.67356e-34, 1.41421, -7.78264e-09, 0, 2.67356e-34, 2.67356e-34, 2.67356e-34, 2.67356e-34, 2.67356e-34, 2.67356e-34, 2.67356e-34, 2.67356e-34, 2.67356e-34, 2.67356e-34, 1.45721e-11, 2.67356e-34, 2.67356e-34, 4.42467e-14, 2.67356e-34, 2.67356e-34, 7.76803e-09, 2.67356e-34, 2.67356e-34, 2.67356e-34
0.397239, 0, 1.17887e-08, 1.84381e-33, 1.41421, -1.17887e-08, 0, 1.84381e-33, 1.84381e-33, 1.84381e-33, 1.84381e-33, 1.84381e-33, 1.84381e-33, 1.84381e-33, 1.84381e-33, 1.84381e-33, 1.84381e-33, 2.2109e-11, 1.84381e-33, 1.84381e-33, 7.25467e-14, 1.84381e-33, 1.84381e-33, 1.17666e-08, 1.84381e-33, 1.84381e-33, 1.84381e-33
0.405106, 0, 1.77193e-08, 1.14421e-32, 1.41421, -1.77193e-08, 0, 1.14421e-32, 1.14421e-32, 1.14421e-32, 1.14421e-32, 1.14421e-32, 1.14421e-32, 1.14421e-32, 1.14421e-32, 1.14421e-32, 1.14421e-32, 3.32961e-11, 1.14421e-32, 1.14421e-32, 1.18876e-13, 1.14421e-32, 1.14421e-32, 1.76859e-08, 1.14421e-32, 1.14421e-32, 1.14421e-32
0.412973, 0, 2.64296e-08, 6.9559e-32, 1.41421, -2.64296e-08, 0, 6.9559e-32, 6.9559e-32, 6.9559e-32, 6.9559e-32, 6.9559e-32, 6.9559e-32, 6.9559e-32, 6.9559e-32, 6.9559e-32, 6.9559e-32, 4.97786e-11, 6.9559e-32, 6.9559e-32, 1.9472e-13, 6.9559e-32, 6.9559e-32, 2.63796e-08, 6.9559e-32, 6.9559e-32, 6.9559e-32
0.420841, 0, 3.91224e-08, 3.83933e-31, 1.41421, -3.91224e-08, 0, 3.83933e-31, 3.83933e-31, 3.83933e-31, 3.83933e-31, 3.83933e-31, 3.83933e-31, 3.83933e-31, 3.83933e-31, 3.83933e-31, 3.83933e-31, 7.38873e-11, 3.83933e-31, 3.83933e-31, 3.18876e-13, 3.83933e-31, 3.83933e-31, 3.90482e-08, 3.83933e-31, 3.83933e-31, 3.83933e-31
0.428708, 0, 5.7475e-08, 2.0366e-30, 1.41421, -5.7475e-08, 0, 2.0366e-30, 2.0366e-30, 2.0366e-30, 2.0366e-30, 2.0366e-30, 2.0366e-30, 2.0366e-30, 2.0366e-30, 2.0366e-30, 2.0366e-30, 1.08899e-10, 2.0366e-30, 2.0366e-30, 5.22052e-13, 2.0366e-30, 2.0366e-30, 5.73656e-08, 2.0366e-30, 2.0366e-30, 2.0366e-30
0.436575, 0, 8.38069e-08, 1.02392e-29, 1.41421, -8.38069e-08, 0, 1.02392e-29, 1.02392e-29, 1.02392e-29, 1.02392e-29, 1.02392e-29, 1.02392e-29, 1.02392e-29, 1.02392e-29, 1.02392e-29, 1.02392e-29, 1.59392e-10, 1.02392e-29, 1.02392e-29, 8.54314e-13, 1.02392e-29, 1.02392e-29, 8.36466e-08, 1.02392e-29, 1.02392e-29, 1.02392e-29
0.444442, 0, 1.213e-07, 4.87373e-29, 1.41421, -1.213e-07, 0, 4.87373e-29, 4.87373e-29, 4.87373e-29, 4.87373e-29, 4.87373e-29, 4.87373e-29, 4.87373e-29, 4.87373e-29, 4.87373e-29, 4.87373e-29, 2.31714e-10, 4.87373e-29, 4.87373e-29, 1.39704e-12, 4.87373e-29, 4.87373e-29, 1.21066e-07, 4.87373e-29, 4.87373e-29, 4.87373e-29
0.452309, 0, 1.7428e-07, 2.22355e-28, 1.41421, -1.7428e-07, 0, 2.22355e-28, 2.22355e-28, 2.22355e-28, 2.22355e-28, 2.22355e-28, 2.22355e-28, 2.22355e-28, 2.22355e-28, 2.22355e-28, 2.22355e-28, 3.34616e-10, 2.22355e-28, 2.22355e-28, 2.28198e-12, 2.22355e-28, 2.22355e-28, 1.73943e-07, 2.22355e-28, 2.22355e-28, 2.22355e-28
0.460177, 0, 2.48586e-07, 9.67358e-28, 1.41421, -2.48586e-07, 0, 9.67358e-28, 9.67358e-28, 9.67358e-28, 9.67358e-28, 9.67358e-28, 9.67358e-28, 9.67358e-28, 9.67358e-28, 9.67358e-28, 9.67358e-28, 4.80076e-10, 9.67358e-28, 9.67358e-28, 3.72149e-12, 9.67358e-28, 9.67358e-28, 2.48102e-07, 9.67358e-28, 9.67358e-28, 9.67358e-28
0.468044, 0, 3.52033e-07, 4.00894e-27, 1.41421, -3.52033e-07, 0, 4.00894e-27, 4.00894e-27, 4.00894e-27, 4.00894e-27, 4.00894e-27, 4.00894e-27, 4.00894e-27, 4.00894e-27, 4.00894e-27, 4.00894e-27, 6.844e-10, 4.00894e-27, 4.00894e-27, 6.05608e-12, 4.00894e-27, 4.00894e-27, 3.51343e-07, 4.00894e-27, 4.00894e-27, 4.00894e-27
0.475911, 0, 4.94995e-07, 1.58491e-26, 1.41421, -4.94995e-07, 0, 1.58491e-26, 1.58491e-26, 1.58491e-26, 1.58491e-26, 1.58491e-26, 1.58491e-26, 1.58491e-26, 1.58491e-26, 1.58491e-26, 1.58491e-26, 9.69635e-10, 1.58491e-26, 1.58491e-26, 9.8284e-12, 1.58491e-26, 1.58491e-26, 4.94015e-07, 1.58491e-26, 1.58491e-26, 1.58491e-26
0.483778, 0, 6.9114e-07, 5.98772e-26, 1.41421, -6.9114e-07, 0, 5.98772e-26, 5.98772e-26, 5.98772e-26, 5.98772e-26, 5.98772e-26, 5.98772e-26, 5.98772e-26, 3.54386e-12, 5.98772e-26, 5.98772e-26, 1.36543e-09, 5.98772e-26, 5.98772e-26, 1.58978e-11, 5.98772e-26, 5.98772e-26, 6.89755e-07, 5.98772e-26, 5.98772e-26, 5.98772e-26
