   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_344.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.45141, 0, 4.06072e-08, 4.07985e-29, 1.41421, -4.06072e-08, 0, 4.07985e-29, 4.07985e-29, 4.07985e-29, 4.07985e-29, 4.07985e-29, 4.07985e-29, 4.07985e-29, 4.07985e-29, 4.07985e-29, 4.07985e-29, 4.07985e-29, 9.58632e-12, 4.07985e-29, 4.07985e-29, 4.05976e-08, 4.07985e-29, 4.07985e-29, 4.07985e-29
0.459274, 0, 5.8857e-08, 1.85375e-28, 1.41421, -5.8857e-08, 0, 1.85375e-28, 1.85375e-28, 1.85375e-28, 1.85375e-28, 1.85375e-28, 1.85375e-28, 1.85375e-28, 1.85375e-28, 1.85375e-28, 1.85375e-28, 1.85375e-28, 1.5818e-11, 1.85375e-28, 1.85375e-28, 5.88412e-08, 1.85375e-28, 1.85375e-28, 1.85375e-28
0.467139, 0, 8.46688e-08, 8.07639e-28, 1.41421, -8.46688e-08, 0, 8.07639e-28, 8.07639e-28, 8.07639e-28, 8.07639e-28, 8.07639e-28, 8.07639e-28, 8.07639e-28, 8.07639e-28, 8.07639e-28, 8.07639e-28, 8.07639e-28, 2.60445e-11, 8.07639e-28, 8.07639e-28, 8.46427e-08, 8.07639e-28, 8.07639e-28, 8.07639e-28
0.475003, 0, 1.20897e-07, 3.35878e-27, 1.41421, -1.20897e-07, 0, 3.35878e-27, 3.35878e-27, 3.35878e-27, 3.35878e-27, 3.35878e-27, 3.35878e-27, 3.35878e-27, 3.35878e-27, 3.35878e-27, 3.35878e-27, 3.35878e-27, 4.2767e-11, 3.35878e-27, 3.35878e-27, 1.20854e-07, 3.35878e-27, 3.35878e-27, 3.35878e-27
0.482868, 0, 1.7136e-07, 1.33416e-26, 1.41421, -1.7136e-07, 0, 1.33416e-26, 1.33416e-26, 1.33416e-26, 1.33416e-26, 1.33416e-26, 1.33416e-26, 1.33416e-26, 1.33416e-26, 1.33416e-26, 1.33416e-26, 1.33416e-26, 6.9996e-11, 1.33416e-26, 1.33416e-26, 1.7129e-07, 1.33416e-26, 1.33416e-26, 1.33416e-26
0.490732, 0, 2.41129e-07, 5.06646e-26, 1.41421, -2.41129e-07, 0, 5.06646e-26, 5.06646e-26, 5.06646e-26, 5.06646e-26, 5.06646e-26, 3.18772e-12, 5.06646e-26, 5.06646e-26, 5.06646e-26, 5.06646e-26, 5.06646e-26, 1.14119e-10, 5.06646e-26, 5.06646e-26, 2.41011e-07, 5.06646e-26, 5.06646e-26, 5.06646e-26
0.498597, 0, 3.36876e-07, 1.8424e-25, 1.41421, -3.36876e-07, 0, 1.8424e-25, 1.8424e-25, 1.8424e-25, 1.8424e-25, 1.8424e-25, 1.10371e-11, 1.8424e-25, 1.8424e-25, 1.8424e-25, 1.8424e-25, 1.8424e-25, 1.85231e-10, 1.8424e-25, 1.8424e-25, 3.3668e-07, 1.8424e-25, 1.8424e-25, 1.8424e-25
0.506461, 0, 4.67319e-07, 6.47687e-25, 1.41421, -4.67319e-07, 0, 6.47687e-25, 6.47687e-25, 6.47687e-25, 6.47687e-25, 6.47687e-25, 2.97218e-11, 6.47687e-25, 6.47687e-25, 6.47687e-25, 6.47687e-25, 6.47687e-25, 2.99163e-10, 6.47687e-25, 6.47687e-25, 4.6699e-07, 6.47687e-25, 6.47687e-25, 6.47687e-25
0.514325, 0, 6.4672e-07, 1.74643e-10, 1.41421, -6.4672e-07, 1.74643e-10, 1.74786e-10, 1.15893e-09, 2.12007e-10, 1.97378e-10, 1.76193e-10, 3.97826e-10, 2.66314e-10, 1.80549e-10, 1.53009e-09, 1.76847e-10, 1.7823e-10, 6.55183e-10, 1.74643e-10, 1.74645e-10, 6.43484e-07, 1.74643e-10, 1.74643e-10, 2.01856e-10
0.52219, 0, 8.92312e-07, 6.80244e-10, 1.41421, -8.92312e-07, 6.80244e-10, 6.80799e-10, 4.48679e-09, 8.24743e-10, 7.68169e-10, 6.86238e-10, 1.43306e-09, 1.03477e-09, 7.03085e-10, 5.92221e-09, 6.88768e-10, 6.94118e-10, 1.44789e-09, 6.80244e-10, 6.80255e-10, 8.80999e-07, 6.80244e-10, 6.80244e-10, 7.85487e-10
0.530054, 0, 1.22581e-06, 1.70413e-09, 1.41421, -1.22581e-06, 1.70413e-09, 1.70552e-09, 1.1212e-08, 2.06506e-09, 1.92375e-09, 1.7191e-09, 3.54073e-09, 2.58964e-09, 1.76118e-09, 1.47973e-08, 1.72542e-09, 1.73879e-09, 2.92236e-09, 1.70413e-09, 1.70416e-09, 1.1983e-06, 1.70413e-09, 1.70413e-09, 1.967e-09
0.537919, 0, 1.68463e-06, 4.0625e-09, 1.41421, -1.68463e-06, 4.0625e-09, 4.0658e-09, 2.66779e-08, 4.921e-09, 4.58488e-09, 4.09812e-09, 8.35484e-09, 6.16878e-09, 4.1982e-09, 3.5206e-08, 4.11314e-09, 4.14493e-09, 5.98309e-09, 4.0625e-09, 4.06257e-09, 1.62023e-06, 4.0625e-09, 4.0625e-09, 4.68777e-09
0.545783, 0, 2.32617e-06, 9.35389e-09, 1.41421, -2.32617e-06, 9.35389e-09, 9.36147e-09, 6.13374e-08, 1.13272e-08, 1.05546e-08, 9.43575e-09, 1.97015e-08, 1.41954e-08, 9.66581e-09, 8.09401e-08, 9.47029e-09, 9.54336e-09, 1.2361e-08, 9.35389e-09, 9.35404e-09, 2.17909e-06, 9.35389e-09, 9.35389e-09, 1.07911e-08
0.553648, 0, 3.24535e-06, 2.09258e-08, 1.41421, -3.24535e-06, 2.09258e-08, 2.09427e-08, 1.37061e-07, 2.53344e-08, 2.36083e-08, 2.11087e-08, 4.51718e-08, 3.1742e-08, 2.16226e-08, 1.80854e-07, 2.11858e-08, 2.13491e-08, 2.56009e-08, 2.09258e-08, 2.09261e-08, 2.91767e-06, 2.09258e-08, 2.09258e-08, 2.41367e-08
0.561512, 0, 4.6186e-06, 4.56013e-08, 1.41421, -4.6186e-06, 4.56013e-08, 4.56382e-08, 2.98381e-07, 5.5197e-08, 5.14401e-08, 4.59994e-08, 1.12629e-07, 6.91439e-08, 4.71181e-08, 3.93703e-07, 4.61673e-08, 4.65227e-08, 5.28168e-08, 4.56013e-08, 4.5602e-08, 3.89407e-06, 4.56013e-08, 4.56013e-08, 5.25902e-08
0.569377, 0, 6.74355e-06, 9.69199e-08, 1.41421, -6.74355e-06, 9.69199e-08, 9.69982e-08, 6.33573e-07, 1.17292e-07, 1.09316e-07, 9.7765e-08, 2.59104e-07, 1.46901e-07, 1.0014e-07, 8.35942e-07, 9.81216e-08, 9.88759e-08, 1.07975e-07, 9.69199e-08, 9.69214e-08, 5.18974e-06, 9.69199e-08, 9.69199e-08, 1.11757e-07
0.577241, 0, 1.01698e-05, 2.0103e-07, 1.41421, -1.01698e-05, 2.0103e-07, 2.01192e-07, 1.31291e-06, 2.43238e-07, 2.26713e-07, 2.02781e-07, 5.70667e-07, 3.04585e-07, 2.07702e-07, 1.7322e-06, 2.0352e-07, 2.05083e-07, 2.17845e-07, 2.0103e-07, 2.01033e-07, 6.92296e-06, 2.0103e-07, 2.0103e-07, 2.31771e-07
0.585106, 0, 1.58949e-05, 4.07086e-07, 1.41421, -1.58949e-05, 4.07086e-07, 4.07414e-07, 2.65608e-06, 4.9246e-07, 4.59034e-07, 4.10627e-07, 1.21919e-06, 6.16546e-07, 4.20581e-07, 3.50416e-06, 4.12122e-07, 4.15283e-07, 4.32468e-07, 4.07086e-07, 4.07092e-07, 9.27177e-06, 4.07086e-07, 4.07086e-07, 4.69266e-07
0.59297, 0, 2.57138e-05, 8.05018e-07, 1.41421, -2.57138e-05, 8.05018e-07, 8.05666e-07, 5.2471e-06, 9.73643e-07, 9.07623e-07, 8.12013e-07, 2.54054e-06, 1.21873e-06, 8.31672e-07, 6.92218e-06, 8.14965e-07, 8.21209e-07, 8.43049e-07, 8.05018e-07, 8.05031e-07, 1.25128e-05, 8.05018e-07, 8.05018e-07, 9.27832e-07
0.600835, 0, 4.28141e-05, 1.55496e-06, 1.41421, -4.28141e-05, 1.55496e-06, 1.55621e-06, 1.01242e-05, 1.88026e-06, 1.7529e-06, 1.56845e-06, 5.18308e-06, 2.35306e-06, 1.60638e-06, 1.33557e-05, 1.57415e-06, 1.58619e-06, 1.61153e-06, 1.55496e-06, 1.55498e-06, 1.70846e-05, 1.55496e-06, 1.55496e-06, 1.79188e-06
0.608699, 0, 7.27679e-05, 2.93435e-06, 1.41421, -7.27679e-05, 2.93435e-06, 2.93671e-06, 1.90832e-05, 3.54737e-06, 3.30736e-06, 2.95978e-06, 1.03853e-05, 4.43837e-06, 3.03125e-06, 2.51729e-05, 2.97051e-06, 2.99321e-06, 3.01788e-06, 2.93435e-06, 2.93439e-06, 2.36896e-05, 2.93435e-06, 2.93435e-06, 3.38083e-06
0.616564, 0, 0.000125097, 5.41085e-06, 1.41421, -0.000125097, 5.41085e-06, 5.41518e-06, 3.51451e-05, 6.53958e-06, 6.09766e-06, 5.45767e-06, 2.04403e-05, 8.18014e-06, 5.58926e-06, 4.63577e-05, 5.47743e-06, 5.51922e-06, 5.53334e-06, 5.41085e-06, 5.41093e-06, 3.34527e-05, 5.41085e-06, 5.41085e-06, 6.23294e-06
0.624428, 0, 0.000215749, 9.75141e-06, 1.41421, -0.000215749, 9.75141e-06, 9.75922e-06, 6.32535e-05, 1.17824e-05, 1.09872e-05, 9.83566e-06, 3.95203e-05, 1.47343e-05, 1.00724e-05, 8.34288e-05, 9.87121e-06, 9.94641e-06, 9.92984e-06, 9.75141e-06, 9.75156e-06, 4.81647e-05, 9.75141e-06, 9.75141e-06, 1.12306e-05
0.632293, 0, 0.000370829, 1.71792e-05, 1.41421, -0.000370829, 1.71792e-05, 1.71929e-05, 0.000111273, 2.07511e-05, 1.93526e-05, 1.73274e-05, 7.50628e-05, 2.59426e-05, 1.77438e-05, 0.000146756, 1.73899e-05, 1.75221e-05, 1.74374e-05, 1.71792e-05, 1.71794e-05, 7.06264e-05, 1.71792e-05, 1.71792e-05, 1.97807e-05
0.640157, 0, 0.000632151, 2.95908e-05, 1.41421, -0.000632151, 2.95908e-05, 2.96144e-05, 0.000191366, 3.5732e-05, 3.33276e-05, 2.98456e-05, 0.000140047, 4.46577e-05, 3.05615e-05, 0.000252371, 2.99531e-05, 3.01805e-05, 2.99623e-05, 2.95908e-05, 2.95913e-05, 0.000105148, 2.95908e-05, 2.95908e-05, 3.40636e-05
