   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_219.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.300283, 0, 3.31427e-11, 0, 1.41421, -3.31427e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52268e-13, 0, 0, 4.83536e-16, 0, 1.18419e-15, 0, 3.29888e-11, 0, 0, 0
0.308153, 0, 5.49891e-11, 0, 1.41421, -5.49891e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52663e-13, 0, 0, 8.27359e-16, 0, 2.03601e-15, 0, 5.47335e-11, 0, 0, 0
0.316024, 0, 9.0521e-11, 1.079e-43, 1.41421, -9.0521e-11, 0, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 4.15992e-13, 1.079e-43, 1.079e-43, 1.40959e-15, 1.079e-43, 3.48514e-15, 1.079e-43, 9.01001e-11, 1.079e-43, 1.079e-43, 1.079e-43
0.323895, 0, 1.47742e-10, 1.92959e-42, 1.41421, -1.47742e-10, 0, 1.92959e-42, 1.92959e-42, 1.92959e-42, 1.92959e-42, 1.92959e-42, 1.92959e-42, 1.92959e-42, 1.92959e-42, 1.92959e-42, 1.92959e-42, 1.92959e-42, 6.79078e-13, 1.92959e-42, 1.92959e-42, 2.38333e-15, 1.92959e-42, 5.9198e-15, 1.92959e-42, 1.47054e-10, 1.92959e-42, 1.92959e-42, 1.92959e-42
0.331765, 0, 2.39186e-10, 2.8316e-41, 1.41421, -2.39186e-10, 0, 2.8316e-41, 2.8316e-41, 2.8316e-41, 2.8316e-41, 2.8316e-41, 2.8316e-41, 2.8316e-41, 2.8316e-41, 2.8316e-41, 2.8316e-41, 2.8316e-41, 1.09965e-12, 2.8316e-41, 2.8316e-41, 4.00818e-15, 2.8316e-41, 9.99913e-15, 2.8316e-41, 2.38072e-10, 2.8316e-41, 2.8316e-41, 2.8316e-41
0.339636, 0, 3.84119e-10, 3.67734e-40, 1.41421, -3.84119e-10, 0, 3.67734e-40, 3.67734e-40, 3.67734e-40, 3.67734e-40, 3.67734e-40, 3.67734e-40, 3.67734e-40, 3.67734e-40, 3.67734e-40, 3.67734e-40, 3.67734e-40, 1.76652e-12, 3.67734e-40, 3.67734e-40, 6.70773e-15, 3.67734e-40, 1.68008e-14, 3.67734e-40, 3.82329e-10, 3.67734e-40, 3.67734e-40, 3.67734e-40
0.347506, 0, 6.11945e-10, 4.27008e-39, 1.41421, -6.11945e-10, 0, 4.27008e-39, 4.27008e-39, 4.27008e-39, 4.27008e-39, 4.27008e-39, 4.27008e-39, 4.27008e-39, 4.27008e-39, 4.27008e-39, 4.27008e-39, 4.27008e-39, 2.81535e-12, 4.27008e-39, 4.27008e-39, 1.11758e-14, 4.27008e-39, 2.80914e-14, 4.27008e-39, 6.0909e-10, 4.27008e-39, 4.27008e-39, 4.27008e-39
0.355377, 0, 9.67152e-10, 4.47668e-38, 1.41421, -9.67152e-10, 0, 4.47668e-38, 4.47668e-38, 4.47668e-38, 4.47668e-38, 4.47668e-38, 4.47668e-38, 4.47668e-38, 4.47668e-38, 4.47668e-38, 4.47668e-38, 4.47668e-38, 4.45169e-12, 4.47668e-38, 4.47668e-38, 1.85469e-14, 4.47668e-38, 4.67583e-14, 4.47668e-38, 9.62635e-10, 4.47668e-38, 4.47668e-38, 4.47668e-38
0.363248, 0, 1.51646e-09, 4.25788e-37, 1.41421, -1.51646e-09, 0, 4.25788e-37, 4.25788e-37, 4.25788e-37, 4.25788e-37, 4.25788e-37, 4.25788e-37, 4.25788e-37, 4.25788e-37, 4.25788e-37, 4.25788e-37, 4.25788e-37, 6.98429e-12, 4.25788e-37, 4.25788e-37, 3.06755e-14, 4.25788e-37, 7.75125e-14, 4.25788e-37, 1.50937e-09, 4.25788e-37, 4.25788e-37, 4.25788e-37
0.371118, 0, 2.35909e-09, 3.69943e-36, 1.41421, -2.35909e-09, 0, 3.69943e-36, 3.69943e-36, 3.69943e-36, 3.69943e-36, 3.69943e-36, 3.69943e-36, 3.69943e-36, 3.69943e-36, 3.69943e-36, 3.69943e-36, 3.69943e-36, 1.08732e-11, 3.69943e-36, 3.69943e-36, 5.05911e-14, 3.69943e-36, 1.28029e-13, 3.69943e-36, 2.34804e-09, 3.69943e-36, 3.69943e-36, 3.69943e-36
