   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_331.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.459873, 0, 1.35224e-07, 8.50525e-28, 1.41421, -1.35224e-07, 0, 8.50525e-28, 8.50525e-28, 8.50525e-28, 8.50525e-28, 8.50525e-28, 8.50525e-28, 8.50525e-28, 8.50525e-28, 8.50525e-28, 6.78821e-10, 8.50525e-28, 8.50525e-28, 2.22832e-11, 8.50525e-28, 1.34523e-07, 8.50525e-28, 8.50525e-28, 8.50525e-28
0.467736, 0, 1.92867e-07, 3.53092e-27, 1.41421, -1.92867e-07, 0, 3.53092e-27, 3.53092e-27, 3.53092e-27, 3.53092e-27, 3.53092e-27, 3.53092e-27, 3.53092e-27, 3.53092e-27, 3.53092e-27, 9.73768e-10, 3.53092e-27, 3.53092e-27, 3.64232e-11, 3.53092e-27, 1.91857e-07, 3.53092e-27, 3.53092e-27, 3.53092e-27
0.4756, 0, 2.73117e-07, 1.39808e-26, 1.41421, -2.73117e-07, 0, 1.39808e-26, 1.39808e-26, 1.39808e-26, 1.39808e-26, 1.39808e-26, 1.39808e-26, 1.39808e-26, 1.39808e-26, 1.39808e-26, 1.38803e-09, 1.39808e-26, 1.39808e-26, 5.93646e-11, 1.39808e-26, 2.7167e-07, 1.39808e-26, 1.39808e-26, 1.39808e-26
0.483464, 0, 3.84029e-07, 5.28939e-26, 1.41421, -3.84029e-07, 0, 5.28939e-26, 5.28939e-26, 5.28939e-26, 5.28939e-26, 5.28939e-26, 5.28939e-26, 2.67361e-12, 5.28939e-26, 5.28939e-26, 1.96628e-09, 5.28939e-26, 5.28939e-26, 9.64226e-11, 5.28939e-26, 3.81964e-07, 5.28939e-26, 5.28939e-26, 5.28939e-26
0.491328, 0, 5.36215e-07, 1.91596e-25, 1.41421, -5.36215e-07, 0, 1.91596e-25, 1.91596e-25, 1.91596e-25, 1.91596e-25, 1.91596e-25, 1.91596e-25, 9.25284e-12, 1.91596e-25, 1.91596e-25, 2.76861e-09, 1.91596e-25, 1.91596e-25, 1.55987e-10, 1.91596e-25, 5.33281e-07, 1.91596e-25, 1.91596e-25, 1.91596e-25
0.499192, 0, 7.43547e-07, 6.71407e-25, 1.41421, -7.43547e-07, 0, 6.71407e-25, 6.71407e-25, 6.71407e-25, 6.71407e-25, 6.71407e-25, 6.71407e-25, 2.49252e-11, 6.71407e-25, 6.71407e-25, 3.87531e-09, 6.71407e-25, 6.71407e-25, 2.51198e-10, 6.71407e-25, 7.39395e-07, 6.71407e-25, 6.71407e-25, 6.71407e-25
0.507056, 0, 1.02683e-06, 3.42528e-10, 1.41421, -1.02683e-06, 3.42528e-10, 3.42549e-10, 3.42645e-10, 6.9024e-10, 3.49006e-10, 3.43127e-10, 3.68615e-10, 5.29029e-10, 3.77827e-10, 2.10649e-09, 5.73572e-09, 3.42944e-10, 3.44096e-10, 7.4501e-10, 3.42529e-10, 1.01864e-06, 3.42528e-10, 3.42528e-10, 3.70785e-10
0.51492, 0, 1.4105e-06, 1.17517e-09, 1.41421, -1.4105e-06, 1.17517e-09, 1.17524e-09, 1.17557e-09, 2.37214e-09, 1.19747e-09, 1.17723e-09, 1.26497e-09, 1.74958e-09, 1.29668e-09, 7.24748e-09, 8.63837e-09, 1.1766e-09, 1.18056e-09, 1.81658e-09, 1.17517e-09, 1.39421e-06, 1.17517e-09, 1.17517e-09, 1.27244e-09
0.522784, 0, 1.92979e-06, 3.1418e-09, 1.41421, -1.92979e-06, 3.1418e-09, 3.14199e-09, 3.14288e-09, 6.35106e-09, 3.20159e-09, 3.14733e-09, 3.38257e-09, 4.62161e-09, 3.4676e-09, 1.94225e-08, 1.34124e-08, 3.14564e-09, 3.15628e-09, 4.15794e-09, 3.14181e-09, 1.89662e-06, 3.1418e-09, 3.1418e-09, 3.4026e-09
0.530648, 0, 2.63425e-06, 7.67208e-09, 1.41421, -2.63425e-06, 7.67208e-09, 7.67255e-09, 7.67472e-09, 1.55227e-08, 7.81835e-09, 7.68561e-09, 8.26107e-09, 1.12116e-08, 8.46907e-09, 4.7499e-08, 2.17291e-08, 7.68148e-09, 7.70749e-09, 9.27177e-09, 7.6721e-09, 2.56515e-06, 7.67208e-09, 7.67208e-09, 8.31006e-09
