   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_126.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.442263, 0, 1.35047e-07, 1.58163e-28, 1.41421, -1.35047e-07, 0, 1.58163e-28, 1.58163e-28, 1.58163e-28, 1.58163e-28, 1.58163e-28, 1.58163e-28, 1.58163e-28, 1.58163e-28, 1.58163e-28, 1.58163e-28, 4.7764e-10, 1.58163e-28, 1.58163e-28, 7.42643e-12, 1.58163e-28, 1.58163e-28, 1.34562e-07, 1.58163e-28, 1.58163e-28, 1.58163e-28
0.450139, 0, 1.92345e-07, 6.92468e-28, 1.41421, -1.92345e-07, 0, 6.92468e-28, 6.92468e-28, 6.92468e-28, 6.92468e-28, 6.92468e-28, 6.92468e-28, 6.92468e-28, 6.92468e-28, 6.92468e-28, 6.92468e-28, 6.83609e-10, 6.92468e-28, 6.92468e-28, 1.19977e-11, 6.92468e-28, 6.92468e-28, 1.91649e-07, 6.92468e-28, 6.92468e-28, 6.92468e-28
0.458014, 0, 2.72063e-07, 2.89311e-27, 1.41421, -2.72063e-07, 0, 2.89311e-27, 2.89311e-27, 2.89311e-27, 2.89311e-27, 2.89311e-27, 2.89311e-27, 2.89311e-27, 2.89311e-27, 2.89311e-27, 2.89311e-27, 9.72329e-10, 2.89311e-27, 2.89311e-27, 1.93487e-11, 2.89311e-27, 2.89311e-27, 2.71071e-07, 2.89311e-27, 2.89311e-27, 2.89311e-27
0.465889, 0, 3.82192e-07, 1.15372e-26, 1.41421, -3.82192e-07, 0, 1.15372e-26, 1.15372e-26, 1.15372e-26, 1.15372e-26, 1.15372e-26, 1.15372e-26, 1.15372e-26, 1.15372e-26, 1.15372e-26, 1.15372e-26, 1.3746e-09, 1.15372e-26, 1.15372e-26, 3.11332e-11, 1.15372e-26, 1.15372e-26, 3.80786e-07, 1.15372e-26, 1.15372e-26, 1.15372e-26
0.473764, 0, 5.33276e-07, 4.39603e-26, 1.41421, -5.33276e-07, 0, 4.39603e-26, 4.39603e-26, 4.39603e-26, 4.39603e-26, 4.39603e-26, 4.39603e-26, 4.39603e-26, 4.4529e-12, 4.39603e-26, 4.39603e-26, 1.93179e-09, 4.39603e-26, 4.39603e-26, 4.99565e-11, 4.39603e-26, 4.39603e-26, 5.3129e-07, 4.39603e-26, 4.39603e-26, 4.39603e-26
0.481639, 0, 7.39119e-07, 1.60319e-25, 1.41421, -7.39119e-07, 0, 1.60319e-25, 1.60319e-25, 1.60319e-25, 1.60319e-25, 1.60319e-25, 1.60319e-25, 1.60319e-25, 1.5224e-11, 1.60319e-25, 1.60319e-25, 2.6991e-09, 1.60319e-25, 1.60319e-25, 7.98964e-11, 1.60319e-25, 1.60319e-25, 7.36325e-07, 1.60319e-25, 1.60319e-25, 1.60319e-25
0.489515, 0, 1.01766e-06, 5.64467e-25, 1.41421, -1.01766e-06, 0, 5.64467e-25, 5.64467e-25, 5.64467e-25, 5.64467e-25, 5.64467e-25, 5.64467e-25, 5.64467e-25, 4.04693e-11, 5.64467e-25, 5.64467e-25, 3.74983e-09, 5.64467e-25, 5.64467e-25, 1.27293e-10, 5.64467e-25, 5.64467e-25, 1.01374e-06, 5.64467e-25, 5.64467e-25, 5.64467e-25
0.49739, 0, 1.39391e-06, 1.87582e-10, 1.41421, -1.39391e-06, 1.87582e-10, 1.87597e-10, 1.87629e-10, 6.585e-10, 1.97937e-10, 1.96382e-10, 2.17995e-10, 2.21983e-10, 4.93758e-10, 2.39906e-10, 8.58199e-10, 5.36842e-09, 1.93455e-10, 1.89651e-10, 3.89514e-10, 1.87624e-10, 1.87584e-10, 1.38691e-06, 1.87582e-10, 1.87582e-10, 2.11362e-10
0.505265, 0, 1.89826e-06, 6.37217e-10, 1.41421, -1.89826e-06, 6.37217e-10, 6.37267e-10, 6.37378e-10, 2.23872e-09, 6.72434e-10, 6.67142e-10, 7.40644e-10, 7.54208e-10, 1.5712e-09, 8.15162e-10, 2.91786e-09, 7.75633e-09, 6.57188e-10, 6.44253e-10, 9.56062e-10, 6.3821e-10, 6.37222e-10, 1.88543e-06, 6.37217e-10, 6.37217e-10, 7.18089e-10
0.51314, 0, 2.57215e-06, 1.68424e-09, 1.41421, -2.57215e-06, 1.68424e-09, 1.68437e-09, 1.68466e-09, 5.92145e-09, 1.77741e-09, 1.76341e-09, 1.95788e-09, 1.99377e-09, 4.06144e-09, 2.15504e-09, 7.7183e-09, 1.14147e-08, 1.73708e-09, 1.70285e-09, 2.18507e-09, 1.68758e-09, 1.68425e-09, 2.54776e-06, 1.68424e-09, 1.68424e-09, 1.89821e-09
0.521015, 0, 3.47068e-06, 4.06245e-09, 1.41421, -3.47068e-06, 4.06245e-09, 4.06277e-09, 4.06347e-09, 1.42869e-08, 4.28728e-09, 4.2535e-09, 4.72276e-09, 4.80935e-09, 9.67631e-09, 5.1985e-09, 1.86228e-08, 1.72928e-08, 4.18995e-09, 4.10737e-09, 4.84476e-09, 4.0715e-09, 4.06248e-09, 3.42261e-06, 4.06245e-09, 4.06245e-09, 4.57876e-09
0.52889, 0, 4.66985e-06, 9.33401e-09, 1.41421, -4.66985e-06, 9.33401e-09, 9.33474e-09, 9.33637e-09, 3.28301e-08, 9.85069e-09, 9.77305e-09, 1.08514e-08, 1.10504e-08, 2.20317e-08, 1.19447e-08, 4.2794e-08, 2.72304e-08, 9.62702e-09, 9.43723e-09, 1.05488e-08, 9.35634e-09, 9.33409e-09, 4.57268e-06, 9.33401e-09, 9.33401e-09, 1.05205e-08
