   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_150.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.499098, 0, 8.1709e-07, 1.15841e-10, 1.41421, -8.1709e-07, 1.15841e-10, 1.15885e-10, 1.16106e-10, 1.15895e-10, 1.01444e-09, 1.36987e-10, 1.47538e-10, 4.44857e-10, 7.6471e-10, 4.65671e-09, 5.32131e-09, 1.16849e-10, 1.20934e-10, 4.29645e-10, 6.45285e-10, 1.15846e-10, 8.04498e-07, 1.15841e-10, 1.15841e-10, 1.83032e-10
0.506969, 0, 1.11468e-06, 3.93036e-10, 1.41421, -1.11468e-06, 3.93036e-10, 3.93153e-10, 3.93741e-10, 3.9318e-10, 2.78145e-09, 4.49242e-10, 4.77286e-10, 1.25354e-09, 2.11769e-09, 1.24624e-08, 7.52198e-09, 3.95716e-10, 4.06573e-10, 8.87766e-10, 1.22384e-09, 3.93048e-10, 1.08884e-06, 3.93036e-10, 3.93036e-10, 5.71626e-10
0.514841, 0, 1.51881e-06, 1.04043e-09, 1.41421, -1.51881e-06, 1.04043e-09, 1.04071e-09, 1.04214e-09, 1.04077e-09, 6.83221e-09, 1.17672e-09, 1.24473e-09, 3.10952e-09, 5.22261e-09, 3.03079e-08, 1.07523e-08, 1.04693e-09, 1.07325e-09, 1.81641e-09, 2.33661e-09, 1.04046e-09, 1.4649e-06, 1.04043e-09, 1.04043e-09, 1.4735e-09
0.522712, 0, 2.07318e-06, 2.51558e-09, 1.41421, -2.07318e-06, 2.51558e-09, 2.51623e-09, 2.51953e-09, 2.51638e-09, 1.58933e-08, 2.83039e-09, 2.98747e-09, 7.26697e-09, 1.21755e-08, 7.01169e-08, 1.56777e-08, 2.53059e-09, 2.5914e-09, 3.72601e-09, 4.52511e-09, 2.51564e-09, 1.95952e-06, 2.51558e-09, 2.51558e-09, 3.51587e-09
0.530583, 0, 2.84717e-06, 5.79829e-09, 1.41421, -2.84717e-06, 5.79829e-09, 5.79976e-09, 5.80711e-09, 5.80009e-09, 3.56844e-08, 6.50159e-09, 6.8525e-09, 1.63607e-08, 2.73788e-08, 1.56821e-07, 2.35454e-08, 5.83183e-09, 5.96767e-09, 7.67536e-09, 8.89255e-09, 5.79844e-09, 2.60719e-06, 5.79829e-09, 5.79829e-09, 8.03297e-09
0.538455, 0, 3.95702e-06, 1.29318e-08, 1.41421, -3.95702e-06, 1.29318e-08, 1.2935e-08, 1.29509e-08, 1.29357e-08, 7.79047e-08, 1.44607e-08, 1.52236e-08, 3.66691e-08, 5.98481e-08, 3.41258e-07, 3.67402e-08, 1.30047e-08, 1.33e-08, 1.58248e-08, 1.7667e-08, 1.29321e-08, 3.45249e-06, 1.29318e-08, 1.29318e-08, 1.779e-08
0.546326, 0, 5.60271e-06, 2.80715e-08, 1.41421, -5.60271e-06, 2.80715e-08, 2.80783e-08, 2.81122e-08, 2.80798e-08, 1.65891e-07, 3.13147e-08, 3.2933e-08, 8.02171e-08, 1.2759e-07, 7.24512e-07, 5.98521e-08, 2.82261e-08, 2.88526e-08, 3.25018e-08, 3.52585e-08, 2.80722e-08, 4.55398e-06, 2.80715e-08, 2.80715e-08, 3.83767e-08
0.554197, 0, 8.15555e-06, 5.94596e-08, 1.41421, -8.15555e-06, 5.94596e-08, 5.94737e-08, 5.9544e-08, 5.94768e-08, 3.45041e-07, 6.61801e-08, 6.95333e-08, 1.89612e-07, 2.65675e-07, 1.50258e-06, 1.01672e-07, 5.97801e-08, 6.10782e-08, 6.61995e-08, 7.02836e-08, 5.94611e-08, 5.9905e-06, 5.94596e-08, 5.94596e-08, 8.08135e-08
0.562068, 0, 1.22487e-05, 1.23037e-07, 1.41421, -1.22487e-05, 1.23037e-07, 1.23065e-07, 1.23208e-07, 1.23072e-07, 7.01466e-07, 1.36649e-07, 1.4344e-07, 4.17791e-07, 5.40714e-07, 3.046e-06, 1.78831e-07, 1.23686e-07, 1.26315e-07, 1.33222e-07, 1.39208e-07, 1.2304e-07, 7.87132e-06, 1.23037e-07, 1.23037e-07, 1.66288e-07
0.56994, 0, 1.90249e-05, 2.48864e-07, 1.41421, -1.90249e-05, 2.48864e-07, 2.4892e-07, 2.49202e-07, 2.48933e-07, 1.39445e-06, 2.75822e-07, 2.89273e-07, 8.84851e-07, 1.07608e-06, 6.03781e-06, 3.22255e-07, 2.50149e-07, 2.55357e-07, 2.64154e-07, 2.72831e-07, 2.4887e-07, 1.03533e-05, 2.48864e-07, 2.48864e-07, 3.34523e-07
0.577811, 0, 3.04996e-05, 4.92216e-07, 1.41421, -3.04996e-05, 4.92216e-07, 4.92326e-07, 4.92872e-07, 4.9235e-07, 2.71124e-06, 5.44436e-07, 5.70491e-07, 1.82206e-06, 2.09455e-06, 1.17056e-05, 5.88298e-07, 4.94707e-07, 5.04793e-07, 5.15008e-07, 5.27451e-07, 4.92228e-07, 1.36686e-05, 4.92216e-07, 4.92216e-07, 6.5814e-07
0.585682, 0, 5.01654e-05, 9.52171e-07, 1.41421, -5.01654e-05, 9.52171e-07, 9.52378e-07, 9.53413e-07, 9.52425e-07, 5.15689e-06, 1.05112e-06, 1.10049e-06, 3.65566e-06, 3.98836e-06, 2.21998e-05, 1.07738e-06, 9.5689e-07, 9.76002e-07, 9.85913e-07, 1.00356e-06, 9.52193e-07, 1.81711e-05, 9.52171e-07, 9.52171e-07, 1.26657e-06
0.593554, 0, 8.40122e-05, 1.80186e-06, 1.41421, -8.40122e-05, 1.80186e-06, 1.80224e-06, 1.80416e-06, 1.80233e-06, 9.59698e-06, 1.9853e-06, 2.07683e-06, 7.20587e-06, 7.43064e-06, 4.11928e-05, 1.96429e-06, 1.81061e-06, 1.84604e-06, 1.85147e-06, 1.87622e-06, 1.8019e-06, 2.44095e-05, 1.80186e-06, 1.80186e-06, 2.38472e-06
0.601425, 0, 0.00014207, 3.33614e-06, 1.41421, -0.00014207, 3.33614e-06, 3.33683e-06, 3.34032e-06, 3.33699e-06, 1.74774e-05, 3.66892e-06, 3.83496e-06, 1.39715e-05, 1.35474e-05, 7.47961e-05, 3.54598e-06, 3.35201e-06, 3.41629e-06, 3.4086e-06, 3.44296e-06, 3.33621e-06, 3.32424e-05, 3.33614e-06, 3.33614e-06, 4.39353e-06
