   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_198.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.450381, 0, 1.11511e-07, 2.18832e-28, 1.41421, -1.11511e-07, 0, 2.18832e-28, 2.18832e-28, 2.18832e-28, 2.18832e-28, 2.18832e-28, 2.18832e-28, 2.18832e-28, 2.18832e-28, 2.18832e-28, 2.18832e-28, 2.18832e-28, 8.85301e-10, 2.18832e-28, 2.18832e-28, 2.02565e-12, 2.18832e-28, 9.50455e-11, 2.18832e-28, 1.10529e-07, 2.18832e-28, 2.18832e-28, 2.18832e-28
0.458253, 0, 1.58953e-07, 9.63891e-28, 1.41421, -1.58953e-07, 0, 9.63891e-28, 9.63891e-28, 9.63891e-28, 9.63891e-28, 9.63891e-28, 9.63891e-28, 9.63891e-28, 9.63891e-28, 9.63891e-28, 9.63891e-28, 9.63891e-28, 1.26862e-09, 9.63891e-28, 9.63891e-28, 3.28639e-12, 9.63891e-28, 1.53538e-10, 9.63891e-28, 1.57527e-07, 9.63891e-28, 9.63891e-28, 9.63891e-28
0.466125, 0, 2.24986e-07, 4.03844e-27, 1.41421, -2.24986e-07, 0, 4.03844e-27, 4.03844e-27, 4.03844e-27, 4.03844e-27, 4.03844e-27, 4.03844e-27, 4.03844e-27, 4.03844e-27, 4.03844e-27, 4.03844e-27, 4.03844e-27, 1.80651e-09, 4.03844e-27, 4.03844e-27, 5.3205e-12, 4.03844e-27, 2.47483e-10, 4.03844e-27, 2.22927e-07, 4.03844e-27, 4.03844e-27, 4.03844e-27
0.473996, 0, 3.16241e-07, 1.61205e-26, 1.41421, -3.16241e-07, 0, 1.61205e-26, 1.61205e-26, 1.61205e-26, 1.61205e-26, 1.61205e-26, 1.61205e-26, 1.61205e-26, 1.61205e-26, 1.61205e-26, 1.61205e-26, 1.61205e-26, 2.55668e-09, 1.61205e-26, 1.61205e-26, 8.59094e-12, 1.61205e-26, 3.97832e-10, 1.61205e-26, 3.13277e-07, 1.61205e-26, 1.61205e-26, 1.61205e-26
0.481868, 0, 4.41462e-07, 6.143e-26, 1.41421, -4.41462e-07, 0, 6.143e-26, 6.143e-26, 6.143e-26, 6.143e-26, 6.143e-26, 6.143e-26, 6.143e-26, 3.82201e-12, 6.143e-26, 6.143e-26, 6.143e-26, 3.59672e-09, 6.143e-26, 6.143e-26, 1.38277e-11, 6.143e-26, 6.37423e-10, 6.143e-26, 4.37211e-07, 6.143e-26, 6.143e-26, 6.143e-26
0.48974, 0, 6.12095e-07, 2.23952e-25, 1.41421, -6.12095e-07, 0, 2.23952e-25, 2.23952e-25, 2.23952e-25, 2.23952e-25, 2.23952e-25, 2.23952e-25, 2.23952e-25, 1.30433e-11, 2.23952e-25, 2.23952e-25, 2.23952e-25, 5.03023e-09, 2.23952e-25, 2.23952e-25, 2.21742e-11, 2.23952e-25, 1.01734e-09, 2.23952e-25, 6.06013e-07, 2.23952e-25, 2.23952e-25, 2.23952e-25
0.497612, 0, 8.43008e-07, 7.88174e-25, 1.41421, -8.43008e-07, 0, 7.88174e-25, 7.88174e-25, 7.88174e-25, 7.88174e-25, 7.88174e-25, 7.88174e-25, 7.88174e-25, 3.45853e-11, 7.88174e-25, 7.88174e-25, 7.88174e-25, 6.99486e-09, 7.88174e-25, 7.88174e-25, 3.54085e-11, 7.88174e-25, 1.61637e-09, 7.88174e-25, 8.34327e-07, 7.88174e-25, 7.88174e-25, 7.88174e-25
0.505484, 0, 1.15776e-06, 4.36374e-10, 1.41421, -1.15776e-06, 4.36374e-10, 4.36427e-10, 4.36398e-10, 4.36494e-10, 8.26487e-10, 4.41506e-10, 4.37798e-10, 4.51913e-10, 6.9931e-10, 7.62046e-10, 4.40974e-10, 3.23602e-09, 1.0109e-08, 4.37585e-10, 4.38785e-10, 4.92649e-10, 4.36385e-10, 2.9913e-09, 4.36376e-10, 1.14162e-06, 4.36374e-10, 4.36374e-10, 4.79298e-10
0.513356, 0, 1.58264e-06, 1.48497e-09, 1.41421, -1.58264e-06, 1.48497e-09, 1.48515e-09, 1.48505e-09, 1.48538e-09, 2.8091e-09, 1.5024e-09, 1.48981e-09, 1.53772e-09, 2.28588e-09, 2.59037e-09, 1.50059e-09, 1.09875e-08, 1.47872e-08, 1.48909e-09, 1.49316e-09, 1.57396e-09, 1.48524e-09, 5.50032e-09, 1.48498e-09, 1.55225e-06, 1.48497e-09, 1.48497e-09, 1.63067e-09
0.521228, 0, 2.15708e-06, 3.92629e-09, 1.41421, -2.15708e-06, 3.92629e-09, 3.92677e-09, 3.9265e-09, 3.92737e-09, 7.4204e-09, 3.97226e-09, 3.93905e-09, 4.06547e-09, 5.9595e-09, 6.84322e-09, 3.9675e-09, 2.90017e-08, 2.21218e-08, 3.93714e-09, 3.94789e-09, 4.06623e-09, 3.92717e-09, 1.0197e-08, 3.92631e-09, 2.09829e-06, 3.92629e-09, 3.92629e-09, 4.31075e-09
