   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_66.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.332046, 0, 2.46977e-10, 4.24235e-39, 1.41421, -2.46977e-10, 0, 4.24235e-39, 4.24235e-39, 4.24235e-39, 4.24235e-39, 4.24235e-39, 4.24235e-39, 4.24235e-39, 4.24235e-39, 4.24235e-39, 1.71218e-11, 4.24235e-39, 3.91966e-14, 4.24235e-39, 2.0566e-13, 4.24235e-39, 2.2961e-10, 4.24235e-39, 4.24235e-39, 4.24235e-39
0.33993, 0, 3.77311e-10, 4.39346e-38, 1.41421, -3.77311e-10, 0, 4.39346e-38, 4.39346e-38, 4.39346e-38, 4.39346e-38, 4.39346e-38, 4.39346e-38, 4.39346e-38, 4.39346e-38, 4.39346e-38, 2.61705e-11, 4.39346e-38, 6.30627e-14, 4.39346e-38, 3.32812e-13, 4.39346e-38, 3.50744e-10, 4.39346e-38, 4.39346e-38, 4.39346e-38
0.347813, 0, 5.72403e-10, 4.12917e-37, 1.41421, -5.72403e-10, 0, 4.12917e-37, 4.12917e-37, 4.12917e-37, 4.12917e-37, 4.12917e-37, 4.12917e-37, 4.12917e-37, 4.12917e-37, 4.12917e-37, 3.9727e-11, 4.12917e-37, 1.01207e-13, 4.12917e-37, 5.36796e-13, 4.12917e-37, 5.32038e-10, 4.12917e-37, 4.12917e-37, 4.12917e-37
0.355696, 0, 8.62348e-10, 3.54637e-36, 1.41421, -8.62348e-10, 0, 3.54637e-36, 3.54637e-36, 3.54637e-36, 3.54637e-36, 3.54637e-36, 3.54637e-36, 3.54637e-36, 3.54637e-36, 3.54637e-36, 5.98957e-11, 3.54637e-36, 1.62095e-13, 3.54637e-36, 8.63227e-13, 3.54637e-36, 8.01427e-10, 3.54637e-36, 3.54637e-36, 3.54637e-36
0.36358, 0, 1.29021e-09, 2.79381e-35, 1.41421, -1.29021e-09, 0, 2.79381e-35, 2.79381e-35, 2.79381e-35, 2.79381e-35, 2.79381e-35, 2.79381e-35, 2.79381e-35, 2.79381e-35, 2.79381e-35, 8.96954e-11, 2.79381e-35, 2.59202e-13, 2.79381e-35, 1.38448e-12, 2.79381e-35, 1.19887e-09, 2.79381e-35, 2.79381e-35, 2.79381e-35
0.371463, 0, 1.91714e-09, 2.02812e-34, 1.41421, -1.91714e-09, 0, 2.02812e-34, 2.02812e-34, 2.02812e-34, 2.02812e-34, 2.02812e-34, 2.02812e-34, 2.02812e-34, 2.02812e-34, 2.02812e-34, 1.33426e-10, 2.02812e-34, 4.13994e-13, 2.02812e-34, 2.21529e-12, 2.02812e-34, 1.78108e-09, 2.02812e-34, 2.02812e-34, 2.02812e-34
0.379346, 0, 2.82933e-09, 1.39413e-33, 1.41421, -2.82933e-09, 0, 1.39413e-33, 1.39413e-33, 1.39413e-33, 1.39413e-33, 1.39413e-33, 1.39413e-33, 1.39413e-33, 1.39413e-33, 1.39413e-33, 1.9717e-10, 1.39413e-33, 6.60671e-13, 1.39413e-33, 3.53733e-12, 1.39413e-33, 2.62797e-09, 1.39413e-33, 1.39413e-33, 1.39413e-33
0.38723, 0, 4.14739e-09, 8.06778e-33, 1.41421, -4.14739e-09, 0, 8.06778e-33, 8.06778e-33, 8.06778e-33, 8.06778e-33, 8.06778e-33, 8.06778e-33, 8.06778e-33, 8.06778e-33, 8.06778e-33, 2.89473e-10, 8.06778e-33, 1.05374e-12, 8.06778e-33, 5.63804e-12, 8.06778e-33, 3.85123e-09, 8.06778e-33, 8.06778e-33, 8.06778e-33
0.395113, 0, 6.03875e-09, 4.767e-32, 1.41421, -6.03875e-09, 0, 4.767e-32, 4.767e-32, 4.767e-32, 4.767e-32, 4.767e-32, 4.767e-32, 4.767e-32, 4.767e-32, 4.767e-32, 4.22256e-10, 4.767e-32, 1.68001e-12, 4.767e-32, 8.9715e-12, 4.767e-32, 5.60584e-09, 4.767e-32, 4.767e-32, 4.767e-32
0.402996, 0, 8.73425e-09, 2.50695e-31, 1.41421, -8.73425e-09, 0, 2.50695e-31, 2.50695e-31, 2.50695e-31, 2.50695e-31, 2.50695e-31, 2.50695e-31, 2.50695e-31, 2.50695e-31, 2.50695e-31, 6.12052e-10, 2.50695e-31, 2.67768e-12, 2.50695e-31, 1.42541e-11, 2.50695e-31, 8.10527e-09, 2.50695e-31, 2.50695e-31, 2.50695e-31
0.41088, 0, 1.25498e-08, 1.29644e-30, 1.41421, -1.25498e-08, 0, 1.29644e-30, 1.29644e-30, 1.29644e-30, 1.29644e-30, 1.29644e-30, 1.29644e-30, 1.29644e-30, 1.29644e-30, 1.29644e-30, 8.81633e-10, 1.29644e-30, 4.26641e-12, 1.29644e-30, 2.26137e-11, 1.29644e-30, 1.16413e-08, 1.29644e-30, 1.29644e-30, 1.29644e-30
0.418763, 0, 1.79146e-08, 6.40682e-30, 1.41421, -1.79146e-08, 0, 6.40682e-30, 6.40682e-30, 6.40682e-30, 6.40682e-30, 6.40682e-30, 6.40682e-30, 6.40682e-30, 6.40682e-30, 6.40682e-30, 1.26218e-09, 6.40682e-30, 6.79462e-12, 6.40682e-30, 3.58215e-11, 6.40682e-30, 1.66098e-08, 6.40682e-30, 6.40682e-30, 6.40682e-30
0.426646, 0, 2.54077e-08, 2.99713e-29, 1.41421, -2.54077e-08, 0, 2.99713e-29, 2.99713e-29, 2.99713e-29, 2.99713e-29, 2.99713e-29, 2.99713e-29, 2.99713e-29, 2.99713e-29, 2.99713e-29, 1.79611e-09, 2.99713e-29, 1.08135e-11, 2.99713e-29, 5.66502e-11, 2.99713e-29, 2.35441e-08, 2.99713e-29, 2.99713e-29, 2.99713e-29
0.43453, 0, 3.58048e-08, 1.35955e-28, 1.41421, -3.58048e-08, 0, 1.35955e-28, 1.35955e-28, 1.35955e-28, 1.35955e-28, 1.35955e-28, 1.35955e-28, 1.35955e-28, 1.35955e-28, 1.35955e-28, 2.54084e-09, 1.35955e-28, 1.71922e-11, 1.35955e-28, 8.94243e-11, 1.35955e-28, 3.31574e-08, 1.35955e-28, 1.35955e-28, 1.35955e-28
0.442413, 0, 5.01382e-08, 5.90981e-28, 1.41421, -5.01382e-08, 0, 5.90981e-28, 5.90981e-28, 5.90981e-28, 5.90981e-28, 5.90981e-28, 5.90981e-28, 5.90981e-28, 5.90981e-28, 5.90981e-28, 3.57358e-09, 5.90981e-28, 2.72954e-11, 5.90981e-28, 1.40858e-10, 5.90981e-28, 4.63965e-08, 5.90981e-28, 5.90981e-28, 5.90981e-28
0.450296, 0, 6.97716e-08, 2.45012e-27, 1.41421, -6.97716e-08, 0, 2.45012e-27, 2.45012e-27, 2.45012e-27, 2.45012e-27, 2.45012e-27, 2.45012e-27, 2.45012e-27, 2.45012e-27, 2.45012e-27, 4.99762e-09, 2.45012e-27, 4.32562e-11, 2.45012e-27, 2.21324e-10, 2.45012e-27, 6.45094e-08, 2.45012e-27, 2.45012e-27, 2.45012e-27
0.45818, 0, 9.64952e-08, 9.69219e-27, 1.41421, -9.64952e-08, 0, 9.69219e-27, 9.69219e-27, 9.69219e-27, 9.69219e-27, 9.69219e-27, 9.69219e-27, 9.69219e-27, 9.69219e-27, 9.69219e-27, 6.95039e-09, 9.69219e-27, 6.83917e-11, 9.69219e-27, 3.46751e-10, 9.69219e-27, 8.91297e-08, 9.69219e-27, 9.69219e-27, 9.69219e-27
0.466063, 0, 1.32645e-07, 3.6623e-26, 1.41421, -1.32645e-07, 0, 3.6623e-26, 3.6623e-26, 3.6623e-26, 3.6623e-26, 3.6623e-26, 3.6623e-26, 1.28132e-12, 3.6623e-26, 3.6623e-26, 9.61375e-09, 3.6623e-26, 1.0783e-10, 3.6623e-26, 5.41442e-10, 3.6623e-26, 1.2238e-07, 3.6623e-26, 3.6623e-26, 3.6623e-26
0.473946, 0, 1.81245e-07, 1.32415e-25, 1.41421, -1.81245e-07, 0, 1.32415e-25, 1.32415e-25, 1.32415e-25, 1.32415e-25, 1.32415e-25, 1.32415e-25, 4.24669e-12, 1.32415e-25, 1.32415e-25, 1.32271e-08, 1.32415e-25, 1.69452e-10, 1.32415e-25, 8.42219e-10, 1.32415e-25, 1.67002e-07, 1.32415e-25, 1.32415e-25, 1.32415e-25
0.48183, 0, 2.46191e-07, 4.62671e-25, 1.41421, -2.46191e-07, 0, 4.62671e-25, 4.62671e-25, 4.62671e-25, 4.62671e-25, 4.62671e-25, 4.62671e-25, 1.09128e-11, 4.62671e-25, 4.62671e-25, 1.8104e-08, 4.62671e-25, 2.65287e-10, 4.62671e-25, 1.30444e-09, 4.62671e-25, 2.26506e-07, 4.62671e-25, 4.62671e-25, 4.62671e-25
0.489713, 0, 3.34943e-07, 3.41093e-10, 1.41421, -3.34943e-07, 3.41093e-10, 3.41181e-10, 3.41195e-10, 3.41147e-10, 1.15505e-09, 3.63222e-10, 3.61736e-10, 4.26245e-10, 3.99134e-10, 1.42899e-09, 2.49946e-08, 3.44966e-10, 7.54661e-10, 3.41093e-10, 2.35173e-09, 3.41095e-10, 3.05748e-07, 3.41093e-10, 3.41093e-10, 3.65996e-10
0.497596, 0, 4.54581e-07, 1.12151e-09, 1.41421, -4.54581e-07, 1.12151e-09, 1.1218e-09, 1.12184e-09, 1.12169e-09, 3.80582e-09, 1.19449e-09, 1.18959e-09, 1.37498e-09, 1.31292e-09, 4.7092e-09, 3.45263e-08, 1.13428e-09, 1.76333e-09, 1.12151e-09, 4.20433e-09, 1.12151e-09, 4.10498e-07, 1.12151e-09, 1.12151e-09, 1.20364e-09
0.50548, 0, 6.17034e-07, 2.86254e-09, 1.41421, -6.17034e-07, 2.86254e-09, 2.86329e-09, 2.86341e-09, 2.863e-09, 9.73047e-09, 3.04927e-09, 3.03673e-09, 3.48809e-09, 3.35228e-09, 1.20418e-08, 4.79032e-08, 2.89522e-09, 3.85358e-09, 2.86254e-09, 7.56217e-09, 2.86256e-09, 5.48534e-07, 2.86254e-09, 2.86254e-09, 3.07267e-09
0.513363, 0, 8.40432e-07, 6.65653e-09, 1.41421, -8.40432e-07, 6.65653e-09, 6.65827e-09, 6.65854e-09, 6.65759e-09, 2.2661e-08, 7.09166e-09, 7.06243e-09, 8.08585e-09, 7.79777e-09, 2.80472e-08, 6.70931e-08, 6.73268e-09, 8.17857e-09, 6.65653e-09, 1.37767e-08, 6.65657e-09, 7.29976e-07, 6.65653e-09, 6.65653e-09, 7.1462e-09
0.521246, 0, 1.15399e-06, 1.47475e-08, 1.41421, -1.15399e-06, 1.47475e-08, 1.47513e-08, 1.47519e-08, 1.47498e-08, 5.0259e-08, 1.57129e-08, 1.56481e-08, 1.7874e-08, 1.72797e-08, 6.22101e-08, 9.54572e-08, 1.49164e-08, 1.70718e-08, 1.47475e-08, 2.54639e-08, 1.47475e-08, 9.68479e-07, 1.47475e-08, 1.47475e-08, 1.5834e-08
0.52913, 0, 1.60735e-06, 3.16311e-08, 1.41421, -1.60735e-06, 3.16311e-08, 3.16394e-08, 3.16407e-08, 3.16362e-08, 1.07883e-07, 3.37043e-08, 3.3565e-08, 3.88644e-08, 3.70685e-08, 1.33545e-07, 1.38908e-07, 3.19939e-08, 3.51597e-08, 3.16311e-08, 4.76717e-08, 3.16313e-08, 1.28294e-06, 3.16311e-08, 3.16311e-08, 3.39641e-08
0.537013, 0, 2.28597e-06, 6.61107e-08, 1.41421, -2.28597e-06, 6.61107e-08, 6.61281e-08, 6.61308e-08, 6.61213e-08, 2.25621e-07, 7.04474e-08, 7.01562e-08, 8.24095e-08, 7.7485e-08, 2.79302e-07, 2.08037e-07, 6.68697e-08, 7.14344e-08, 6.61107e-08, 8.9929e-08, 6.61111e-08, 1.70045e-06, 6.61107e-08, 6.61107e-08, 7.0991e-08
0.544896, 0, 3.35208e-06, 1.3503e-07, 1.41421, -3.35208e-06, 1.3503e-07, 1.35066e-07, 1.35071e-07, 1.35052e-07, 4.61066e-07, 1.43894e-07, 1.43299e-07, 1.819e-07, 1.58279e-07, 5.7079e-07, 3.21934e-07, 1.36581e-07, 1.43012e-07, 1.3503e-07, 1.70142e-07, 1.35031e-07, 2.26141e-06, 1.3503e-07, 1.3503e-07, 1.45005e-07
0.55278, 0, 5.07551e-06, 2.69868e-07, 1.41421, -5.07551e-06, 2.69868e-07, 2.69939e-07, 2.6995e-07, 2.69912e-07, 9.21912e-07, 2.87596e-07, 2.86405e-07, 3.81409e-07, 3.16364e-07, 1.14135e-06, 5.14882e-07, 2.72971e-07, 2.81758e-07, 2.69868e-07, 3.21247e-07, 2.6987e-07, 3.02815e-06, 2.69868e-07, 2.69868e-07, 2.89818e-07
0.560663, 0, 7.95139e-06, 5.28261e-07, 1.41421, -7.95139e-06, 5.28261e-07, 5.28401e-07, 5.28422e-07, 5.28346e-07, 1.80552e-06, 5.62987e-07, 5.60655e-07, 7.79806e-07, 6.1934e-07, 2.23537e-06, 8.48007e-07, 5.34339e-07, 5.45867e-07, 5.28261e-07, 6.02887e-07, 5.28265e-07, 4.09976e-06, 5.28261e-07, 5.28261e-07, 5.6734e-07
0.568546, 0, 1.28205e-05, 1.01245e-06, 1.41421, -1.28205e-05, 1.01245e-06, 1.01271e-06, 1.01276e-06, 1.01261e-06, 3.46194e-06, 1.07904e-06, 1.07457e-06, 1.5344e-06, 1.18712e-06, 4.2863e-06, 1.42787e-06, 1.0241e-06, 1.03834e-06, 1.01245e-06, 1.12004e-06, 1.01245e-06, 5.63553e-06, 1.01245e-06, 1.01245e-06, 1.08739e-06
0.57643, 0, 2.11728e-05, 1.90122e-06, 1.41421, -2.11728e-05, 1.90122e-06, 1.90172e-06, 1.9018e-06, 1.90153e-06, 6.50406e-06, 2.02636e-06, 2.01796e-06, 2.96042e-06, 2.22944e-06, 8.05311e-06, 2.4386e-06, 1.92312e-06, 1.93904e-06, 1.90122e-06, 2.05522e-06, 1.90123e-06, 7.89548e-06, 1.90122e-06, 1.90122e-06, 2.04205e-06
