   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_73.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.404073, 0, 9.32676e-09, 6.75033e-32, 1.41421, -9.32676e-09, 6.75033e-32, 0, 6.75033e-32, 6.75033e-32, 6.75033e-32, 6.75033e-32, 6.75033e-32, 6.75033e-32, 6.75033e-32, 6.75033e-32, 6.75033e-32, 6.75033e-32, 6.11915e-11, 6.75033e-32, 6.75033e-32, 8.1361e-13, 6.75033e-32, 7.23416e-12, 6.75033e-32, 9.25753e-09, 6.75033e-32, 6.75033e-32
0.411952, 0, 1.35866e-08, 3.51049e-31, 1.41421, -1.35866e-08, 3.51049e-31, 0, 3.51049e-31, 3.51049e-31, 3.51049e-31, 3.51049e-31, 3.51049e-31, 3.51049e-31, 3.51049e-31, 3.51049e-31, 3.51049e-31, 3.51049e-31, 8.9357e-11, 3.51049e-31, 3.51049e-31, 1.31017e-12, 3.51049e-31, 1.15968e-11, 3.51049e-31, 1.34843e-08, 3.51049e-31, 3.51049e-31
0.419831, 0, 1.96552e-08, 1.79765e-30, 1.41421, -1.96552e-08, 1.79765e-30, 0, 1.79765e-30, 1.79765e-30, 1.79765e-30, 1.79765e-30, 1.79765e-30, 1.79765e-30, 1.79765e-30, 1.79765e-30, 1.79765e-30, 1.79765e-30, 1.29638e-10, 1.79765e-30, 1.79765e-30, 2.10902e-12, 1.79765e-30, 1.85652e-11, 1.79765e-30, 1.95049e-08, 1.79765e-30, 1.79765e-30
0.42771, 0, 2.82395e-08, 8.80937e-30, 1.41421, -2.82395e-08, 8.80937e-30, 0, 8.80937e-30, 8.80937e-30, 8.80937e-30, 8.80937e-30, 8.80937e-30, 8.80937e-30, 8.80937e-30, 8.80937e-30, 8.80937e-30, 8.80937e-30, 1.86877e-10, 8.80937e-30, 8.80937e-30, 3.39317e-12, 8.80937e-30, 2.96795e-11, 8.80937e-30, 2.80196e-08, 8.80937e-30, 8.80937e-30
0.43559, 0, 4.02976e-08, 4.10168e-29, 1.41421, -4.02976e-08, 4.10168e-29, 0, 4.10168e-29, 4.10168e-29, 4.10168e-29, 4.10168e-29, 4.10168e-29, 4.10168e-29, 4.10168e-29, 4.10168e-29, 4.10168e-29, 4.10168e-29, 2.67697e-10, 4.10168e-29, 4.10168e-29, 5.45484e-12, 4.10168e-29, 4.7375e-11, 4.10168e-29, 3.99771e-08, 4.10168e-29, 4.10168e-29
0.443469, 0, 5.71179e-08, 1.85213e-28, 1.41421, -5.71179e-08, 1.85213e-28, 0, 1.85213e-28, 1.85213e-28, 1.85213e-28, 1.85213e-28, 1.85213e-28, 1.85213e-28, 1.85213e-28, 1.85213e-28, 1.85213e-28, 1.85213e-28, 3.81113e-10, 1.85213e-28, 1.85213e-28, 8.75899e-12, 1.85213e-28, 7.54877e-11, 1.85213e-28, 5.66525e-08, 1.85213e-28, 1.85213e-28
0.451348, 0, 8.04205e-08, 8.01447e-28, 1.41421, -8.04205e-08, 8.01447e-28, 0, 8.01447e-28, 8.01447e-28, 8.01447e-28, 8.01447e-28, 8.01447e-28, 8.01447e-28, 8.01447e-28, 8.01447e-28, 8.01447e-28, 8.01447e-28, 5.39311e-10, 8.01447e-28, 8.01447e-28, 1.40422e-11, 8.01447e-28, 1.20033e-10, 8.01447e-28, 7.97471e-08, 8.01447e-28, 8.01447e-28
0.459228, 0, 1.12485e-07, 3.30872e-27, 1.41421, -1.12485e-07, 3.30872e-27, 0, 3.30872e-27, 3.30872e-27, 3.30872e-27, 3.30872e-27, 3.30872e-27, 3.30872e-27, 3.30872e-27, 3.30872e-27, 3.30872e-27, 3.30872e-27, 7.58675e-10, 3.30872e-27, 3.30872e-27, 2.24652e-11, 3.30872e-27, 1.90391e-10, 3.30872e-27, 1.11513e-07, 3.30872e-27, 3.30872e-27
0.467107, 0, 1.5631e-07, 1.30387e-26, 1.41421, -1.5631e-07, 1.30387e-26, 0, 1.30387e-26, 1.30387e-26, 1.30387e-26, 1.30387e-26, 1.30387e-26, 1.30387e-26, 1.30387e-26, 1.30387e-26, 1.30387e-26, 1.30387e-26, 1.06111e-09, 1.30387e-26, 1.30387e-26, 3.58474e-11, 1.30387e-26, 3.01103e-10, 1.30387e-26, 1.54912e-07, 1.30387e-26, 1.30387e-26
0.474986, 0, 2.15815e-07, 4.9098e-26, 1.41421, -2.15815e-07, 4.9098e-26, 0, 4.9098e-26, 4.9098e-26, 4.9098e-26, 4.9098e-26, 4.9098e-26, 4.9098e-26, 6.94841e-13, 4.9098e-26, 4.9098e-26, 4.9098e-26, 1.47574e-09, 4.9098e-26, 4.9098e-26, 5.70229e-11, 4.9098e-26, 4.74561e-10, 4.9098e-26, 2.13807e-07, 4.9098e-26, 4.9098e-26
