   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_236.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.47551, 0, 3.60751e-07, 1.13357e-26, 1.41421, -3.60751e-07, 0, 1.13357e-26, 1.13357e-26, 1.13357e-26, 1.13357e-26, 1.13357e-26, 1.13357e-26, 1.13357e-26, 1.13357e-26, 1.13357e-26, 1.13357e-26, 1.13357e-26, 3.08183e-09, 1.13357e-26, 1.13357e-26, 6.12717e-11, 1.13357e-26, 6.02359e-10, 1.13357e-26, 3.57005e-07, 1.13357e-26, 1.13357e-26, 1.13357e-26
0.483376, 0, 5.10186e-07, 4.30015e-26, 1.41421, -5.10186e-07, 0, 4.30015e-26, 4.30015e-26, 4.30015e-26, 4.30015e-26, 4.30015e-26, 4.30015e-26, 4.30015e-26, 4.51302e-12, 4.30015e-26, 4.30015e-26, 4.30015e-26, 4.38786e-09, 4.30015e-26, 4.30015e-26, 1.00175e-10, 4.30015e-26, 9.78506e-10, 4.30015e-26, 5.04715e-07, 4.30015e-26, 4.30015e-26, 4.30015e-26
0.491243, 0, 7.16409e-07, 1.56237e-25, 1.41421, -7.16409e-07, 0, 1.56237e-25, 1.56237e-25, 1.56237e-25, 1.56237e-25, 1.56237e-25, 1.56237e-25, 1.56237e-25, 1.58091e-11, 1.56237e-25, 1.56237e-25, 1.56237e-25, 6.20847e-09, 1.56237e-25, 1.56237e-25, 1.63124e-10, 1.56237e-25, 1.58427e-09, 1.56237e-25, 7.08437e-07, 1.56237e-25, 1.56237e-25, 1.56237e-25
0.49911, 0, 9.98956e-07, 5.4924e-25, 1.41421, -9.98956e-07, 0, 5.4924e-25, 5.4924e-25, 5.4924e-25, 5.4924e-25, 5.4924e-25, 5.4924e-25, 5.4924e-25, 4.31549e-11, 5.4924e-25, 5.4924e-25, 5.4924e-25, 8.73106e-09, 5.4924e-25, 5.4924e-25, 2.64419e-10, 5.4924e-25, 2.55478e-09, 5.4924e-25, 9.87363e-07, 5.4924e-25, 5.4924e-25, 5.4924e-25
0.506977, 0, 1.38531e-06, 3.30457e-10, 1.41421, -1.38531e-06, 3.30457e-10, 3.3049e-10, 3.30547e-10, 3.30564e-10, 6.92126e-10, 3.40608e-10, 3.31339e-10, 3.73118e-10, 6.49476e-10, 5.44437e-10, 3.31808e-10, 9.64884e-10, 1.25363e-08, 3.32892e-10, 3.32139e-10, 7.56896e-10, 3.30613e-10, 4.43089e-09, 3.30458e-10, 1.36697e-06, 3.30457e-10, 3.30457e-10, 3.43856e-10
0.514843, 0, 1.90951e-06, 1.15667e-09, 1.41421, -1.90951e-06, 1.15667e-09, 1.15679e-09, 1.15699e-09, 1.15704e-09, 2.41666e-09, 1.19204e-09, 1.15974e-09, 1.3053e-09, 2.1485e-09, 1.90214e-09, 1.16138e-09, 3.3669e-09, 1.8121e-08, 1.16515e-09, 1.16253e-09, 1.84066e-09, 1.16087e-09, 7.70244e-09, 1.15667e-09, 1.87985e-06, 1.15667e-09, 1.15667e-09, 1.20335e-09
0.52271, 0, 2.61843e-06, 3.15192e-09, 1.41421, -2.61843e-06, 3.15192e-09, 3.15224e-09, 3.15278e-09, 3.15294e-09, 6.57458e-09, 3.24799e-09, 3.16027e-09, 3.55565e-09, 5.73786e-09, 5.17693e-09, 3.16471e-09, 9.15582e-09, 2.65956e-08, 3.17497e-09, 3.16784e-09, 4.24245e-09, 3.166e-09, 1.35381e-08, 3.15193e-09, 2.56877e-06, 3.15192e-09, 3.15192e-09, 3.27873e-09
0.530577, 0, 3.57557e-06, 7.83168e-09, 1.41421, -3.57557e-06, 7.83168e-09, 7.83245e-09, 7.8338e-09, 7.83419e-09, 1.63193e-08, 8.0699e-09, 7.85238e-09, 8.83286e-09, 1.40969e-08, 1.28534e-08, 7.86339e-09, 2.27204e-08, 4.00484e-08, 7.88882e-09, 7.87116e-09, 9.55932e-09, 7.87044e-09, 2.42013e-08, 7.8317e-09, 3.48884e-06, 7.83168e-09, 7.83168e-09, 8.14613e-09
0.538444, 0, 4.87029e-06, 1.85184e-08, 1.41421, -4.87029e-06, 1.85184e-08, 1.85202e-08, 1.85234e-08, 1.85243e-08, 3.85634e-08, 1.9081e-08, 1.85673e-08, 2.08828e-08, 3.30604e-08, 3.03779e-08, 1.85933e-08, 5.36806e-08, 6.25478e-08, 1.86533e-08, 1.86116e-08, 2.12371e-08, 1.8616e-08, 4.41317e-08, 1.85184e-08, 4.71218e-06, 1.85184e-08, 1.85184e-08, 1.9261e-08
0.54631, 0, 6.63532e-06, 4.23075e-08, 1.41421, -6.63532e-06, 4.23075e-08, 4.23117e-08, 4.23189e-08, 4.23211e-08, 8.80636e-08, 4.35917e-08, 4.24191e-08, 4.77048e-08, 7.71943e-08, 6.93789e-08, 4.24784e-08, 1.22571e-07, 1.02155e-07, 4.26156e-08, 4.25203e-08, 4.65563e-08, 4.25405e-08, 8.2118e-08, 4.23076e-08, 6.33399e-06, 4.23075e-08, 4.23075e-08, 4.40027e-08
0.554177, 0, 9.07347e-06, 9.39496e-08, 1.41421, -9.07347e-06, 9.39496e-08, 9.39589e-08, 9.3975e-08, 9.39797e-08, 1.95489e-07, 9.67995e-08, 9.41973e-08, 1.05927e-07, 1.75316e-07, 1.54025e-07, 9.4329e-08, 2.72066e-07, 1.74861e-07, 9.46333e-08, 9.44219e-08, 1.00542e-07, 9.44858e-08, 1.55288e-07, 9.39499e-08, 8.48256e-06, 9.39496e-08, 9.39496e-08, 9.77114e-08
