   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_63.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.387259, 0, 1.42865e-09, 2.67681e-34, 1.41421, -1.42865e-09, 0, 2.67681e-34, 2.67681e-34, 2.67681e-34, 2.67681e-34, 2.67681e-34, 2.67681e-34, 2.67681e-34, 2.67681e-34, 2.67681e-34, 2.67681e-34, 2.67681e-34, 1.73281e-11, 2.67681e-34, 2.67681e-34, 1.83827e-13, 2.67681e-34, 2.67681e-34, 1.41114e-09, 2.67681e-34, 2.67681e-34, 2.67681e-34
0.395142, 0, 2.16355e-09, 1.84225e-33, 1.41421, -2.16355e-09, 0, 1.84225e-33, 1.84225e-33, 1.84225e-33, 1.84225e-33, 1.84225e-33, 1.84225e-33, 1.84225e-33, 1.84225e-33, 1.84225e-33, 1.84225e-33, 1.84225e-33, 2.62784e-11, 1.84225e-33, 1.84225e-33, 3.00988e-13, 1.84225e-33, 1.84225e-33, 2.13697e-09, 1.84225e-33, 1.84225e-33, 1.84225e-33
0.403024, 0, 3.25159e-09, 1.07572e-32, 1.41421, -3.25159e-09, 0, 1.07572e-32, 1.07572e-32, 1.07572e-32, 1.07572e-32, 1.07572e-32, 1.07572e-32, 1.07572e-32, 1.07572e-32, 1.07572e-32, 1.07572e-32, 1.07572e-32, 3.956e-11, 1.07572e-32, 1.07572e-32, 4.92381e-13, 1.07572e-32, 1.07572e-32, 3.21154e-09, 1.07572e-32, 1.07572e-32, 1.07572e-32
0.410907, 0, 4.84995e-09, 6.38862e-32, 1.41421, -4.84995e-09, 0, 6.38862e-32, 6.38862e-32, 6.38862e-32, 6.38862e-32, 6.38862e-32, 6.38862e-32, 6.38862e-32, 6.38862e-32, 6.38862e-32, 6.38862e-32, 6.38862e-32, 5.91244e-11, 6.38862e-32, 6.38862e-32, 8.0496e-13, 6.38862e-32, 6.38862e-32, 4.79002e-09, 6.38862e-32, 6.38862e-32, 6.38862e-32
0.418789, 0, 7.17987e-09, 3.38777e-31, 1.41421, -7.17987e-09, 0, 3.38777e-31, 3.38777e-31, 3.38777e-31, 3.38777e-31, 3.38777e-31, 3.38777e-31, 3.38777e-31, 3.38777e-31, 3.38777e-31, 3.38777e-31, 3.38777e-31, 8.77362e-11, 3.38777e-31, 3.38777e-31, 1.31531e-12, 3.38777e-31, 3.38777e-31, 7.09082e-09, 3.38777e-31, 3.38777e-31, 3.38777e-31
0.426672, 0, 1.05502e-08, 1.76261e-30, 1.41421, -1.05502e-08, 0, 1.76261e-30, 1.76261e-30, 1.76261e-30, 1.76261e-30, 1.76261e-30, 1.76261e-30, 1.76261e-30, 1.76261e-30, 1.76261e-30, 1.76261e-30, 1.76261e-30, 1.29283e-10, 1.76261e-30, 1.76261e-30, 2.14815e-12, 1.76261e-30, 1.76261e-30, 1.04188e-08, 1.76261e-30, 1.76261e-30, 1.76261e-30
0.434554, 0, 1.53886e-08, 8.76291e-30, 1.41421, -1.53886e-08, 0, 8.76291e-30, 8.76291e-30, 8.76291e-30, 8.76291e-30, 8.76291e-30, 8.76291e-30, 8.76291e-30, 8.76291e-30, 8.76291e-30, 8.76291e-30, 8.76291e-30, 1.89195e-10, 8.76291e-30, 8.76291e-30, 3.50618e-12, 8.76291e-30, 8.76291e-30, 1.51959e-08, 8.76291e-30, 8.76291e-30, 8.76291e-30
0.442437, 0, 2.22822e-08, 4.12583e-29, 1.41421, -2.22822e-08, 0, 4.12583e-29, 4.12583e-29, 4.12583e-29, 4.12583e-29, 4.12583e-29, 4.12583e-29, 4.12583e-29, 4.12583e-29, 4.12583e-29, 4.12583e-29, 4.12583e-29, 2.75001e-10, 4.12583e-29, 4.12583e-29, 5.71782e-12, 4.12583e-29, 4.12583e-29, 2.20015e-08, 4.12583e-29, 4.12583e-29, 4.12583e-29
0.450319, 0, 3.20311e-08, 1.88222e-28, 1.41421, -3.20311e-08, 0, 1.88222e-28, 1.88222e-28, 1.88222e-28, 1.88222e-28, 1.88222e-28, 1.88222e-28, 1.88222e-28, 1.88222e-28, 1.88222e-28, 1.88222e-28, 1.88222e-28, 3.97082e-10, 1.88222e-28, 1.88222e-28, 9.31339e-12, 1.88222e-28, 1.88222e-28, 3.16247e-08, 1.88222e-28, 1.88222e-28, 1.88222e-28
0.458202, 0, 4.57162e-08, 8.22941e-28, 1.41421, -4.57162e-08, 0, 8.22941e-28, 8.22941e-28, 8.22941e-28, 8.22941e-28, 8.22941e-28, 8.22941e-28, 8.22941e-28, 8.22941e-28, 8.22941e-28, 8.22941e-28, 8.22941e-28, 5.69644e-10, 8.22941e-28, 8.22941e-28, 1.51453e-11, 8.22941e-28, 8.22941e-28, 4.51314e-08, 8.22941e-28, 8.22941e-28, 8.22941e-28
