   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_227.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.207881, 0, 1.53862e-13, 0, 1.41421, -1.53862e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.87249e-16, 0, 0, 2.28795e-18, 0, 0, 1.53073e-13, 0, 0, 0
0.215748, 0, 2.75112e-13, 0, 1.41421, -2.75112e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40763e-15, 0, 0, 4.17793e-18, 0, 0, 2.737e-13, 0, 0, 0
0.223615, 0, 4.87775e-13, 0, 1.41421, -4.87775e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49574e-15, 0, 0, 7.56848e-18, 0, 0, 4.85272e-13, 0, 0, 0
0.231482, 0, 8.57621e-13, 0, 1.41421, -8.57621e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3881e-15, 0, 0, 1.36034e-17, 0, 0, 8.53219e-13, 0, 0, 0
0.23935, 0, 1.49545e-12, 0, 1.41421, -1.49545e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.65164e-15, 0, 0, 2.42625e-17, 0, 0, 1.48777e-12, 0, 0, 0
0.247217, 0, 2.58628e-12, 0, 1.41421, -2.58628e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32332e-14, 0, 0, 4.29473e-17, 0, 0, 2.573e-12, 0, 0, 0
0.255084, 0, 4.43646e-12, 0, 1.41421, -4.43646e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27004e-14, 0, 0, 7.54602e-17, 0, 0, 4.41368e-12, 0, 0, 0
0.262951, 0, 7.54887e-12, 0, 1.41421, -7.54887e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86268e-14, 0, 0, 1.3163e-16, 0, 0, 7.51011e-12, 0, 0, 0
0.270818, 0, 1.2742e-11, 0, 1.41421, -1.2742e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.52017e-14, 0, 0, 2.27996e-16, 0, 0, 1.26765e-11, 0, 0, 0
0.278685, 0, 2.13364e-11, 0, 1.41421, -2.13364e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09186e-13, 0, 0, 3.92217e-16, 0, 0, 2.12268e-11, 0, 0, 0
0.286552, 0, 3.54452e-11, 0, 1.41421, -3.54452e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81398e-13, 0, 0, 6.70283e-16, 0, 0, 3.52632e-11, 0, 0, 0
0.29442, 0, 5.84209e-11, 0, 1.41421, -5.84209e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99008e-13, 0, 0, 1.13823e-15, 0, 0, 5.81208e-11, 0, 0, 0
0.302287, 0, 9.55372e-11, 0, 1.41421, -9.55372e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89035e-13, 0, 0, 1.92117e-15, 0, 0, 9.50462e-11, 0, 0, 0
0.310154, 0, 1.5502e-10, 0, 1.41421, -1.5502e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9364e-13, 0, 0, 3.22409e-15, 0, 0, 1.54223e-10, 0, 0, 0
0.318021, 0, 2.49593e-10, 4.86251e-43, 1.41421, -2.49593e-10, 0, 4.86251e-43, 4.86251e-43, 4.86251e-43, 4.86251e-43, 4.86251e-43, 4.86251e-43, 4.86251e-43, 4.86251e-43, 4.86251e-43, 4.86251e-43, 1.27808e-12, 4.86251e-43, 4.86251e-43, 5.38158e-15, 4.86251e-43, 4.86251e-43, 2.4831e-10, 4.86251e-43, 4.86251e-43, 4.86251e-43
0.325888, 0, 3.98773e-10, 8.3083e-42, 1.41421, -3.98773e-10, 0, 8.3083e-42, 8.3083e-42, 8.3083e-42, 8.3083e-42, 8.3083e-42, 8.3083e-42, 8.3083e-42, 8.3083e-42, 8.3083e-42, 8.3083e-42, 2.0425e-12, 8.3083e-42, 8.3083e-42, 8.93809e-15, 8.3083e-42, 8.3083e-42, 3.96721e-10, 8.3083e-42, 8.3083e-42, 8.3083e-42
0.333755, 0, 6.32244e-10, 1.17743e-40, 1.41421, -6.32244e-10, 0, 1.17743e-40, 1.17743e-40, 1.17743e-40, 1.17743e-40, 1.17743e-40, 1.17743e-40, 1.17743e-40, 1.17743e-40, 1.17743e-40, 1.17743e-40, 3.23939e-12, 1.17743e-40, 1.17743e-40, 1.47775e-14, 1.17743e-40, 1.17743e-40, 6.2899e-10, 1.17743e-40, 1.17743e-40, 1.17743e-40
