   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_215.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.431801, 0, 4.5562e-08, 2.67446e-31, 1.41421, -4.5562e-08, 0, 2.67446e-31, 2.67446e-31, 2.67446e-31, 2.67446e-31, 2.67446e-31, 2.67446e-31, 2.67446e-31, 2.67446e-31, 2.67446e-31, 2.67446e-31, 1.22839e-10, 2.67446e-31, 2.67446e-31, 1.49492e-12, 2.67446e-31, 2.67446e-31, 4.54376e-08, 2.67446e-31, 2.67446e-31, 2.67446e-31
0.439675, 0, 6.84891e-08, 1.41074e-30, 1.41421, -6.84891e-08, 0, 1.41074e-30, 1.41074e-30, 1.41074e-30, 1.41074e-30, 1.41074e-30, 1.41074e-30, 1.41074e-30, 1.41074e-30, 1.41074e-30, 1.41074e-30, 1.85161e-10, 1.41074e-30, 1.41074e-30, 2.50612e-12, 1.41074e-30, 1.41074e-30, 6.83015e-08, 1.41074e-30, 1.41074e-30, 1.41074e-30
0.447548, 0, 1.02109e-07, 7.13922e-30, 1.41421, -1.02109e-07, 0, 7.13922e-30, 7.13922e-30, 7.13922e-30, 7.13922e-30, 7.13922e-30, 7.13922e-30, 7.13922e-30, 7.13922e-30, 7.13922e-30, 7.13922e-30, 2.76954e-10, 7.13922e-30, 7.13922e-30, 4.19841e-12, 7.13922e-30, 7.13922e-30, 1.01828e-07, 7.13922e-30, 7.13922e-30, 7.13922e-30
0.455422, 0, 1.50996e-07, 3.42639e-29, 1.41421, -1.50996e-07, 0, 3.42639e-29, 3.42639e-29, 3.42639e-29, 3.42639e-29, 3.42639e-29, 3.42639e-29, 3.42639e-29, 3.42639e-29, 3.42639e-29, 3.42639e-29, 4.11129e-10, 3.42639e-29, 3.42639e-29, 7.02659e-12, 3.42639e-29, 3.42639e-29, 1.50578e-07, 3.42639e-29, 3.42639e-29, 3.42639e-29
0.463295, 0, 2.21492e-07, 1.58079e-28, 1.41421, -2.21492e-07, 0, 1.58079e-28, 1.58079e-28, 1.58079e-28, 1.58079e-28, 1.58079e-28, 1.58079e-28, 1.58079e-28, 1.58079e-28, 1.58079e-28, 1.58079e-28, 6.05799e-10, 1.58079e-28, 1.58079e-28, 1.17436e-11, 1.58079e-28, 1.58079e-28, 2.20875e-07, 1.58079e-28, 1.58079e-28, 1.58079e-28
0.471168, 0, 3.22317e-07, 7.03668e-28, 1.41421, -3.22317e-07, 0, 7.03668e-28, 7.03668e-28, 7.03668e-28, 7.03668e-28, 7.03668e-28, 7.03668e-28, 7.03668e-28, 7.03668e-28, 7.03668e-28, 7.03668e-28, 8.86195e-10, 7.03668e-28, 7.03668e-28, 1.95898e-11, 7.03668e-28, 7.03668e-28, 3.21411e-07, 7.03668e-28, 7.03668e-28, 7.03668e-28
0.479042, 0, 4.65347e-07, 2.99759e-27, 1.41421, -4.65347e-07, 0, 2.99759e-27, 2.99759e-27, 2.99759e-27, 2.99759e-27, 2.99759e-27, 2.99759e-27, 2.99759e-27, 2.99759e-27, 2.99759e-27, 2.99759e-27, 1.28722e-09, 2.99759e-27, 2.99759e-27, 3.2597e-11, 2.99759e-27, 2.99759e-27, 4.64027e-07, 2.99759e-27, 2.99759e-27, 2.99759e-27
0.486915, 0, 6.66624e-07, 1.22044e-26, 1.41421, -6.66624e-07, 0, 1.22044e-26, 1.22044e-26, 1.22044e-26, 1.22044e-26, 1.22044e-26, 1.22044e-26, 1.22044e-26, 1.22044e-26, 1.22044e-26, 1.22044e-26, 1.85683e-09, 1.22044e-26, 1.22044e-26, 5.40723e-11, 1.22044e-26, 1.22044e-26, 6.64713e-07, 1.22044e-26, 1.22044e-26, 1.22044e-26
0.494789, 0, 9.47627e-07, 4.74952e-26, 1.41421, -9.47627e-07, 0, 4.74952e-26, 4.74952e-26, 4.74952e-26, 4.74952e-26, 4.74952e-26, 4.74952e-26, 6.96895e-12, 4.74952e-26, 4.74952e-26, 4.74952e-26, 2.66048e-09, 4.74952e-26, 4.74952e-26, 8.93604e-11, 4.74952e-26, 4.74952e-26, 9.44871e-07, 4.74952e-26, 4.74952e-26, 4.74952e-26
0.502662, 0, 1.33686e-06, 1.76897e-25, 1.41421, -1.33686e-06, 0, 1.76897e-25, 1.76897e-25, 1.76897e-25, 1.76897e-25, 1.76897e-25, 1.76897e-25, 2.45771e-11, 1.76897e-25, 1.76897e-25, 1.76897e-25, 3.78691e-09, 1.76897e-25, 1.76897e-25, 1.47034e-10, 1.76897e-25, 1.76897e-25, 1.33291e-06, 1.76897e-25, 1.76897e-25, 1.76897e-25
