   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_285.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.435811, 0, 9.82067e-08, 1.49305e-29, 1.41421, -9.82067e-08, 0, 1.49305e-29, 1.49305e-29, 1.49305e-29, 1.49305e-29, 1.49305e-29, 1.49305e-29, 1.49305e-29, 1.49305e-29, 3.77544e-10, 1.49305e-29, 1.49305e-29, 4.98575e-12, 1.49305e-29, 1.49305e-29, 9.78242e-08, 1.49305e-29, 1.49305e-29, 1.49305e-29
0.443675, 0, 1.41353e-07, 7.00447e-29, 1.41421, -1.41353e-07, 0, 7.00447e-29, 7.00447e-29, 7.00447e-29, 7.00447e-29, 7.00447e-29, 7.00447e-29, 7.00447e-29, 7.00447e-29, 5.45622e-10, 7.00447e-29, 7.00447e-29, 8.09536e-12, 7.00447e-29, 7.00447e-29, 1.40799e-07, 7.00447e-29, 7.00447e-29, 7.00447e-29
0.451539, 0, 2.02022e-07, 3.17548e-28, 1.41421, -2.02022e-07, 0, 3.17548e-28, 3.17548e-28, 3.17548e-28, 3.17548e-28, 3.17548e-28, 3.17548e-28, 3.17548e-28, 3.17548e-28, 7.83464e-10, 3.17548e-28, 3.17548e-28, 1.31274e-11, 3.17548e-28, 3.17548e-28, 2.01225e-07, 3.17548e-28, 3.17548e-28, 3.17548e-28
0.459403, 0, 2.86715e-07, 1.37747e-27, 1.41421, -2.86715e-07, 0, 1.37747e-27, 1.37747e-27, 1.37747e-27, 1.37747e-27, 1.37747e-27, 1.37747e-27, 1.37747e-27, 1.37747e-27, 1.11791e-09, 1.37747e-27, 1.37747e-27, 2.125e-11, 1.37747e-27, 1.37747e-27, 2.85576e-07, 1.37747e-27, 1.37747e-27, 1.37747e-27
0.467266, 0, 4.04108e-07, 9.59756e-27, 1.41421, -4.04108e-07, 0, 9.59756e-27, 9.59756e-27, 9.59756e-27, 9.59756e-27, 9.59756e-27, 9.59756e-27, 9.59756e-27, 9.59756e-27, 1.58533e-09, 9.59756e-27, 9.59756e-27, 3.43395e-11, 9.59756e-27, 9.59756e-27, 4.02489e-07, 9.59756e-27, 9.59756e-27, 9.59756e-27
0.47513, 0, 5.65672e-07, 3.63384e-26, 1.41421, -5.65672e-07, 0, 3.63384e-26, 3.63384e-26, 3.63384e-26, 3.63384e-26, 3.63384e-26, 1.67934e-12, 3.63384e-26, 3.63384e-26, 2.23463e-09, 3.63384e-26, 3.63384e-26, 5.53032e-11, 3.63384e-26, 3.63384e-26, 5.63381e-07, 3.63384e-26, 3.63384e-26, 3.63384e-26
0.482994, 0, 7.86482e-07, 1.31744e-25, 1.41421, -7.86482e-07, 0, 1.31744e-25, 1.31744e-25, 1.31744e-25, 1.31744e-25, 1.31744e-25, 5.7754e-12, 1.31744e-25, 1.31744e-25, 3.13135e-09, 1.31744e-25, 1.31744e-25, 8.87699e-11, 1.31744e-25, 1.31744e-25, 7.83256e-07, 1.31744e-25, 1.31744e-25, 1.31744e-25
0.490858, 0, 1.08619e-06, 4.61833e-25, 1.41421, -1.08619e-06, 0, 4.61833e-25, 4.61833e-25, 4.61833e-25, 4.61833e-25, 4.61833e-25, 1.54557e-11, 4.61833e-25, 4.61833e-25, 4.3627e-09, 4.61833e-25, 4.61833e-25, 1.41941e-10, 4.61833e-25, 4.61833e-25, 1.08167e-06, 4.61833e-25, 4.61833e-25, 4.61833e-25
0.498722, 0, 1.49201e-06, 3.18351e-10, 1.41421, -1.49201e-06, 3.18351e-10, 3.18367e-10, 3.18401e-10, 6.88204e-10, 3.27794e-10, 3.44112e-10, 4.34626e-10, 4.4518e-10, 1.0299e-09, 6.36253e-09, 3.19076e-10, 3.19876e-10, 5.44325e-10, 3.18426e-10, 3.18353e-10, 1.48437e-06, 3.18351e-10, 3.18351e-10, 3.32124e-10
0.506586, 0, 2.03738e-06, 1.08599e-09, 1.41421, -2.03738e-06, 1.08599e-09, 1.08604e-09, 1.08616e-09, 2.35132e-09, 1.11829e-09, 1.17412e-09, 1.44241e-09, 1.51989e-09, 3.52033e-09, 9.41366e-09, 1.08847e-09, 1.0912e-09, 1.44404e-09, 1.08789e-09, 1.08599e-09, 2.02403e-06, 1.08599e-09, 1.08599e-09, 1.13311e-09
0.514449, 0, 2.76759e-06, 2.88747e-09, 1.41421, -2.76759e-06, 2.88747e-09, 2.88761e-09, 2.88792e-09, 6.25808e-09, 2.97352e-09, 3.12223e-09, 3.80041e-09, 4.04331e-09, 9.37212e-09, 1.42995e-08, 2.89407e-09, 2.90136e-09, 3.45182e-09, 2.89378e-09, 2.88748e-09, 2.74322e-06, 2.88747e-09, 2.88747e-09, 3.01298e-09
