   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_176.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.451372, 0, 7.8531e-09, 6.10336e-31, 1.41421, -7.8531e-09, 0, 6.10336e-31, 6.10336e-31, 6.10336e-31, 6.10336e-31, 6.10336e-31, 6.10336e-31, 6.10336e-31, 6.10336e-31, 6.10336e-31, 6.10336e-31, 6.10336e-31, 6.10336e-31, 4.63341e-11, 6.10336e-31, 6.10336e-31, 1.13145e-12, 1.41244e-11, 6.10336e-31, 7.79151e-09, 6.10336e-31, 6.10336e-31, 6.10336e-31
0.459213, 0, 1.18973e-08, 3.24191e-30, 1.41421, -1.18973e-08, 0, 3.24191e-30, 3.24191e-30, 3.24191e-30, 3.24191e-30, 3.24191e-30, 3.24191e-30, 3.24191e-30, 3.24191e-30, 3.24191e-30, 3.24191e-30, 3.24191e-30, 3.24191e-30, 7.04269e-11, 3.24191e-30, 3.24191e-30, 1.92616e-12, 2.37964e-11, 3.24191e-30, 1.18011e-08, 3.24191e-30, 3.24191e-30, 3.24191e-30
0.467054, 0, 1.78695e-08, 1.62022e-29, 1.41421, -1.78695e-08, 0, 1.62022e-29, 1.62022e-29, 1.62022e-29, 1.62022e-29, 1.62022e-29, 1.62022e-29, 1.62022e-29, 1.62022e-29, 1.62022e-29, 1.62022e-29, 1.62022e-29, 1.62022e-29, 1.06195e-10, 1.62022e-29, 1.62022e-29, 3.27485e-12, 4.00918e-11, 1.62022e-29, 1.772e-08, 1.62022e-29, 1.62022e-29, 1.62022e-29
0.474895, 0, 2.66123e-08, 7.64251e-29, 1.41421, -2.66123e-08, 0, 7.64251e-29, 7.64251e-29, 7.64251e-29, 7.64251e-29, 7.64251e-29, 7.64251e-29, 7.64251e-29, 7.64251e-29, 7.64251e-29, 7.64251e-29, 7.64251e-29, 7.64251e-29, 1.58882e-10, 7.64251e-29, 7.64251e-29, 5.55826e-12, 6.75414e-11, 7.64251e-29, 2.63803e-08, 7.64251e-29, 7.64251e-29, 7.64251e-29
0.482735, 0, 3.93004e-08, 3.41277e-28, 1.41421, -3.93004e-08, 0, 3.41277e-28, 3.41277e-28, 3.41277e-28, 3.41277e-28, 3.41277e-28, 3.41277e-28, 3.41277e-28, 3.41277e-28, 3.41277e-28, 3.41277e-28, 3.41277e-28, 3.41277e-28, 2.35899e-10, 3.41277e-28, 3.41277e-28, 9.41216e-12, 1.13744e-10, 3.41277e-28, 3.89413e-08, 3.41277e-28, 3.41277e-28, 3.41277e-28
0.490576, 0, 5.75578e-08, 1.44691e-27, 1.41421, -5.75578e-08, 0, 1.44691e-27, 1.44691e-27, 1.44691e-27, 1.44691e-27, 1.44691e-27, 1.44691e-27, 1.44691e-27, 1.44691e-27, 1.44691e-27, 1.44691e-27, 1.44691e-27, 1.44691e-27, 3.47648e-10, 1.44691e-27, 1.44691e-27, 1.58917e-11, 1.91391e-10, 1.44691e-27, 5.70028e-08, 1.44691e-27, 1.44691e-27, 1.44691e-27
0.498417, 0, 8.3609e-08, 5.84044e-27, 1.41421, -8.3609e-08, 0, 5.84044e-27, 5.84044e-27, 5.84044e-27, 5.84044e-27, 5.84044e-27, 5.84044e-27, 5.84044e-27, 5.84044e-27, 5.84044e-27, 5.84044e-27, 5.84044e-27, 5.84044e-27, 5.08628e-10, 5.84044e-27, 5.84044e-27, 2.67359e-11, 3.21554e-10, 5.84044e-27, 8.27521e-08, 5.84044e-27, 5.84044e-27, 5.84044e-27
0.506258, 0, 1.20474e-07, 2.25043e-26, 1.41421, -1.20474e-07, 0, 2.25043e-26, 2.25043e-26, 2.25043e-26, 2.25043e-26, 2.25043e-26, 2.25043e-26, 2.25043e-26, 2.25043e-26, 2.48104e-13, 2.25043e-26, 2.25043e-26, 2.25043e-26, 7.38899e-10, 2.25043e-26, 2.25043e-26, 4.47885e-11, 5.38985e-10, 2.25043e-26, 1.19151e-07, 2.25043e-26, 2.25043e-26, 2.25043e-26
0.514098, 0, 1.7222e-07, 8.29816e-26, 1.41421, -1.7222e-07, 0, 8.29816e-26, 8.29816e-26, 8.29816e-26, 8.29816e-26, 8.29816e-26, 8.29816e-26, 8.29816e-26, 8.29816e-26, 8.93664e-13, 8.29816e-26, 8.29816e-26, 8.29816e-26, 1.06605e-09, 8.29816e-26, 8.29816e-26, 7.46637e-11, 9.00546e-10, 8.29816e-26, 1.70178e-07, 8.29816e-26, 8.29816e-26, 8.29816e-26
0.521939, 0, 2.44271e-07, 2.94938e-25, 1.41421, -2.44271e-07, 0, 2.94938e-25, 2.94938e-25, 2.94938e-25, 2.94938e-25, 2.94938e-25, 2.94938e-25, 2.94938e-25, 2.94938e-25, 2.51262e-12, 2.94938e-25, 2.94938e-25, 2.94938e-25, 1.52775e-09, 2.94938e-25, 2.94938e-25, 1.23781e-10, 1.49839e-09, 2.94938e-25, 2.41119e-07, 2.94938e-25, 2.94938e-25, 2.94938e-25
0.52978, 0, 3.47399e-07, 9.48067e-10, 1.41421, -3.47399e-07, 9.48067e-10, 9.48086e-10, 9.48231e-10, 9.48324e-10, 9.48543e-10, 9.48327e-10, 9.49284e-10, 9.48648e-10, 9.48147e-10, 9.6626e-10, 9.59652e-10, 9.56522e-10, 3.47361e-09, 3.12321e-09, 9.48894e-10, 9.482e-10, 1.15204e-09, 3.4285e-09, 9.4807e-10, 3.39947e-07, 9.48067e-10, 9.48067e-10, 9.72312e-10
0.537621, 0, 4.93101e-07, 3.37992e-09, 1.41421, -4.93101e-07, 3.37992e-09, 3.37999e-09, 3.3805e-09, 3.38084e-09, 3.38162e-09, 3.38085e-09, 3.38428e-09, 3.382e-09, 3.3802e-09, 3.43771e-09, 3.4214e-09, 3.41019e-09, 1.24241e-08, 6.45702e-09, 3.38288e-09, 3.38039e-09, 3.71388e-09, 7.46138e-09, 3.37993e-09, 4.76333e-07, 3.37992e-09, 3.37992e-09, 3.46674e-09
0.545461, 0, 7.01918e-07, 9.43023e-09, 1.41421, -7.01918e-07, 9.43023e-09, 9.43042e-09, 9.43187e-09, 9.43281e-09, 9.435e-09, 9.43284e-09, 9.44242e-09, 9.43605e-09, 9.43103e-09, 9.58487e-09, 9.54627e-09, 9.51491e-09, 3.4726e-08, 1.37561e-08, 9.43851e-09, 9.43156e-09, 9.97325e-09, 1.61e-08, 9.43026e-09, 6.64446e-07, 9.43023e-09, 9.43023e-09, 9.67307e-09
0.553302, 0, 1.00864e-06, 2.40406e-08, 1.41421, -1.00864e-06, 2.40406e-08, 2.40411e-08, 2.40448e-08, 2.40471e-08, 2.40527e-08, 2.40472e-08, 2.40717e-08, 2.40554e-08, 2.40426e-08, 2.44253e-08, 2.43368e-08, 2.42568e-08, 8.86249e-08, 3.00845e-08, 2.40617e-08, 2.4044e-08, 2.49171e-08, 3.48564e-08, 2.40406e-08, 9.24695e-07, 2.40406e-08, 2.40406e-08, 2.46606e-08
0.561143, 0, 1.47625e-06, 5.83181e-08, 1.41421, -1.47625e-06, 5.83181e-08, 5.83192e-08, 5.83282e-08, 5.8334e-08, 5.83476e-08, 5.83342e-08, 5.83936e-08, 5.83541e-08, 5.8323e-08, 5.9234e-08, 5.90375e-08, 5.88431e-08, 2.15145e-07, 6.67113e-08, 5.83694e-08, 5.83263e-08, 5.97223e-08, 7.5712e-08, 5.83182e-08, 1.28832e-06, 5.83181e-08, 5.83181e-08, 5.98236e-08
0.568984, 0, 2.22552e-06, 1.36869e-07, 1.41421, -2.22552e-06, 1.36869e-07, 1.36872e-07, 1.36893e-07, 1.36906e-07, 1.36938e-07, 1.36907e-07, 1.37046e-07, 1.36954e-07, 1.3688e-07, 1.39111e-07, 1.38559e-07, 1.38102e-07, 5.05292e-07, 1.48455e-07, 1.36989e-07, 1.36888e-07, 1.39101e-07, 1.64637e-07, 1.36869e-07, 1.80622e-06, 1.36869e-07, 1.36869e-07, 1.40406e-07
0.576824, 0, 3.48391e-06, 3.10159e-07, 1.41421, -3.48391e-06, 3.10159e-07, 3.10165e-07, 3.10213e-07, 3.10244e-07, 3.10317e-07, 3.10245e-07, 3.10562e-07, 3.10351e-07, 3.10186e-07, 3.16193e-07, 3.13991e-07, 3.12956e-07, 1.14549e-06, 3.26058e-07, 3.10433e-07, 3.10203e-07, 3.1368e-07, 3.54036e-07, 3.1016e-07, 2.56328e-06, 3.10159e-07, 3.10159e-07, 3.18178e-07
