   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_860.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.341116, 0, 3.01316e-11, 7.17044e-42, 1.41421, -3.01316e-11, 0, 7.17044e-42, 7.17044e-42, 7.17044e-42, 7.17044e-42, 7.17044e-42, 7.17044e-42, 7.17044e-42, 7.17044e-42, 7.17044e-42, 2.45476e-13, 7.17044e-42, 7.17044e-42, 1.02354e-13, 7.17044e-42, 1.76149e-15, 2.9782e-11, 7.17044e-42, 7.17044e-42
0.349084, 0, 4.92589e-11, 9.75654e-41, 1.41421, -4.92589e-11, 0, 9.75654e-41, 9.75654e-41, 9.75654e-41, 9.75654e-41, 9.75654e-41, 9.75654e-41, 9.75654e-41, 9.75654e-41, 9.75654e-41, 4.01357e-13, 9.75654e-41, 9.75654e-41, 1.74713e-13, 9.75654e-41, 2.9983e-15, 4.86799e-11, 9.75654e-41, 9.75654e-41
0.357051, 0, 7.98788e-11, 1.19024e-39, 1.41421, -7.98788e-11, 0, 1.19024e-39, 1.19024e-39, 1.19024e-39, 1.19024e-39, 1.19024e-39, 1.19024e-39, 1.19024e-39, 1.19024e-39, 1.19024e-39, 6.5097e-13, 1.19024e-39, 1.19024e-39, 2.97122e-13, 1.19024e-39, 5.07803e-15, 7.89256e-11, 1.19024e-39, 1.19024e-39
0.365018, 0, 1.28493e-10, 1.30648e-38, 1.41421, -1.28493e-10, 0, 1.30648e-38, 1.30648e-38, 1.30648e-38, 1.30648e-38, 1.30648e-38, 1.30648e-38, 1.30648e-38, 1.30648e-38, 1.30648e-38, 1.04742e-12, 1.30648e-38, 1.30648e-38, 5.03718e-13, 1.30648e-38, 8.56114e-15, 1.26933e-10, 1.30648e-38, 1.30648e-38
0.372985, 0, 2.05041e-10, 1.29623e-37, 1.41421, -2.05041e-10, 0, 1.29623e-37, 1.29623e-37, 1.29623e-37, 1.29623e-37, 1.29623e-37, 1.29623e-37, 1.29623e-37, 1.29623e-37, 1.29623e-37, 1.67199e-12, 1.29623e-37, 1.29623e-37, 8.51811e-13, 1.29623e-37, 1.43746e-14, 2.02503e-10, 1.29623e-37, 1.29623e-37
0.380953, 0, 3.24591e-10, 1.16834e-36, 1.41421, -3.24591e-10, 0, 1.16834e-36, 1.16834e-36, 1.16834e-36, 1.16834e-36, 1.16834e-36, 1.16834e-36, 1.16834e-36, 1.16834e-36, 1.16834e-36, 2.64802e-12, 1.16834e-36, 1.16834e-36, 1.43766e-12, 1.16834e-36, 2.40499e-14, 3.20481e-10, 1.16834e-36, 1.16834e-36
0.38892, 0, 5.09781e-10, 9.61968e-36, 1.41421, -5.09781e-10, 0, 9.61968e-36, 9.61968e-36, 9.61968e-36, 9.61968e-36, 9.61968e-36, 9.61968e-36, 9.61968e-36, 9.61968e-36, 9.61968e-36, 4.16116e-12, 9.61968e-36, 9.61968e-36, 2.42306e-12, 9.61968e-36, 4.01167e-14, 5.03157e-10, 9.61968e-36, 9.61968e-36
0.396887, 0, 7.94331e-10, 7.27319e-35, 1.41421, -7.94331e-10, 0, 7.27319e-35, 7.27319e-35, 7.27319e-35, 7.27319e-35, 7.27319e-35, 7.27319e-35, 7.27319e-35, 7.27319e-35, 7.27319e-35, 6.48844e-12, 7.27319e-35, 7.27319e-35, 4.08013e-12, 7.27319e-35, 6.67535e-14, 7.83695e-10, 7.27319e-35, 7.27319e-35
0.404855, 0, 1.22804e-09, 5.01492e-34, 1.41421, -1.22804e-09, 0, 5.01492e-34, 5.01492e-34, 5.01492e-34, 5.01492e-34, 5.01492e-34, 5.01492e-34, 5.01492e-34, 5.01492e-34, 5.01492e-34, 1.00399e-11, 5.01492e-34, 5.01492e-34, 6.86679e-12, 5.01492e-34, 1.10867e-13, 1.21102e-09, 5.01492e-34, 5.01492e-34
0.412822, 0, 1.88381e-09, 3.45501e-33, 1.41421, -1.88381e-09, 0, 3.45501e-33, 3.45501e-33, 3.45501e-33, 3.45501e-33, 3.45501e-33, 3.45501e-33, 3.45501e-33, 3.45501e-33, 3.45501e-33, 1.54178e-11, 3.45501e-33, 3.45501e-33, 1.15537e-11, 3.45501e-33, 1.8388e-13, 1.85666e-09, 3.45501e-33, 3.45501e-33
0.420789, 0, 2.86751e-09, 2.27282e-32, 1.41421, -2.86751e-09, 0, 2.27282e-32, 2.27282e-32, 2.27282e-32, 2.27282e-32, 2.27282e-32, 2.27282e-32, 2.27282e-32, 2.27282e-32, 2.27282e-32, 2.34992e-11, 2.27282e-32, 2.27282e-32, 1.9437e-11, 2.27282e-32, 3.04701e-13, 2.82427e-09, 2.27282e-32, 2.27282e-32
0.428756, 0, 4.33155e-09, 1.39744e-31, 1.41421, -4.33155e-09, 0, 1.39744e-31, 1.39744e-31, 1.39744e-31, 1.39744e-31, 1.39744e-31, 1.39744e-31, 1.39744e-31, 1.39744e-31, 1.39744e-31, 3.55522e-11, 1.39744e-31, 1.39744e-31, 3.26943e-11, 1.39744e-31, 5.04649e-13, 4.2628e-09, 1.39744e-31, 1.39744e-31
0.436724, 0, 6.49356e-09, 8.03751e-31, 1.41421, -6.49356e-09, 0, 8.03751e-31, 8.03751e-31, 8.03751e-31, 8.03751e-31, 8.03751e-31, 8.03751e-31, 8.03751e-31, 8.03751e-31, 8.03751e-31, 5.33958e-11, 8.03751e-31, 8.03751e-31, 5.49754e-11, 8.03751e-31, 8.35587e-13, 6.38436e-09, 8.03751e-31, 8.03751e-31
0.444691, 0, 9.66183e-09, 4.32731e-30, 1.41421, -9.66183e-09, 0, 4.32731e-30, 4.32731e-30, 4.32731e-30, 4.32731e-30, 4.32731e-30, 4.32731e-30, 4.32731e-30, 4.32731e-30, 4.32731e-30, 7.96207e-11, 4.32731e-30, 4.32731e-30, 9.23817e-11, 4.32731e-30, 1.38336e-12, 9.48844e-09, 4.32731e-30, 4.32731e-30
0.452658, 0, 1.42695e-08, 2.18666e-29, 1.41421, -1.42695e-08, 0, 2.18666e-29, 2.18666e-29, 2.18666e-29, 2.18666e-29, 2.18666e-29, 2.18666e-29, 2.18666e-29, 2.18666e-29, 2.18666e-29, 1.1789e-10, 2.18666e-29, 2.18666e-29, 1.55072e-10, 2.18666e-29, 2.28987e-12, 1.39943e-08, 2.18666e-29, 2.18666e-29
0.460625, 0, 2.09208e-08, 1.04097e-28, 1.41421, -2.09208e-08, 0, 1.04097e-28, 1.04097e-28, 1.04097e-28, 1.04097e-28, 1.04097e-28, 1.04097e-28, 1.04097e-28, 1.04097e-28, 1.04097e-28, 1.73345e-10, 1.04097e-28, 1.04097e-28, 2.59887e-10, 1.04097e-28, 3.78907e-12, 2.04838e-08, 1.04097e-28, 1.04097e-28
0.468593, 0, 3.04519e-08, 4.68374e-28, 1.41421, -3.04519e-08, 0, 4.68374e-28, 4.68374e-28, 4.68374e-28, 4.68374e-28, 4.68374e-28, 4.68374e-28, 4.68374e-28, 4.68374e-28, 4.68374e-28, 2.53161e-10, 4.68374e-28, 4.68374e-28, 4.34592e-10, 4.68374e-28, 6.26545e-12, 2.97578e-08, 4.68374e-28, 4.68374e-28
0.47656, 0, 4.40113e-08, 1.99728e-27, 1.41421, -4.40113e-08, 0, 1.99728e-27, 1.99728e-27, 1.99728e-27, 1.99728e-27, 1.99728e-27, 1.99728e-27, 1.99728e-27, 1.99728e-27, 1.99728e-27, 3.67273e-10, 1.99728e-27, 1.99728e-27, 7.24687e-10, 1.99728e-27, 1.0348e-11, 4.2909e-08, 1.99728e-27, 1.99728e-27
0.484527, 0, 6.31668e-08, 8.09414e-27, 1.41421, -6.31668e-08, 0, 8.09414e-27, 8.09414e-27, 8.09414e-27, 8.09414e-27, 8.09414e-27, 8.09414e-27, 8.09414e-27, 8.09414e-27, 8.09414e-27, 5.29363e-10, 8.09414e-27, 8.09414e-27, 1.20425e-09, 8.09414e-27, 1.70599e-11, 6.14162e-08, 8.09414e-27, 8.09414e-27
0.492494, 0, 9.00429e-08, 3.12599e-26, 1.41421, -9.00429e-08, 0, 3.12599e-26, 3.12599e-26, 3.12599e-26, 3.12599e-26, 3.12599e-26, 3.12599e-26, 3.12599e-26, 3.12599e-26, 3.12599e-26, 7.58141e-10, 3.12599e-26, 3.12599e-26, 1.99302e-09, 3.12599e-26, 2.80554e-11, 8.72637e-08, 3.12599e-26, 3.12599e-26
0.500462, 0, 1.27501e-07, 1.15344e-25, 1.41421, -1.27501e-07, 0, 1.15344e-25, 1.15344e-25, 1.15344e-25, 1.15344e-25, 1.15344e-25, 1.15344e-25, 1.15344e-25, 1.15344e-25, 1.15344e-25, 1.07905e-09, 1.15344e-25, 1.15344e-25, 3.28307e-09, 1.15344e-25, 4.5988e-11, 1.23093e-07, 1.15344e-25, 1.15344e-25
0.508429, 0, 1.79372e-07, 4.09486e-25, 1.41421, -1.79372e-07, 0, 4.09486e-25, 4.09486e-25, 4.09486e-25, 4.09486e-25, 4.09486e-25, 4.09486e-25, 4.09486e-25, 4.09486e-25, 4.09486e-25, 1.52647e-09, 4.09486e-25, 4.09486e-25, 5.38007e-09, 4.09486e-25, 7.50791e-11, 1.7239e-07, 4.09486e-25, 4.09486e-25
0.516396, 0, 2.51364e-07, 1.5539e-11, 1.41421, -2.51364e-07, 1.5539e-11, 1.55492e-11, 1.95426e-11, 1.55457e-11, 1.959e-11, 7.67323e-11, 2.76028e-10, 2.88124e-11, 2.31765e-11, 2.02938e-10, 2.16215e-09, 1.87402e-11, 1.56867e-11, 8.78201e-09, 1.58192e-11, 1.37522e-10, 2.39775e-07, 1.5539e-11, 2.78078e-11
