   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_237.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.403493, 0, 1.77021e-06, 4.44177e-27, 1.41421, -1.77021e-06, 4.44177e-27, 0, 4.44177e-27, 4.44177e-27, 4.44177e-27, 4.44177e-27, 4.44177e-27, 4.44177e-27, 8.01096e-09, 4.44177e-27, 4.44177e-27, 2.73374e-10, 5.63806e-09, 1.75629e-06, 4.44177e-27, 4.44177e-27
0.411521, 0, 2.38529e-06, 1.90817e-26, 1.41421, -2.38529e-06, 1.90817e-26, 0, 1.90817e-26, 1.90817e-26, 1.90817e-26, 1.90817e-26, 1.90817e-26, 1.90817e-26, 1.08715e-08, 1.90817e-26, 1.90817e-26, 4.19564e-10, 8.43573e-09, 2.36556e-06, 1.90817e-26, 1.90817e-26
0.419549, 0, 3.19692e-06, 7.78008e-26, 1.41421, -3.19692e-06, 7.78008e-26, 0, 7.78008e-26, 7.78008e-26, 7.78008e-26, 7.78008e-26, 7.78008e-26, 7.78008e-26, 1.46862e-08, 7.78008e-26, 7.78008e-26, 6.42388e-10, 1.25811e-08, 3.16901e-06, 7.78008e-26, 7.78008e-26
0.427577, 0, 4.26218e-06, 3.01889e-25, 1.41421, -4.26218e-06, 3.01889e-25, 0, 3.01889e-25, 3.01889e-25, 3.01889e-25, 3.01889e-25, 3.01889e-25, 3.01889e-25, 1.97512e-08, 3.01889e-25, 3.01889e-25, 9.80738e-10, 1.86983e-08, 4.22275e-06, 3.01889e-25, 3.01889e-25
0.435604, 0, 5.65286e-06, 1.11764e-24, 1.41421, -5.65286e-06, 1.11764e-24, 0, 1.11764e-24, 1.11764e-24, 1.11764e-24, 1.11764e-24, 1.11764e-24, 1.11764e-24, 2.64477e-08, 1.11764e-24, 1.11764e-24, 1.49235e-09, 2.76856e-08, 5.59723e-06, 1.11764e-24, 1.11764e-24
0.443632, 0, 7.45884e-06, 3.99525e-24, 1.41421, -7.45884e-06, 3.99525e-24, 0, 3.99525e-24, 3.99525e-24, 3.99525e-24, 3.99525e-24, 3.99525e-24, 3.99525e-24, 3.52639e-08, 3.99525e-24, 3.99525e-24, 2.26236e-09, 4.08265e-08, 7.38049e-06, 3.99525e-24, 3.99525e-24
0.45166, 0, 9.81713e-06, 2.24684e-08, 1.41421, -9.81713e-06, 2.26016e-08, 2.24684e-08, 2.24687e-08, 2.24695e-08, 2.24706e-08, 2.25251e-08, 2.24702e-08, 2.26713e-08, 6.92928e-08, 2.24744e-08, 2.24685e-08, 2.58839e-08, 8.2411e-08, 9.70559e-06, 2.24684e-08, 2.34243e-08
0.459688, 0, 1.28705e-05, 7.09164e-08, 1.41421, -1.28705e-05, 7.13381e-08, 7.09164e-08, 7.09174e-08, 7.09196e-08, 7.09233e-08, 7.10958e-08, 7.09221e-08, 7.15588e-08, 1.32837e-07, 7.09354e-08, 7.09167e-08, 7.60502e-08, 1.58517e-07, 1.27115e-05, 7.09164e-08, 7.39431e-08
0.467716, 0, 1.68229e-05, 1.72722e-07, 1.41421, -1.68229e-05, 1.73752e-07, 1.72722e-07, 1.72725e-07, 1.7273e-07, 1.72739e-07, 1.7316e-07, 1.72736e-07, 1.74292e-07, 2.54278e-07, 1.72769e-07, 1.72723e-07, 1.80402e-07, 3.00107e-07, 1.65957e-05, 1.72722e-07, 1.80116e-07
0.475743, 0, 2.19447e-05, 3.82278e-07, 1.41421, -2.19447e-05, 3.84562e-07, 3.82278e-07, 3.82283e-07, 3.82296e-07, 3.82315e-07, 3.8325e-07, 3.82309e-07, 3.85758e-07, 4.8927e-07, 3.82381e-07, 3.8228e-07, 3.93706e-07, 5.66546e-07, 2.16187e-05, 3.82278e-07, 3.98672e-07
0.483771, 0, 2.86272e-05, 8.16469e-07, 1.41421, -2.86272e-05, 8.21356e-07, 8.16469e-07, 8.1648e-07, 8.16506e-07, 8.16548e-07, 8.18547e-07, 8.16534e-07, 8.23915e-07, 9.56283e-07, 8.16689e-07, 8.16471e-07, 8.33388e-07, 1.08178e-06, 2.81553e-05, 8.16469e-07, 8.51551e-07
0.491799, 0, 3.73814e-05, 1.65303e-06, 1.41421, -3.73814e-05, 1.66293e-06, 1.65303e-06, 1.65305e-06, 1.6531e-06, 1.65319e-06, 1.65724e-06, 1.65316e-06, 1.66811e-06, 1.83502e-06, 1.65347e-06, 1.65303e-06, 1.67793e-06, 2.03265e-06, 3.66938e-05, 1.65303e-06, 1.7241e-06
0.499827, 0, 4.90258e-05, 3.27647e-06, 1.41421, -4.90258e-05, 3.2961e-06, 3.27647e-06, 3.27651e-06, 3.27662e-06, 3.27678e-06, 3.28482e-06, 3.27673e-06, 3.30638e-06, 3.51246e-06, 3.27735e-06, 3.27648e-06, 3.31292e-06, 3.8165e-06, 4.80128e-05, 3.27647e-06, 3.41743e-06
0.507855, 0, 6.47968e-05, 6.3685e-06, 1.41421, -6.47968e-05, 6.40669e-06, 6.3685e-06, 6.36859e-06, 6.36879e-06, 6.36912e-06, 6.38474e-06, 6.36901e-06, 6.42669e-06, 6.67335e-06, 6.37022e-06, 6.36852e-06, 6.42156e-06, 7.13213e-06, 6.32853e-05, 6.3685e-06, 6.64263e-06
0.515883, 0, 8.66429e-05, 1.2149e-05, 1.41421, -8.66429e-05, 1.22218e-05, 1.2149e-05, 1.21491e-05, 1.21495e-05, 1.21501e-05, 1.218e-05, 1.21499e-05, 1.226e-05, 1.25413e-05, 1.21522e-05, 1.2149e-05, 1.22257e-05, 1.32222e-05, 8.43562e-05, 1.2149e-05, 1.26722e-05
0.523911, 0, 0.000117682, 2.27571e-05, 1.41421, -0.000117682, 2.28937e-05, 2.27571e-05, 2.27574e-05, 2.27581e-05, 2.27593e-05, 2.28152e-05, 2.27589e-05, 2.29652e-05, 2.326e-05, 2.27632e-05, 2.27571e-05, 2.28675e-05, 2.42562e-05, 0.000114174, 2.27571e-05, 2.37376e-05
0.531938, 0, 0.000162942, 4.187e-05, 1.41421, -0.000162942, 4.21214e-05, 4.187e-05, 4.18706e-05, 4.18719e-05, 4.18741e-05, 4.19769e-05, 4.18734e-05, 4.22531e-05, 4.25124e-05, 4.18813e-05, 4.18701e-05, 4.20279e-05, 4.39513e-05, 0.000157492, 4.187e-05, 4.36749e-05
0.539966, 0, 0.000230525, 7.56819e-05, 1.41421, -0.000230525, 7.61366e-05, 7.56819e-05, 7.56829e-05, 7.56854e-05, 7.56893e-05, 7.58753e-05, 7.5688e-05, 7.63747e-05, 7.64993e-05, 7.57024e-05, 7.56822e-05, 7.59063e-05, 7.85539e-05, 0.000221968, 7.56819e-05, 7.8946e-05
0.547994, 0, 0.000333409, 0.000134418, 1.41421, -0.000333409, 0.000135226, 0.000134418, 0.00013442, 0.000134424, 0.000134431, 0.000134762, 0.000134429, 0.000135649, 0.000135454, 0.000134454, 0.000134418, 0.000134735, 0.000138358, 0.000319864, 0.000134418, 0.000140218
0.556022, 0, 0.000492197, 0.000234622, 1.41421, -0.000492197, 0.000236033, 0.000234622, 0.000234625, 0.000234633, 0.000234645, 0.000235222, 0.000234641, 0.000236772, 0.000235932, 0.000234686, 0.000234623, 0.000235068, 0.000239995, 0.000470658, 0.000234622, 0.000244752
0.56405, 0, 0.000739062, 0.000402522, 1.41421, -0.000739062, 0.000404945, 0.000402522, 0.000402528, 0.000402541, 0.000402562, 0.000403553, 0.000402555, 0.000406213, 0.000404171, 0.000402631, 0.000402524, 0.000403145, 0.000409811, 0.000704764, 0.000402522, 0.000419911
0.572078, 0.00526634, 0.00112353, 0.00067886, 1.41607, 0.00414281, 0.000682947, 0.00067886, 0.000678869, 0.000678891, 0.000678926, 0.000680598, 0.000678914, 0.000685087, 0.000680929, 0.000679044, 0.000678862, 0.000679725, 0.000688696, 0.00106901, 0.00067886, 0.000708203
0.580105, 0.994734, 0.00172057, 0.00112564, 1.73053, 0.993013, 0.00113242, 0.00112564, 0.00112566, 0.00112569, 0.00112575, 0.00112852, 0.00112573, 0.00113597, 0.00112823, 0.00112595, 0.00112564, 0.00112684, 0.00113885, 0.00163431, 0.00112564, 0.00117432
0.588133, 0, 0.00264165, 0.00183532, 1.41421, -0.00264165, 0.00184639, 0.00183532, 0.00183535, 0.0018354, 0.0018355, 0.00184003, 0.00183547, 0.00185218, 0.00183855, 0.00183582, 0.00183533, 0.00183697, 0.00185299, 0.0025061, 0.00183532, 0.00191475
0.596161, 0, 0.0040493, 0.0029429, 1.41421, -0.0040493, 0.00296065, 0.0029429, 0.00294294, 0.00294303, 0.00294319, 0.00295045, 0.00294314, 0.00296995, 0.00294692, 0.0029437, 0.00294291, 0.00294516, 0.00296645, 0.00383815, 0.0029429, 0.00307036
0.604189, 0, 0.00617603, 0.00464144, 1.41421, -0.00617603, 0.00466946, 0.00464144, 0.0046415, 0.00464165, 0.0046419, 0.00465336, 0.00464182, 0.00468414, 0.00464643, 0.0046427, 0.00464146, 0.00464452, 0.00467272, 0.00585048, 0.00464144, 0.00484261
