   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_827.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.347098, 0, 6.7597e-08, 1.37468e-30, 1.41421, -6.7597e-08, 1.37468e-30, 0, 1.37468e-30, 1.37468e-30, 1.37468e-30, 1.37468e-30, 1.37468e-30, 1.37468e-30, 1.37468e-30, 1.37468e-30, 1.37468e-30, 1.37468e-30, 1.37468e-30, 1.37468e-30, 2.94547e-10, 1.37468e-30, 1.37468e-30, 1.83797e-10, 1.37468e-30, 2.6936e-08, 1.37468e-30, 4.01827e-08, 1.37468e-30, 1.37468e-30, 1.37468e-30
0.354963, 0, 9.35247e-08, 6.88297e-30, 1.41421, -9.35247e-08, 6.88297e-30, 0, 6.88297e-30, 6.88297e-30, 6.88297e-30, 6.88297e-30, 6.88297e-30, 6.88297e-30, 6.88297e-30, 6.88297e-30, 6.88297e-30, 6.88297e-30, 6.88297e-30, 6.88297e-30, 3.95099e-10, 6.88297e-30, 6.88297e-30, 2.71939e-10, 6.88297e-30, 3.91425e-08, 6.88297e-30, 5.37152e-08, 6.88297e-30, 6.88297e-30, 6.88297e-30
0.362828, 0, 1.29191e-07, 3.24489e-29, 1.41421, -1.29191e-07, 3.24489e-29, 0, 3.24489e-29, 3.24489e-29, 3.24489e-29, 3.24489e-29, 3.24489e-29, 3.24489e-29, 3.24489e-29, 3.24489e-29, 3.24489e-29, 3.24489e-29, 3.24489e-29, 3.24489e-29, 5.27878e-10, 3.24489e-29, 3.24489e-29, 4.02216e-10, 3.24489e-29, 5.67693e-08, 3.24489e-29, 7.14914e-08, 3.24489e-29, 3.24489e-29, 3.24489e-29
0.370693, 0, 1.78201e-07, 1.46303e-28, 1.41421, -1.78201e-07, 1.46303e-28, 0, 1.46303e-28, 1.46303e-28, 1.46303e-28, 1.46303e-28, 1.46303e-28, 1.46303e-28, 1.46303e-28, 1.46303e-28, 1.46303e-28, 1.46303e-28, 1.46303e-28, 1.46303e-28, 7.0253e-10, 1.46303e-28, 1.46303e-28, 5.94557e-10, 1.46303e-28, 8.21663e-08, 1.46303e-28, 9.47376e-08, 1.46303e-28, 1.46303e-28, 1.46303e-28
0.378558, 0, 2.4548e-07, 6.29675e-28, 1.41421, -2.4548e-07, 6.29675e-28, 0, 6.29675e-28, 6.29675e-28, 6.29675e-28, 6.29675e-28, 6.29675e-28, 6.29675e-28, 6.29675e-28, 6.29675e-28, 6.29675e-28, 6.29675e-28, 6.29675e-28, 6.29675e-28, 9.31382e-10, 6.29675e-28, 6.29675e-28, 8.78106e-10, 6.29675e-28, 1.18669e-07, 6.29675e-28, 1.25001e-07, 6.29675e-28, 6.29675e-28, 6.29675e-28
0.386424, 0, 3.37751e-07, 2.57815e-27, 1.41421, -3.37751e-07, 2.57815e-27, 0, 2.57815e-27, 2.57815e-27, 2.57815e-27, 2.57815e-27, 2.57815e-27, 2.57815e-27, 2.57815e-27, 2.57815e-27, 2.57815e-27, 2.57815e-27, 2.57815e-27, 2.57815e-27, 1.23013e-09, 2.57815e-27, 2.57815e-27, 1.29535e-09, 2.57815e-27, 1.70997e-07, 2.57815e-27, 1.64228e-07, 2.57815e-27, 2.57815e-27, 2.57815e-27
0.394289, 0, 4.64171e-07, 1.00531e-26, 1.41421, -4.64171e-07, 1.00531e-26, 0, 1.00531e-26, 1.00531e-26, 1.00531e-26, 1.00531e-26, 1.00531e-26, 1.00531e-26, 1.00531e-26, 1.00531e-26, 1.00531e-26, 1.00531e-26, 1.00531e-26, 1.00531e-26, 1.61868e-09, 1.00531e-26, 1.00531e-26, 1.90798e-09, 1.00531e-26, 2.45796e-07, 1.00531e-26, 2.14848e-07, 1.00531e-26, 1.00531e-26, 1.00531e-26
0.402154, 0, 6.37202e-07, 3.73889e-26, 1.41421, -6.37202e-07, 3.73889e-26, 0, 3.73889e-26, 3.73889e-26, 3.73889e-26, 3.73889e-26, 3.73889e-26, 3.73889e-26, 3.73889e-26, 3.73889e-26, 2.63493e-13, 3.73889e-26, 3.73889e-26, 3.73889e-26, 2.1222e-09, 3.73889e-26, 3.73889e-26, 2.80522e-09, 3.73889e-26, 3.52387e-07, 3.73889e-26, 2.79888e-07, 3.73889e-26, 3.73889e-26, 3.73889e-26
0.410019, 0, 8.73757e-07, 1.32898e-25, 1.41421, -8.73757e-07, 1.32898e-25, 0, 1.32898e-25, 1.32898e-25, 1.32898e-25, 1.32898e-25, 1.32898e-25, 1.32898e-25, 1.32898e-25, 1.32898e-25, 7.92051e-13, 1.32898e-25, 1.32898e-25, 1.32898e-25, 2.77238e-09, 1.32898e-25, 1.32898e-25, 4.11547e-09, 1.32898e-25, 5.03775e-07, 1.32898e-25, 3.63093e-07, 1.32898e-25, 1.32898e-25, 1.32898e-25
0.417885, 0, 1.19674e-06, 4.55016e-25, 1.41421, -1.19674e-06, 4.55016e-25, 0, 4.55016e-25, 4.55016e-25, 4.55016e-25, 4.55016e-25, 4.55016e-25, 4.55016e-25, 4.55016e-25, 4.55016e-25, 1.8331e-12, 4.55016e-25, 4.55016e-25, 4.55016e-25, 3.609e-09, 4.55016e-25, 4.55016e-25, 6.02282e-09, 4.55016e-25, 7.18025e-07, 4.55016e-25, 4.69082e-07, 4.55016e-25, 4.55016e-25, 4.55016e-25
0.42575, 0, 1.63825e-06, 5.39784e-11, 1.41421, -1.63825e-06, 6.30815e-11, 5.39784e-11, 5.39892e-11, 5.52215e-11, 7.03687e-11, 2.00184e-10, 5.82098e-11, 1.67993e-10, 4.09147e-10, 6.01003e-11, 6.95812e-11, 1.63752e-10, 6.63752e-11, 2.91035e-10, 4.73589e-09, 5.9809e-11, 5.4218e-11, 8.84364e-09, 5.39925e-11, 1.02013e-06, 5.39791e-11, 6.03644e-07, 5.39784e-11, 5.39784e-11, 7.78537e-11
0.433615, 0, 2.23989e-06, 1.5965e-10, 1.41421, -2.23989e-06, 1.86918e-10, 1.5965e-10, 1.59683e-10, 1.63374e-10, 2.08745e-10, 5.97591e-10, 1.72325e-10, 5.01165e-10, 1.22351e-09, 1.77988e-10, 2.02552e-10, 4.88463e-10, 1.96784e-10, 8.69723e-10, 6.21271e-09, 1.77115e-10, 1.60368e-10, 1.29489e-08, 1.59931e-10, 1.44435e-06, 1.59653e-10, 7.73693e-07, 1.5965e-10, 1.5965e-10, 2.31166e-10
0.44148, 0, 3.05867e-06, 3.64645e-10, 1.41421, -3.05867e-06, 4.27575e-10, 3.64645e-10, 3.6472e-10, 3.73239e-10, 4.7795e-10, 1.37535e-09, 3.93897e-10, 1.15282e-09, 2.8199e-09, 4.06966e-10, 4.60821e-10, 1.1235e-09, 4.50344e-10, 2.0034e-09, 8.16413e-09, 4.04952e-10, 3.66302e-10, 1.89116e-08, 3.65506e-10, 2.03748e-06, 3.6465e-10, 9.87911e-07, 3.64645e-10, 3.64645e-10, 5.29693e-10
0.449345, 0, 4.17107e-06, 7.59436e-10, 1.41421, -4.17107e-06, 8.91315e-10, 7.59436e-10, 7.59592e-10, 7.77446e-10, 9.96886e-10, 2.87756e-09, 8.20737e-10, 2.41119e-09, 5.90485e-09, 8.48126e-10, 9.58023e-10, 2.34975e-09, 9.39032e-10, 4.19374e-09, 1.07759e-08, 8.43905e-10, 7.62907e-10, 2.75606e-08, 7.6152e-10, 2.86304e-06, 7.59446e-10, 1.25668e-06, 7.59436e-10, 7.59436e-10, 1.10532e-09
0.457211, 0, 5.68016e-06, 1.51064e-09, 1.41421, -5.68016e-06, 1.77386e-09, 1.51064e-09, 1.51095e-09, 1.54659e-09, 1.98456e-09, 5.73815e-09, 1.63299e-09, 4.80734e-09, 1.17803e-08, 1.68766e-09, 1.90294e-09, 4.68472e-09, 1.86909e-09, 8.36508e-09, 1.43321e-08, 1.67923e-09, 1.51757e-09, 4.00934e-08, 1.51519e-09, 4.00698e-06, 1.51066e-09, 1.59277e-06, 1.51064e-09, 1.51064e-09, 2.20099e-09
0.465076, 0, 7.72936e-06, 2.9202e-09, 1.41421, -7.72936e-06, 3.42993e-09, 2.9202e-09, 2.9208e-09, 2.98981e-09, 3.83796e-09, 1.11069e-08, 3.15714e-09, 9.30436e-09, 2.28077e-08, 3.26299e-09, 3.69664e-09, 9.06691e-09, 3.61436e-09, 1.6194e-08, 1.92791e-08, 3.24668e-09, 2.93362e-09, 5.82434e-08, 2.92955e-09, 5.58964e-06, 2.92024e-09, 2.01185e-06, 2.9202e-09, 2.9202e-09, 4.25708e-09
0.472941, 0, 1.04986e-05, 5.52672e-09, 1.41421, -1.04986e-05, 6.49243e-09, 5.52672e-09, 5.52787e-09, 5.6586e-09, 7.26549e-09, 2.1037e-08, 5.97561e-09, 1.7622e-08, 4.32049e-08, 6.17617e-09, 7.23085e-09, 1.71721e-08, 6.84185e-09, 3.06749e-08, 2.63319e-08, 6.14526e-09, 5.55214e-09, 8.45263e-08, 5.54523e-09, 7.75892e-06, 5.5268e-09, 2.53317e-06, 5.52672e-09, 5.52672e-09, 8.05954e-09
0.480806, 0, 1.42416e-05, 1.02765e-08, 1.41421, -1.42416e-05, 1.20735e-08, 1.02765e-08, 1.02787e-08, 1.05219e-08, 1.3512e-08, 3.91379e-08, 1.11118e-08, 3.27832e-08, 8.03877e-08, 1.1485e-08, 1.57042e-08, 3.19461e-08, 1.27237e-08, 5.70721e-08, 3.66523e-08, 1.14275e-08, 1.03238e-08, 1.22603e-07, 1.03122e-08, 1.07215e-05, 1.02767e-08, 3.18063e-06, 1.02765e-08, 1.02765e-08, 1.49896e-08
0.488672, 0, 1.92948e-05, 1.88066e-08, 1.41421, -1.92948e-05, 2.20972e-08, 1.88066e-08, 1.88105e-08, 1.92559e-08, 2.47314e-08, 7.16574e-08, 2.03361e-08, 6.00207e-08, 1.47194e-07, 2.10195e-08, 3.14061e-08, 5.84878e-08, 2.32878e-08, 1.04498e-07, 5.21388e-08, 2.09142e-08, 1.88932e-08, 1.7782e-07, 1.88738e-08, 1.47479e-05, 1.88068e-08, 3.98423e-06, 1.88066e-08, 1.88066e-08, 2.74371e-08
0.496537, 0, 2.61131e-05, 3.39039e-08, 1.41421, -2.61131e-05, 3.98397e-08, 3.39039e-08, 3.39109e-08, 3.47145e-08, 4.45914e-08, 1.29239e-07, 3.6663e-08, 1.08248e-07, 2.65496e-07, 3.78958e-08, 6.01202e-08, 1.05483e-07, 4.19874e-08, 1.8848e-07, 7.5895e-08, 3.77058e-08, 3.40601e-08, 2.58142e-07, 3.40284e-08, 2.0193e-05, 3.39043e-08, 4.9822e-06, 3.39039e-08, 3.39039e-08, 4.94721e-08
