   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_581.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.40099, 0, 3.05138e-08, 1.46643e-30, 1.41421, -3.05138e-08, 1.46643e-30, 0, 1.46643e-30, 1.46643e-30, 1.46643e-30, 1.46643e-30, 1.46643e-30, 1.46643e-30, 1.46643e-30, 1.46643e-30, 1.46643e-30, 1.46643e-30, 1.46643e-30, 1.46643e-30, 1.46643e-30, 7.16706e-13, 1.46643e-30, 1.8031e-08, 1.46643e-30, 1.24821e-08, 1.46643e-30, 1.46643e-30, 1.46643e-30
0.40885, 0, 4.56129e-08, 7.40762e-30, 1.41421, -4.56129e-08, 7.40762e-30, 0, 7.40762e-30, 7.40762e-30, 7.40762e-30, 7.40762e-30, 7.40762e-30, 7.40762e-30, 7.40762e-30, 7.40762e-30, 7.40762e-30, 7.40762e-30, 7.40762e-30, 7.40762e-30, 7.40762e-30, 1.12597e-12, 7.40762e-30, 2.80647e-08, 7.40762e-30, 1.75471e-08, 7.40762e-30, 7.40762e-30, 7.40762e-30
0.41671, 0, 6.81295e-08, 3.53288e-29, 1.41421, -6.81295e-08, 3.53288e-29, 0, 3.53288e-29, 3.53288e-29, 3.53288e-29, 3.53288e-29, 3.53288e-29, 3.53288e-29, 3.53288e-29, 3.53288e-29, 3.53288e-29, 3.53288e-29, 3.53288e-29, 3.53288e-29, 3.53288e-29, 1.76819e-12, 3.53288e-29, 4.36094e-08, 3.53288e-29, 2.45183e-08, 3.53288e-29, 3.53288e-29, 3.53288e-29
0.424571, 0, 1.01697e-07, 1.613e-28, 1.41421, -1.01697e-07, 1.613e-28, 0, 1.613e-28, 1.613e-28, 1.613e-28, 1.613e-28, 1.613e-28, 1.613e-28, 1.613e-28, 1.613e-28, 1.613e-28, 1.613e-28, 1.613e-28, 1.613e-28, 1.613e-28, 2.77462e-12, 1.613e-28, 6.76406e-08, 1.613e-28, 3.40537e-08, 1.613e-28, 1.613e-28, 1.613e-28
0.432431, 0, 1.5172e-07, 7.07388e-28, 1.41421, -1.5172e-07, 7.07388e-28, 0, 7.07388e-28, 7.07388e-28, 7.07388e-28, 7.07388e-28, 7.07388e-28, 7.07388e-28, 7.07388e-28, 7.07388e-28, 7.07388e-28, 7.07388e-28, 7.07388e-28, 7.07388e-28, 7.07388e-28, 4.34891e-12, 7.07388e-28, 1.04699e-07, 7.07388e-28, 4.70164e-08, 7.07388e-28, 7.07388e-28, 7.07388e-28
0.440291, 0, 2.26219e-07, 2.95962e-27, 1.41421, -2.26219e-07, 2.95962e-27, 0, 2.95962e-27, 2.95962e-27, 2.95962e-27, 2.95962e-27, 2.95962e-27, 2.95962e-27, 2.95962e-27, 2.95962e-27, 2.95962e-27, 2.95962e-27, 2.95962e-27, 2.95962e-27, 2.95962e-27, 6.80568e-12, 2.95962e-27, 1.61681e-07, 2.95962e-27, 6.45315e-08, 2.95962e-27, 2.95962e-27, 2.95962e-27
0.448151, 0, 3.3707e-07, 1.18118e-26, 1.41421, -3.3707e-07, 1.18118e-26, 0, 1.18118e-26, 1.18118e-26, 1.18118e-26, 1.18118e-26, 1.18118e-26, 1.18118e-26, 1.18118e-26, 1.18118e-26, 1.18118e-26, 1.18118e-26, 1.18118e-26, 1.18118e-26, 1.18118e-26, 1.06286e-11, 1.18118e-26, 2.49005e-07, 1.18118e-26, 8.8055e-08, 1.18118e-26, 1.18118e-26, 1.18118e-26
0.456012, 0, 5.01799e-07, 4.50021e-26, 1.41421, -5.01799e-07, 4.50021e-26, 0, 4.50021e-26, 4.50021e-26, 4.50021e-26, 4.50021e-26, 4.50021e-26, 4.50021e-26, 4.50021e-26, 5.75739e-13, 4.50021e-26, 4.50021e-26, 4.50021e-26, 4.50021e-26, 4.50021e-26, 1.65571e-11, 4.50021e-26, 3.82322e-07, 4.50021e-26, 1.1946e-07, 4.50021e-26, 4.50021e-26, 4.50021e-26
0.463872, 0, 7.4624e-07, 2.61908e-25, 1.41421, -7.4624e-07, 2.61908e-25, 0, 2.61908e-25, 2.61908e-25, 2.61908e-25, 2.61908e-25, 2.61908e-25, 2.61908e-25, 2.61908e-25, 2.13136e-12, 2.61908e-25, 2.61908e-25, 2.61908e-25, 2.61908e-25, 2.61908e-25, 2.57242e-11, 2.61908e-25, 5.85072e-07, 2.61908e-25, 1.6114e-07, 2.61908e-25, 2.61908e-25, 2.61908e-25
0.471732, 0, 1.10858e-06, 8.91367e-25, 1.41421, -1.10858e-06, 1.92702e-11, 0, 7.05269e-15, 2.06432e-11, 1.82745e-10, 7.38166e-12, 1.35048e-10, 2.44982e-11, 7.23363e-12, 1.67041e-11, 9.45511e-11, 1.28545e-11, 1.47444e-10, 5.75977e-12, 2.03385e-13, 3.98131e-11, 8.58573e-14, 8.91708e-07, 2.50048e-16, 2.16153e-07, 8.91367e-25, 8.91367e-25, 1.81073e-13
