   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_230.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.635284, 1, 2.96463e-05, 1.26609e-06, 1.73205, 0.99997, 1.33843e-06, 1.26609e-06, 1.26611e-06, 1.26614e-06, 1.2664e-06, 1.28514e-06, 1.2724e-06, 1.26641e-06, 1.29226e-06, 1.3499e-06, 1.26711e-06, 1.26879e-06, 1.33823e-06, 2.92209e-05, 1.26609e-06, 1.40718e-06
0.643493, 0, 4.91318e-05, 4.43364e-06, 1.41421, -4.91318e-05, 4.67263e-06, 4.43364e-06, 4.4337e-06, 4.4338e-06, 4.43467e-06, 4.49274e-06, 4.45449e-06, 4.4347e-06, 4.5201e-06, 4.56779e-06, 4.43702e-06, 4.43879e-06, 4.58081e-06, 4.79681e-05, 4.43364e-06, 4.8998e-06
0.651701, 0, 8.51427e-05, 1.46151e-05, 1.41421, -8.51427e-05, 1.53597e-05, 1.46151e-05, 1.46152e-05, 1.46156e-05, 1.46183e-05, 1.479e-05, 1.468e-05, 1.46184e-05, 1.48844e-05, 1.48271e-05, 1.46256e-05, 1.46247e-05, 1.49106e-05, 8.19013e-05, 1.46151e-05, 1.60675e-05
0.65991, 0.971515, 0.000158252, 4.5438e-05, 1.72381, 0.971357, 4.76281e-05, 4.5438e-05, 4.54385e-05, 4.54394e-05, 4.54474e-05, 4.59387e-05, 4.56291e-05, 4.54477e-05, 4.62303e-05, 4.57692e-05, 4.54689e-05, 4.54556e-05, 4.60213e-05, 0.000149322, 4.5438e-05, 4.97098e-05
0.668119, 0.997599, 0.000318951, 0.000133353, 1.73136, 0.99728, 0.000139436, 0.000133353, 0.000133354, 0.000133357, 0.000133379, 0.000134713, 0.000133884, 0.00013338, 0.000135554, 0.000133864, 0.000133439, 0.000133385, 0.000134484, 0.000295092, 0.000133353, 0.000145219
0.676328, 0.997576, 0.000687826, 0.000369677, 1.73135, 0.996888, 0.000385647, 0.000369677, 0.00036968, 0.000369687, 0.000369745, 0.000373206, 0.00037107, 0.000369748, 0.000375454, 0.000370457, 0.000369902, 0.000369733, 0.000371829, 0.000626635, 0.000369677, 0.000400828
0.684537, 0.0333093, 0.00153969, 0.000968529, 1.42594, 0.0317696, 0.00100817, 0.000968529, 0.000968539, 0.000968556, 0.000968699, 0.000977326, 0.000971988, 0.000968706, 0.00098287, 0.000969708, 0.000969089, 0.000968628, 0.000972561, 0.00138987, 0.000968529, 0.00104585
0.692746, 0, 0.00346627, 0.0023995, 1.41421, -0.00346627, 0.00249261, 0.0023995, 0.00239952, 0.00239956, 0.0023999, 0.00242064, 0.00240762, 0.00239992, 0.00243318, 0.00240127, 0.00240082, 0.00239967, 0.00240694, 0.00311702, 0.0023995, 0.0025811
0.700955, 0, 0.00766464, 0.00562476, 1.41421, -0.00766464, 0.00583177, 0.00562476, 0.00562481, 0.0056249, 0.00562565, 0.00567398, 0.00564282, 0.00562568, 0.00569965, 0.00562739, 0.00562768, 0.00562505, 0.00563833, 0.00689025, 0.00562476, 0.00602855
0.709164, 0, 0.0164018, 0.0124834, 1.41421, -0.0164018, 0.0129194, 0.0124834, 0.0124835, 0.0124837, 0.0124852, 0.012595, 0.0125214, 0.0124853, 0.0126411, 0.0124873, 0.0124895, 0.0124839, 0.0125079, 0.0147684, 0.0124834, 0.0133339
0.717373, 1.95465, 0.0336847, 0.0262481, 1.98863, 1.92096, 0.027119, 0.0262481, 0.0262483, 0.0262487, 0.0262519, 0.0264954, 0.0263241, 0.026252, 0.0265632, 0.0262538, 0.0262604, 0.026249, 0.0262922, 0.0304054, 0.0262481, 0.0279468
0.725582, 2.94981, 0.0661032, 0.0523255, 2.22482, 2.88371, 0.0539759, 0.0523255, 0.0523259, 0.0523266, 0.0523326, 0.0528628, 0.0524695, 0.0523329, 0.0529226, 0.0523339, 0.0523489, 0.052327, 0.0524043, 0.0598278, 0.0523255, 0.0555446
0.733791, 1.99518, 0.123704, 0.098975, 1.9988, 1.87148, 0.101945, 0.098975, 0.0989757, 0.098977, 0.0989878, 0.100121, 0.0992342, 0.0989882, 0.100049, 0.098987, 0.099017, 0.0989774, 0.0991145, 0.112237, 0.098975, 0.104768
0.742, 0.100354, 0.220609, 0.177792, 1.44926, -0.120255, 0.182874, 0.177792, 0.177794, 0.177796, 0.177814, 0.180187, 0.178236, 0.177815, 0.179631, 0.17781, 0.177864, 0.177796, 0.178037, 0.200555, 0.177792, 0.187704
0.750209, 1.89, 0.374973, 0.303593, 1.97231, 1.51502, 0.311866, 0.303593, 0.303595, 0.303599, 0.303629, 0.308484, 0.304315, 0.30363, 0.306586, 0.303618, 0.30371, 0.3036, 0.304013, 0.341311, 0.303593, 0.31973
0.758418, 3.05259, 0.607864, 0.493323, 2.2478, 2.44472, 0.506158, 0.493323, 0.493327, 0.493332, 0.493379, 0.503041, 0.494443, 0.493381, 0.497967, 0.493357, 0.493505, 0.493334, 0.494029, 0.553459, 0.493323, 0.518358
0.766627, 1.05742, 0.940816, 0.763759, 1.74855, 0.116602, 0.78276, 0.763759, 0.763764, 0.763772, 0.763841, 0.782463, 0.765417, 0.763844, 0.770633, 0.763804, 0.764028, 0.763775, 0.764911, 0.855857, 0.763759, 0.80082
0.774836, 1.93776, 1.39218, 1.12813, 1.98438, 0.545579, 1.15501, 1.12813, 1.12814, 1.12815, 1.12825, 1.16285, 1.13048, 1.12825, 1.13786, 1.12819, 1.12851, 1.12816, 1.12995, 1.26355, 1.12813, 1.18057
0.783045, 2.8683, 1.97292, 1.59226, 2.20642, 0.895381, 1.62867, 1.59226, 1.59226, 1.59228, 1.59241, 1.65416, 1.59543, 1.59242, 1.60543, 1.59233, 1.59277, 1.59229, 1.59501, 1.7835, 1.59226, 1.66328
0.791254, 5.92569, 2.68289, 2.15119, 2.81526, 3.2428, 2.19852, 2.15119, 2.1512, 2.15122, 2.1514, 2.25696, 2.15532, 2.1514, 2.16831, 2.15129, 2.15186, 2.15125, 2.15519, 2.41097, 2.15119, 2.2435
0.799462, 5.9904, 3.50883, 2.7876, 2.82673, 2.48156, 2.84674, 2.7876, 2.78761, 2.78764, 2.78785, 2.96036, 2.79276, 2.78786, 2.80899, 2.78771, 2.78843, 2.78769, 2.79315, 3.12784, 2.7876, 2.90296
0.807671, 4.13408, 4.42504, 3.47259, 2.47671, -0.290961, 3.54386, 3.47259, 3.47261, 3.47264, 3.4729, 3.74197, 3.47881, 3.47291, 3.49838, 3.47273, 3.4736, 3.47272, 3.47996, 3.90404, 3.47259, 3.61162
0.81588, 7.84662, 5.39687, 4.16934, 3.13793, 2.44975, 4.25239, 4.16934, 4.16936, 4.16939, 4.1697, 4.56989, 4.17659, 4.16971, 4.19939, 4.16949, 4.17051, 4.16952, 4.17865, 4.70234, 4.16934, 4.33136
