   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_159.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.423907, 0, 1.23201e-07, 2.42836e-27, 1.41421, -1.23201e-07, 0, 2.42836e-27, 2.42836e-27, 2.42836e-27, 2.42836e-27, 2.42836e-27, 2.42836e-27, 2.42836e-27, 2.42836e-27, 2.42836e-27, 2.42836e-27, 7.29004e-10, 2.42836e-27, 4.71372e-11, 5.03305e-10, 2.42836e-27, 1.21921e-07, 2.42836e-27, 2.42836e-27, 2.42836e-27
0.431775, 0, 1.64625e-07, 9.37064e-27, 1.41421, -1.64625e-07, 0, 9.37064e-27, 9.37064e-27, 9.37064e-27, 9.37064e-27, 9.37064e-27, 9.37064e-27, 9.37064e-27, 8.63158e-14, 9.37064e-27, 9.37064e-27, 9.81076e-10, 9.37064e-27, 7.18399e-11, 7.50473e-10, 9.37064e-27, 1.62822e-07, 9.37064e-27, 9.37064e-27, 9.37064e-27
0.439644, 0, 2.18837e-07, 3.4528e-26, 1.41421, -2.18837e-07, 0, 3.4528e-26, 3.4528e-26, 3.4528e-26, 3.4528e-26, 3.4528e-26, 3.4528e-26, 3.4528e-26, 2.75268e-13, 3.4528e-26, 3.4528e-26, 1.3144e-09, 3.4528e-26, 1.09194e-10, 1.11526e-09, 3.4528e-26, 2.16298e-07, 3.4528e-26, 3.4528e-26, 3.4528e-26
0.447512, 0, 2.89412e-07, 1.22109e-25, 1.41421, -2.89412e-07, 0, 1.22109e-25, 1.22109e-25, 1.22109e-25, 1.22109e-25, 1.22109e-25, 1.22109e-25, 1.22109e-25, 6.77407e-13, 1.22109e-25, 1.22109e-25, 1.75325e-09, 1.22109e-25, 1.65454e-10, 1.65132e-09, 1.22109e-25, 2.85841e-07, 1.22109e-25, 1.22109e-25, 1.22109e-25
0.455381, 0, 3.82783e-07, 4.18947e-25, 1.41421, -3.82783e-07, 0, 1.56283e-14, 1.05849e-13, 1.1558e-13, 4.02864e-13, 4.26987e-13, 6.08675e-13, 2.22984e-13, 5.81253e-12, 1.01877e-11, 1.89267e-09, 2.32863e-09, 3.45157e-14, 2.49819e-10, 2.43537e-09, 2.37365e-15, 3.75842e-07, 4.18947e-25, 4.18947e-25, 1.64556e-11
0.463249, 0, 5.05521e-07, 6.88965e-10, 1.41421, -5.05521e-07, 6.88965e-10, 6.89014e-10, 6.89301e-10, 6.89331e-10, 6.90242e-10, 6.90319e-10, 6.90895e-10, 6.89672e-10, 7.05814e-10, 7.21271e-10, 6.69085e-09, 3.76878e-09, 6.89074e-10, 1.06472e-09, 4.26535e-09, 6.88972e-10, 4.9238e-07, 6.88965e-10, 6.88965e-10, 7.41148e-10
0.471118, 0, 6.6706e-07, 2.17908e-09, 1.41421, -6.6706e-07, 2.17908e-09, 2.1792e-09, 2.1799e-09, 2.17998e-09, 2.18221e-09, 2.1824e-09, 2.18381e-09, 2.18081e-09, 2.21908e-09, 2.25818e-09, 1.6874e-08, 6.23554e-09, 2.17935e-09, 2.74186e-09, 7.40703e-09, 2.1791e-09, 6.42256e-07, 2.17908e-09, 2.17908e-09, 2.30685e-09
0.478986, 0, 8.81668e-07, 5.32356e-09, 1.41421, -8.81668e-07, 5.32356e-09, 5.32383e-09, 5.32539e-09, 5.32556e-09, 5.33052e-09, 5.33094e-09, 5.33407e-09, 5.32741e-09, 5.41107e-09, 5.49949e-09, 3.80064e-08, 1.06446e-08, 5.32416e-09, 6.16259e-09, 1.29285e-08, 5.3236e-09, 8.3464e-07, 5.32356e-09, 5.32356e-09, 5.60772e-09
0.486855, 0, 1.17091e-06, 1.18151e-08, 1.41421, -1.17091e-06, 1.18151e-08, 1.18157e-08, 1.1819e-08, 1.18194e-08, 1.18299e-08, 1.18308e-08, 1.18374e-08, 1.18233e-08, 1.19982e-08, 1.21874e-08, 8.09706e-08, 1.87669e-08, 1.18164e-08, 1.306e-08, 2.28217e-08, 1.18152e-08, 1.08133e-06, 1.18151e-08, 1.18151e-08, 1.24164e-08
0.494723, 0, 1.56903e-06, 2.49566e-08, 1.41421, -1.56903e-06, 2.49566e-08, 2.49578e-08, 2.49646e-08, 2.49653e-08, 2.49868e-08, 2.49886e-08, 2.50022e-08, 2.49733e-08, 2.53284e-08, 2.57193e-08, 1.66639e-07, 3.40028e-08, 2.49592e-08, 2.67941e-08, 4.08095e-08, 2.49568e-08, 1.3981e-06, 2.49566e-08, 2.49566e-08, 2.61885e-08
0.502592, 0, 2.13209e-06, 5.10507e-08, 1.41421, -2.13209e-06, 5.10507e-08, 5.10531e-08, 5.10666e-08, 5.1068e-08, 5.1111e-08, 5.11146e-08, 5.11418e-08, 5.10841e-08, 5.18807e-08, 5.25751e-08, 3.34239e-07, 6.2776e-08, 5.10559e-08, 5.37487e-08, 7.37564e-08, 5.10511e-08, 1.80667e-06, 5.10507e-08, 5.10507e-08, 5.35129e-08
0.51046, 0, 2.95388e-06, 1.01893e-07, 1.41421, -2.95388e-06, 1.01893e-07, 1.01898e-07, 1.01924e-07, 1.01927e-07, 1.02011e-07, 1.02018e-07, 1.02071e-07, 1.01958e-07, 1.03901e-07, 1.04876e-07, 6.5605e-07, 1.17032e-07, 1.01903e-07, 1.05833e-07, 1.34219e-07, 1.01894e-07, 2.33794e-06, 1.01893e-07, 1.01893e-07, 1.06711e-07
0.518329, 0, 4.19308e-06, 1.99119e-07, 1.41421, -4.19308e-06, 1.99119e-07, 1.99128e-07, 1.99179e-07, 1.99184e-07, 1.99346e-07, 1.99359e-07, 1.99461e-07, 1.99245e-07, 2.04178e-07, 2.04844e-07, 1.2626e-06, 2.1859e-07, 1.99139e-07, 2.0484e-07, 2.44871e-07, 1.99121e-07, 3.03754e-06, 1.99119e-07, 1.99119e-07, 2.08366e-07
0.526197, 0, 6.11723e-06, 3.81633e-07, 1.41421, -6.11723e-06, 3.81633e-07, 3.81649e-07, 3.81745e-07, 3.81755e-07, 3.82059e-07, 3.82085e-07, 3.82277e-07, 3.81869e-07, 3.92776e-07, 3.92416e-07, 2.38497e-06, 4.06578e-07, 3.81669e-07, 3.89897e-07, 4.46002e-07, 3.81635e-07, 3.97493e-06, 3.81633e-07, 3.81633e-07, 3.99051e-07
0.534066, 0, 9.17725e-06, 7.18005e-07, 1.41421, -9.17725e-06, 7.18005e-07, 7.18036e-07, 7.18212e-07, 7.18231e-07, 7.18794e-07, 7.18841e-07, 7.19197e-07, 7.18442e-07, 7.41018e-07, 7.37955e-07, 4.42419e-06, 7.49844e-07, 7.18073e-07, 7.29871e-07, 8.08027e-07, 7.1801e-07, 5.25837e-06, 7.18005e-07, 7.18005e-07, 7.50228e-07
0.541934, 0, 1.41264e-05, 1.3271e-06, 1.41421, -1.41264e-05, 1.3271e-06, 1.32716e-06, 1.32748e-06, 1.32751e-06, 1.32854e-06, 1.32862e-06, 1.32927e-06, 1.3279e-06, 1.37298e-06, 1.36337e-06, 8.06401e-06, 1.36759e-06, 1.32723e-06, 1.34404e-06, 1.45225e-06, 1.32711e-06, 7.05934e-06, 1.3271e-06, 1.3271e-06, 1.38568e-06
0.549803, 0, 2.21973e-05, 2.4087e-06, 1.41421, -2.21973e-05, 2.4087e-06, 2.4088e-06, 2.40938e-06, 2.40944e-06, 2.41126e-06, 2.41142e-06, 2.41257e-06, 2.41012e-06, 2.49684e-06, 2.47346e-06, 1.44386e-05, 2.45999e-06, 2.40892e-06, 2.43275e-06, 2.58168e-06, 2.40872e-06, 9.6493e-06, 2.4087e-06, 2.4087e-06, 2.5133e-06
0.557671, 0, 3.53956e-05, 4.29616e-06, 1.41421, -3.53956e-05, 4.29616e-06, 4.29634e-06, 4.29735e-06, 4.29745e-06, 4.30066e-06, 4.30093e-06, 4.30295e-06, 4.29865e-06, 4.46307e-06, 4.40981e-06, 2.54083e-05, 4.36091e-06, 4.29655e-06, 4.33011e-06, 4.53387e-06, 4.29619e-06, 1.34614e-05, 4.29616e-06, 4.29616e-06, 4.47972e-06
0.56554, 0, 5.69149e-05, 7.53105e-06, 1.41421, -5.69149e-05, 7.53105e-06, 7.53135e-06, 7.53309e-06, 7.53327e-06, 7.5388e-06, 7.53926e-06, 7.54276e-06, 7.53534e-06, 7.84259e-06, 7.72708e-06, 4.39502e-05, 7.6125e-06, 7.53171e-06, 7.57869e-06, 7.85594e-06, 7.53109e-06, 1.91803e-05, 7.53105e-06, 7.53105e-06, 7.84769e-06
0.573408, 0, 9.17482e-05, 1.29767e-05, 1.41421, -9.17482e-05, 1.29767e-05, 1.29772e-05, 1.29802e-05, 1.29805e-05, 1.29899e-05, 1.29906e-05, 1.29966e-05, 1.2984e-05, 1.35498e-05, 1.33092e-05, 7.4737e-05, 1.30788e-05, 1.29778e-05, 1.30432e-05, 1.34185e-05, 1.29768e-05, 2.78718e-05, 1.29767e-05, 1.29767e-05, 1.35137e-05
