   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_135.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.349659, 0, 4.84291e-09, 1.61397e-34, 1.41421, -4.84291e-09, 1.61397e-34, 0, 1.61397e-34, 1.61397e-34, 1.61397e-34, 1.61397e-34, 1.61397e-34, 1.61397e-34, 1.61397e-34, 1.61397e-34, 1.61397e-34, 1.61397e-34, 3.42066e-11, 6.00466e-13, 5.43995e-11, 1.61397e-34, 4.7537e-09, 1.61397e-34, 1.61397e-34
0.357541, 0, 6.82054e-09, 1.09426e-33, 1.41421, -6.82054e-09, 1.09426e-33, 0, 1.09426e-33, 1.09426e-33, 1.09426e-33, 1.09426e-33, 1.09426e-33, 1.09426e-33, 1.09426e-33, 1.09426e-33, 1.09426e-33, 1.09426e-33, 4.82393e-11, 9.18744e-13, 8.30175e-11, 1.09426e-33, 6.68836e-09, 1.09426e-33, 1.09426e-33
0.365423, 0, 9.5553e-09, 7.20671e-33, 1.41421, -9.5553e-09, 7.20671e-33, 0, 7.20671e-33, 7.20671e-33, 7.20671e-33, 7.20671e-33, 7.20671e-33, 7.20671e-33, 7.20671e-33, 7.20671e-33, 7.20671e-33, 7.20671e-33, 6.7686e-11, 1.40602e-12, 1.26478e-10, 7.20671e-33, 9.35973e-09, 7.20671e-33, 7.20671e-33
0.373305, 0, 1.3317e-08, 4.46238e-32, 1.41421, -1.3317e-08, 4.46238e-32, 0, 4.46238e-32, 4.46238e-32, 4.46238e-32, 4.46238e-32, 4.46238e-32, 4.46238e-32, 4.46238e-32, 4.46238e-32, 4.46238e-32, 4.46238e-32, 9.45008e-11, 2.15221e-12, 1.92377e-10, 4.46238e-32, 1.3028e-08, 4.46238e-32, 4.46238e-32
0.381187, 0, 1.84641e-08, 2.5814e-31, 1.41421, -1.84641e-08, 2.5814e-31, 0, 2.5814e-31, 2.5814e-31, 2.5814e-31, 2.5814e-31, 2.5814e-31, 2.5814e-31, 2.5814e-31, 2.5814e-31, 2.5814e-31, 2.5814e-31, 1.31293e-10, 3.2949e-12, 2.92145e-10, 2.5814e-31, 1.80374e-08, 2.5814e-31, 2.5814e-31
0.389069, 0, 2.5471e-08, 3.33898e-30, 1.41421, -2.5471e-08, 3.33898e-30, 0, 3.33898e-30, 3.33898e-30, 3.33898e-30, 3.33898e-30, 3.33898e-30, 3.33898e-30, 3.33898e-30, 3.33898e-30, 3.33898e-30, 3.33898e-30, 1.81537e-10, 5.04929e-12, 4.43199e-10, 3.33898e-30, 2.48412e-08, 3.33898e-30, 3.33898e-30
0.396951, 0, 3.49597e-08, 1.5946e-29, 1.41421, -3.49597e-08, 1.5946e-29, 0, 1.5946e-29, 1.5946e-29, 1.5946e-29, 1.5946e-29, 1.5946e-29, 1.5946e-29, 1.5946e-29, 1.5946e-29, 1.5946e-29, 1.5946e-29, 2.49812e-10, 7.72746e-12, 6.7075e-10, 1.5946e-29, 3.40314e-08, 1.5946e-29, 1.5946e-29
0.404833, 0, 4.77456e-08, 7.18626e-29, 1.41421, -4.77456e-08, 7.18626e-29, 0, 7.18626e-29, 7.18626e-29, 7.18626e-29, 7.18626e-29, 7.18626e-29, 7.18626e-29, 7.18626e-29, 7.18626e-29, 7.18626e-29, 7.18626e-29, 3.42168e-10, 1.18201e-11, 1.0133e-09, 7.18626e-29, 4.63783e-08, 7.18626e-29, 7.18626e-29
0.412715, 0, 6.489e-08, 3.06529e-28, 1.41421, -6.489e-08, 3.06529e-28, 0, 3.06529e-28, 3.06529e-28, 3.06529e-28, 3.06529e-28, 3.06529e-28, 3.06529e-28, 3.06529e-28, 3.06529e-28, 3.06529e-28, 3.06529e-28, 4.66528e-10, 1.8065e-11, 1.52775e-09, 3.06529e-28, 6.28777e-08, 3.06529e-28, 3.06529e-28
0.420597, 0, 8.7768e-08, 1.24112e-27, 1.41421, -8.7768e-08, 1.24112e-27, 0, 1.24112e-27, 1.24112e-27, 1.24112e-27, 1.24112e-27, 1.24112e-27, 1.24112e-27, 1.24112e-27, 1.24112e-27, 1.24112e-27, 1.24112e-27, 6.33238e-10, 2.75755e-11, 2.29838e-09, 1.24112e-27, 8.48088e-08, 1.24112e-27, 1.24112e-27
0.428479, 0, 1.18154e-07, 4.78315e-27, 1.41421, -1.18154e-07, 4.78315e-27, 0, 4.78315e-27, 4.78315e-27, 4.78315e-27, 4.78315e-27, 4.78315e-27, 4.78315e-27, 4.78315e-27, 4.78315e-27, 4.78315e-27, 4.78315e-27, 8.55747e-10, 4.2025e-11, 3.44937e-09, 4.78315e-27, 1.13807e-07, 4.78315e-27, 4.78315e-27
0.436361, 0, 1.58326e-07, 1.75913e-26, 1.41421, -1.58326e-07, 1.75913e-26, 0, 1.75913e-26, 1.75913e-26, 1.75913e-26, 1.75913e-26, 1.75913e-26, 1.75913e-26, 8.38873e-14, 1.75913e-26, 1.75913e-26, 1.75913e-26, 1.15146e-09, 6.39157e-11, 5.16277e-09, 1.75913e-26, 1.51947e-07, 1.75913e-26, 1.75913e-26
0.444243, 0, 2.11198e-07, 6.18879e-26, 1.41421, -2.11198e-07, 6.18879e-26, 0, 6.18879e-26, 6.18879e-26, 6.18879e-26, 6.18879e-26, 6.18879e-26, 6.18879e-26, 2.64723e-13, 6.18879e-26, 6.18879e-26, 6.18879e-26, 1.5428e-09, 9.69717e-11, 7.70409e-09, 6.18879e-26, 2.01854e-07, 6.18879e-26, 6.18879e-26
0.452124, 0, 2.81603e-07, 2.11049e-25, 1.41421, -2.81603e-07, 1.43988e-12, 0, 1.13627e-14, 6.88574e-14, 6.09054e-13, 9.61552e-14, 7.90177e-12, 2.5187e-13, 4.37001e-12, 5.82654e-12, 5.29219e-13, 1.05952e-09, 2.05862e-09, 1.46704e-10, 1.14582e-08, 1.46921e-15, 2.66847e-07, 2.11049e-25, 1.1451e-11
0.460006, 0, 3.74842e-07, 4.27028e-10, 1.41421, -3.74842e-07, 4.31558e-10, 4.27028e-10, 4.27064e-10, 4.27245e-10, 4.28944e-10, 4.27331e-10, 4.51884e-10, 4.27821e-10, 4.40178e-10, 4.45356e-10, 4.28693e-10, 3.75988e-09, 3.16272e-09, 6.48262e-10, 1.74067e-08, 4.27033e-10, 3.51471e-07, 4.27028e-10, 4.63049e-10
0.467888, 0, 4.98312e-07, 1.33884e-09, 1.41421, -4.98312e-07, 1.34987e-09, 1.33884e-09, 1.33892e-09, 1.33936e-09, 1.3435e-09, 1.33957e-09, 1.39939e-09, 1.34077e-09, 1.37042e-09, 1.38349e-09, 1.34289e-09, 9.45865e-09, 4.95973e-09, 1.67127e-09, 2.64005e-08, 1.33885e-09, 4.60929e-07, 1.33884e-09, 1.42659e-09
0.47577, 0, 6.62838e-07, 3.25195e-09, 1.41421, -6.62838e-07, 3.27644e-09, 3.25195e-09, 3.25214e-09, 3.25312e-09, 3.26231e-09, 3.25359e-09, 3.38634e-09, 3.25624e-09, 3.32154e-09, 3.35105e-09, 3.26095e-09, 2.12715e-08, 8.02554e-09, 3.7495e-09, 4.00831e-08, 3.25198e-09, 6.02167e-07, 3.25195e-09, 3.4467e-09
0.483652, 0, 8.84288e-07, 7.20237e-09, 1.41421, -8.84288e-07, 7.25419e-09, 7.20237e-09, 7.20278e-09, 7.20485e-09, 7.22429e-09, 7.20583e-09, 7.48677e-09, 7.21143e-09, 7.34896e-09, 7.41207e-09, 7.22141e-09, 4.53363e-08, 1.34711e-08, 7.94388e-09, 6.10803e-08, 7.20242e-09, 7.84105e-07, 7.20237e-09, 7.61451e-09
0.491534, 0, 1.18696e-06, 1.52206e-08, 1.41421, -1.18696e-06, 1.5327e-08, 1.52206e-08, 1.52214e-08, 1.52257e-08, 1.52656e-08, 1.52277e-08, 1.58045e-08, 1.52392e-08, 1.55204e-08, 1.56511e-08, 1.52597e-08, 9.35125e-08, 2.3421e-08, 1.63207e-08, 9.365e-08, 1.52207e-08, 1.01855e-06, 1.52206e-08, 1.60667e-08
0.499416, 0, 1.60942e-06, 3.12159e-08, 1.41421, -1.60942e-06, 3.14294e-08, 3.12159e-08, 3.12176e-08, 3.12261e-08, 3.13062e-08, 3.12301e-08, 3.23874e-08, 3.12532e-08, 3.18788e-08, 3.20797e-08, 3.12943e-08, 1.88295e-07, 4.19024e-08, 3.28402e-08, 1.44889e-07, 3.12161e-08, 1.32152e-06, 3.12159e-08, 3.29135e-08
0.507298, 0, 2.21404e-06, 6.25765e-08, 1.41421, -2.21404e-06, 6.29964e-08, 6.25765e-08, 6.25798e-08, 6.25966e-08, 6.27541e-08, 6.26045e-08, 6.48809e-08, 6.26499e-08, 6.39522e-08, 6.42757e-08, 6.27308e-08, 3.71566e-07, 7.64501e-08, 6.49627e-08, 2.26347e-07, 6.25769e-08, 1.71542e-06, 6.25765e-08, 6.59159e-08
0.51518, 0, 3.10508e-06, 1.23002e-07, 1.41421, -3.10508e-06, 1.23813e-07, 1.23002e-07, 1.23008e-07, 1.2304e-07, 1.23345e-07, 1.23056e-07, 1.27453e-07, 1.23144e-07, 1.26544e-07, 1.26284e-07, 1.233e-07, 7.19845e-07, 1.40945e-07, 1.26489e-07, 3.57631e-07, 1.23003e-07, 2.23276e-06, 1.23002e-07, 1.29452e-07
0.523062, 0, 4.4556e-06, 2.3743e-07, 1.41421, -4.4556e-06, 2.38969e-07, 2.3743e-07, 2.37442e-07, 2.37503e-07, 2.38081e-07, 2.37533e-07, 2.45879e-07, 2.37699e-07, 2.4529e-07, 2.4366e-07, 2.37996e-07, 1.37035e-06, 2.60551e-07, 2.42501e-07, 5.71653e-07, 2.37431e-07, 2.92227e-06, 2.3743e-07, 2.49674e-07
0.530944, 0, 6.55608e-06, 4.50393e-07, 1.41421, -6.55608e-06, 4.53267e-07, 4.50393e-07, 4.50416e-07, 4.50531e-07, 4.51609e-07, 4.50585e-07, 4.6616e-07, 4.50896e-07, 4.66727e-07, 4.62019e-07, 4.51449e-07, 2.5645e-06, 4.80076e-07, 4.57728e-07, 9.23704e-07, 4.50396e-07, 3.85906e-06, 4.50393e-07, 4.73242e-07
0.538826, 0, 9.8912e-06, 8.39936e-07, 1.41421, -9.8912e-06, 8.45208e-07, 8.39936e-07, 8.39978e-07, 8.40189e-07, 8.42166e-07, 8.40288e-07, 8.68867e-07, 8.40859e-07, 8.7263e-07, 8.61269e-07, 8.41874e-07, 4.71914e-06, 8.77902e-07, 8.50485e-07, 1.50626e-06, 8.39942e-07, 5.16126e-06, 8.39936e-07, 8.81862e-07
0.546707, 0, 1.52622e-05, 1.54022e-06, 1.41421, -1.52622e-05, 1.54973e-06, 1.54022e-06, 1.5403e-06, 1.54068e-06, 1.54425e-06, 1.54086e-06, 1.59243e-06, 1.54189e-06, 1.60335e-06, 1.57872e-06, 1.54372e-06, 8.54021e-06, 1.58861e-06, 1.55531e-06, 2.47271e-06, 1.54023e-06, 7.01685e-06, 1.54022e-06, 1.61588e-06
0.554589, 0, 2.39802e-05, 2.77753e-06, 1.41421, -2.39802e-05, 2.79441e-06, 2.77753e-06, 2.77766e-06, 2.77833e-06, 2.78467e-06, 2.77865e-06, 2.87018e-06, 2.78048e-06, 2.89783e-06, 2.84584e-06, 2.78373e-06, 1.52008e-05, 2.83897e-06, 2.79898e-06, 4.07485e-06, 2.77754e-06, 9.72591e-06, 2.77753e-06, 2.91179e-06
0.562471, 0, 3.81589e-05, 4.92623e-06, 1.41421, -3.81589e-05, 4.9557e-06, 4.92623e-06, 4.92646e-06, 4.92764e-06, 4.93869e-06, 4.92819e-06, 5.08796e-06, 4.93138e-06, 5.1525e-06, 5.04549e-06, 4.93706e-06, 2.66128e-05, 5.00399e-06, 4.95659e-06, 6.72078e-06, 4.92626e-06, 1.37664e-05, 4.92623e-06, 5.16061e-06
0.570353, 0, 6.11514e-05, 8.59364e-06, 1.41421, -6.11514e-05, 8.64425e-06, 8.59364e-06, 8.59404e-06, 8.59606e-06, 8.61505e-06, 8.59702e-06, 8.87136e-06, 8.60249e-06, 9.01362e-06, 8.79842e-06, 8.61224e-06, 4.58319e-05, 8.69173e-06, 8.63636e-06, 1.10622e-05, 8.59369e-06, 1.98931e-05, 8.59364e-06, 8.9961e-06
0.578235, 0, 9.81912e-05, 1.47461e-05, 1.41421, -9.81912e-05, 1.48315e-05, 1.47461e-05, 1.47467e-05, 1.47501e-05, 1.47822e-05, 1.47518e-05, 1.52152e-05, 1.4761e-05, 1.55152e-05, 1.5092e-05, 1.47775e-05, 7.76474e-05, 1.48694e-05, 1.48058e-05, 1.81239e-05, 1.47461e-05, 2.92865e-05, 1.47461e-05, 1.54259e-05
