   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_121.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.242742, 0, 9.77059e-12, 0, 1.41421, -9.77059e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84684e-14, 0, 0, 2.13756e-16, 2.25835e-13, 0, 9.49607e-12, 0, 0, 0
0.250614, 0, 1.52747e-11, 0, 1.41421, -1.52747e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57123e-14, 0, 0, 3.43648e-16, 3.66875e-13, 0, 1.48318e-11, 0, 0, 0
0.258486, 0, 2.3732e-11, 0, 1.41421, -2.3732e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17535e-13, 0, 0, 5.49898e-16, 5.93234e-13, 0, 2.30207e-11, 0, 0, 0
0.266357, 0, 3.66457e-11, 0, 1.41421, -3.66457e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81331e-13, 0, 0, 8.76047e-16, 9.54946e-13, 0, 3.55085e-11, 0, 0, 0
0.274229, 0, 5.62408e-11, 0, 1.41421, -5.62408e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78035e-13, 0, 0, 1.38985e-15, 1.53054e-12, 0, 5.44308e-11, 0, 0, 0
0.282101, 0, 8.57903e-11, 1.82169e-44, 1.41421, -8.57903e-11, 1.82169e-44, 0, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 4.23703e-13, 1.82169e-44, 1.82169e-44, 2.19653e-15, 2.44288e-12, 1.82169e-44, 8.29216e-11, 1.82169e-44, 1.82169e-44, 1.82169e-44
0.289972, 0, 1.30077e-10, 3.16693e-43, 1.41421, -1.30077e-10, 3.16693e-43, 0, 3.16693e-43, 3.16693e-43, 3.16693e-43, 3.16693e-43, 3.16693e-43, 3.16693e-43, 3.16693e-43, 3.16693e-43, 3.16693e-43, 6.41765e-13, 3.16693e-43, 3.16693e-43, 3.45917e-15, 3.88356e-12, 3.16693e-43, 1.25548e-10, 3.16693e-43, 3.16693e-43, 3.16693e-43
0.297844, 0, 1.96045e-10, 4.72798e-42, 1.41421, -1.96045e-10, 4.72798e-42, 0, 4.72798e-42, 4.72798e-42, 4.72798e-42, 4.72798e-42, 4.72798e-42, 4.72798e-42, 4.72798e-42, 4.72798e-42, 4.72798e-42, 9.6618e-13, 4.72798e-42, 4.72798e-42, 5.43033e-15, 6.15053e-12, 4.72798e-42, 1.88923e-10, 4.72798e-42, 4.72798e-42, 4.72798e-42
0.305715, 0, 2.93715e-10, 6.26619e-41, 1.41421, -2.93715e-10, 6.26619e-41, 0, 6.26619e-41, 6.26619e-41, 6.26619e-41, 6.26619e-41, 6.26619e-41, 6.26619e-41, 6.26619e-41, 6.26619e-41, 6.26619e-41, 1.44586e-12, 6.26619e-41, 6.26619e-41, 8.50085e-15, 9.70606e-12, 6.26619e-41, 2.82555e-10, 6.26619e-41, 6.26619e-41, 6.26619e-41
0.313587, 0, 4.37454e-10, 7.42412e-40, 1.41421, -4.37454e-10, 7.42412e-40, 0, 7.42412e-40, 7.42412e-40, 7.42412e-40, 7.42412e-40, 7.42412e-40, 7.42412e-40, 7.42412e-40, 7.42412e-40, 7.42412e-40, 2.15079e-12, 7.42412e-40, 7.42412e-40, 1.32754e-14, 1.52656e-11, 7.42412e-40, 4.20024e-10, 7.42412e-40, 7.42412e-40, 7.42412e-40
0.321459, 0, 6.47734e-10, 7.92532e-39, 1.41421, -6.47734e-10, 7.92532e-39, 0, 7.92532e-39, 7.92532e-39, 7.92532e-39, 7.92532e-39, 7.92532e-39, 7.92532e-39, 7.92532e-39, 7.92532e-39, 7.92532e-39, 3.18048e-12, 7.92532e-39, 7.92532e-39, 2.06898e-14, 2.39346e-11, 7.92532e-39, 6.20598e-10, 7.92532e-39, 7.92532e-39, 7.92532e-39
0.32933, 0, 9.53554e-10, 7.66159e-38, 1.41421, -9.53554e-10, 7.66159e-38, 0, 7.66159e-38, 7.66159e-38, 7.66159e-38, 7.66159e-38, 7.66159e-38, 7.66159e-38, 7.66159e-38, 7.66159e-38, 7.66159e-38, 4.67554e-12, 7.66159e-38, 7.66159e-38, 3.21927e-14, 3.74177e-11, 7.66159e-38, 9.11429e-10, 7.66159e-38, 7.66159e-38, 7.66159e-38
0.337202, 0, 1.39575e-09, 6.74436e-37, 1.41421, -1.39575e-09, 6.74436e-37, 0, 6.74436e-37, 6.74436e-37, 6.74436e-37, 6.74436e-37, 6.74436e-37, 6.74436e-37, 6.74436e-37, 6.74436e-37, 6.74436e-37, 6.83345e-12, 6.74436e-37, 6.74436e-37, 5.00286e-14, 5.834e-11, 6.74436e-37, 1.33053e-09, 6.74436e-37, 6.74436e-37, 6.74436e-37
0.345074, 0, 2.0315e-09, 5.43401e-36, 1.41421, -2.0315e-09, 5.43401e-36, 0, 5.43401e-36, 5.43401e-36, 5.43401e-36, 5.43401e-36, 5.43401e-36, 5.43401e-36, 5.43401e-36, 5.43401e-36, 5.43401e-36, 9.9298e-12, 5.43401e-36, 5.43401e-36, 7.76776e-14, 9.07386e-11, 5.43401e-36, 1.93075e-09, 5.43401e-36, 5.43401e-36, 5.43401e-36
0.352945, 0, 2.9404e-09, 4.02675e-35, 1.41421, -2.9404e-09, 4.02675e-35, 0, 4.02675e-35, 4.02675e-35, 4.02675e-35, 4.02675e-35, 4.02675e-35, 4.02675e-35, 4.02675e-35, 4.02675e-35, 4.02675e-35, 1.43469e-11, 4.02675e-35, 4.02675e-35, 1.20538e-13, 1.40813e-10, 4.02675e-35, 2.78512e-09, 4.02675e-35, 4.02675e-35, 4.02675e-35
0.360817, 0, 4.2327e-09, 2.75671e-34, 1.41421, -4.2327e-09, 2.75671e-34, 0, 2.75671e-34, 2.75671e-34, 2.75671e-34, 2.75671e-34, 2.75671e-34, 2.75671e-34, 2.75671e-34, 2.75671e-34, 2.75671e-34, 2.06123e-11, 2.75671e-34, 2.75671e-34, 1.86991e-13, 2.18073e-10, 2.75671e-34, 3.99383e-09, 2.75671e-34, 2.75671e-34, 2.75671e-34
0.368689, 0, 6.06031e-09, 1.8793e-33, 1.41421, -6.06031e-09, 1.8793e-33, 0, 1.8793e-33, 1.8793e-33, 1.8793e-33, 1.8793e-33, 1.8793e-33, 1.8793e-33, 1.8793e-33, 1.8793e-33, 1.8793e-33, 2.9449e-11, 1.8793e-33, 1.8793e-33, 2.90046e-13, 3.37084e-10, 1.8793e-33, 5.69348e-09, 1.8793e-33, 1.8793e-33, 1.8793e-33
0.37656, 0, 8.63151e-09, 1.22023e-32, 1.41421, -8.63151e-09, 1.22023e-32, 0, 1.22023e-32, 1.22023e-32, 1.22023e-32, 1.22023e-32, 1.22023e-32, 1.22023e-32, 1.22023e-32, 1.22023e-32, 1.22023e-32, 4.18432e-11, 1.22023e-32, 1.22023e-32, 4.49897e-13, 5.20123e-10, 1.22023e-32, 8.06909e-09, 1.22023e-32, 1.22023e-32, 1.22023e-32
0.384432, 0, 1.22306e-08, 7.41677e-32, 1.41421, -1.22306e-08, 7.41677e-32, 0, 7.41677e-32, 7.41677e-32, 7.41677e-32, 7.41677e-32, 7.41677e-32, 7.41677e-32, 7.41677e-32, 7.41677e-32, 7.41677e-32, 5.91325e-11, 7.41677e-32, 7.41677e-32, 6.97867e-13, 8.01203e-10, 7.41677e-32, 1.13696e-08, 7.41677e-32, 7.41677e-32, 7.41677e-32
0.392304, 0, 1.72442e-08, 4.21127e-31, 1.41421, -1.72442e-08, 4.21127e-31, 0, 4.21127e-31, 4.21127e-31, 4.21127e-31, 4.21127e-31, 4.21127e-31, 4.21127e-31, 4.21127e-31, 4.21127e-31, 4.21127e-31, 8.31208e-11, 4.21127e-31, 4.21127e-31, 1.08249e-12, 1.23215e-09, 4.21127e-31, 1.59279e-08, 4.21127e-31, 4.21127e-31, 4.21127e-31
0.400175, 0, 2.41956e-08, 2.23805e-30, 1.41421, -2.41956e-08, 2.23805e-30, 0, 2.23805e-30, 2.23805e-30, 2.23805e-30, 2.23805e-30, 2.23805e-30, 2.23805e-30, 2.23805e-30, 2.23805e-30, 2.23805e-30, 1.16229e-10, 2.23805e-30, 2.23805e-30, 1.67879e-12, 1.89171e-09, 2.23805e-30, 2.21859e-08, 2.23805e-30, 2.23805e-30, 2.23805e-30
0.408047, 0, 3.3791e-08, 1.11666e-29, 1.41421, -3.3791e-08, 1.11666e-29, 0, 1.11666e-29, 1.11666e-29, 1.11666e-29, 1.11666e-29, 1.11666e-29, 1.11666e-29, 1.11666e-29, 1.11666e-29, 1.11666e-29, 1.61689e-10, 1.11666e-29, 1.11666e-29, 2.60257e-12, 2.89927e-09, 1.11666e-29, 3.07274e-08, 1.11666e-29, 1.11666e-29, 1.11666e-29
0.415918, 0, 4.69805e-08, 5.24706e-29, 1.41421, -4.69805e-08, 5.24706e-29, 0, 5.24706e-29, 5.24706e-29, 5.24706e-29, 5.24706e-29, 5.24706e-29, 5.24706e-29, 5.24706e-29, 5.24706e-29, 5.24706e-29, 2.23795e-10, 5.24706e-29, 5.24706e-29, 4.03191e-12, 4.43514e-09, 5.24706e-29, 4.23176e-08, 5.24706e-29, 5.24706e-29, 5.24706e-29
