   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_141.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.471717, 0, 5.79096e-07, 7.9062e-10, 1.41421, -5.79096e-07, 7.97787e-10, 7.9062e-10, 7.90635e-10, 7.90668e-10, 8.02974e-10, 7.9611e-10, 7.90913e-10, 7.94028e-10, 7.9721e-10, 7.92264e-10, 2.19092e-09, 2.80045e-09, 7.90896e-10, 7.90673e-10, 8.80934e-10, 7.90639e-10, 1.92327e-07, 7.90622e-10, 3.84003e-07, 7.9062e-10, 8.08627e-10
0.479588, 0, 8.01937e-07, 2.50217e-09, 1.41421, -8.01937e-07, 2.52496e-09, 2.50217e-09, 2.50222e-09, 2.50233e-09, 2.54145e-09, 2.51963e-09, 2.5031e-09, 2.51202e-09, 2.52313e-09, 2.5074e-09, 6.95471e-09, 5.18447e-09, 2.50305e-09, 2.50234e-09, 2.63944e-09, 2.50252e-09, 2.8863e-07, 2.50218e-09, 5.08362e-07, 2.50217e-09, 2.55943e-09
0.487459, 0, 1.11103e-06, 6.13752e-09, 1.41421, -1.11103e-06, 6.19361e-09, 6.13752e-09, 6.13763e-09, 6.13789e-09, 6.2342e-09, 6.18048e-09, 6.13981e-09, 6.16096e-09, 6.18909e-09, 6.15038e-09, 1.70967e-08, 9.70194e-09, 6.13968e-09, 6.13794e-09, 6.34526e-09, 6.13866e-09, 4.31508e-07, 6.13754e-09, 6.70497e-07, 6.13752e-09, 6.27845e-09
0.495329, 0, 1.54165e-06, 1.37102e-08, 1.41421, -1.54165e-06, 1.38359e-08, 1.37102e-08, 1.37105e-08, 1.37111e-08, 1.39268e-08, 1.38065e-08, 1.37154e-08, 1.37618e-08, 1.38258e-08, 1.3739e-08, 3.8259e-08, 1.84269e-08, 1.37151e-08, 1.37112e-08, 1.40231e-08, 1.37132e-08, 6.4281e-07, 1.37103e-08, 8.82003e-07, 1.37102e-08, 1.40259e-08
0.5032, 0, 2.14511e-06, 2.91978e-08, 1.41421, -2.14511e-06, 2.94659e-08, 2.91978e-08, 2.91984e-08, 2.91996e-08, 2.96599e-08, 2.94032e-08, 2.92088e-08, 2.93065e-08, 2.94443e-08, 2.92593e-08, 8.15775e-08, 3.54131e-08, 2.92081e-08, 2.91998e-08, 2.96669e-08, 2.92047e-08, 9.54593e-07, 2.91979e-08, 1.1586e-06, 2.91978e-08, 2.98714e-08
0.511071, 0, 2.99877e-06, 6.02807e-08, 1.41421, -2.99877e-06, 6.0835e-08, 6.02807e-08, 6.02819e-08, 6.02845e-08, 6.12361e-08, 6.07053e-08, 6.03034e-08, 6.05032e-08, 6.07904e-08, 6.04079e-08, 1.68571e-07, 6.8437e-08, 6.03021e-08, 6.02849e-08, 6.09802e-08, 6.02959e-08, 1.41503e-06, 6.02809e-08, 1.52262e-06, 6.02807e-08, 6.16733e-08
0.518942, 0, 4.2179e-06, 1.21838e-07, 1.41421, -4.2179e-06, 1.2296e-07, 1.21838e-07, 1.21841e-07, 1.21846e-07, 1.23772e-07, 1.22698e-07, 1.21884e-07, 1.22509e-07, 1.2287e-07, 1.22096e-07, 3.41019e-07, 1.32498e-07, 1.21882e-07, 1.21847e-07, 1.22876e-07, 1.21871e-07, 2.09268e-06, 1.21839e-07, 2.00735e-06, 1.21838e-07, 1.24657e-07
0.526812, 0, 5.97618e-06, 2.40133e-07, 1.41421, -5.97618e-06, 2.42346e-07, 2.40133e-07, 2.40138e-07, 2.40148e-07, 2.43947e-07, 2.41828e-07, 2.40224e-07, 2.41734e-07, 2.42168e-07, 2.40641e-07, 6.72445e-07, 2.54008e-07, 2.40219e-07, 2.4015e-07, 2.41664e-07, 2.402e-07, 3.08905e-06, 2.40134e-07, 2.66185e-06, 2.40133e-07, 2.45693e-07
0.534683, 0, 8.5492e-06, 4.64482e-07, 1.41421, -8.5492e-06, 4.68765e-07, 4.64482e-07, 4.64491e-07, 4.6451e-07, 4.71864e-07, 4.67762e-07, 4.64657e-07, 4.67975e-07, 4.6842e-07, 4.65464e-07, 1.30129e-06, 4.82469e-07, 4.64647e-07, 4.64514e-07, 4.66727e-07, 4.64613e-07, 4.55717e-06, 4.64483e-07, 3.56481e-06, 4.64482e-07, 4.75243e-07
0.542554, 0, 1.23672e-05, 8.82025e-07, 1.41421, -1.23672e-05, 8.90164e-07, 8.82025e-07, 8.82042e-07, 8.82079e-07, 8.96054e-07, 8.88259e-07, 8.82357e-07, 8.89299e-07, 8.89508e-07, 8.83892e-07, 2.4722e-06, 9.05251e-07, 8.82338e-07, 8.82085e-07, 8.85299e-07, 8.82282e-07, 6.72469e-06, 8.82028e-07, 4.84129e-06, 8.82025e-07, 9.02474e-07
0.550424, 0, 1.81093e-05, 1.64468e-06, 1.41421, -1.81093e-05, 1.65987e-06, 1.64468e-06, 1.64472e-06, 1.64479e-06, 1.67086e-06, 1.65632e-06, 1.64531e-06, 1.65941e-06, 1.65865e-06, 1.64817e-06, 4.61199e-06, 1.67456e-06, 1.64527e-06, 1.6448e-06, 1.64943e-06, 1.64518e-06, 9.93343e-06, 1.64469e-06, 6.69336e-06, 1.64468e-06, 1.68284e-06
0.558295, 0, 2.68493e-05, 3.01184e-06, 1.41421, -2.68493e-05, 3.03967e-06, 3.01184e-06, 3.01189e-06, 3.01202e-06, 3.05981e-06, 3.03316e-06, 3.01297e-06, 3.04083e-06, 3.03743e-06, 3.01822e-06, 8.44982e-06, 3.05011e-06, 3.01291e-06, 3.01204e-06, 3.01868e-06, 3.01277e-06, 1.4698e-05, 3.01185e-06, 9.44841e-06, 3.01184e-06, 3.08177e-06
0.566166, 0, 4.02801e-05, 5.41722e-06, 1.41421, -4.02801e-05, 5.46733e-06, 5.41722e-06, 5.41733e-06, 5.41756e-06, 5.50358e-06, 5.4556e-06, 5.41927e-06, 5.47347e-06, 5.46329e-06, 5.42871e-06, 1.52059e-05, 5.46607e-06, 5.41915e-06, 5.4176e-06, 5.42703e-06, 5.41894e-06, 2.17942e-05, 5.41724e-06, 1.36347e-05, 5.41722e-06, 5.5431e-06
0.574036, 0, 6.1052e-05, 9.57099e-06, 1.41421, -6.1052e-05, 9.65959e-06, 9.57099e-06, 9.57118e-06, 9.57159e-06, 9.7237e-06, 9.63885e-06, 9.57461e-06, 9.67853e-06, 9.65245e-06, 9.59131e-06, 2.68796e-05, 9.63311e-06, 9.57441e-06, 9.57165e-06, 9.58496e-06, 9.57412e-06, 3.23889e-05, 9.57102e-06, 2.00967e-05, 9.57099e-06, 9.79358e-06
0.581907, 0, 9.32762e-05, 1.66117e-05, 1.41421, -9.32762e-05, 1.67656e-05, 1.66117e-05, 1.6612e-05, 1.66127e-05, 1.6877e-05, 1.67296e-05, 1.6618e-05, 1.68143e-05, 1.67532e-05, 1.6647e-05, 4.66792e-05, 1.66904e-05, 1.66176e-05, 1.66129e-05, 1.66315e-05, 1.66173e-05, 4.82299e-05, 1.66118e-05, 3.01685e-05, 1.66117e-05, 1.69984e-05
