   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_164.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.4047, 0, 3.66673e-14, 0, 1.41421, -3.66673e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.08547e-16, 0, 1.03294e-18, 7.33735e-18, 0, 3.60504e-14, 0, 0
0.41227, 0, 8.18633e-14, 5.46506e-44, 1.41421, -8.18633e-14, 0, 5.46506e-44, 5.46506e-44, 5.46506e-44, 5.46506e-44, 5.46506e-44, 5.46506e-44, 5.46506e-44, 5.46506e-44, 5.46506e-44, 1.35854e-15, 5.46506e-44, 2.34094e-18, 1.66625e-17, 5.46506e-44, 8.04857e-14, 5.46506e-44, 5.46506e-44
0.419839, 0, 1.79817e-13, 9.24857e-43, 1.41421, -1.79817e-13, 0, 9.24857e-43, 9.24857e-43, 9.24857e-43, 9.24857e-43, 9.24857e-43, 9.24857e-43, 9.24857e-43, 9.24857e-43, 9.24857e-43, 2.98384e-15, 9.24857e-43, 5.22605e-18, 3.72354e-17, 9.24857e-43, 1.7679e-13, 9.24857e-43, 9.24857e-43
0.427409, 0, 3.88662e-13, 1.26061e-41, 1.41421, -3.88662e-13, 0, 1.26061e-41, 1.26061e-41, 1.26061e-41, 1.26061e-41, 1.26061e-41, 1.26061e-41, 1.26061e-41, 1.26061e-41, 1.26061e-41, 6.44883e-15, 1.26061e-41, 1.14977e-17, 8.19003e-17, 1.26061e-41, 3.8212e-13, 1.26061e-41, 1.26061e-41
0.434979, 0, 8.26758e-13, 1.51343e-40, 1.41421, -8.26758e-13, 0, 1.51343e-40, 1.51343e-40, 1.51343e-40, 1.51343e-40, 1.51343e-40, 1.51343e-40, 1.51343e-40, 1.51343e-40, 1.51343e-40, 1.37167e-14, 1.51343e-40, 2.49414e-17, 1.7735e-16, 1.51343e-40, 8.12839e-13, 1.51343e-40, 1.51343e-40
0.442549, 0, 1.73103e-12, 1.63822e-39, 1.41421, -1.73103e-12, 0, 1.63822e-39, 1.63822e-39, 1.63822e-39, 1.63822e-39, 1.63822e-39, 1.63822e-39, 1.63822e-39, 1.63822e-39, 1.63822e-39, 2.87172e-14, 1.63822e-39, 5.3378e-17, 3.78178e-16, 1.63822e-39, 1.70188e-12, 1.63822e-39, 1.63822e-39
0.450119, 0, 3.56785e-12, 1.61313e-38, 1.41421, -3.56785e-12, 0, 1.61313e-38, 1.61313e-38, 1.61313e-38, 1.61313e-38, 1.61313e-38, 1.61313e-38, 1.61313e-38, 1.61313e-38, 1.61313e-38, 5.91857e-14, 1.61313e-38, 1.12785e-16, 7.94314e-16, 1.61313e-38, 3.50775e-12, 1.61313e-38, 1.61313e-38
0.457689, 0, 7.23993e-12, 1.4531e-37, 1.41421, -7.23993e-12, 0, 1.4531e-37, 1.4531e-37, 1.4531e-37, 1.4531e-37, 1.4531e-37, 1.4531e-37, 1.4531e-37, 1.4531e-37, 1.4531e-37, 1.20097e-13, 1.4531e-37, 2.35484e-16, 1.64379e-15, 1.4531e-37, 7.11795e-12, 1.4531e-37, 1.4531e-37
0.465258, 0, 1.44655e-11, 1.20334e-36, 1.41421, -1.44655e-11, 0, 1.20334e-36, 1.20334e-36, 1.20334e-36, 1.20334e-36, 1.20334e-36, 1.20334e-36, 1.20334e-36, 1.20334e-36, 1.20334e-36, 2.39959e-13, 1.20334e-36, 4.86341e-16, 3.35281e-15, 1.20334e-36, 1.42217e-11, 1.20334e-36, 1.20334e-36
0.472828, 0, 2.84615e-11, 9.20506e-36, 1.41421, -2.84615e-11, 0, 9.20506e-36, 9.20506e-36, 9.20506e-36, 9.20506e-36, 9.20506e-36, 9.20506e-36, 9.20506e-36, 9.20506e-36, 9.20506e-36, 4.72167e-13, 9.20506e-36, 9.94759e-16, 6.74313e-15, 9.20506e-36, 2.79816e-11, 9.20506e-36, 9.20506e-36
