   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_131.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.583196, 0, 2.0474e-05, 3.31732e-06, 1.41421, -2.0474e-05, 3.31732e-06, 3.31739e-06, 3.31799e-06, 3.31794e-06, 3.31765e-06, 3.33011e-06, 3.31868e-06, 3.36006e-06, 1.29093e-05, 3.3615e-06, 3.31764e-06, 3.33807e-06, 3.47347e-06, 3.31733e-06, 1.05135e-05, 3.31732e-06, 3.40577e-06
0.591108, 0, 3.50306e-05, 6.41369e-06, 1.41421, -3.50306e-05, 6.41369e-06, 6.41383e-06, 6.41499e-06, 6.41489e-06, 6.41433e-06, 6.43843e-06, 6.41633e-06, 6.49636e-06, 2.49657e-05, 6.47159e-06, 6.4143e-06, 6.44451e-06, 6.64136e-06, 6.4137e-06, 1.5877e-05, 6.41369e-06, 6.58477e-06
0.59902, 0, 6.06604e-05, 1.21105e-05, 1.41421, -6.06604e-05, 1.21105e-05, 1.21108e-05, 1.2113e-05, 1.21128e-05, 1.21117e-05, 1.21573e-05, 1.21155e-05, 1.22667e-05, 4.71548e-05, 1.2186e-05, 1.21117e-05, 1.2156e-05, 1.24398e-05, 1.21105e-05, 2.46273e-05, 1.21105e-05, 1.24337e-05
0.606932, 0, 0.000105343, 2.23386e-05, 1.41421, -0.000105343, 2.23386e-05, 2.23391e-05, 2.23432e-05, 2.23428e-05, 2.23409e-05, 2.24249e-05, 2.23478e-05, 2.26268e-05, 8.7007e-05, 2.24366e-05, 2.23408e-05, 2.24051e-05, 2.28112e-05, 2.23387e-05, 3.90433e-05, 2.23386e-05, 2.2935e-05
0.614843, 0, 0.000182121, 4.02615e-05, 1.41421, -0.000182121, 4.02615e-05, 4.02624e-05, 4.02697e-05, 4.02691e-05, 4.02656e-05, 4.04171e-05, 4.02782e-05, 4.07812e-05, 0.000156866, 4.03883e-05, 4.02654e-05, 4.03583e-05, 4.09351e-05, 4.02616e-05, 6.28268e-05, 4.02615e-05, 4.13369e-05
0.622755, 0, 0.000311754, 7.09207e-05, 1.41421, -0.000311754, 7.09207e-05, 7.09223e-05, 7.09351e-05, 7.0934e-05, 7.09278e-05, 7.11948e-05, 7.095e-05, 7.18364e-05, 0.000276415, 7.10839e-05, 7.09275e-05, 7.10603e-05, 7.18747e-05, 7.09209e-05, 0.000101844, 7.09207e-05, 7.28157e-05
0.630667, 0, 0.000526393, 0.000122125, 1.41421, -0.000526393, 0.000122125, 0.000122128, 0.00012215, 0.000122148, 0.000122138, 0.000122597, 0.000122176, 0.000123703, 0.00047616, 0.000122335, 0.000122137, 0.000122326, 0.000123469, 0.000122125, 0.000165165, 0.000122125, 0.00012539
0.638579, 0, 0.000874485, 0.000205636, 1.41421, -0.000874485, 0.000205636, 0.000205641, 0.000205678, 0.000205675, 0.000205657, 0.000206432, 0.000205721, 0.000208294, 0.000802073, 0.000205904, 0.000205656, 0.000205922, 0.00020752, 0.000205636, 0.000266445, 0.000205636, 0.000211136
0.64649, 0, 0.00142697, 0.000338657, 1.41421, -0.00142697, 0.000338657, 0.000338664, 0.000338726, 0.00033872, 0.000338691, 0.000339968, 0.000338797, 0.000343036, 0.00132145, 0.000338998, 0.000338689, 0.000339062, 0.000341287, 0.000338657, 0.000425691, 0.000338657, 0.00034772
0.654402, 0, 0.0022848, 0.000545634, 1.41421, -0.0022848, 0.000545634, 0.000545646, 0.000545745, 0.000545736, 0.000545689, 0.000547747, 0.00054586, 0.000552694, 0.00213001, 0.000546068, 0.000545686, 0.000546206, 0.000549295, 0.000545635, 0.000671407, 0.000545634, 0.000560245
0.662314, 0, 0.00358743, 0.00086027, 1.41421, -0.00358743, 0.00086027, 0.00086029, 0.000860446, 0.000860432, 0.000860357, 0.000863605, 0.000860626, 0.000871409, 0.00335982, 0.000860821, 0.000860353, 0.000861075, 0.000865349, 0.000860272, 0.00104304, 0.00086027, 0.000883321
