   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_101.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.497531, 0, 7.00266e-09, 6.62317e-30, 1.41421, -7.00266e-09, 6.62317e-30, 0, 6.62317e-30, 6.62317e-30, 6.62317e-30, 6.62317e-30, 6.62317e-30, 6.62317e-30, 6.62317e-30, 6.62317e-30, 6.62317e-30, 6.62317e-30, 3.11588e-11, 6.62317e-30, 6.62317e-30, 6.18915e-13, 6.62317e-30, 6.97088e-09, 6.62317e-30, 6.62317e-30
0.505424, 0, 1.12981e-08, 3.37099e-29, 1.41421, -1.12981e-08, 3.37099e-29, 0, 3.37099e-29, 3.37099e-29, 3.37099e-29, 3.37099e-29, 3.37099e-29, 3.37099e-29, 3.37099e-29, 3.37099e-29, 3.37099e-29, 3.37099e-29, 5.04594e-11, 3.37099e-29, 3.37099e-29, 1.14808e-12, 3.37099e-29, 1.12465e-08, 3.37099e-29, 3.37099e-29
0.513317, 0, 1.80183e-08, 2.52171e-28, 1.41421, -1.80183e-08, 2.52171e-28, 0, 2.52171e-28, 2.52171e-28, 2.52171e-28, 2.52171e-28, 2.52171e-28, 2.52171e-28, 2.52171e-28, 2.52171e-28, 2.52171e-28, 2.52171e-28, 8.08433e-11, 2.52171e-28, 2.52171e-28, 2.12614e-12, 2.52171e-28, 1.79354e-08, 2.52171e-28, 2.52171e-28
0.52121, 0, 2.84081e-08, 1.09886e-27, 1.41421, -2.84081e-08, 1.09886e-27, 0, 1.09886e-27, 1.09886e-27, 1.09886e-27, 1.09886e-27, 1.09886e-27, 1.09886e-27, 1.09886e-27, 1.09886e-27, 1.09886e-27, 1.09886e-27, 1.28168e-10, 1.09886e-27, 1.09886e-27, 3.92073e-12, 1.09886e-27, 2.8276e-08, 1.09886e-27, 1.09886e-27
0.529103, 0, 4.42849e-08, 4.56379e-27, 1.41421, -4.42849e-08, 4.56379e-27, 0, 4.56379e-27, 4.56379e-27, 4.56379e-27, 4.56379e-27, 4.56379e-27, 4.56379e-27, 4.56379e-27, 4.56379e-27, 4.56379e-27, 4.56379e-27, 2.01132e-10, 4.56379e-27, 4.56379e-27, 7.19754e-12, 4.56379e-27, 4.40765e-08, 4.56379e-27, 4.56379e-27
0.536996, 0, 6.82687e-08, 1.81131e-26, 1.41421, -6.82687e-08, 1.81131e-26, 0, 1.81131e-26, 1.81131e-26, 1.81131e-26, 1.81131e-26, 1.81131e-26, 1.81131e-26, 1.15842e-13, 1.81131e-26, 1.81131e-26, 1.81131e-26, 3.12517e-10, 1.81131e-26, 1.81131e-26, 1.31383e-11, 1.81131e-26, 6.79429e-08, 1.81131e-26, 1.81131e-26
0.544889, 0, 1.0409e-07, 6.88722e-26, 1.41421, -1.0409e-07, 6.88722e-26, 0, 6.88722e-26, 6.88722e-26, 6.88722e-26, 6.88722e-26, 6.88722e-26, 6.88722e-26, 4.74918e-13, 6.88722e-26, 6.88722e-26, 6.88722e-26, 4.80933e-10, 6.88722e-26, 6.88722e-26, 2.38202e-11, 6.88722e-26, 1.03585e-07, 6.88722e-26, 6.88722e-26
0.552782, 0, 1.56996e-07, 2.52768e-25, 1.41421, -1.56996e-07, 2.52768e-25, 0, 2.52768e-25, 2.52768e-25, 2.52768e-25, 2.52768e-25, 2.52768e-25, 2.52768e-25, 1.53533e-12, 2.52768e-25, 2.52768e-25, 2.52768e-25, 7.3322e-10, 2.52768e-25, 2.52768e-25, 4.28498e-11, 2.52768e-25, 1.56218e-07, 2.52768e-25, 2.52768e-25
0.560675, 0, 2.3602e-07, 4.77817e-10, 1.41421, -2.3602e-07, 4.79465e-10, 4.77817e-10, 4.77824e-10, 4.77872e-10, 4.7806e-10, 4.78161e-10, 4.78227e-10, 4.78194e-10, 4.87999e-10, 4.82648e-10, 4.81569e-10, 1.69057e-09, 1.58559e-09, 4.78805e-10, 4.77839e-10, 5.54229e-10, 4.77819e-10, 2.33589e-07, 4.77817e-10, 4.88745e-10
0.568568, 0, 3.53037e-07, 1.9403e-09, 1.41421, -3.53037e-07, 1.947e-09, 1.9403e-09, 1.94032e-09, 1.94052e-09, 1.94128e-09, 1.9417e-09, 1.94196e-09, 1.94183e-09, 1.97597e-09, 1.95995e-09, 1.95556e-09, 6.87477e-09, 3.59924e-09, 1.94432e-09, 1.94039e-09, 2.07529e-09, 1.9403e-09, 3.46177e-07, 1.9403e-09, 1.98476e-09
0.576461, 0, 5.28397e-07, 6.21912e-09, 1.41421, -5.28397e-07, 6.24064e-09, 6.21912e-09, 6.21921e-09, 6.21983e-09, 6.22229e-09, 6.22361e-09, 6.22447e-09, 6.22404e-09, 6.32697e-09, 6.28221e-09, 6.26812e-09, 2.20584e-08, 8.68218e-09, 6.23203e-09, 6.21941e-09, 6.45521e-09, 6.21914e-09, 5.09442e-07, 6.21912e-09, 6.36184e-09
0.584354, 0, 7.98455e-07, 1.82488e-08, 1.41421, -7.98455e-07, 1.8312e-08, 1.82488e-08, 1.82491e-08, 1.82509e-08, 1.82581e-08, 1.8262e-08, 1.82646e-08, 1.82633e-08, 1.85535e-08, 1.84341e-08, 1.83927e-08, 6.47618e-08, 2.18752e-08, 1.82867e-08, 1.82497e-08, 1.86574e-08, 1.82489e-08, 7.46698e-07, 1.82488e-08, 1.8668e-08
0.592247, 0, 1.23431e-06, 5.07825e-08, 1.41421, -1.23431e-06, 5.09584e-08, 5.07825e-08, 5.07832e-08, 5.07883e-08, 5.08084e-08, 5.08192e-08, 5.08262e-08, 5.08227e-08, 5.16044e-08, 5.12983e-08, 5.11831e-08, 1.80281e-07, 5.60776e-08, 5.0888e-08, 5.07848e-08, 5.1482e-08, 5.07826e-08, 1.09547e-06, 5.07825e-08, 5.19493e-08
0.60014, 0, 1.98428e-06, 1.35478e-07, 1.41421, -1.98428e-06, 1.35947e-07, 1.35478e-07, 1.3548e-07, 1.35493e-07, 1.35547e-07, 1.35576e-07, 1.35594e-07, 1.35585e-07, 1.37672e-07, 1.36854e-07, 1.36547e-07, 4.81082e-07, 1.43147e-07, 1.35759e-07, 1.35484e-07, 1.36662e-07, 1.35478e-07, 1.6209e-06, 1.35478e-07, 1.38592e-07
0.608033, 0, 3.36769e-06, 3.478e-07, 1.41421, -3.36769e-06, 3.49006e-07, 3.478e-07, 3.47805e-07, 3.4784e-07, 3.47977e-07, 3.48052e-07, 3.481e-07, 3.48076e-07, 3.53453e-07, 3.51335e-07, 3.50546e-07, 1.23533e-06, 3.5882e-07, 3.48523e-07, 3.47816e-07, 3.49784e-07, 3.47801e-07, 2.44423e-06, 3.478e-07, 3.55797e-07
0.615926, 0, 6.07584e-06, 8.60489e-07, 1.41421, -6.07584e-06, 8.63473e-07, 8.60489e-07, 8.605e-07, 8.60587e-07, 8.60927e-07, 8.61111e-07, 8.61231e-07, 8.61171e-07, 8.7571e-07, 8.69238e-07, 8.67283e-07, 3.05705e-06, 8.76197e-07, 8.62278e-07, 8.60528e-07, 8.63775e-07, 8.60491e-07, 3.80231e-06, 8.60489e-07, 8.80281e-07
0.623819, 0, 1.15793e-05, 2.05324e-06, 1.41421, -1.15793e-05, 2.06037e-06, 2.05324e-06, 2.05327e-06, 2.05348e-06, 2.05429e-06, 2.05473e-06, 2.05501e-06, 2.05487e-06, 2.09161e-06, 2.07413e-06, 2.06946e-06, 7.2963e-06, 2.07546e-06, 2.05751e-06, 2.05334e-06, 2.05863e-06, 2.05325e-06, 6.16822e-06, 2.05324e-06, 2.10049e-06
0.631712, 0, 2.29291e-05, 4.72732e-06, 1.41421, -2.29291e-05, 4.74372e-06, 4.72732e-06, 4.72738e-06, 4.72786e-06, 4.72973e-06, 4.73074e-06, 4.7314e-06, 4.73107e-06, 4.8203e-06, 4.77542e-06, 4.76467e-06, 1.6803e-05, 4.75851e-06, 4.73716e-06, 4.72753e-06, 4.73606e-06, 4.72733e-06, 1.04855e-05, 4.72732e-06, 4.83613e-06
0.639605, 0, 4.62502e-05, 1.05059e-05, 1.41421, -4.62502e-05, 1.05424e-05, 1.05059e-05, 1.0506e-05, 1.05071e-05, 1.05112e-05, 1.05135e-05, 1.05149e-05, 1.05142e-05, 1.07246e-05, 1.06128e-05, 1.05889e-05, 3.73528e-05, 1.05493e-05, 1.05277e-05, 1.05064e-05, 1.05199e-05, 1.05059e-05, 1.86046e-05, 1.05059e-05, 1.07478e-05
0.647498, 0, 9.33984e-05, 2.25448e-05, 1.41421, -9.33984e-05, 2.26231e-05, 2.25448e-05, 2.25451e-05, 2.25474e-05, 2.25564e-05, 2.25612e-05, 2.25643e-05, 2.25628e-05, 2.30462e-05, 2.27744e-05, 2.27231e-05, 8.01795e-05, 2.2605e-05, 2.25918e-05, 2.25459e-05, 2.25672e-05, 2.25449e-05, 3.40583e-05, 2.25448e-05, 2.30642e-05
0.655391, 0, 0.000186454, 4.67308e-05, 1.41421, -0.000186454, 4.68932e-05, 4.67308e-05, 4.67314e-05, 4.67361e-05, 4.67546e-05, 4.67646e-05, 4.67711e-05, 4.67679e-05, 4.7854e-05, 4.72068e-05, 4.71005e-05, 0.000166247, 4.68135e-05, 4.68281e-05, 4.67329e-05, 4.6766e-05, 4.67309e-05, 6.33704e-05, 4.67308e-05, 4.78077e-05
