   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_46.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.301989, 0, 2.13064e-19, 0, 1.41421, -2.13064e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09439e-21, 0, 0, 1.5197e-24, 0, 2.10969e-19, 0, 0, 0
0.30987, 0, 6.38076e-19, 0, 1.41421, -6.38076e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.27219e-21, 0, 0, 4.56748e-24, 0, 6.31799e-19, 0, 0, 0
0.317751, 0, 1.91308e-18, 0, 1.41421, -1.91308e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88053e-20, 0, 0, 1.37637e-23, 0, 1.89426e-18, 0, 0, 0
0.325632, 0, 5.44339e-18, 0, 1.41421, -5.44339e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.35076e-20, 0, 0, 3.9324e-23, 0, 5.38985e-18, 0, 0, 0
0.333513, 0, 1.51566e-17, 0, 1.41421, -1.51566e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48986e-19, 0, 0, 1.09979e-22, 0, 1.50075e-17, 0, 0, 0
0.341394, 0, 4.13235e-17, 0, 1.41421, -4.13235e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06199e-19, 0, 0, 3.01282e-22, 0, 4.0917e-17, 0, 0, 0
0.349274, 0, 1.10381e-16, 0, 1.41421, -1.10381e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.085e-18, 0, 0, 8.08894e-22, 0, 1.09295e-16, 0, 0, 0
0.357155, 0, 2.89003e-16, 0, 1.41421, -2.89003e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84077e-18, 0, 0, 2.12957e-21, 0, 2.86161e-16, 0, 0, 0
0.365036, 0, 7.42006e-16, 0, 1.41421, -7.42006e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.29347e-18, 0, 0, 5.5001e-21, 0, 7.34707e-16, 0, 0, 0
0.372917, 0, 1.86885e-15, 0, 1.41421, -1.86885e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83693e-17, 0, 0, 1.39414e-20, 0, 1.85046e-15, 0, 0, 0
