   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_25.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.514041, 0, 8.17504e-08, 2.02839e-26, 1.41421, -8.17504e-08, 0, 2.02839e-26, 2.02839e-26, 2.02839e-26, 2.02839e-26, 2.02839e-26, 2.02839e-26, 3.31674e-13, 2.02839e-26, 2.02839e-26, 2.02839e-26, 1.04137e-09, 2.02839e-26, 2.02839e-26, 7.22287e-12, 9.89166e-11, 2.02839e-26, 8.06026e-08, 2.02839e-26, 2.02839e-26, 2.02839e-26
0.521697, 0, 1.17807e-07, 7.2595e-26, 1.41421, -1.17807e-07, 0, 7.2595e-26, 7.2595e-26, 7.2595e-26, 7.2595e-26, 7.2595e-26, 7.2595e-26, 1.21852e-12, 7.2595e-26, 7.2595e-26, 7.2595e-26, 1.51469e-09, 7.2595e-26, 7.2595e-26, 1.21503e-11, 1.66965e-10, 7.2595e-26, 1.16112e-07, 7.2595e-26, 7.2595e-26, 7.2595e-26
0.529352, 0, 1.68378e-07, 2.51312e-25, 1.41421, -1.68378e-07, 0, 2.51312e-25, 2.51312e-25, 2.51312e-25, 2.51312e-25, 2.51312e-25, 2.51312e-25, 3.50074e-12, 2.51312e-25, 2.51312e-25, 2.51312e-25, 2.18774e-09, 2.51312e-25, 2.51312e-25, 2.03239e-11, 2.80857e-10, 2.51312e-25, 1.65885e-07, 2.51312e-25, 2.51312e-25, 2.51312e-25
0.537007, 0, 2.40903e-07, 4.71689e-10, 1.41421, -2.40903e-07, 4.71689e-10, 4.71709e-10, 4.71711e-10, 4.71733e-10, 4.71752e-10, 4.72409e-10, 4.72025e-10, 4.96678e-10, 4.7778e-10, 4.75491e-10, 2.11744e-09, 3.61014e-09, 4.72043e-10, 4.71708e-10, 5.05474e-10, 9.42e-10, 4.71689e-10, 2.35565e-07, 4.71689e-10, 4.71689e-10, 4.84761e-10
0.544663, 0, 3.43733e-07, 1.71976e-09, 1.41421, -3.43733e-07, 1.71976e-09, 1.71984e-09, 1.71984e-09, 1.71992e-09, 1.71999e-09, 1.72239e-09, 1.72099e-09, 1.80039e-09, 1.742e-09, 1.73364e-09, 7.72943e-09, 6.19219e-09, 1.72105e-09, 1.71983e-09, 1.77555e-09, 2.50296e-09, 1.71976e-09, 3.32242e-07, 1.71976e-09, 1.71976e-09, 1.7675e-09
0.552318, 0, 4.91408e-07, 4.91091e-09, 1.41421, -4.91408e-07, 4.91091e-09, 4.91113e-09, 4.91115e-09, 4.91137e-09, 4.91157e-09, 4.91843e-09, 4.91442e-09, 5.13091e-09, 4.97447e-09, 4.95058e-09, 2.2081e-08, 1.12429e-08, 4.91461e-09, 4.91112e-09, 5.00239e-09, 6.20662e-09, 4.91092e-09, 4.66043e-07, 4.91091e-09, 4.91091e-09, 5.0473e-09
0.559973, 0, 7.0857e-07, 1.28156e-08, 1.41421, -7.0857e-07, 1.28156e-08, 1.28161e-08, 1.28162e-08, 1.28168e-08, 1.28173e-08, 1.28352e-08, 1.28247e-08, 1.33743e-08, 1.29814e-08, 1.29191e-08, 5.76326e-08, 2.17232e-08, 1.28252e-08, 1.28161e-08, 1.29644e-08, 1.49431e-08, 1.28156e-08, 6.51341e-07, 1.28156e-08, 1.28156e-08, 1.31715e-08
0.567629, 0, 1.04009e-06, 3.18114e-08, 1.41421, -1.04009e-06, 3.18114e-08, 3.18128e-08, 3.18129e-08, 3.18144e-08, 3.18157e-08, 3.18601e-08, 3.18342e-08, 3.317e-08, 3.22233e-08, 3.20685e-08, 1.43079e-07, 4.42639e-08, 3.18354e-08, 3.18127e-08, 3.20518e-08, 3.52763e-08, 3.18115e-08, 9.09644e-07, 3.18114e-08, 3.18114e-08, 3.26952e-08
0.575284, 0, 1.57175e-06, 7.61382e-08, 1.41421, -1.57175e-06, 7.61382e-08, 7.61416e-08, 7.61418e-08, 7.61453e-08, 7.61484e-08, 7.62548e-08, 7.61926e-08, 7.93669e-08, 7.71241e-08, 7.67535e-08, 3.42483e-07, 9.34386e-08, 7.61955e-08, 7.61413e-08, 7.65232e-08, 8.1738e-08, 7.61383e-08, 1.27491e-06, 7.61382e-08, 7.61382e-08, 7.82538e-08
0.582939, 0, 2.47217e-06, 1.76604e-07, 1.41421, -2.47217e-06, 1.76604e-07, 1.76612e-07, 1.76613e-07, 1.76621e-07, 1.76628e-07, 1.76875e-07, 1.7673e-07, 1.84353e-07, 1.78891e-07, 1.78032e-07, 7.94464e-07, 2.00493e-07, 1.76737e-07, 1.76611e-07, 1.77216e-07, 1.85563e-07, 1.76604e-07, 1.80388e-06, 1.76604e-07, 1.76604e-07, 1.81512e-07
