   PIQUANT 0.0.0-main  ps__0573_0717843531_000rbs__02900001995576371687___j04.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.271756, 1.18621, 1.31608e-07, 0, 1.785, 1.18621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57517e-12, 0, 0, 1.81428e-12, 0, 1.30332e-10, 0, 1.31474e-07, 0, 0, 0
0.279618, 0, 2.07366e-07, 0, 1.41421, -2.07366e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48225e-12, 0, 0, 2.9494e-12, 0, 2.14575e-10, 0, 2.07146e-07, 0, 0, 0
0.287481, 2.79764, 3.24554e-07, 0, 2.19035, 2.79764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88583e-12, 0, 0, 4.77942e-12, 0, 3.52148e-10, 0, 3.24193e-07, 0, 0, 0
0.295343, 4.99686, 5.04325e-07, 2.95633e-40, 2.64516, 4.99686, 2.95633e-40, 0, 2.95633e-40, 2.95633e-40, 2.95633e-40, 2.95633e-40, 2.95633e-40, 2.95633e-40, 2.95633e-40, 2.95633e-40, 2.95633e-40, 2.95633e-40, 2.95633e-40, 2.95633e-40, 6.03963e-12, 2.95633e-40, 2.95633e-40, 7.69725e-12, 2.95633e-40, 5.74169e-10, 2.95633e-40, 5.03737e-07, 2.95633e-40, 2.95633e-40, 2.95633e-40
0.303206, 1.99518, 7.78306e-07, 4.97563e-39, 1.9988, 1.99518, 4.97563e-39, 0, 4.97563e-39, 4.97563e-39, 4.97563e-39, 4.97563e-39, 4.97563e-39, 4.97563e-39, 4.97563e-39, 4.97563e-39, 4.97563e-39, 4.97563e-39, 4.97563e-39, 4.97563e-39, 9.32355e-12, 4.97563e-39, 4.97563e-39, 1.23449e-11, 4.97563e-39, 9.31969e-10, 4.97563e-39, 7.77353e-07, 4.97563e-39, 4.97563e-39, 4.97563e-39
0.311068, 1.99518, 1.19295e-06, 6.96726e-38, 1.9988, 1.99518, 6.96726e-38, 0, 6.96726e-38, 6.96726e-38, 6.96726e-38, 6.96726e-38, 6.96726e-38, 6.96726e-38, 6.96726e-38, 6.96726e-38, 6.96726e-38, 6.96726e-38, 6.96726e-38, 6.96726e-38, 1.42961e-11, 6.96726e-38, 6.96726e-38, 1.97241e-11, 6.96726e-38, 1.50631e-09, 6.96726e-38, 1.19141e-06, 6.96726e-38, 6.96726e-38, 6.96726e-38
0.318931, 1.99518, 1.81611e-06, 8.65962e-37, 1.99879, 1.99518, 8.65962e-37, 0, 8.65962e-37, 8.65962e-37, 8.65962e-37, 8.65962e-37, 8.65962e-37, 8.65962e-37, 8.65962e-37, 8.65962e-37, 8.65962e-37, 8.65962e-37, 8.65962e-37, 8.65962e-37, 2.1774e-11, 8.65962e-37, 8.65962e-37, 3.14086e-11, 8.65962e-37, 2.42488e-09, 8.65962e-37, 1.81364e-06, 8.65962e-37, 8.65962e-37, 8.65962e-37
0.326793, 1.99518, 2.74616e-06, 9.64265e-36, 1.99879, 1.99517, 9.64265e-36, 0, 9.64265e-36, 9.64265e-36, 9.64265e-36, 9.64265e-36, 9.64265e-36, 9.64265e-36, 9.64265e-36, 9.64265e-36, 9.64265e-36, 9.64265e-36, 9.64265e-36, 9.64265e-36, 3.29434e-11, 9.64265e-36, 9.64265e-36, 4.98688e-11, 9.64265e-36, 3.88909e-09, 9.64265e-36, 2.74219e-06, 9.64265e-36, 9.64265e-36, 9.64265e-36
0.334655, 1.60998, 4.12467e-06, 9.71306e-35, 1.89999, 1.60997, 9.71306e-35, 0, 9.71306e-35, 9.71306e-35, 9.71306e-35, 9.71306e-35, 9.71306e-35, 9.71306e-35, 9.71306e-35, 9.71306e-35, 9.71306e-35, 9.71306e-35, 9.71306e-35, 9.71306e-35, 4.95145e-11, 9.71306e-35, 9.71306e-35, 7.89839e-11, 9.71306e-35, 6.21599e-09, 9.71306e-35, 4.11832e-06, 9.71306e-35, 9.71306e-35, 9.71306e-35
0.342518, 0.614798, 6.15386e-06, 8.89621e-34, 1.61703, 0.614792, 8.89621e-34, 0, 8.89621e-34, 8.89621e-34, 8.89621e-34, 8.89621e-34, 8.89621e-34, 8.89621e-34, 8.89621e-34, 8.89621e-34, 8.89621e-34, 8.89621e-34, 8.89621e-34, 8.89621e-34, 7.39358e-11, 8.89621e-34, 8.89621e-34, 1.24846e-10, 8.89621e-34, 9.90381e-09, 8.89621e-34, 6.14376e-06, 8.89621e-34, 8.89621e-34, 8.89621e-34
0.35038, 0.380383, 9.12053e-06, 7.45269e-33, 1.54285, 0.380374, 7.45269e-33, 0, 7.45269e-33, 7.45269e-33, 7.45269e-33, 7.45269e-33, 7.45269e-33, 7.45269e-33, 7.45269e-33, 7.45269e-33, 7.45269e-33, 7.45269e-33, 7.45269e-33, 7.45269e-33, 1.09689e-10, 7.45269e-33, 7.45269e-33, 1.97031e-10, 7.45269e-33, 1.57344e-08, 7.45269e-33, 9.10449e-06, 7.45269e-33, 7.45269e-33, 7.45269e-33
0.358243, 2.37556, 1.34284e-05, 5.73408e-32, 2.09178, 2.37555, 5.73408e-32, 0, 5.73408e-32, 5.73408e-32, 5.73408e-32, 5.73408e-32, 5.73408e-32, 5.73408e-32, 5.73408e-32, 5.73408e-32, 5.73408e-32, 5.73408e-32, 5.73408e-32, 5.73408e-32, 1.61693e-10, 5.73408e-32, 5.73408e-32, 3.10599e-10, 5.73408e-32, 2.49335e-08, 5.73408e-32, 1.3403e-05, 5.73408e-32, 5.73408e-32, 5.73408e-32
0.366105, 1.61962, 1.96418e-05, 4.06083e-31, 1.90253, 1.6196, 4.06083e-31, 0, 4.06083e-31, 4.06083e-31, 4.06083e-31, 4.06083e-31, 4.06083e-31, 4.06083e-31, 4.06083e-31, 4.06083e-31, 4.06083e-31, 4.06083e-31, 4.06083e-31, 4.06083e-31, 2.36846e-10, 4.06083e-31, 4.06083e-31, 4.89257e-10, 4.06083e-31, 3.94195e-08, 4.06083e-31, 1.96016e-05, 4.06083e-31, 4.06083e-31, 4.06083e-31
0.373967, 1.37074, 2.85435e-05, 2.77451e-30, 1.83596, 1.37071, 2.77451e-30, 0, 2.77451e-30, 2.77451e-30, 2.77451e-30, 2.77451e-30, 2.77451e-30, 2.77451e-30, 2.77451e-30, 2.77451e-30, 2.77451e-30, 2.77451e-30, 2.77451e-30, 2.77451e-30, 3.44767e-10, 2.77451e-30, 2.77451e-30, 7.70345e-10, 2.77451e-30, 6.21931e-08, 2.77451e-30, 2.84802e-05, 2.77451e-30, 2.77451e-30, 2.77451e-30
0.38183, 1.62444, 4.12124e-05, 1.65538e-29, 1.9038, 1.6244, 1.65538e-29, 0, 1.65538e-29, 1.65538e-29, 1.65538e-29, 1.65538e-29, 1.65538e-29, 1.65538e-29, 1.65538e-29, 1.65538e-29, 1.65538e-29, 1.65538e-29, 1.65538e-29, 1.65538e-29, 4.98775e-10, 1.65538e-29, 1.65538e-29, 1.21268e-09, 1.65538e-29, 9.79418e-08, 1.65538e-29, 4.11128e-05, 1.65538e-29, 1.65538e-29, 1.65538e-29
0.389692, 2.36592, 5.91239e-05, 9.29557e-29, 2.08948, 2.36586, 9.29557e-29, 0, 9.29557e-29, 9.29557e-29, 9.29557e-29, 9.29557e-29, 9.29557e-29, 9.29557e-29, 9.29557e-29, 9.29557e-29, 9.29557e-29, 9.29557e-29, 9.29557e-29, 9.29557e-29, 7.17204e-10, 9.29557e-29, 9.29557e-29, 1.90892e-09, 9.29557e-29, 1.53977e-07, 9.29557e-29, 5.89673e-05, 9.29557e-29, 9.29557e-29, 9.29557e-29
0.397555, 1.26334, 8.42826e-05, 5.1303e-28, 1.80647, 1.26325, 5.1303e-28, 0, 5.1303e-28, 5.1303e-28, 5.1303e-28, 5.1303e-28, 5.1303e-28, 5.1303e-28, 5.1303e-28, 5.1303e-28, 5.1303e-28, 5.1303e-28, 5.1303e-28, 5.1303e-28, 1.02514e-09, 5.1303e-28, 5.1303e-28, 3.0049e-09, 5.1303e-28, 2.41687e-07, 5.1303e-28, 8.40369e-05, 5.1303e-28, 5.1303e-28, 5.1303e-28
0.405417, 0.727023, 0.000119392, 2.6965e-27, 1.65137, 0.726903, 2.6965e-27, 0, 2.6965e-27, 2.6965e-27, 2.6965e-27, 2.6965e-27, 2.6965e-27, 2.6965e-27, 2.6965e-27, 2.6965e-27, 2.6965e-27, 2.6965e-27, 2.6965e-27, 2.6965e-27, 1.45668e-09, 2.6965e-27, 2.6965e-27, 4.72983e-09, 2.6965e-27, 3.78767e-07, 2.6965e-27, 0.000119007, 2.6965e-27, 2.6965e-27, 2.6965e-27
