   PIQUANT 0.0.0-main  ps__0246_0688790088_000PTFE_shot_20.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.25567, 0, 1.23728e-19, 0, 1.41421, -1.23728e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74835e-22, 0, 2.48129e-25, 2.80762e-23, 0, 1.23425e-19, 0, 0
0.263941, 0, 4.03661e-19, 0, 1.41421, -4.03661e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.96636e-22, 0, 8.13919e-25, 9.43846e-23, 0, 4.02669e-19, 0, 0
0.272212, 0, 1.28065e-18, 0, 1.41421, -1.28065e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84464e-21, 0, 2.59715e-24, 3.08039e-22, 0, 1.27749e-18, 0, 0
0.280482, 0, 3.95692e-18, 0, 1.41421, -3.95692e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.78924e-21, 0, 8.07376e-24, 9.77741e-22, 0, 3.94714e-18, 0, 0
0.288753, 0, 1.19221e-17, 0, 1.41421, -1.19221e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64816e-20, 0, 2.44841e-23, 3.02282e-21, 0, 1.18926e-17, 0, 0
0.297023, 0, 3.50665e-17, 0, 1.41421, -3.50665e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.78897e-20, 0, 7.25108e-23, 9.11443e-21, 0, 3.49794e-17, 0, 0
0.305294, 0, 1.00781e-16, 0, 1.41421, -1.00781e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23852e-19, 0, 2.09916e-22, 2.68317e-20, 0, 1.0053e-16, 0, 0
0.313564, 0, 2.83246e-16, 0, 1.41421, -2.83246e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29136e-19, 0, 5.94541e-22, 7.7194e-20, 0, 2.82539e-16, 0, 0
0.321835, 0, 7.79035e-16, 0, 1.41421, -7.79035e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73035e-18, 0, 1.64864e-21, 2.17216e-19, 0, 7.77086e-16, 0, 0
0.330106, 0, 2.12352e-15, 0, 1.41421, -2.12352e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.71654e-18, 0, 4.54042e-21, 6.07435e-19, 0, 2.11819e-15, 0, 0
0.338376, 0, 5.59146e-15, 0, 1.41421, -5.59146e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24189e-17, 0, 1.20647e-20, 1.63441e-18, 0, 5.57739e-15, 0, 0
0.346647, 0, 1.44364e-14, 0, 1.41421, -1.44364e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.20633e-17, 0, 3.1452e-20, 4.31122e-18, 0, 1.44e-14, 0, 0
0.354917, 0, 3.65612e-14, 0, 1.41421, -3.65612e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.12005e-17, 0, 8.0477e-20, 1.11535e-17, 0, 3.64688e-14, 0, 0
