   PIQUANT 0.0.0-main  ps__0845_0741970080_000PTFE_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.254642, 0, 3.97178e-09, 0, 1.41421, -3.97178e-09, 0, 0, 0, 0, 0, 0, 0, 1.09256e-11, 0, 0, 6.6866e-14, 1.84513e-12, 0, 3.95894e-09, 0, 0
0.262643, 0, 5.91601e-09, 6.53005e-43, 1.41421, -5.91601e-09, 6.53005e-43, 0, 6.53005e-43, 6.53005e-43, 6.53005e-43, 6.53005e-43, 6.53005e-43, 1.62822e-11, 6.53005e-43, 6.53005e-43, 1.03872e-13, 2.90066e-12, 6.53005e-43, 5.89672e-09, 6.53005e-43, 6.53005e-43
0.270645, 0, 8.75778e-09, 1.1635e-41, 1.41421, -8.75778e-09, 1.1635e-41, 0, 1.1635e-41, 1.1635e-41, 1.1635e-41, 1.1635e-41, 1.1635e-41, 2.41182e-11, 1.1635e-41, 1.1635e-41, 1.6086e-13, 4.54056e-12, 1.1635e-41, 8.72896e-09, 1.1635e-41, 1.1635e-41
0.278646, 0, 1.28854e-08, 1.74058e-40, 1.41421, -1.28854e-08, 1.74058e-40, 0, 1.74058e-40, 1.74058e-40, 1.74058e-40, 1.74058e-40, 1.74058e-40, 3.55116e-11, 1.74058e-40, 1.74058e-40, 2.48443e-13, 7.07853e-12, 1.74058e-40, 1.28425e-08, 1.74058e-40, 1.74058e-40
0.286647, 0, 1.88432e-08, 2.29955e-39, 1.41421, -1.88432e-08, 2.29955e-39, 0, 2.29955e-39, 2.29955e-39, 2.29955e-39, 2.29955e-39, 2.29955e-39, 5.19772e-11, 2.29955e-39, 2.29955e-39, 3.8284e-13, 1.09919e-11, 2.29955e-39, 1.87799e-08, 2.29955e-39, 2.29955e-39
0.294649, 0, 2.73895e-08, 2.71801e-38, 1.41421, -2.73895e-08, 2.71801e-38, 0, 2.71801e-38, 2.71801e-38, 2.71801e-38, 2.71801e-38, 2.71801e-38, 7.56311e-11, 2.71801e-38, 2.71801e-38, 5.88843e-13, 1.70052e-11, 2.71801e-38, 2.72963e-08, 2.71801e-38, 2.71801e-38
0.30265, 0, 3.95735e-08, 2.89228e-37, 1.41421, -3.95735e-08, 2.89228e-37, 0, 2.89228e-37, 2.89228e-37, 2.89228e-37, 2.89228e-37, 2.89228e-37, 1.09412e-10, 2.89228e-37, 2.89228e-37, 9.04385e-13, 2.62153e-11, 2.89228e-37, 3.9437e-08, 2.89228e-37, 2.89228e-37
0.310652, 0, 5.68374e-08, 2.78708e-36, 1.41421, -5.68374e-08, 2.78708e-36, 0, 2.78708e-36, 2.78708e-36, 2.78708e-36, 2.78708e-36, 2.78708e-36, 1.57373e-10, 2.78708e-36, 2.78708e-36, 1.38755e-12, 4.02783e-11, 2.78708e-36, 5.66384e-08, 2.78708e-36, 2.78708e-36
0.318653, 0, 8.11504e-08, 2.44545e-35, 1.41421, -8.11504e-08, 2.44545e-35, 0, 2.44545e-35, 2.44545e-35, 2.44545e-35, 2.44545e-35, 2.44545e-35, 2.2508e-10, 2.44545e-35, 2.44545e-35, 2.12736e-12, 6.16896e-11, 2.44545e-35, 8.08615e-08, 2.44545e-35, 2.44545e-35
0.326655, 0, 1.15184e-07, 1.96401e-34, 1.41421, -1.15184e-07, 1.96401e-34, 0, 1.96401e-34, 1.96401e-34, 1.96401e-34, 1.96401e-34, 1.96401e-34, 3.20123e-10, 1.96401e-34, 1.96401e-34, 3.26037e-12, 9.42012e-11, 1.96401e-34, 1.14767e-07, 1.96401e-34, 1.96401e-34
0.334656, 0, 1.62541e-07, 1.4508e-33, 1.41421, -1.62541e-07, 1.4508e-33, 0, 1.4508e-33, 1.4508e-33, 1.4508e-33, 1.4508e-33, 1.4508e-33, 4.52799e-10, 1.4508e-33, 1.4508e-33, 4.99607e-12, 1.43442e-10, 1.4508e-33, 1.6194e-07, 1.4508e-33, 1.4508e-33
