   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_26.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.497282, 0, 1.44666e-09, 2.24156e-31, 1.41421, -1.44666e-09, 2.24156e-31, 0, 2.24156e-31, 2.24156e-31, 2.24156e-31, 2.24156e-31, 2.24156e-31, 2.24156e-31, 2.24156e-31, 2.24156e-31, 2.24156e-31, 1.40291e-11, 2.24156e-31, 2.24156e-31, 4.78361e-14, 1.09708e-12, 2.24156e-31, 1.43149e-09, 2.24156e-31, 2.24156e-31, 2.24156e-31
0.505528, 0, 2.56405e-09, 1.36697e-30, 1.41421, -2.56405e-09, 1.36697e-30, 0, 1.36697e-30, 1.36697e-30, 1.36697e-30, 1.36697e-30, 1.36697e-30, 1.36697e-30, 1.36697e-30, 1.36697e-30, 1.36697e-30, 2.49192e-11, 1.36697e-30, 1.36697e-30, 9.55176e-14, 2.07894e-12, 1.36697e-30, 2.53695e-09, 1.36697e-30, 1.36697e-30, 1.36697e-30
0.513774, 0, 4.47899e-09, 7.79882e-30, 1.41421, -4.47899e-09, 7.79882e-30, 0, 7.79882e-30, 7.79882e-30, 7.79882e-30, 7.79882e-30, 7.79882e-30, 7.79882e-30, 7.79882e-30, 7.79882e-30, 7.79882e-30, 4.36532e-11, 7.79882e-30, 7.79882e-30, 1.90704e-13, 3.93222e-12, 7.79882e-30, 4.43121e-09, 7.79882e-30, 7.79882e-30, 7.79882e-30
0.522021, 0, 7.7125e-09, 4.17603e-29, 1.41421, -7.7125e-09, 4.17603e-29, 0, 4.17603e-29, 4.17603e-29, 4.17603e-29, 4.17603e-29, 4.17603e-29, 4.17603e-29, 4.17603e-29, 4.17603e-29, 4.17603e-29, 7.544e-11, 4.17603e-29, 4.17603e-29, 3.80532e-13, 7.44221e-12, 4.17603e-29, 7.62924e-09, 4.17603e-29, 4.17603e-29, 4.17603e-29
0.530267, 0, 1.30928e-08, 2.10616e-28, 1.41421, -1.30928e-08, 2.10616e-28, 0, 2.10616e-28, 2.10616e-28, 2.10616e-28, 2.10616e-28, 2.10616e-28, 2.10616e-28, 2.10616e-28, 2.10616e-28, 2.10616e-28, 1.28653e-10, 2.10616e-28, 2.10616e-28, 7.58123e-13, 1.4126e-11, 2.10616e-28, 1.29493e-08, 2.10616e-28, 2.10616e-28, 2.10616e-28
0.538513, 0, 2.19164e-08, 1.00391e-27, 1.41421, -2.19164e-08, 1.00391e-27, 0, 1.00391e-27, 1.00391e-27, 1.00391e-27, 1.00391e-27, 1.00391e-27, 1.00391e-27, 1.00391e-27, 1.00391e-27, 1.00391e-27, 2.1658e-10, 1.00391e-27, 1.00391e-27, 1.50589e-12, 2.69382e-11, 1.00391e-27, 2.16714e-08, 1.00391e-27, 1.00391e-27, 1.00391e-27
0.54676, 0, 3.61812e-08, 4.53778e-27, 1.41421, -3.61812e-08, 4.53778e-27, 0, 4.53778e-27, 4.53778e-27, 4.53778e-27, 4.53778e-27, 4.53778e-27, 4.53778e-27, 4.53778e-27, 4.53778e-27, 4.53778e-27, 3.60041e-10, 4.53778e-27, 4.53778e-27, 2.97728e-12, 5.16626e-11, 4.53778e-27, 3.57665e-08, 4.53778e-27, 4.53778e-27, 4.53778e-27
0.555006, 0, 5.89188e-08, 1.95115e-26, 1.41421, -5.89188e-08, 1.95115e-26, 0, 1.95115e-26, 1.95115e-26, 1.95115e-26, 1.95115e-26, 1.95115e-26, 4.08239e-14, 1.95115e-26, 1.95115e-26, 1.95115e-26, 5.91259e-10, 1.95115e-26, 1.95115e-26, 5.84843e-12, 9.96411e-11, 1.95115e-26, 5.8222e-08, 1.95115e-26, 1.95115e-26, 1.95115e-26
0.563252, 0, 9.46625e-08, 8.00451e-26, 1.41421, -9.46625e-08, 8.00451e-26, 0, 8.00451e-26, 8.00451e-26, 8.00451e-26, 8.00451e-26, 8.00451e-26, 1.80952e-13, 8.00451e-26, 8.00451e-26, 8.00451e-26, 9.59538e-10, 8.00451e-26, 8.00451e-26, 1.13946e-11, 1.93063e-10, 8.00451e-26, 9.34983e-08, 8.00451e-26, 8.00451e-26, 8.00451e-26
0.571498, 0, 1.50089e-07, 3.14859e-25, 1.41421, -1.50089e-07, 3.14859e-25, 0, 3.14859e-25, 3.14859e-25, 3.14859e-25, 3.14859e-25, 3.14859e-25, 6.37107e-13, 3.14859e-25, 3.14859e-25, 3.14859e-25, 1.53944e-09, 3.14859e-25, 3.14859e-25, 2.1984e-11, 3.75054e-10, 3.14859e-25, 1.48152e-07, 3.14859e-25, 3.14859e-25, 3.14859e-25
0.579745, 0, 2.37644e-07, 8.31487e-10, 1.41421, -2.37644e-07, 8.42498e-10, 8.31487e-10, 8.31509e-10, 8.31542e-10, 8.31681e-10, 8.31671e-10, 8.31538e-10, 8.35452e-10, 8.38996e-10, 8.43694e-10, 2.65633e-09, 3.27404e-09, 8.33937e-10, 8.31534e-10, 8.73431e-10, 1.56009e-09, 8.31489e-10, 2.32546e-07, 8.31487e-10, 8.31487e-10, 8.53659e-10
0.587991, 0, 3.75067e-07, 3.65899e-09, 1.41421, -3.75067e-07, 3.70751e-09, 3.65899e-09, 3.65909e-09, 3.65923e-09, 3.65984e-09, 3.6598e-09, 3.65921e-09, 3.67366e-09, 3.69208e-09, 3.71278e-09, 1.17008e-08, 7.49283e-09, 3.66978e-09, 3.65919e-09, 3.73806e-09, 5.07026e-09, 3.659e-09, 3.6144e-07, 3.65899e-09, 3.65899e-09, 3.7567e-09
0.596237, 0, 5.96357e-07, 1.28083e-08, 1.41421, -5.96357e-07, 1.29783e-08, 1.28083e-08, 1.28086e-08, 1.28092e-08, 1.28113e-08, 1.28111e-08, 1.28091e-08, 1.28559e-08, 1.29242e-08, 1.29967e-08, 4.09763e-08, 1.87629e-08, 1.28461e-08, 1.2809e-08, 1.29554e-08, 1.55257e-08, 1.28083e-08, 5.58459e-07, 1.28083e-08, 1.28083e-08, 1.31505e-08
0.604484, 0, 9.71182e-07, 4.10399e-08, 1.41421, -9.71182e-07, 4.15847e-08, 4.10399e-08, 4.1041e-08, 4.10426e-08, 4.10494e-08, 4.1049e-08, 4.10424e-08, 4.11845e-08, 4.14114e-08, 4.16438e-08, 1.31329e-07, 5.01937e-08, 4.11611e-08, 4.10422e-08, 4.13099e-08, 4.62269e-08, 4.104e-08, 8.63372e-07, 4.10399e-08, 4.10399e-08, 4.21369e-08
