   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_140.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.359151, 0, 9.76357e-09, 4.93793e-33, 1.41421, -9.76357e-09, 4.93793e-33, 0, 4.93793e-33, 4.93793e-33, 4.93793e-33, 4.93793e-33, 4.93793e-33, 4.93793e-33, 4.93793e-33, 4.93793e-33, 2.59673e-11, 4.93793e-33, 3.43799e-13, 9.53742e-10, 4.93793e-33, 8.78352e-09, 4.93793e-33, 4.93793e-33
0.367015, 0, 1.37728e-08, 3.05635e-32, 1.41421, -1.37728e-08, 3.05635e-32, 0, 3.05635e-32, 3.05635e-32, 3.05635e-32, 3.05635e-32, 3.05635e-32, 3.05635e-32, 3.05635e-32, 3.05635e-32, 3.64099e-11, 3.05635e-32, 5.27256e-13, 1.45313e-09, 3.05635e-32, 1.22828e-08, 3.05635e-32, 3.05635e-32
0.37488, 0, 1.93429e-08, 1.76769e-31, 1.41421, -1.93429e-08, 1.76769e-31, 0, 1.76769e-31, 1.76769e-31, 1.76769e-31, 1.76769e-31, 1.76769e-31, 1.76769e-31, 1.76769e-31, 1.76769e-31, 5.07905e-11, 1.76769e-31, 8.08733e-13, 2.2099e-09, 1.76769e-31, 1.70814e-08, 1.76769e-31, 1.76769e-31
0.382745, 0, 2.70512e-08, 9.56484e-31, 1.41421, -2.70512e-08, 9.56484e-31, 0, 9.56484e-31, 9.56484e-31, 9.56484e-31, 9.56484e-31, 9.56484e-31, 9.56484e-31, 9.56484e-31, 9.56484e-31, 7.04939e-11, 9.56484e-31, 1.24055e-12, 3.35463e-09, 9.56484e-31, 2.36248e-08, 9.56484e-31, 9.56484e-31
0.39061, 0, 3.76794e-08, 4.8552e-30, 1.41421, -3.76794e-08, 4.8552e-30, 0, 4.8552e-30, 4.8552e-30, 4.8552e-30, 4.8552e-30, 4.8552e-30, 4.8552e-30, 4.8552e-30, 4.8552e-30, 9.73564e-11, 4.8552e-30, 1.9027e-12, 5.08288e-09, 4.8552e-30, 3.24973e-08, 4.8552e-30, 4.8552e-30
0.398474, 0, 5.22843e-08, 2.31933e-29, 1.41421, -5.22843e-08, 2.31933e-29, 0, 2.31933e-29, 2.31933e-29, 2.31933e-29, 2.31933e-29, 2.31933e-29, 2.31933e-29, 2.31933e-29, 2.31933e-29, 1.33801e-10, 2.31933e-29, 2.91718e-12, 7.68662e-09, 2.31933e-29, 4.4461e-08, 2.31933e-29, 2.31933e-29
0.406339, 0, 7.22918e-08, 1.04596e-28, 1.41421, -7.22918e-08, 1.04596e-28, 0, 1.04596e-28, 1.04596e-28, 1.04596e-28, 1.04596e-28, 1.04596e-28, 1.04596e-28, 1.04596e-28, 1.04596e-28, 1.83011e-10, 1.04596e-28, 4.46947e-12, 1.16003e-08, 1.04596e-28, 6.0504e-08, 1.04596e-28, 1.04596e-28
0.414204, 0, 9.96234e-08, 4.46642e-28, 1.41421, -9.96234e-08, 4.46642e-28, 0, 4.46642e-28, 4.46642e-28, 4.46642e-28, 4.46642e-28, 4.46642e-28, 4.46642e-28, 4.46642e-28, 4.46642e-28, 2.49146e-10, 4.46642e-28, 6.84054e-12, 1.74678e-08, 4.46642e-28, 8.18996e-08, 4.46642e-28, 4.46642e-28
0.422069, 0, 1.36866e-07, 1.81103e-27, 1.41421, -1.36866e-07, 1.81103e-27, 0, 1.81103e-27, 1.81103e-27, 1.81103e-27, 1.81103e-27, 1.81103e-27, 1.81103e-27, 1.81103e-27, 1.81103e-27, 3.37625e-10, 1.81103e-27, 1.04542e-11, 2.62395e-08, 1.81103e-27, 1.10279e-07, 1.81103e-27, 1.81103e-27
0.429934, 0, 1.87501e-07, 6.99177e-27, 1.41421, -1.87501e-07, 6.99177e-27, 0, 6.99177e-27, 6.99177e-27, 6.99177e-27, 6.99177e-27, 6.99177e-27, 6.99177e-27, 6.99177e-27, 6.99177e-27, 4.55467e-10, 6.99177e-27, 1.5947e-11, 3.93108e-08, 6.99177e-27, 1.47719e-07, 6.99177e-27, 6.99177e-27
