   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_122.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.383428, 0, 2.61783e-08, 1.85805e-30, 1.41421, -2.61783e-08, 1.85805e-30, 0, 1.85805e-30, 1.85805e-30, 1.85805e-30, 1.85805e-30, 1.85805e-30, 1.85805e-30, 1.85805e-30, 1.85805e-30, 1.85805e-30, 1.85805e-30, 1.85805e-30, 1.85805e-30, 1.07168e-10, 1.85805e-30, 1.85805e-30, 3.91163e-12, 2.23749e-09, 1.85805e-30, 2.38297e-08, 1.85805e-30, 1.85805e-30
0.391291, 0, 3.58947e-08, 2.10333e-29, 1.41421, -3.58947e-08, 2.10333e-29, 0, 2.10333e-29, 2.10333e-29, 2.10333e-29, 2.10333e-29, 2.10333e-29, 2.10333e-29, 2.10333e-29, 2.10333e-29, 2.10333e-29, 2.10333e-29, 2.10333e-29, 2.10333e-29, 1.46334e-10, 2.10333e-29, 2.10333e-29, 5.95095e-12, 3.35051e-09, 2.10333e-29, 3.23919e-08, 2.10333e-29, 2.10333e-29
0.399153, 0, 4.90194e-08, 9.39107e-29, 1.41421, -4.90194e-08, 9.39107e-29, 0, 9.39107e-29, 9.39107e-29, 9.39107e-29, 9.39107e-29, 9.39107e-29, 9.39107e-29, 9.39107e-29, 9.39107e-29, 9.39107e-29, 9.39107e-29, 9.39107e-29, 9.39107e-29, 1.98907e-10, 9.39107e-29, 9.39107e-29, 9.03903e-12, 5.00455e-09, 9.39107e-29, 4.38069e-08, 9.39107e-29, 9.39107e-29
0.407016, 0, 6.6689e-08, 3.97132e-28, 1.41421, -6.6689e-08, 3.97132e-28, 0, 3.97132e-28, 3.97132e-28, 3.97132e-28, 3.97132e-28, 3.97132e-28, 3.97132e-28, 3.97132e-28, 3.97132e-28, 3.97132e-28, 3.97132e-28, 3.97132e-28, 3.97132e-28, 2.69173e-10, 3.97132e-28, 3.97132e-28, 1.37161e-11, 7.45909e-09, 3.97132e-28, 5.8947e-08, 3.97132e-28, 3.97132e-28
0.414879, 0, 9.03996e-08, 1.59505e-27, 1.41421, -9.03996e-08, 1.59505e-27, 0, 1.59505e-27, 1.59505e-27, 1.59505e-27, 1.59505e-27, 1.59505e-27, 1.59505e-27, 1.59505e-27, 1.59505e-27, 1.59505e-27, 1.59505e-27, 1.59505e-27, 1.59505e-27, 3.62679e-10, 1.59505e-27, 1.59505e-27, 2.07848e-11, 1.10916e-08, 1.59505e-27, 7.89246e-08, 1.59505e-27, 1.59505e-27
0.422742, 0, 1.2212e-07, 6.10098e-27, 1.41421, -1.2212e-07, 6.10098e-27, 0, 6.10098e-27, 6.10098e-27, 6.10098e-27, 6.10098e-27, 6.10098e-27, 6.10098e-27, 6.10098e-27, 6.10098e-27, 6.10098e-27, 6.10098e-27, 6.10098e-27, 6.10098e-27, 4.86588e-10, 6.10098e-27, 6.10098e-27, 3.14414e-11, 1.64511e-08, 6.10098e-27, 1.05151e-07, 6.10098e-27, 6.10098e-27
0.430605, 0, 1.64437e-07, 2.22797e-26, 1.41421, -1.64437e-07, 2.22797e-26, 0, 2.22797e-26, 2.22797e-26, 2.22797e-26, 2.22797e-26, 2.22797e-26, 2.22797e-26, 2.22797e-26, 2.22797e-26, 1.26248e-13, 2.22797e-26, 2.22797e-26, 2.22797e-26, 6.50105e-10, 2.22797e-26, 2.22797e-26, 4.74591e-11, 2.43326e-08, 2.22797e-26, 1.39407e-07, 2.22797e-26, 2.22797e-26
0.438467, 0, 2.20742e-07, 7.78848e-26, 1.41421, -2.20742e-07, 7.78848e-26, 0, 7.78848e-26, 7.78848e-26, 7.78848e-26, 7.78848e-26, 7.78848e-26, 7.78848e-26, 7.78848e-26, 7.78848e-26, 3.95367e-13, 7.78848e-26, 7.78848e-26, 7.78848e-26, 8.65014e-10, 7.78848e-26, 7.78848e-26, 7.14533e-11, 3.58801e-08, 7.78848e-26, 1.83925e-07, 7.78848e-26, 7.78848e-26
0.44633, 0, 2.96594e-07, 2.64443e-25, 1.41421, -2.96594e-07, 3.67154e-12, 0, 6.30166e-15, 4.33341e-14, 2.50582e-12, 1.64568e-13, 1.60049e-14, 2.93214e-13, 3.56497e-13, 2.75377e-13, 6.61559e-12, 6.63583e-12, 1.12197e-12, 1.05563e-09, 1.14636e-09, 2.21221e-13, 2.37181e-14, 1.07262e-10, 5.27316e-08, 1.31089e-15, 2.41518e-07, 2.64443e-25, 1.29465e-11
0.454193, 0, 3.98433e-07, 4.92756e-10, 1.41421, -3.98433e-07, 5.04214e-10, 4.92756e-10, 4.92776e-10, 4.92892e-10, 5.00576e-10, 4.9327e-10, 4.92806e-10, 4.93671e-10, 4.93869e-10, 4.93616e-10, 5.12521e-10, 5.13464e-10, 4.96258e-10, 3.78698e-09, 2.00597e-09, 4.93447e-10, 4.9283e-10, 6.53245e-10, 7.77099e-08, 4.92761e-10, 3.1614e-07, 4.92756e-10, 5.33158e-10
0.462056, 0, 5.35217e-07, 1.53406e-09, 1.41421, -5.35217e-07, 1.5617e-09, 1.53406e-09, 1.5341e-09, 1.53438e-09, 1.55292e-09, 1.53529e-09, 1.53418e-09, 1.53626e-09, 1.53674e-09, 1.53613e-09, 1.58108e-09, 1.58402e-09, 1.5425e-09, 9.48291e-09, 3.52377e-09, 1.53572e-09, 1.53423e-09, 1.77331e-09, 1.14163e-07, 1.53407e-09, 4.12149e-07, 1.53406e-09, 1.63154e-09
0.469918, 0, 7.20036e-07, 3.69464e-09, 1.41421, -7.20036e-07, 3.75534e-09, 3.69464e-09, 3.69474e-09, 3.69536e-09, 3.73607e-09, 3.69736e-09, 3.6949e-09, 3.69949e-09, 3.70053e-09, 3.69919e-09, 3.79716e-09, 3.80434e-09, 3.71319e-09, 2.11464e-08, 6.30089e-09, 3.6983e-09, 3.69503e-09, 4.04988e-09, 1.67284e-07, 3.69466e-09, 5.35464e-07, 3.69464e-09, 3.90867e-09
0.477781, 0, 9.71906e-07, 8.09961e-09, 1.41421, -9.71906e-07, 8.22661e-09, 8.09961e-09, 8.09982e-09, 8.10111e-09, 8.18628e-09, 8.1053e-09, 8.10016e-09, 8.10975e-09, 8.11194e-09, 8.10913e-09, 8.31316e-09, 8.32914e-09, 8.13842e-09, 4.46145e-08, 1.15006e-08, 8.10726e-09, 8.10043e-09, 8.62483e-09, 2.44648e-07, 8.09965e-09, 6.93725e-07, 8.09961e-09, 8.54743e-09
0.485644, 0, 1.31934e-06, 1.69248e-08, 1.41421, -1.31934e-06, 1.71825e-08, 1.69248e-08, 1.69252e-08, 1.69278e-08, 1.71007e-08, 1.69363e-08, 1.69259e-08, 1.69453e-08, 1.69498e-08, 1.69441e-08, 1.73565e-08, 1.73906e-08, 1.70035e-08, 9.10254e-08, 2.13462e-08, 1.69403e-08, 1.69264e-08, 1.76978e-08, 3.57403e-07, 1.69249e-08, 8.9715e-07, 1.69248e-08, 1.78336e-08
0.493507, 0, 1.80638e-06, 3.431e-08, 1.41421, -1.80638e-06, 3.48211e-08, 3.431e-08, 3.43109e-08, 3.4316e-08, 3.46588e-08, 3.43329e-08, 3.43122e-08, 3.43508e-08, 3.43596e-08, 3.43483e-08, 3.52628e-08, 3.52338e-08, 3.44662e-08, 1.8126e-07, 4.00368e-08, 3.43408e-08, 3.43133e-08, 3.54423e-08, 5.22217e-07, 3.43102e-08, 1.15978e-06, 3.431e-08, 3.61122e-08
0.50137, 0, 2.50122e-06, 6.798e-08, 1.41421, -2.50122e-06, 6.8974e-08, 6.798e-08, 6.79817e-08, 6.79918e-08, 6.86584e-08, 6.80246e-08, 6.79844e-08, 6.80594e-08, 6.80765e-08, 6.80546e-08, 6.99453e-08, 6.97764e-08, 6.82838e-08, 3.53746e-07, 7.53705e-08, 6.80399e-08, 6.79865e-08, 6.96303e-08, 7.63216e-07, 6.79804e-08, 1.50155e-06, 6.798e-08, 7.14848e-08
0.509232, 0, 3.51476e-06, 1.32095e-07, 1.41421, -3.51476e-06, 1.33994e-07, 1.32095e-07, 1.32098e-07, 1.32118e-07, 1.33391e-07, 1.3218e-07, 1.32103e-07, 1.32247e-07, 1.3228e-07, 1.32238e-07, 1.37247e-07, 1.35526e-07, 1.32675e-07, 6.77942e-07, 1.41598e-07, 1.3221e-07, 1.32107e-07, 1.34488e-07, 1.11748e-06, 1.32096e-07, 1.95186e-06, 1.32095e-07, 1.3879e-07
0.517095, 0, 5.0238e-06, 2.52132e-07, 1.41421, -5.0238e-06, 2.55697e-07, 2.52132e-07, 2.52138e-07, 2.52174e-07, 2.54565e-07, 2.52292e-07, 2.52148e-07, 2.52417e-07, 2.52479e-07, 2.524e-07, 2.63582e-07, 2.58575e-07, 2.53222e-07, 1.27708e-06, 2.64307e-07, 2.52347e-07, 2.52155e-07, 2.55585e-07, 1.64113e-06, 2.52134e-07, 2.55532e-06, 2.52132e-07, 2.64703e-07
0.524958, 0, 7.31612e-06, 4.73107e-07, 1.41421, -7.31612e-06, 4.7969e-07, 4.73107e-07, 4.73118e-07, 4.73184e-07, 4.776e-07, 4.73402e-07, 4.73135e-07, 4.73632e-07, 4.73746e-07, 4.736e-07, 4.96813e-07, 4.85005e-07, 4.75118e-07, 2.36588e-06, 4.88648e-07, 4.73503e-07, 4.73149e-07, 4.78062e-07, 2.42015e-06, 4.73109e-07, 3.38139e-06, 4.73107e-07, 4.9632e-07
0.532821, 0, 1.08586e-05, 8.73096e-07, 1.41421, -1.08586e-05, 8.85055e-07, 8.73096e-07, 8.73116e-07, 8.73237e-07, 8.81258e-07, 8.73632e-07, 8.73148e-07, 8.74051e-07, 8.74257e-07, 8.73993e-07, 9.20258e-07, 8.94711e-07, 8.7675e-07, 4.31158e-06, 8.92866e-07, 8.73816e-07, 8.73173e-07, 8.80169e-07, 3.58712e-06, 8.731e-07, 4.53995e-06, 8.73096e-07, 9.15266e-07
0.540684, 0, 1.6404e-05, 1.58504e-06, 1.41421, -1.6404e-05, 1.60641e-06, 1.58504e-06, 1.58507e-06, 1.58529e-06, 1.59962e-06, 1.58599e-06, 1.58513e-06, 1.58674e-06, 1.58711e-06, 1.58664e-06, 1.67529e-06, 1.62367e-06, 1.59157e-06, 7.73079e-06, 1.6101e-06, 1.58632e-06, 1.58517e-06, 1.59508e-06, 5.34697e-06, 1.58504e-06, 6.20631e-06, 1.58504e-06, 1.66041e-06
0.548546, 0, 2.51606e-05, 2.83113e-06, 1.41421, -2.51606e-05, 2.86872e-06, 2.83113e-06, 2.83119e-06, 2.83157e-06, 2.85678e-06, 2.83281e-06, 2.83129e-06, 2.83413e-06, 2.83478e-06, 2.83395e-06, 3.00162e-06, 2.89907e-06, 2.84261e-06, 1.36398e-05, 2.86278e-06, 2.83339e-06, 2.83137e-06, 2.8453e-06, 8.01676e-06, 2.83114e-06, 8.6603e-06, 2.83113e-06, 2.96369e-06
