   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_378.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.269345, 0, 4.75402e-12, 0, 1.41421, -4.75402e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27899e-12, 0, 2.47503e-12, 0, 0
0.277213, 0, 7.89073e-12, 0, 1.41421, -7.89073e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85463e-12, 0, 4.0361e-12, 0, 0
0.285081, 0, 1.30149e-11, 0, 1.41421, -1.30149e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48238e-12, 0, 6.53256e-12, 0, 0
0.292949, 0, 2.1336e-11, 0, 1.41421, -2.1336e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08414e-11, 0, 1.04945e-11, 0, 0
0.300817, 0, 3.4771e-11, 0, 1.41421, -3.4771e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80362e-11, 0, 1.67348e-11, 0, 0
0.308685, 0, 5.63441e-11, 3.29305e-43, 1.41421, -5.63441e-11, 3.29305e-43, 0, 3.29305e-43, 3.29305e-43, 3.29305e-43, 3.29305e-43, 3.29305e-43, 3.29305e-43, 3.29305e-43, 3.29305e-43, 3.29305e-43, 3.29305e-43, 3.29305e-43, 2.98548e-11, 3.29305e-43, 2.64893e-11, 3.29305e-43, 3.29305e-43
0.316553, 0, 9.08065e-11, 5.72991e-42, 1.41421, -9.08065e-11, 5.72991e-42, 0, 5.72991e-42, 5.72991e-42, 5.72991e-42, 5.72991e-42, 5.72991e-42, 5.72991e-42, 5.72991e-42, 5.72991e-42, 5.72991e-42, 5.72991e-42, 5.72991e-42, 4.91835e-11, 5.72991e-42, 4.1623e-11, 5.72991e-42, 5.72991e-42
0.324421, 0, 1.45593e-10, 8.28602e-41, 1.41421, -1.45593e-10, 8.28602e-41, 0, 8.28602e-41, 8.28602e-41, 8.28602e-41, 8.28602e-41, 8.28602e-41, 8.28602e-41, 8.28602e-41, 8.28602e-41, 8.28602e-41, 8.28602e-41, 8.28602e-41, 8.0666e-11, 8.28602e-41, 6.49266e-11, 8.28602e-41, 8.28602e-41
0.33229, 0, 2.323e-10, 1.06385e-39, 1.41421, -2.323e-10, 1.06385e-39, 0, 1.06385e-39, 1.06385e-39, 1.06385e-39, 1.06385e-39, 1.06385e-39, 1.06385e-39, 1.06385e-39, 1.06385e-39, 1.06385e-39, 1.06385e-39, 1.06385e-39, 1.31756e-10, 1.06385e-39, 1.00544e-10, 1.06385e-39, 1.06385e-39
0.340158, 0, 3.69353e-10, 5.39687e-38, 1.41421, -3.69353e-10, 5.39687e-38, 0, 5.39687e-38, 5.39687e-38, 5.39687e-38, 5.39687e-38, 5.39687e-38, 5.39687e-38, 5.39687e-38, 5.39687e-38, 5.39687e-38, 5.39687e-38, 5.39687e-38, 2.14755e-10, 5.39687e-38, 1.54598e-10, 5.39687e-38, 5.39687e-38
0.348026, 0, 5.84216e-10, 5.08951e-37, 1.41421, -5.84216e-10, 5.08951e-37, 0, 5.08951e-37, 5.08951e-37, 5.08951e-37, 5.08951e-37, 5.08951e-37, 5.08951e-37, 5.08951e-37, 5.08951e-37, 5.08951e-37, 5.08951e-37, 5.08951e-37, 3.48237e-10, 5.08951e-37, 2.35979e-10, 5.08951e-37, 5.08951e-37
0.355894, 0, 9.20577e-10, 4.38619e-36, 1.41421, -9.20577e-10, 4.38619e-36, 0, 4.38619e-36, 4.38619e-36, 4.38619e-36, 4.38619e-36, 4.38619e-36, 4.38619e-36, 4.38619e-36, 4.38619e-36, 4.38619e-36, 4.38619e-36, 4.38619e-36, 5.62942e-10, 4.38619e-36, 3.57636e-10, 4.38619e-36, 4.38619e-36
0.363762, 0, 1.44571e-09, 3.46817e-35, 1.41421, -1.44571e-09, 3.46817e-35, 0, 3.46817e-35, 3.46817e-35, 3.46817e-35, 3.46817e-35, 3.46817e-35, 3.46817e-35, 3.46817e-35, 3.46817e-35, 3.46817e-35, 3.46817e-35, 3.46817e-35, 9.07536e-10, 3.46817e-35, 5.38176e-10, 3.46817e-35, 3.46817e-35
