   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_166.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.415264, 0, 6.89792e-13, 5.77055e-42, 1.41421, -6.89792e-13, 5.77055e-42, 0, 5.77055e-42, 5.77055e-42, 5.77055e-42, 5.77055e-42, 5.77055e-42, 5.77055e-42, 5.77055e-42, 5.77055e-42, 5.77055e-42, 5.77055e-42, 3.99241e-15, 5.77055e-42, 5.77055e-42, 8.35401e-18, 1.91115e-16, 5.77055e-42, 6.856e-13, 5.77055e-42, 5.77055e-42, 5.77055e-42
0.423166, 0, 1.46048e-12, 7.81981e-41, 1.41421, -1.46048e-12, 7.81981e-41, 0, 7.81981e-41, 7.81981e-41, 7.81981e-41, 7.81981e-41, 7.81981e-41, 7.81981e-41, 7.81981e-41, 7.81981e-41, 7.81981e-41, 7.81981e-41, 8.45223e-15, 7.81981e-41, 7.81981e-41, 1.80511e-17, 4.13348e-16, 7.81981e-41, 1.45159e-12, 7.81981e-41, 7.81981e-41, 7.81981e-41
0.431068, 0, 3.04327e-12, 9.47068e-40, 1.41421, -3.04327e-12, 9.47068e-40, 0, 9.47068e-40, 9.47068e-40, 9.47068e-40, 9.47068e-40, 9.47068e-40, 9.47068e-40, 9.47068e-40, 9.47068e-40, 9.47068e-40, 9.47068e-40, 1.76109e-14, 9.47068e-40, 9.47068e-40, 3.84866e-17, 8.80459e-16, 9.47068e-40, 3.02474e-12, 9.47068e-40, 9.47068e-40, 9.47068e-40
0.43897, 0, 6.24181e-12, 1.03465e-38, 1.41421, -6.24181e-12, 1.03465e-38, 0, 1.03465e-38, 1.03465e-38, 1.03465e-38, 1.03465e-38, 1.03465e-38, 1.03465e-38, 1.03465e-38, 1.03465e-38, 1.03465e-38, 1.03465e-38, 3.61183e-14, 1.03465e-38, 1.03465e-38, 8.10312e-17, 1.84759e-15, 1.03465e-38, 6.20376e-12, 1.03465e-38, 1.03465e-38, 1.03465e-38
0.446872, 0, 1.26023e-11, 1.02548e-37, 1.41421, -1.26023e-11, 1.02548e-37, 0, 1.02548e-37, 1.02548e-37, 1.02548e-37, 1.02548e-37, 1.02548e-37, 1.02548e-37, 1.02548e-37, 1.02548e-37, 1.02548e-37, 1.02548e-37, 7.29225e-14, 1.02548e-37, 1.02548e-37, 1.68631e-16, 3.82084e-15, 1.02548e-37, 1.25254e-11, 1.02548e-37, 1.02548e-37, 1.02548e-37
0.454774, 0, 2.50503e-11, 9.27376e-37, 1.41421, -2.50503e-11, 9.27376e-37, 0, 9.27376e-37, 9.27376e-37, 9.27376e-37, 9.27376e-37, 9.27376e-37, 9.27376e-37, 9.27376e-37, 9.27376e-37, 9.27376e-37, 9.27376e-37, 1.44959e-13, 9.27376e-37, 9.27376e-37, 3.4726e-16, 7.79022e-15, 9.27376e-37, 2.48972e-11, 9.27376e-37, 9.27376e-37, 9.27376e-37
0.462676, 0, 4.90278e-11, 7.69146e-36, 1.41421, -4.90278e-11, 7.69146e-36, 0, 7.69146e-36, 7.69146e-36, 7.69146e-36, 7.69146e-36, 7.69146e-36, 7.69146e-36, 7.69146e-36, 7.69146e-36, 7.69146e-36, 7.69146e-36, 2.83748e-13, 7.69146e-36, 7.69146e-36, 7.08535e-16, 1.56676e-14, 7.69146e-36, 4.87277e-11, 7.69146e-36, 7.69146e-36, 7.69146e-36
0.470578, 0, 9.449e-11, 5.87959e-35, 1.41421, -9.449e-11, 5.87959e-35, 0, 5.87959e-35, 5.87959e-35, 5.87959e-35, 5.87959e-35, 5.87959e-35, 5.87959e-35, 5.87959e-35, 5.87959e-35, 5.87959e-35, 5.87959e-35, 5.47005e-13, 5.87959e-35, 5.87959e-35, 1.43447e-15, 3.11025e-14, 5.87959e-35, 9.39105e-11, 5.87959e-35, 5.87959e-35, 5.87959e-35
0.47848, 0, 1.79344e-10, 4.18985e-34, 1.41421, -1.79344e-10, 4.18985e-34, 0, 4.18985e-34, 4.18985e-34, 4.18985e-34, 4.18985e-34, 4.18985e-34, 4.18985e-34, 4.18985e-34, 4.18985e-34, 4.18985e-34, 4.18985e-34, 1.03868e-12, 4.18985e-34, 4.18985e-34, 2.8862e-15, 6.09926e-14, 4.18985e-34, 1.78242e-10, 4.18985e-34, 4.18985e-34, 4.18985e-34
0.486382, 0, 3.35272e-10, 2.93297e-33, 1.41421, -3.35272e-10, 2.93297e-33, 0, 2.93297e-33, 2.93297e-33, 2.93297e-33, 2.93297e-33, 2.93297e-33, 2.93297e-33, 2.93297e-33, 2.93297e-33, 2.93297e-33, 2.93297e-33, 1.94304e-12, 2.93297e-33, 2.93297e-33, 5.78062e-15, 1.18274e-13, 2.93297e-33, 3.33205e-10, 2.93297e-33, 2.93297e-33, 2.93297e-33
0.494284, 0, 6.17385e-10, 1.95495e-32, 1.41421, -6.17385e-10, 1.95495e-32, 0, 1.95495e-32, 1.95495e-32, 1.95495e-32, 1.95495e-32, 1.95495e-32, 1.95495e-32, 1.95495e-32, 1.95495e-32, 1.95495e-32, 1.95495e-32, 3.58147e-12, 1.95495e-32, 1.95495e-32, 1.15426e-14, 2.27081e-13, 1.95495e-32, 6.13565e-10, 1.95495e-32, 1.95495e-32, 1.95495e-32
0.502187, 0, 1.12001e-09, 1.22641e-31, 1.41421, -1.12001e-09, 1.22641e-31, 0, 1.22641e-31, 1.22641e-31, 1.22641e-31, 1.22641e-31, 1.22641e-31, 1.22641e-31, 1.22641e-31, 1.22641e-31, 1.22641e-31, 1.22641e-31, 6.50606e-12, 1.22641e-31, 1.22641e-31, 2.30091e-14, 4.32344e-13, 1.22641e-31, 1.11305e-09, 1.22641e-31, 1.22641e-31, 1.22641e-31
0.510089, 0, 2.0019e-09, 7.22295e-31, 1.41421, -2.0019e-09, 7.22295e-31, 0, 7.22295e-31, 7.22295e-31, 7.22295e-31, 7.22295e-31, 7.22295e-31, 7.22295e-31, 7.22295e-31, 7.22295e-31, 7.22295e-31, 7.22295e-31, 1.16504e-11, 7.22295e-31, 7.22295e-31, 4.58323e-14, 8.17779e-13, 7.22295e-31, 1.98939e-09, 7.22295e-31, 7.22295e-31, 7.22295e-31
0.517991, 0, 3.52594e-09, 3.99805e-30, 1.41421, -3.52594e-09, 3.99805e-30, 0, 3.99805e-30, 3.99805e-30, 3.99805e-30, 3.99805e-30, 3.99805e-30, 3.99805e-30, 3.99805e-30, 3.99805e-30, 3.99805e-30, 3.99805e-30, 2.05704e-11, 3.99805e-30, 3.99805e-30, 9.12686e-14, 1.54003e-12, 3.99805e-30, 3.50374e-09, 3.99805e-30, 3.99805e-30, 3.99805e-30
0.525893, 0, 6.12041e-09, 2.08495e-29, 1.41421, -6.12041e-09, 2.08495e-29, 0, 2.08495e-29, 2.08495e-29, 2.08495e-29, 2.08495e-29, 2.08495e-29, 2.08495e-29, 2.08495e-29, 2.08495e-29, 2.08495e-29, 2.08495e-29, 3.58216e-11, 2.08495e-29, 2.08495e-29, 1.81675e-13, 2.8942e-12, 2.08495e-29, 6.08151e-09, 2.08495e-29, 2.08495e-29, 2.08495e-29
0.533795, 0, 1.04719e-08, 1.02738e-28, 1.41421, -1.04719e-08, 1.02738e-28, 0, 1.02738e-28, 1.02738e-28, 1.02738e-28, 1.02738e-28, 1.02738e-28, 1.02738e-28, 1.02738e-28, 1.02738e-28, 1.02738e-28, 1.02738e-28, 6.15433e-11, 1.02738e-28, 1.02738e-28, 3.61229e-13, 5.4408e-12, 1.02738e-28, 1.04045e-08, 1.02738e-28, 1.02738e-28, 1.02738e-28
0.541697, 0, 1.76634e-08, 4.79822e-28, 1.41421, -1.76634e-08, 4.79822e-28, 0, 4.79822e-28, 4.79822e-28, 4.79822e-28, 4.79822e-28, 4.79822e-28, 4.79822e-28, 4.79822e-28, 4.79822e-28, 4.79822e-28, 4.79822e-28, 1.04351e-10, 4.79822e-28, 4.79822e-28, 7.16563e-13, 1.02536e-11, 4.79822e-28, 1.75481e-08, 4.79822e-28, 4.79822e-28, 4.79822e-28
