   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_231.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.445502, 0, 2.50782e-10, 1.58979e-36, 1.41421, -2.50782e-10, 1.58979e-36, 0, 1.58979e-36, 1.58979e-36, 1.58979e-36, 1.58979e-36, 1.58979e-36, 1.58979e-36, 1.58979e-36, 9.65664e-13, 1.58979e-36, 9.80689e-16, 5.88306e-14, 1.58979e-36, 2.49756e-10, 1.58979e-36, 1.58979e-36
0.453719, 0, 5.05827e-10, 1.55344e-35, 1.41421, -5.05827e-10, 1.55344e-35, 0, 1.55344e-35, 1.55344e-35, 1.55344e-35, 1.55344e-35, 1.55344e-35, 1.55344e-35, 1.55344e-35, 1.94807e-12, 1.55344e-35, 2.04278e-15, 1.22164e-13, 1.55344e-35, 5.03755e-10, 1.55344e-35, 1.55344e-35
0.461936, 0, 1.00429e-09, 1.38212e-34, 1.41421, -1.00429e-09, 1.38212e-34, 0, 1.38212e-34, 1.38212e-34, 1.38212e-34, 1.38212e-34, 1.38212e-34, 1.38212e-34, 1.38212e-34, 3.8689e-12, 1.38212e-34, 4.2155e-15, 2.50157e-13, 1.38212e-34, 1.00017e-09, 1.38212e-34, 1.38212e-34
0.470153, 0, 1.96294e-09, 1.12585e-33, 1.41421, -1.96294e-09, 1.12585e-33, 0, 1.12585e-33, 1.12585e-33, 1.12585e-33, 1.12585e-33, 1.12585e-33, 1.12585e-33, 1.12585e-33, 7.56551e-12, 1.12585e-33, 8.63162e-15, 5.05448e-13, 1.12585e-33, 1.95486e-09, 1.12585e-33, 1.12585e-33
0.478371, 0, 3.77729e-09, 8.51858e-33, 1.41421, -3.77729e-09, 8.51858e-33, 0, 8.51858e-33, 8.51858e-33, 8.51858e-33, 8.51858e-33, 8.51858e-33, 8.51858e-33, 8.51858e-33, 1.45685e-11, 8.51858e-33, 1.75666e-14, 1.0085e-12, 8.51858e-33, 3.76169e-09, 8.51858e-33, 8.51858e-33
0.486588, 0, 7.15669e-09, 6.31297e-32, 1.41421, -7.15669e-09, 6.31297e-32, 0, 6.31297e-32, 6.31297e-32, 6.31297e-32, 6.31297e-32, 6.31297e-32, 6.31297e-32, 6.31297e-32, 2.76303e-11, 6.31297e-32, 3.55964e-14, 1.98901e-12, 6.31297e-32, 7.12704e-09, 6.31297e-32, 6.31297e-32
0.494805, 0, 1.33519e-08, 4.43005e-31, 1.41421, -1.33519e-08, 4.43005e-31, 0, 4.43005e-31, 4.43005e-31, 4.43005e-31, 4.43005e-31, 4.43005e-31, 4.43005e-31, 4.43005e-31, 5.16217e-11, 4.43005e-31, 7.19449e-14, 3.88253e-12, 4.43005e-31, 1.32964e-08, 4.43005e-31, 4.43005e-31
0.503022, 0, 2.45311e-08, 2.91011e-30, 1.41421, -2.45311e-08, 2.91011e-30, 0, 2.91011e-30, 2.91011e-30, 2.91011e-30, 2.91011e-30, 2.91011e-30, 2.91011e-30, 2.91011e-30, 9.50268e-11, 2.91011e-30, 1.45252e-13, 7.51258e-12, 2.91011e-30, 2.44284e-08, 2.91011e-30, 2.91011e-30
0.511239, 0, 4.43888e-08, 1.78603e-29, 1.41421, -4.43888e-08, 1.78603e-29, 0, 1.78603e-29, 1.78603e-29, 1.78603e-29, 1.78603e-29, 1.78603e-29, 1.78603e-29, 1.78603e-29, 1.72397e-10, 1.78603e-29, 2.93255e-13, 1.44373e-11, 1.78603e-29, 4.42017e-08, 1.78603e-29, 1.78603e-29
0.519456, 0, 7.91166e-08, 1.02582e-28, 1.41421, -7.91166e-08, 1.02582e-28, 0, 1.02582e-28, 1.02582e-28, 1.02582e-28, 1.02582e-28, 1.02582e-28, 1.02582e-28, 1.02582e-28, 3.08323e-10, 1.02582e-28, 5.92383e-13, 2.76167e-11, 1.02582e-28, 7.878e-08, 1.02582e-28, 1.02582e-28
