   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_719.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.429194, 0, 7.24287e-06, 3.11859e-09, 1.41421, -7.24287e-06, 3.39055e-09, 3.11859e-09, 3.28304e-09, 3.96708e-09, 1.05164e-08, 3.32104e-09, 1.10003e-08, 1.91327e-08, 5.23958e-09, 3.77976e-09, 1.3849e-08, 3.22169e-09, 3.12855e-09, 1.62367e-07, 5.32072e-06, 3.11863e-09, 1.71861e-06, 3.11859e-09, 3.11859e-09, 4.12006e-09
0.437082, 0, 9.57855e-06, 5.71802e-09, 1.41421, -9.57855e-06, 6.20664e-09, 5.71802e-09, 6.01349e-09, 7.24248e-09, 1.90096e-08, 6.08175e-09, 1.98789e-08, 3.44903e-08, 9.52876e-09, 6.90592e-09, 2.49972e-08, 5.90325e-09, 5.73591e-09, 2.26759e-07, 7.15559e-06, 5.71808e-09, 2.12246e-06, 5.71802e-09, 5.71802e-09, 7.51734e-09
0.44497, 0, 1.26447e-05, 1.0268e-08, 1.41421, -1.26447e-05, 1.11315e-08, 1.0268e-08, 1.07902e-08, 1.29619e-08, 3.37559e-08, 1.09108e-08, 3.5292e-08, 6.11121e-08, 1.70021e-08, 1.23672e-08, 4.43366e-08, 1.05954e-08, 1.02996e-08, 3.15964e-07, 9.58358e-06, 1.02681e-08, 2.61514e-06, 1.0268e-08, 1.0268e-08, 1.34476e-08
0.452859, 0, 1.66706e-05, 1.81377e-08, 1.41421, -1.66706e-05, 1.96419e-08, 1.81377e-08, 1.90473e-08, 2.28308e-08, 5.90563e-08, 1.92575e-08, 6.17325e-08, 1.06714e-07, 2.98692e-08, 2.17947e-08, 7.74892e-08, 1.8708e-08, 1.81928e-08, 4.39348e-07, 1.27895e-05, 1.81379e-08, 3.21587e-06, 1.81377e-08, 1.81377e-08, 2.3677e-08
0.460747, 0, 2.19526e-05, 3.15876e-08, 1.41421, -2.19526e-05, 3.41743e-08, 3.15876e-08, 3.31518e-08, 3.9658e-08, 1.01952e-07, 3.35132e-08, 1.06554e-07, 1.83905e-07, 5.17613e-08, 3.78762e-08, 1.33649e-07, 3.25682e-08, 3.16823e-08, 6.10014e-07, 1.70062e-05, 3.15879e-08, 3.94863e-06, 3.15876e-08, 3.15876e-08, 4.1113e-08
0.468635, 0, 2.88773e-05, 5.43019e-08, 1.41421, -2.88773e-05, 5.86955e-08, 5.43019e-08, 5.69587e-08, 6.80099e-08, 1.7382e-07, 5.75726e-08, 1.81636e-07, 3.13022e-07, 8.8568e-08, 6.49835e-08, 2.2766e-07, 5.59675e-08, 5.44627e-08, 8.45475e-07, 2.25307e-05, 5.43024e-08, 4.84381e-06, 5.43019e-08, 5.43019e-08, 7.04814e-08
0.476523, 0, 3.79524e-05, 9.2208e-08, 1.41421, -3.79524e-05, 9.95824e-08, 9.2208e-08, 9.66673e-08, 1.15216e-07, 2.92809e-07, 9.76976e-08, 3.05929e-07, 5.26448e-07, 1.49721e-07, 1.10136e-07, 3.83175e-07, 9.50036e-08, 9.24779e-08, 1.17016e-06, 2.97407e-05, 9.22089e-08, 5.94044e-06, 9.2208e-08, 9.2208e-08, 1.19364e-07
0.484411, 0, 4.9846e-05, 1.54717e-07, 1.41421, -4.9846e-05, 1.6695e-07, 1.54717e-07, 1.62114e-07, 1.92884e-07, 4.87489e-07, 1.63823e-07, 5.09253e-07, 8.75067e-07, 2.50124e-07, 1.84457e-07, 6.37395e-07, 1.59354e-07, 1.55165e-07, 1.61783e-06, 3.91151e-05, 1.54718e-07, 7.28999e-06, 1.54717e-07, 1.54717e-07, 1.99765e-07
0.492299, 0, 6.54398e-05, 2.56581e-07, 1.41421, -6.54398e-05, 2.76641e-07, 2.56581e-07, 2.68711e-07, 3.19167e-07, 8.02262e-07, 2.71514e-07, 8.3795e-07, 1.43782e-06, 4.13029e-07, 3.0535e-07, 1.04808e-06, 2.64185e-07, 2.57315e-07, 2.235e-06, 5.12599e-05, 2.56583e-07, 8.96113e-06, 2.56581e-07, 2.56581e-07, 3.30451e-07
0.500187, 0, 8.5901e-05, 4.20613e-07, 1.41421, -8.5901e-05, 4.53132e-07, 4.20613e-07, 4.40277e-07, 5.2207e-07, 1.30521e-06, 4.4482e-07, 1.36306e-06, 2.33549e-06, 6.74228e-07, 4.99671e-07, 1.70369e-06, 4.32941e-07, 4.21803e-07, 3.08589e-06, 6.69401e-05, 4.20617e-07, 1.10474e-05, 4.20613e-07, 4.20613e-07, 5.40363e-07
