   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_230.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.414161, 0, 5.023e-08, 9.14985e-32, 1.41421, -5.023e-08, 9.14985e-32, 0, 9.14985e-32, 9.14985e-32, 9.14985e-32, 9.14985e-32, 9.14985e-32, 9.14985e-32, 1.50518e-10, 9.14985e-32, 8.31564e-13, 1.76403e-11, 9.14985e-32, 5.0061e-08, 9.14985e-32, 9.14985e-32
0.422273, 0, 7.71321e-08, 5.91894e-31, 1.41421, -7.71321e-08, 5.91894e-31, 0, 5.91894e-31, 5.91894e-31, 5.91894e-31, 5.91894e-31, 5.91894e-31, 5.91894e-31, 2.31718e-10, 5.91894e-31, 1.40656e-12, 2.95629e-11, 5.91894e-31, 7.68694e-08, 5.91894e-31, 5.91894e-31
0.430385, 0, 1.17483e-07, 3.56823e-30, 1.41421, -1.17483e-07, 3.56823e-30, 0, 3.56823e-30, 3.56823e-30, 3.56823e-30, 3.56823e-30, 3.56823e-30, 3.56823e-30, 3.54015e-10, 3.56823e-30, 2.3784e-12, 4.95299e-11, 3.56823e-30, 1.17077e-07, 3.56823e-30, 3.56823e-30
0.438497, 0, 1.77503e-07, 2.00748e-29, 1.41421, -1.77503e-07, 2.00748e-29, 0, 2.00748e-29, 2.00748e-29, 2.00748e-29, 2.00748e-29, 2.00748e-29, 2.00748e-29, 5.3682e-10, 2.00748e-29, 4.02023e-12, 8.29841e-11, 2.00748e-29, 1.76879e-07, 2.00748e-29, 2.00748e-29
0.446609, 0, 2.66044e-07, 1.05716e-28, 1.41421, -2.66044e-07, 1.05716e-28, 0, 1.05716e-28, 1.05716e-28, 1.05716e-28, 1.05716e-28, 1.05716e-28, 1.05716e-28, 8.08063e-10, 1.05716e-28, 6.79145e-12, 1.39055e-10, 1.05716e-28, 2.6509e-07, 1.05716e-28, 1.05716e-28
0.454722, 0, 3.95588e-07, 5.229e-28, 1.41421, -3.95588e-07, 5.229e-28, 0, 5.229e-28, 5.229e-28, 5.229e-28, 5.229e-28, 5.229e-28, 5.229e-28, 1.20763e-09, 5.229e-28, 1.14621e-11, 2.33032e-10, 5.229e-28, 3.94136e-07, 5.229e-28, 5.229e-28
0.462834, 0, 5.83591e-07, 2.43766e-27, 1.41421, -5.83591e-07, 2.43766e-27, 0, 2.43766e-27, 2.43766e-27, 2.43766e-27, 2.43766e-27, 2.43766e-27, 2.43766e-27, 1.79214e-09, 2.43766e-27, 1.93175e-11, 3.90469e-10, 2.43766e-27, 5.81389e-07, 2.43766e-27, 2.43766e-27
0.470946, 0, 8.54234e-07, 1.07452e-26, 1.41421, -8.54234e-07, 1.07452e-26, 0, 1.07452e-26, 1.07452e-26, 1.07452e-26, 1.07452e-26, 1.07452e-26, 1.07452e-26, 2.64136e-09, 1.07452e-26, 3.2492e-11, 6.539e-10, 1.07452e-26, 8.50906e-07, 1.07452e-26, 1.07452e-26
0.479058, 0, 1.24074e-06, 4.49257e-26, 1.41421, -1.24074e-06, 4.49257e-26, 0, 4.49257e-26, 4.49257e-26, 4.49257e-26, 4.49257e-26, 4.49257e-26, 4.49257e-26, 3.867e-09, 4.49257e-26, 5.4509e-11, 1.0938e-09, 4.49257e-26, 1.23573e-06, 4.49257e-26, 4.49257e-26
0.487171, 0, 1.78837e-06, 1.78697e-25, 1.41421, -1.78837e-06, 1.78697e-25, 0, 1.78697e-25, 1.78697e-25, 1.78697e-25, 8.71149e-13, 1.78697e-25, 1.78697e-25, 5.62456e-09, 1.78697e-25, 9.11475e-11, 1.82625e-09, 1.78697e-25, 1.78083e-06, 1.78697e-25, 1.78697e-25
0.495283, 0, 2.55824e-06, 6.78084e-25, 1.41421, -2.55824e-06, 6.78084e-25, 0, 6.78084e-25, 6.78084e-25, 6.78084e-25, 3.10389e-12, 6.78084e-25, 6.78084e-25, 8.12914e-09, 6.78084e-25, 1.51817e-10, 3.04109e-09, 6.78084e-25, 2.54692e-06, 6.78084e-25, 6.78084e-25
0.503395, 0, 3.63221e-06, 2.47285e-24, 1.41421, -3.63221e-06, 2.47285e-24, 0, 2.47285e-24, 2.47285e-24, 2.47285e-24, 8.65661e-12, 2.47285e-24, 2.47285e-24, 1.16765e-08, 2.47285e-24, 2.51723e-10, 5.04624e-09, 2.47285e-24, 3.61523e-06, 2.47285e-24, 2.47285e-24
0.511507, 0, 5.13406e-06, 1.35544e-08, 1.41421, -5.13406e-06, 1.37742e-08, 1.35544e-08, 1.35545e-08, 1.35546e-08, 1.35549e-08, 1.3615e-08, 1.35756e-08, 1.36444e-08, 3.02255e-08, 1.35581e-08, 1.39696e-08, 2.18911e-08, 1.35544e-08, 5.10773e-06, 1.35544e-08, 1.40634e-08
0.519619, 0, 7.2151e-06, 4.79272e-08, 1.41421, -7.2151e-06, 4.87076e-08, 4.79272e-08, 4.79275e-08, 4.79279e-08, 4.79291e-08, 4.81179e-08, 4.80026e-08, 4.8247e-08, 7.15896e-08, 4.79403e-08, 4.86083e-08, 6.16278e-08, 4.79272e-08, 7.17386e-06, 4.79272e-08, 4.97344e-08
0.527732, 0, 1.00972e-05, 1.33018e-07, 1.41421, -1.00972e-05, 1.35189e-07, 1.33018e-07, 1.33019e-07, 1.3302e-07, 1.33024e-07, 1.33526e-07, 1.33228e-07, 1.33908e-07, 1.66411e-07, 1.33055e-07, 1.34129e-07, 1.55397e-07, 1.33019e-07, 1.00315e-05, 1.33018e-07, 1.38045e-07
