   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_27.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.558156, 0, 0.000147567, 2.77201e-05, 1.41421, -0.000147567, 2.77201e-05, 2.77222e-05, 2.77265e-05, 2.77242e-05, 2.77791e-05, 2.77312e-05, 3.24584e-05, 2.81614e-05, 0.00012233, 2.80374e-05, 2.77216e-05, 2.78642e-05, 2.8164e-05, 2.77202e-05, 4.59925e-05, 2.77201e-05, 2.85152e-05
0.565804, 0, 0.000223736, 4.29433e-05, 1.41421, -0.000223736, 4.29433e-05, 4.29466e-05, 4.29533e-05, 4.29497e-05, 4.30348e-05, 4.29605e-05, 5.08347e-05, 4.36272e-05, 0.000189539, 4.33281e-05, 4.29457e-05, 4.31356e-05, 4.35171e-05, 4.29435e-05, 6.6052e-05, 4.29433e-05, 4.41753e-05
0.573451, 0, 0.000336907, 6.56614e-05, 1.41421, -0.000336907, 6.56614e-05, 6.56664e-05, 6.56767e-05, 6.56711e-05, 6.58013e-05, 6.56877e-05, 7.86384e-05, 6.67073e-05, 0.000289855, 6.61269e-05, 6.56651e-05, 6.59171e-05, 6.64008e-05, 6.56617e-05, 9.51451e-05, 6.56614e-05, 6.75456e-05
0.581099, 0, 0.000503162, 9.9102e-05, 1.41421, -0.000503162, 9.9102e-05, 9.91095e-05, 9.9125e-05, 9.91166e-05, 9.93132e-05, 9.91417e-05, 0.000120173, 0.000100681, 0.000437549, 9.96641e-05, 9.91075e-05, 9.94408e-05, 0.000100052, 9.91023e-05, 0.000137068, 9.9102e-05, 0.000101946
0.588747, 0, 0.000744545, 0.000147657, 1.41421, -0.000744545, 0.000147657, 0.000147668, 0.000147691, 0.000147679, 0.000147972, 0.000147716, 0.000181437, 0.00015001, 0.00065204, 0.000148334, 0.000147665, 0.000148105, 0.000148876, 0.000147657, 0.000196995, 0.000147657, 0.000151896
0.596394, 0, 0.0010908, 0.000217205, 1.41421, -0.0010908, 0.000217205, 0.000217222, 0.000217256, 0.000217237, 0.000217668, 0.000217292, 0.000270677, 0.000220667, 0.000959341, 0.00021802, 0.000217217, 0.000217795, 0.000218766, 0.000217206, 0.000281867, 0.000217205, 0.000223443
0.604042, 0, 0.00158144, 0.000315485, 1.41421, -0.00158144, 0.000315485, 0.000315509, 0.000315558, 0.000315531, 0.000316157, 0.000315611, 0.000399055, 0.000320515, 0.0013937, 0.000316463, 0.000315502, 0.000316259, 0.000317478, 0.000315486, 0.000400862, 0.000315485, 0.000324547
0.611689, 0, 0.00226811, 0.000452502, 1.41421, -0.00226811, 0.000452502, 0.000452537, 0.000452608, 0.000452569, 0.000453468, 0.000452684, 0.000581461, 0.000459719, 0.00199941, 0.000453676, 0.000452528, 0.000453517, 0.000455046, 0.000452504, 0.00056591, 0.000452502, 0.000465505
0.619337, 0.00768266, 0.00321724, 0.000640984, 1.41693, 0.00446542, 0.000640984, 0.000641033, 0.000641133, 0.000641078, 0.000642351, 0.000641241, 0.000837466, 0.000651209, 0.00283287, 0.000642389, 0.000641019, 0.00064231, 0.000644223, 0.000640986, 0.000792288, 0.000640984, 0.00065941
0.626985, 0.992317, 0.00451288, 0.000896821, 1.72983, 0.987804, 0.000896821, 0.00089689, 0.00089703, 0.000896953, 0.000898735, 0.000897181, 0.0011924, 0.000911133, 0.00396452, 0.000898502, 0.000896871, 0.00089855, 0.000900939, 0.000896825, 0.00109924, 0.000896821, 0.000922612
