   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_102.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.331841, 0, 2.81018e-09, 1.10673e-35, 1.41421, -2.81018e-09, 0, 1.10673e-35, 1.10673e-35, 1.10673e-35, 1.10673e-35, 1.10673e-35, 1.10673e-35, 1.10673e-35, 1.10673e-35, 1.10673e-35, 1.10673e-35, 1.10673e-35, 2.29542e-11, 1.10673e-35, 3.3328e-13, 2.66379e-12, 1.10673e-35, 2.78422e-09, 1.10673e-35, 1.10673e-35, 1.10673e-35
0.339727, 0, 3.97366e-09, 7.93458e-35, 1.41421, -3.97366e-09, 0, 7.93458e-35, 7.93458e-35, 7.93458e-35, 7.93458e-35, 7.93458e-35, 7.93458e-35, 7.93458e-35, 7.93458e-35, 7.93458e-35, 7.93458e-35, 7.93458e-35, 3.25065e-11, 7.93458e-35, 5.07835e-13, 4.05358e-12, 7.93458e-35, 3.9366e-09, 7.93458e-35, 7.93458e-35, 7.93458e-35
0.347614, 0, 5.58902e-09, 5.39866e-34, 1.41421, -5.58902e-09, 0, 5.39866e-34, 5.39866e-34, 5.39866e-34, 5.39866e-34, 5.39866e-34, 5.39866e-34, 5.39866e-34, 5.39866e-34, 5.39866e-34, 5.39866e-34, 5.39866e-34, 4.58004e-11, 5.39866e-34, 7.73728e-13, 6.1564e-12, 5.39866e-34, 5.53629e-09, 5.39866e-34, 5.39866e-34, 5.39866e-34
0.3555, 0, 7.81948e-09, 3.61806e-33, 1.41421, -7.81948e-09, 0, 3.61806e-33, 3.61806e-33, 3.61806e-33, 3.61806e-33, 3.61806e-33, 3.61806e-33, 3.61806e-33, 3.61806e-33, 3.61806e-33, 3.61806e-33, 3.61806e-33, 6.42071e-11, 3.61806e-33, 1.17882e-12, 9.3326e-12, 3.61806e-33, 7.74476e-09, 3.61806e-33, 3.61806e-33, 3.61806e-33
0.363386, 0, 1.08826e-08, 2.28656e-32, 1.41421, -1.08826e-08, 0, 2.28656e-32, 2.28656e-32, 2.28656e-32, 2.28656e-32, 2.28656e-32, 2.28656e-32, 2.28656e-32, 2.28656e-32, 2.28656e-32, 2.28656e-32, 2.28656e-32, 8.95655e-11, 2.28656e-32, 1.79605e-12, 1.41218e-11, 2.28656e-32, 1.07771e-08, 2.28656e-32, 2.28656e-32, 2.28656e-32
0.371272, 0, 1.50666e-08, 1.34989e-31, 1.41421, -1.50666e-08, 0, 1.34989e-31, 1.34989e-31, 1.34989e-31, 1.34989e-31, 1.34989e-31, 1.34989e-31, 1.34989e-31, 1.34989e-31, 1.34989e-31, 1.34989e-31, 1.34989e-31, 1.24329e-10, 1.34989e-31, 2.73641e-12, 2.13303e-11, 1.34989e-31, 1.49182e-08, 1.34989e-31, 1.34989e-31, 1.34989e-31
0.379158, 0, 2.07512e-08, 7.44608e-31, 1.41421, -2.07512e-08, 0, 7.44608e-31, 7.44608e-31, 7.44608e-31, 7.44608e-31, 7.44608e-31, 7.44608e-31, 7.44608e-31, 7.44608e-31, 7.44608e-31, 7.44608e-31, 7.44608e-31, 1.71754e-10, 7.44608e-31, 4.16855e-12, 3.21598e-11, 7.44608e-31, 2.05431e-08, 7.44608e-31, 7.44608e-31, 7.44608e-31
0.387044, 0, 2.84334e-08, 3.84737e-30, 1.41421, -2.84334e-08, 0, 3.84737e-30, 3.84737e-30, 3.84737e-30, 3.84737e-30, 3.84737e-30, 3.84737e-30, 3.84737e-30, 3.84737e-30, 3.84737e-30, 3.84737e-30, 3.84737e-30, 2.36145e-10, 3.84737e-30, 6.34824e-12, 4.83961e-11, 3.84737e-30, 2.81425e-08, 3.84737e-30, 3.84737e-30, 3.84737e-30
0.394931, 0, 3.87606e-08, 1.86802e-29, 1.41421, -3.87606e-08, 0, 1.86802e-29, 1.86802e-29, 1.86802e-29, 1.86802e-29, 1.86802e-29, 1.86802e-29, 1.86802e-29, 1.86802e-29, 1.86802e-29, 1.86802e-29, 1.86802e-29, 3.23162e-10, 1.86802e-29, 9.66224e-12, 7.26845e-11, 1.86802e-29, 3.83551e-08, 1.86802e-29, 1.86802e-29, 1.86802e-29
0.402817, 0, 5.25712e-08, 8.55042e-29, 1.41421, -5.25712e-08, 0, 8.55042e-29, 8.55042e-29, 8.55042e-29, 8.55042e-29, 8.55042e-29, 8.55042e-29, 8.55042e-29, 8.55042e-29, 8.55042e-29, 8.55042e-29, 8.55042e-29, 4.40218e-10, 8.55042e-29, 1.46937e-11, 1.08929e-10, 8.55042e-29, 5.20074e-08, 8.55042e-29, 8.55042e-29, 8.55042e-29
0.410703, 0, 7.09447e-08, 3.70085e-28, 1.41421, -7.09447e-08, 0, 3.70085e-28, 3.70085e-28, 3.70085e-28, 3.70085e-28, 3.70085e-28, 3.70085e-28, 3.70085e-28, 3.70085e-28, 3.70085e-28, 3.70085e-28, 3.70085e-28, 5.96974e-10, 3.70085e-28, 2.23188e-11, 1.62866e-10, 3.70085e-28, 7.01625e-08, 3.70085e-28, 3.70085e-28, 3.70085e-28
0.418589, 0, 9.52632e-08, 1.51913e-27, 1.41421, -9.52632e-08, 0, 1.51913e-27, 1.51913e-27, 1.51913e-27, 1.51913e-27, 1.51913e-27, 1.51913e-27, 1.51913e-27, 1.51913e-27, 1.51913e-27, 1.51913e-27, 1.51913e-27, 8.05973e-10, 1.51913e-27, 3.38482e-11, 2.42891e-10, 1.51913e-27, 9.41805e-08, 1.51913e-27, 1.51913e-27, 1.51913e-27
0.426475, 0, 1.27287e-07, 5.93019e-27, 1.41421, -1.27287e-07, 0, 5.93019e-27, 5.93019e-27, 5.93019e-27, 5.93019e-27, 5.93019e-27, 5.93019e-27, 5.93019e-27, 5.93019e-27, 5.93019e-27, 5.93019e-27, 5.93019e-27, 1.08342e-09, 5.93019e-27, 5.12342e-11, 3.61223e-10, 5.93019e-27, 1.25791e-07, 5.93019e-27, 5.93019e-27, 5.93019e-27
0.434361, 0, 1.69246e-07, 2.20729e-26, 1.41421, -1.69246e-07, 0, 2.20729e-26, 2.20729e-26, 2.20729e-26, 2.20729e-26, 2.20729e-26, 2.20729e-26, 2.20729e-26, 1.08616e-13, 2.20729e-26, 2.20729e-26, 2.20729e-26, 1.45018e-09, 2.20729e-26, 7.73712e-11, 5.35555e-10, 2.20729e-26, 1.67183e-07, 2.20729e-26, 2.20729e-26, 2.20729e-26
0.442248, 0, 2.2395e-07, 7.85261e-26, 1.41421, -2.2395e-07, 0, 7.85261e-26, 7.85261e-26, 7.85261e-26, 7.85261e-26, 7.85261e-26, 7.85261e-26, 7.85261e-26, 3.37552e-13, 7.85261e-26, 7.85261e-26, 7.85261e-26, 1.93299e-09, 7.85261e-26, 1.16526e-10, 7.91352e-10, 7.85261e-26, 2.21109e-07, 7.85261e-26, 7.85261e-26, 7.85261e-26
0.450134, 0, 2.94919e-07, 2.69929e-25, 1.41421, -2.94919e-07, 0, 2.69929e-25, 2.69929e-25, 2.69929e-25, 2.69929e-25, 2.69929e-25, 2.69929e-25, 2.69929e-25, 8.09841e-13, 2.69929e-25, 2.69929e-25, 2.69929e-25, 2.56597e-09, 2.69929e-25, 1.74958e-10, 1.16505e-09, 2.69929e-25, 2.91012e-07, 2.69929e-25, 2.69929e-25, 2.69929e-25
0.45802, 0, 3.89763e-07, 8.25445e-10, 1.41421, -3.89763e-07, 8.25445e-10, 8.25473e-10, 8.25571e-10, 8.25529e-10, 8.2566e-10, 8.30572e-10, 8.25583e-10, 8.2548e-10, 8.32107e-10, 8.36248e-10, 8.27735e-10, 3.11781e-09, 4.21802e-09, 8.25505e-10, 1.08724e-09, 2.53385e-09, 8.25448e-10, 3.82058e-07, 8.25445e-10, 8.25445e-10, 8.50329e-10
0.465906, 0, 5.14245e-07, 2.55469e-09, 1.41421, -5.14245e-07, 2.55469e-09, 2.55478e-09, 2.55508e-09, 2.55495e-09, 2.55536e-09, 2.57057e-09, 2.55512e-09, 2.5548e-09, 2.57352e-09, 2.58814e-09, 2.56178e-09, 9.65219e-09, 7.02239e-09, 2.55488e-09, 2.94499e-09, 5.0492e-09, 2.5547e-09, 4.9964e-07, 2.55469e-09, 2.55469e-09, 2.63174e-09
0.473792, 0, 6.78793e-07, 6.10648e-09, 1.41421, -6.78793e-07, 6.10648e-09, 6.10669e-09, 6.10741e-09, 6.1071e-09, 6.10807e-09, 6.14445e-09, 6.1075e-09, 6.10673e-09, 6.15012e-09, 6.18649e-09, 6.12344e-09, 2.30834e-08, 1.19671e-08, 6.10692e-09, 6.68599e-09, 9.73217e-09, 6.1065e-09, 6.51383e-07, 6.10648e-09, 6.10648e-09, 6.29077e-09
