   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_155.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.382185, 0, 1.13846e-08, 1.86215e-31, 1.41421, -1.13846e-08, 1.86215e-31, 0, 1.86215e-31, 1.86215e-31, 1.86215e-31, 1.86215e-31, 1.86215e-31, 1.86215e-31, 1.86215e-31, 1.86215e-31, 1.86215e-31, 1.86215e-31, 1.07914e-10, 1.86215e-31, 8.28724e-13, 2.36679e-11, 1.86215e-31, 1.12522e-08, 1.86215e-31, 1.86215e-31, 1.86215e-31
0.389918, 0, 1.57484e-08, 9.5892e-31, 1.41421, -1.57484e-08, 9.5892e-31, 0, 9.5892e-31, 9.5892e-31, 9.5892e-31, 9.5892e-31, 9.5892e-31, 9.5892e-31, 9.5892e-31, 9.5892e-31, 9.5892e-31, 9.5892e-31, 1.49771e-10, 9.5892e-31, 1.26458e-12, 3.58979e-11, 9.5892e-31, 1.55614e-08, 9.5892e-31, 9.5892e-31, 9.5892e-31
0.397652, 0, 2.16718e-08, 4.64476e-30, 1.41421, -2.16718e-08, 4.64476e-30, 0, 4.64476e-30, 4.64476e-30, 4.64476e-30, 4.64476e-30, 4.64476e-30, 4.64476e-30, 4.64476e-30, 4.64476e-30, 4.64476e-30, 4.64476e-30, 2.06877e-10, 4.64476e-30, 1.92939e-12, 5.43686e-11, 4.64476e-30, 2.14086e-08, 4.64476e-30, 4.64476e-30, 4.64476e-30
0.405385, 0, 2.96695e-08, 2.12275e-29, 1.41421, -2.96695e-08, 2.12275e-29, 0, 2.12275e-29, 2.12275e-29, 2.12275e-29, 2.12275e-29, 2.12275e-29, 2.12275e-29, 2.12275e-29, 2.12275e-29, 2.12275e-29, 2.12275e-29, 2.84422e-10, 2.12275e-29, 2.94271e-12, 8.22168e-11, 2.12275e-29, 2.92999e-08, 2.12275e-29, 2.12275e-29, 2.12275e-29
0.413118, 0, 4.04112e-08, 9.18114e-29, 1.41421, -4.04112e-08, 9.18114e-29, 0, 9.18114e-29, 9.18114e-29, 9.18114e-29, 9.18114e-29, 9.18114e-29, 9.18114e-29, 9.18114e-29, 9.18114e-29, 9.18114e-29, 9.18114e-29, 3.89243e-10, 9.18114e-29, 4.48549e-12, 1.24122e-10, 9.18114e-29, 3.98933e-08, 9.18114e-29, 9.18114e-29, 9.18114e-29
0.420852, 0, 5.47629e-08, 3.76862e-28, 1.41421, -5.47629e-08, 3.76862e-28, 0, 3.76862e-28, 3.76862e-28, 3.76862e-28, 3.76862e-28, 3.76862e-28, 3.76862e-28, 3.76862e-28, 3.76862e-28, 3.76862e-28, 3.76862e-28, 5.30296e-10, 3.76862e-28, 6.83087e-12, 1.87041e-10, 3.76862e-28, 5.40387e-08, 3.76862e-28, 3.76862e-28, 3.76862e-28
0.428585, 0, 7.38387e-08, 1.47209e-27, 1.41421, -7.38387e-08, 1.47209e-27, 0, 1.47209e-27, 1.47209e-27, 1.47209e-27, 1.47209e-27, 1.47209e-27, 1.47209e-27, 1.47209e-27, 1.47209e-27, 1.47209e-27, 1.47209e-27, 7.19271e-10, 1.47209e-27, 1.03895e-11, 2.81272e-10, 1.47209e-27, 7.28277e-08, 1.47209e-27, 1.47209e-27, 1.47209e-27
0.436319, 0, 9.90639e-08, 5.48592e-27, 1.41421, -9.90639e-08, 5.48592e-27, 0, 5.48592e-27, 5.48592e-27, 5.48592e-27, 5.48592e-27, 5.48592e-27, 5.48592e-27, 5.48592e-27, 5.48592e-27, 5.48592e-27, 5.48592e-27, 9.71362e-10, 5.48592e-27, 1.57763e-11, 4.21993e-10, 5.48592e-27, 9.76548e-08, 5.48592e-27, 5.48592e-27, 5.48592e-27
0.444052, 0, 1.32252e-07, 1.95525e-26, 1.41421, -1.32252e-07, 1.95525e-26, 0, 1.95525e-26, 1.95525e-26, 1.95525e-26, 1.95525e-26, 1.95525e-26, 1.95525e-26, 1.95525e-26, 1.95133e-13, 1.95525e-26, 1.95525e-26, 1.30623e-09, 1.95525e-26, 2.39078e-11, 6.31464e-10, 1.95525e-26, 1.3029e-07, 1.95525e-26, 1.95525e-26, 1.95525e-26
0.451785, 0, 1.75698e-07, 6.67989e-26, 1.41421, -1.75698e-07, 6.67989e-26, 0, 6.67989e-26, 6.67989e-26, 6.67989e-26, 6.67989e-26, 6.67989e-26, 6.67989e-26, 6.67989e-26, 6.13568e-13, 6.67989e-26, 6.67989e-26, 1.74921e-09, 6.67989e-26, 3.61438e-11, 9.42147e-10, 6.67989e-26, 1.7297e-07, 6.67989e-26, 6.67989e-26, 6.67989e-26
