   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_146.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.461335, 0, 6.21899e-07, 5.52912e-10, 1.41421, -6.21899e-07, 5.74209e-10, 5.52912e-10, 5.5296e-10, 5.5307e-10, 5.76381e-10, 5.58021e-10, 5.53004e-10, 5.70039e-10, 5.66806e-10, 5.59946e-10, 3.477e-09, 4.20669e-09, 5.52926e-10, 7.2769e-10, 5.53003e-10, 2.06871e-07, 5.52919e-10, 4.08706e-07, 5.52912e-10, 5.86784e-10
0.4692, 0, 8.50607e-07, 1.73796e-09, 1.41421, -8.50607e-07, 1.7899e-09, 1.73796e-09, 1.73807e-09, 1.73834e-09, 1.7952e-09, 1.75042e-09, 1.73818e-09, 1.77914e-09, 1.77184e-09, 1.75511e-09, 8.87026e-09, 6.56115e-09, 1.73799e-09, 2.00028e-09, 1.73829e-09, 3.05172e-07, 1.73797e-09, 5.34658e-07, 1.73796e-09, 1.82057e-09
0.477065, 0, 1.16428e-06, 4.2304e-09, 1.41421, -1.16428e-06, 4.34568e-09, 4.2304e-09, 4.23066e-09, 4.23126e-09, 4.35743e-09, 4.25805e-09, 4.2309e-09, 4.32114e-09, 4.3056e-09, 4.26847e-09, 2.00584e-08, 1.05717e-08, 4.23047e-09, 4.62246e-09, 4.2313e-09, 4.48472e-07, 4.23043e-09, 6.9682e-07, 4.2304e-09, 4.41375e-09
0.484929, 0, 1.59634e-06, 9.3732e-09, 1.41421, -1.59634e-06, 9.61692e-09, 9.3732e-09, 9.37375e-09, 9.37501e-09, 9.64177e-09, 9.43167e-09, 9.37426e-09, 9.56417e-09, 9.5322e-09, 9.4537e-09, 4.28359e-08, 1.76776e-08, 9.37336e-09, 9.9565e-09, 9.37532e-09, 6.5664e-07, 9.37328e-09, 9.05333e-07, 9.3732e-09, 9.76082e-09
0.492794, 0, 2.19518e-06, 1.97883e-08, 1.41421, -2.19518e-06, 2.02878e-08, 1.97883e-08, 1.97895e-08, 1.9792e-08, 2.03387e-08, 1.99082e-08, 1.97905e-08, 2.01782e-08, 2.01142e-08, 1.99533e-08, 8.83664e-08, 3.06208e-08, 1.97887e-08, 2.0652e-08, 1.9793e-08, 9.58125e-07, 1.97885e-08, 1.17372e-06, 1.97883e-08, 2.05827e-08
0.500659, 0, 3.03299e-06, 4.05059e-08, 1.41421, -3.03299e-06, 4.15055e-08, 4.05059e-08, 4.05081e-08, 4.05133e-08, 4.16074e-08, 4.07457e-08, 4.05102e-08, 4.13706e-08, 4.1158e-08, 4.0836e-08, 1.77755e-07, 5.45814e-08, 4.05065e-08, 4.17782e-08, 4.05157e-08, 1.39465e-06, 4.05062e-08, 1.52045e-06, 4.05059e-08, 4.20957e-08
0.508523, 0, 4.21466e-06, 8.09843e-08, 1.41421, -4.21466e-06, 8.29447e-08, 8.09843e-08, 8.09887e-08, 8.09988e-08, 8.31446e-08, 8.14546e-08, 8.09928e-08, 8.27795e-08, 8.22632e-08, 8.16318e-08, 3.50145e-07, 9.92037e-08, 8.09855e-08, 8.28489e-08, 8.10044e-08, 2.0232e-06, 8.09849e-08, 1.97173e-06, 8.09843e-08, 8.41022e-08
0.516388, 0, 5.90327e-06, 1.58669e-07, 1.41421, -5.90327e-06, 1.62442e-07, 1.58669e-07, 1.58677e-07, 1.58697e-07, 1.62827e-07, 1.59574e-07, 1.58685e-07, 1.63361e-07, 1.6113e-07, 1.59915e-07, 6.76734e-07, 1.82162e-07, 1.58671e-07, 1.61386e-07, 1.58709e-07, 2.92843e-06, 1.5867e-07, 2.56589e-06, 1.58669e-07, 1.6467e-07
0.524253, 0, 8.3473e-06, 3.05128e-07, 1.41421, -8.3473e-06, 3.12262e-07, 3.05128e-07, 3.05144e-07, 3.05181e-07, 3.12989e-07, 3.06839e-07, 3.05159e-07, 3.15594e-07, 3.09782e-07, 3.07484e-07, 1.28459e-06, 3.35307e-07, 3.05132e-07, 3.09069e-07, 3.05206e-07, 4.23204e-06, 3.0513e-07, 3.3611e-06, 3.05128e-07, 3.16474e-07
0.532117, 0, 1.19335e-05, 5.76392e-07, 1.41421, -1.19335e-05, 5.89646e-07, 5.76392e-07, 5.76422e-07, 5.7649e-07, 5.90997e-07, 5.79571e-07, 5.76449e-07, 5.98177e-07, 5.85038e-07, 5.80769e-07, 2.39614e-06, 6.15015e-07, 5.764e-07, 5.82074e-07, 5.76542e-07, 6.11094e-06, 5.76396e-07, 4.44764e-06, 5.76392e-07, 5.97471e-07
