   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_370.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.757932, 0.0429516, 0.171879, 0.00447442, 1.42932, -0.128927, 0.00702872, 0.00447442, 0.00447454, 0.00666562, 0.0232288, 0.00527736, 0.0193593, 0.00790562, 0.00873863, 0.00468887, 0.00740247, 0.00447699, 0.0046282, 0.00447829, 0.00455031, 0.118549, 0.00447446, 0.00754288, 0.00447442, 0.00447442
0.765799, 0, 0.215247, 0.0055367, 1.41421, -0.215247, 0.00870776, 0.0055367, 0.00553683, 0.00825698, 0.0288195, 0.00653352, 0.0240157, 0.0097964, 0.0108304, 0.00580293, 0.00917176, 0.00553974, 0.00572754, 0.00554151, 0.00563625, 0.14883, 0.00553674, 0.00955038, 0.0055367, 0.0055367
0.773665, 0.949823, 0.264842, 0.00673083, 1.7175, 0.684981, 0.010598, 0.00673083, 0.006731, 0.0100483, 0.0351246, 0.00794646, 0.0292662, 0.0119256, 0.0131864, 0.0070555, 0.0111638, 0.00673439, 0.00696346, 0.00673673, 0.00685957, 0.183524, 0.00673088, 0.0119408, 0.00673083, 0.00673083
0.781532, 3.05018, 0.320112, 0.00804368, 2.24726, 2.73006, 0.0126789, 0.00804368, 0.00804389, 0.01202, 0.042077, 0.00950077, 0.035055, 0.0142702, 0.0157812, 0.00843284, 0.0133572, 0.00804781, 0.00832235, 0.0080508, 0.00820799, 0.222155, 0.00804374, 0.014766, 0.00804368, 0.00804368
0.789399, 0.944998, 0.380066, 0.00945576, 1.7161, 0.564933, 0.0149198, 0.00945576, 0.009456, 0.014143, 0.0495739, 0.0111734, 0.0412965, 0.0167956, 0.0185763, 0.0099145, 0.0157193, 0.00946049, 0.00978396, 0.00946425, 0.00966312, 0.263872, 0.00945584, 0.0180903, 0.00945576, 0.00945576
0.797266, 0.0550018, 0.443285, 0.0109422, 1.43353, -0.388283, 0.0172806, 0.0109422, 0.0109425, 0.0163795, 0.0574805, 0.0129346, 0.0478784, 0.0194566, 0.0215216, 0.0114743, 0.018208, 0.0109475, 0.0113224, 0.0109522, 0.0112016, 0.307441, 0.0109423, 0.0219961, 0.0109422, 0.0109422
0.805133, 0, 0.507986, 0.0124741, 1.41421, -0.507986, 0.0197149, 0.0124741, 0.0124745, 0.0186856, 0.0656376, 0.0147503, 0.0546686, 0.0222007, 0.0245587, 0.013082, 0.0207743, 0.0124801, 0.0129078, 0.0124858, 0.0127969, 0.351292, 0.0124742, 0.026589, 0.0124741, 0.0124741
0.812999, 0, 0.572127, 0.0140209, 1.41421, -0.572127, 0.0221724, 0.0140209, 0.0140213, 0.0210137, 0.0738716, 0.0165833, 0.0615228, 0.0249709, 0.0276243, 0.0147053, 0.0233652, 0.0140275, 0.0145079, 0.0140344, 0.0144222, 0.393597, 0.014021, 0.032001, 0.0140209, 0.0140209
0.820866, 0.935356, 0.633562, 0.0155521, 1.71329, 0.301795, 0.0246029, 0.0155521, 0.0155525, 0.0233163, 0.0820058, 0.0183972, 0.0682946, 0.0277101, 0.0306545, 0.0163119, 0.0259272, 0.0155593, 0.0160911, 0.0155677, 0.0160532, 0.432407, 0.0155522, 0.0383916, 0.0155521, 0.0155521
0.828733, 1.06464, 0.690216, 0.0170393, 1.75061, 0.374428, 0.026959, 0.0170393, 0.0170398, 0.0255488, 0.0898719, 0.0201576, 0.0748446, 0.0303644, 0.033589, 0.0178722, 0.0284104, 0.0170471, 0.0176276, 0.0170574, 0.0176721, 0.465801, 0.0170395, 0.0459431, 0.0170393, 0.0170393
