   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_639.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.360406, 0, 4.13155e-10, 2.36856e-37, 1.41421, -4.13155e-10, 2.36856e-37, 0, 2.36856e-37, 2.36856e-37, 2.36856e-37, 2.36856e-37, 2.36856e-37, 2.36856e-37, 2.36856e-37, 2.36856e-37, 2.36856e-37, 2.36856e-37, 2.36856e-37, 2.36856e-37, 1.55243e-14, 2.36856e-37, 1.73456e-10, 2.36856e-37, 2.39684e-10, 2.36856e-37, 2.36856e-37
0.368272, 0, 6.5698e-10, 2.13305e-36, 1.41421, -6.5698e-10, 2.13305e-36, 0, 2.13305e-36, 2.13305e-36, 2.13305e-36, 2.13305e-36, 2.13305e-36, 2.13305e-36, 2.13305e-36, 2.13305e-36, 2.13305e-36, 2.13305e-36, 2.13305e-36, 2.13305e-36, 2.55119e-14, 2.13305e-36, 2.85463e-10, 2.13305e-36, 3.71491e-10, 2.13305e-36, 2.13305e-36
0.376139, 0, 1.03952e-09, 1.75919e-35, 1.41421, -1.03952e-09, 1.75919e-35, 0, 1.75919e-35, 1.75919e-35, 1.75919e-35, 1.75919e-35, 1.75919e-35, 1.75919e-35, 1.75919e-35, 1.75919e-35, 1.75919e-35, 1.75919e-35, 1.75919e-35, 1.75919e-35, 4.18343e-14, 1.75919e-35, 4.68205e-10, 1.75919e-35, 5.71271e-10, 1.75919e-35, 1.75919e-35
0.384006, 0, 1.63739e-09, 1.33437e-34, 1.41421, -1.63739e-09, 1.33437e-34, 0, 1.33437e-34, 1.33437e-34, 1.33437e-34, 1.33437e-34, 1.33437e-34, 1.33437e-34, 1.33437e-34, 1.33437e-34, 1.33437e-34, 1.33437e-34, 1.33437e-34, 1.33437e-34, 6.84877e-14, 1.33437e-34, 7.65665e-10, 1.33437e-34, 8.71655e-10, 1.33437e-34, 1.33437e-34
0.391873, 0, 2.5688e-09, 9.19302e-34, 1.41421, -2.5688e-09, 9.19302e-34, 0, 9.19302e-34, 9.19302e-34, 9.19302e-34, 9.19302e-34, 9.19302e-34, 9.19302e-34, 9.19302e-34, 9.19302e-34, 9.19302e-34, 9.19302e-34, 9.19302e-34, 9.19302e-34, 1.11995e-13, 9.19302e-34, 1.24898e-09, 9.19302e-34, 1.31971e-09, 9.19302e-34, 9.19302e-34
0.39974, 0, 4.01609e-09, 6.27981e-33, 1.41421, -4.01609e-09, 6.27981e-33, 0, 6.27981e-33, 6.27981e-33, 6.27981e-33, 6.27981e-33, 6.27981e-33, 6.27981e-33, 6.27981e-33, 6.27981e-33, 6.27981e-33, 6.27981e-33, 6.27981e-33, 6.27981e-33, 1.83005e-13, 6.27981e-33, 2.03314e-09, 6.27981e-33, 1.98276e-09, 6.27981e-33, 6.27981e-33
0.407607, 0, 6.26057e-09, 3.53939e-32, 1.41421, -6.26057e-09, 3.53939e-32, 0, 3.53939e-32, 3.53939e-32, 3.53939e-32, 3.53939e-32, 3.53939e-32, 3.53939e-32, 3.53939e-32, 3.53939e-32, 3.53939e-32, 3.53939e-32, 3.53939e-32, 3.53939e-32, 2.98915e-13, 3.53939e-32, 3.304e-09, 3.53939e-32, 2.95626e-09, 3.53939e-32, 3.53939e-32
0.415473, 0, 9.73677e-09, 1.87779e-31, 1.41421, -9.73677e-09, 1.87779e-31, 0, 1.87779e-31, 1.87779e-31, 1.87779e-31, 1.87779e-31, 1.87779e-31, 1.87779e-31, 1.87779e-31, 1.87779e-31, 1.87779e-31, 1.87779e-31, 1.87779e-31, 1.87779e-31, 4.88126e-13, 1.87779e-31, 5.36182e-09, 1.87779e-31, 4.37446e-09, 1.87779e-31, 1.87779e-31
0.42334, 0, 1.51166e-08, 9.96218e-31, 1.41421, -1.51166e-08, 9.96218e-31, 0, 9.96218e-31, 9.96218e-31, 9.96218e-31, 9.96218e-31, 9.96218e-31, 9.96218e-31, 9.96218e-31, 9.96218e-31, 9.96218e-31, 9.96218e-31, 9.96218e-31, 9.96218e-31, 7.96973e-13, 9.96218e-31, 8.69127e-09, 9.96218e-31, 6.42455e-09, 9.96218e-31, 9.96218e-31
0.431207, 0, 2.34405e-08, 5.0866e-30, 1.41421, -2.34405e-08, 5.0866e-30, 0, 5.0866e-30, 5.0866e-30, 5.0866e-30, 5.0866e-30, 5.0866e-30, 5.0866e-30, 5.0866e-30, 5.0866e-30, 5.0866e-30, 5.0866e-30, 5.0866e-30, 5.0866e-30, 1.30092e-12, 5.0866e-30, 1.40739e-08, 5.0866e-30, 9.36539e-09, 5.0866e-30, 5.0866e-30
0.439074, 0, 3.63213e-08, 2.46406e-29, 1.41421, -3.63213e-08, 2.46406e-29, 0, 2.46406e-29, 2.46406e-29, 2.46406e-29, 2.46406e-29, 2.46406e-29, 2.46406e-29, 2.46406e-29, 2.46406e-29, 2.46406e-29, 2.46406e-29, 2.46406e-29, 2.46406e-29, 2.12255e-12, 2.46406e-29, 2.27671e-08, 2.46406e-29, 1.3552e-08, 2.46406e-29, 2.46406e-29
0.446941, 0, 5.62602e-08, 1.1421e-28, 1.41421, -5.62602e-08, 1.1421e-28, 0, 1.1421e-28, 1.1421e-28, 1.1421e-28, 1.1421e-28, 1.1421e-28, 1.1421e-28, 1.1421e-28, 1.1421e-28, 1.1421e-28, 1.1421e-28, 1.1421e-28, 1.1421e-28, 3.46041e-12, 1.1421e-28, 3.67893e-08, 1.1421e-28, 1.94675e-08, 1.1421e-28, 1.1421e-28
0.454807, 0, 8.71376e-08, 5.10151e-28, 1.41421, -8.71376e-08, 5.10151e-28, 0, 5.10151e-28, 5.10151e-28, 5.10151e-28, 5.10151e-28, 5.10151e-28, 5.10151e-28, 5.10151e-28, 5.10151e-28, 5.10151e-28, 5.10151e-28, 5.10151e-28, 5.10151e-28, 5.63474e-12, 5.10151e-28, 5.93684e-08, 5.10151e-28, 2.77635e-08, 5.10151e-28, 5.10151e-28
0.462674, 0, 1.34966e-07, 2.17827e-27, 1.41421, -1.34966e-07, 2.17827e-27, 0, 2.17827e-27, 2.17827e-27, 2.17827e-27, 2.17827e-27, 2.17827e-27, 2.17827e-27, 2.17827e-27, 2.17827e-27, 2.17827e-27, 2.17827e-27, 2.17827e-27, 2.17827e-27, 9.15962e-12, 2.17827e-27, 9.56446e-08, 2.17827e-27, 3.93127e-08, 2.17827e-27, 2.17827e-27
0.470541, 0, 2.09049e-07, 8.88048e-27, 1.41421, -2.09049e-07, 8.88048e-27, 0, 8.88048e-27, 8.88048e-27, 8.88048e-27, 8.88048e-27, 8.88048e-27, 8.88048e-27, 8.88048e-27, 8.88048e-27, 8.88048e-27, 8.88048e-27, 8.88048e-27, 8.88048e-27, 1.48559e-11, 8.88048e-27, 1.5376e-07, 8.88048e-27, 5.52737e-08, 8.88048e-27, 8.88048e-27
0.478408, 0, 3.23731e-07, 3.45788e-26, 1.41421, -3.23731e-07, 3.45788e-26, 0, 3.45788e-26, 3.45788e-26, 3.45788e-26, 3.45788e-26, 3.45788e-26, 3.45788e-26, 7.00618e-14, 3.45788e-26, 3.45788e-26, 3.45788e-26, 3.45788e-26, 3.45788e-26, 2.40264e-11, 3.45788e-26, 2.46533e-07, 3.45788e-26, 7.71735e-08, 3.45788e-26, 3.45788e-26
0.486275, 0, 5.01049e-07, 1.28775e-25, 1.41421, -5.01049e-07, 1.28775e-25, 0, 1.28775e-25, 1.28775e-25, 1.28775e-25, 1.28775e-25, 1.28775e-25, 1.28775e-25, 2.81547e-13, 1.28775e-25, 1.28775e-25, 1.28775e-25, 1.28775e-25, 1.28775e-25, 3.87248e-11, 1.28775e-25, 3.94002e-07, 1.28775e-25, 1.07008e-07, 1.28775e-25, 1.28775e-25
0.494141, 0, 7.74686e-07, 4.60126e-25, 1.41421, -7.74686e-07, 4.60126e-25, 0, 4.60126e-25, 4.60126e-25, 4.60126e-25, 4.60126e-25, 4.60126e-25, 4.60126e-25, 7.80758e-13, 4.60126e-25, 4.60126e-25, 4.60126e-25, 4.60126e-25, 4.60126e-25, 6.21666e-11, 4.60126e-25, 6.27256e-07, 4.60126e-25, 1.47367e-07, 4.60126e-25, 4.60126e-25
0.502008, 0, 1.19694e-06, 1.59356e-24, 1.41421, -1.19694e-06, 4.24878e-11, 0, 2.85657e-14, 4.23572e-11, 3.59095e-10, 1.25998e-11, 2.87578e-10, 4.61917e-11, 7.65253e-12, 1.50919e-10, 1.2875e-11, 1.53976e-10, 7.60512e-12, 2.27312e-13, 9.93468e-11, 1.41709e-13, 9.94101e-07, 1.05591e-15, 2.01613e-07, 1.59356e-24, 1.59356e-24
0.509875, 0, 1.84553e-06, 9.40919e-11, 1.41421, -1.84553e-06, 2.38774e-10, 9.40919e-11, 9.41891e-11, 2.38329e-10, 1.3169e-09, 1.36997e-10, 1.07337e-09, 2.51386e-10, 1.18076e-10, 6.0801e-10, 1.37934e-10, 6.18419e-10, 1.19989e-10, 9.48659e-11, 2.52075e-10, 9.62866e-11, 1.56753e-06, 9.40955e-11, 2.74113e-07, 9.40919e-11, 9.40919e-11
0.517742, 0, 2.83797e-06, 3.17362e-10, 1.41421, -2.83797e-06, 7.00306e-10, 3.17362e-10, 3.1762e-10, 6.99129e-10, 3.55389e-09, 4.30924e-10, 2.90931e-09, 7.33689e-10, 3.79031e-10, 1.6776e-09, 4.33405e-10, 1.70515e-09, 3.85907e-10, 3.19411e-10, 5.67218e-10, 3.25489e-10, 2.45755e-06, 3.17372e-10, 3.70357e-07, 3.17362e-10, 3.17362e-10
0.525609, 0, 4.3501e-06, 8.3454e-10, 1.41421, -4.3501e-06, 1.7581e-09, 8.3454e-10, 8.35161e-10, 1.75526e-09, 8.64019e-09, 1.10842e-09, 7.08564e-09, 1.83861e-09, 9.80913e-10, 4.11507e-09, 1.1144e-09, 4.18152e-09, 9.99853e-10, 8.39481e-10, 1.22738e-09, 8.5737e-10, 3.82863e-06, 8.34563e-10, 4.97491e-07, 8.3454e-10, 8.3454e-10
0.533476, 0, 6.64798e-06, 2.04594e-09, 1.41421, -6.64798e-06, 4.18523e-09, 2.04594e-09, 2.04738e-09, 4.17865e-09, 2.01266e-08, 2.68035e-09, 1.65257e-08, 4.37172e-09, 2.38073e-09, 9.6448e-09, 2.6942e-09, 9.79871e-09, 2.42886e-09, 2.05739e-09, 2.65982e-09, 2.10575e-09, 5.92811e-06, 2.04599e-09, 6.64724e-07, 2.04594e-09, 2.04594e-09
0.541342, 0, 1.01195e-05, 4.63312e-09, 1.41421, -1.01195e-05, 9.35315e-09, 4.63312e-09, 4.63629e-09, 9.33864e-09, 4.45255e-08, 6.03285e-09, 3.65806e-08, 9.76462e-09, 5.41609e-09, 2.13989e-08, 6.06342e-09, 2.17385e-08, 5.47798e-09, 4.65837e-09, 5.586e-09, 4.77113e-09, 9.1145e-06, 4.63324e-09, 8.83799e-07, 4.63312e-09, 4.63312e-09
0.549209, 0, 1.53354e-05, 1.02056e-08, 1.41421, -1.53354e-05, 2.03597e-08, 1.02056e-08, 1.02124e-08, 2.03285e-08, 9.60259e-08, 1.32168e-08, 7.89341e-08, 2.12449e-08, 1.20983e-08, 4.62738e-08, 1.32826e-08, 4.70043e-08, 1.20231e-08, 1.02599e-08, 1.16746e-08, 1.05141e-08, 1.39046e-05, 1.02058e-08, 1.17061e-06, 1.02056e-08, 1.02056e-08
