   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.31897, 0, 1.54388e-09, 2.17621e-37, 1.41421, -1.54388e-09, 2.17621e-37, 0, 2.17621e-37, 2.17621e-37, 2.17621e-37, 2.17621e-37, 2.17621e-37, 2.17621e-37, 2.17621e-37, 2.17621e-37, 2.17621e-37, 7.38079e-12, 2.17621e-37, 2.96115e-14, 1.06038e-10, 2.17621e-37, 1.43043e-09, 2.17621e-37, 2.17621e-37
0.326842, 0, 2.22885e-09, 1.80068e-36, 1.41421, -2.22885e-09, 1.80068e-36, 0, 1.80068e-36, 1.80068e-36, 1.80068e-36, 1.80068e-36, 1.80068e-36, 1.80068e-36, 1.80068e-36, 1.80068e-36, 1.80068e-36, 1.06174e-11, 1.80068e-36, 4.53635e-14, 1.63125e-10, 1.80068e-36, 2.05506e-09, 1.80068e-36, 1.80068e-36
0.334714, 0, 3.20158e-09, 1.36817e-35, 1.41421, -3.20158e-09, 1.36817e-35, 0, 1.36817e-35, 1.36817e-35, 1.36817e-35, 1.36817e-35, 1.36817e-35, 1.36817e-35, 1.36817e-35, 1.36817e-35, 1.36817e-35, 1.51913e-11, 1.36817e-35, 6.94587e-14, 2.50353e-10, 1.36817e-35, 2.93597e-09, 1.36817e-35, 1.36817e-35
0.342586, 0, 4.57628e-09, 9.59048e-35, 1.41421, -4.57628e-09, 9.59048e-35, 0, 9.59048e-35, 9.59048e-35, 9.59048e-35, 9.59048e-35, 9.59048e-35, 9.59048e-35, 9.59048e-35, 9.59048e-35, 9.59048e-35, 2.16202e-11, 9.59048e-35, 1.06326e-13, 3.83385e-10, 9.59048e-35, 4.17117e-09, 9.59048e-35, 9.59048e-35
0.350458, 0, 6.50997e-09, 6.53104e-34, 1.41421, -6.50997e-09, 6.53104e-34, 0, 6.53104e-34, 6.53104e-34, 6.53104e-34, 6.53104e-34, 6.53104e-34, 6.53104e-34, 6.53104e-34, 6.53104e-34, 6.53104e-34, 3.06082e-11, 6.53104e-34, 1.62757e-13, 5.85914e-10, 6.53104e-34, 5.89329e-09, 6.53104e-34, 6.53104e-34
0.35833, 0, 9.21772e-09, 4.30861e-33, 1.41421, -9.21772e-09, 4.30861e-33, 0, 4.30861e-33, 4.30861e-33, 4.30861e-33, 4.30861e-33, 4.30861e-33, 4.30861e-33, 4.30861e-33, 4.30861e-33, 4.30861e-33, 4.31081e-11, 4.30861e-33, 2.49168e-13, 8.93722e-10, 4.30861e-33, 8.28064e-09, 4.30861e-33, 4.30861e-33
0.366202, 0, 1.29931e-08, 2.67164e-32, 1.41421, -1.29931e-08, 2.67164e-32, 0, 2.67164e-32, 2.67164e-32, 2.67164e-32, 2.67164e-32, 2.67164e-32, 2.67164e-32, 2.67164e-32, 2.67164e-32, 2.67164e-32, 6.04023e-11, 2.67164e-32, 3.81529e-13, 1.36076e-09, 2.67164e-32, 1.15715e-08, 2.67164e-32, 2.67164e-32
0.374074, 0, 1.82356e-08, 1.54802e-31, 1.41421, -1.82356e-08, 1.54802e-31, 0, 1.54802e-31, 1.54802e-31, 1.54802e-31, 1.54802e-31, 1.54802e-31, 1.54802e-31, 1.54802e-31, 1.54802e-31, 1.54802e-31, 8.42085e-11, 1.54802e-31, 5.84309e-13, 2.06823e-09, 1.54802e-31, 1.60826e-08, 1.54802e-31, 1.54802e-31
0.381946, 0, 2.54873e-08, 8.38898e-31, 1.41421, -2.54873e-08, 8.38898e-31, 0, 8.38898e-31, 8.38898e-31, 8.38898e-31, 8.38898e-31, 8.38898e-31, 8.38898e-31, 8.38898e-31, 8.38898e-31, 8.38898e-31, 1.16815e-10, 8.38898e-31, 8.94941e-13, 3.13803e-09, 8.38898e-31, 2.22316e-08, 8.38898e-31, 8.38898e-31
0.389818, 0, 3.54825e-08, 4.26382e-30, 1.41421, -3.54825e-08, 4.26382e-30, 0, 4.26382e-30, 4.26382e-30, 4.26382e-30, 4.26382e-30, 4.26382e-30, 4.26382e-30, 4.26382e-30, 4.26382e-30, 4.26382e-30, 1.61256e-10, 4.26382e-30, 1.3706e-12, 4.75276e-09, 4.26382e-30, 3.05671e-08, 4.26382e-30, 4.26382e-30
