   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_323.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.330383, 0, 1.10859e-09, 2.90691e-37, 1.41421, -1.10859e-09, 2.90691e-37, 0, 2.90691e-37, 2.90691e-37, 2.90691e-37, 2.90691e-37, 2.90691e-37, 2.90691e-37, 2.90691e-37, 2.90691e-37, 2.90691e-37, 2.90691e-37, 2.90691e-37, 5.2993e-10, 2.90691e-37, 5.78664e-10, 2.90691e-37, 2.90691e-37, 2.90691e-37
0.338253, 0, 1.69015e-09, 2.54393e-36, 1.41421, -1.69015e-09, 2.54393e-36, 0, 2.54393e-36, 2.54393e-36, 2.54393e-36, 2.54393e-36, 2.54393e-36, 2.54393e-36, 2.54393e-36, 2.54393e-36, 2.54393e-36, 2.54393e-36, 2.54393e-36, 8.35389e-10, 2.54393e-36, 8.54757e-10, 2.54393e-36, 2.54393e-36, 2.54393e-36
0.346123, 0, 2.56804e-09, 2.04015e-35, 1.41421, -2.56804e-09, 2.04015e-35, 0, 2.04015e-35, 2.04015e-35, 2.04015e-35, 2.04015e-35, 2.04015e-35, 2.04015e-35, 2.04015e-35, 2.04015e-35, 2.04015e-35, 2.04015e-35, 2.04015e-35, 1.31344e-09, 2.04015e-35, 1.2546e-09, 2.04015e-35, 2.04015e-35, 2.04015e-35
0.353993, 0, 3.89e-09, 1.50608e-34, 1.41421, -3.89e-09, 1.50608e-34, 0, 1.50608e-34, 1.50608e-34, 1.50608e-34, 1.50608e-34, 1.50608e-34, 1.50608e-34, 1.50608e-34, 1.50608e-34, 1.50608e-34, 1.50608e-34, 1.50608e-34, 2.06011e-09, 1.50608e-34, 1.82989e-09, 1.50608e-34, 1.50608e-34, 1.50608e-34
0.361863, 0, 5.87658e-09, 1.00961e-33, 1.41421, -5.87658e-09, 1.00961e-33, 0, 1.00961e-33, 1.00961e-33, 1.00961e-33, 1.00961e-33, 1.00961e-33, 1.00961e-33, 1.00961e-33, 1.00961e-33, 1.00961e-33, 1.00961e-33, 1.00961e-33, 3.22426e-09, 1.00961e-33, 2.65232e-09, 1.00961e-33, 1.00961e-33, 1.00961e-33
0.369733, 0, 8.85681e-09, 5.81521e-33, 1.41421, -8.85681e-09, 5.81521e-33, 0, 5.81521e-33, 5.81521e-33, 5.81521e-33, 5.81521e-33, 5.81521e-33, 5.81521e-33, 5.81521e-33, 5.81521e-33, 5.81521e-33, 5.81521e-33, 5.81521e-33, 5.03632e-09, 5.81521e-33, 3.82049e-09, 5.81521e-33, 5.81521e-33, 5.81521e-33
0.377603, 0, 1.33217e-08, 3.46791e-32, 1.41421, -1.33217e-08, 3.46791e-32, 0, 3.46791e-32, 3.46791e-32, 3.46791e-32, 3.46791e-32, 3.46791e-32, 3.46791e-32, 3.46791e-32, 3.46791e-32, 3.46791e-32, 3.46791e-32, 3.46791e-32, 7.85253e-09, 3.46791e-32, 5.46921e-09, 3.46791e-32, 3.46791e-32, 3.46791e-32
0.385474, 0, 2.00041e-08, 1.83839e-31, 1.41421, -2.00041e-08, 1.83839e-31, 0, 1.83839e-31, 1.83839e-31, 1.83839e-31, 1.83839e-31, 1.83839e-31, 1.83839e-31, 1.83839e-31, 1.83839e-31, 1.83839e-31, 1.83839e-31, 1.83839e-31, 1.22226e-08, 1.83839e-31, 7.78143e-09, 1.83839e-31, 1.83839e-31, 1.83839e-31
0.393344, 0, 2.99972e-08, 9.61849e-31, 1.41421, -2.99972e-08, 9.61849e-31, 0, 9.61849e-31, 9.61849e-31, 9.61849e-31, 9.61849e-31, 9.61849e-31, 9.61849e-31, 9.61849e-31, 9.61849e-31, 9.61849e-31, 9.61849e-31, 9.61849e-31, 1.89934e-08, 9.61849e-31, 1.10038e-08, 9.61849e-31, 9.61849e-31, 9.61849e-31
0.401214, 0, 4.49328e-08, 4.80953e-30, 1.41421, -4.49328e-08, 4.80953e-30, 0, 4.80953e-30, 4.80953e-30, 4.80953e-30, 4.80953e-30, 4.80953e-30, 4.80953e-30, 4.80953e-30, 4.80953e-30, 4.80953e-30, 4.80953e-30, 4.80953e-30, 2.94661e-08, 4.80953e-30, 1.54668e-08, 4.80953e-30, 4.80953e-30, 4.80953e-30
0.409084, 0, 6.72436e-08, 2.27459e-29, 1.41421, -6.72436e-08, 2.27459e-29, 0, 2.27459e-29, 2.27459e-29, 2.27459e-29, 2.27459e-29, 2.27459e-29, 2.27459e-29, 2.27459e-29, 2.27459e-29, 2.27459e-29, 2.27459e-29, 2.27459e-29, 4.5634e-08, 2.27459e-29, 2.16095e-08, 2.27459e-29, 2.27459e-29, 2.27459e-29
